date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,52.9943,53.1088,52.5123,52.7366,1875931,1875931,-0.515434,-0.968,52.67,"Aug 5, 13",0
2013-08-06,52.5361,52.6698,51.8391,52.3739,2533707,2533707,-0.362712,-0.688,52.2788,"Aug 6, 13",-0.00687757648388413
2013-08-07,52.2689,52.2975,51.658,51.658,3007997,3007997,-0.715881,-1.367,51.8089,"Aug 7, 13",-0.020452588904100785
2013-08-08,51.8871,52.4073,51.8012,52.2402,2739680,2739680,0.582249,1.127,52.155,"Aug 8, 13",-0.00941281766363401
2013-08-09,52.2116,52.3261,51.7534,51.7821,1201053,1201053,-0.458164,-0.877,51.9917,"Aug 9, 13",-0.018099384488192316
2013-08-12,51.6771,52.0971,51.5363,51.8775,2295535,2295535,0.095452,0.184,51.8528,"Aug 12, 13",-0.016290394147518136
2013-08-13,51.8871,52.3357,51.7343,52.1161,2171290,2171290,0.238625,0.46,52.1189,"Aug 13, 13",-0.011766022079542478
2013-08-14,51.9348,52.3261,51.6198,52.0207,1792322,1792322,-0.095451,-0.183,52.0659,"Aug 14, 13",-0.013575012420216791
2013-08-15,51.7248,52.0112,50.9421,51.0662,2987216,2987216,-0.954508,-1.835,51.1997,"Aug 15, 13",-0.031674396908408974
2013-08-16,50.8085,50.8944,50.0162,50.083,3489864,3489864,-0.983143,-1.925,50.2849,"Aug 16, 13",-0.05031799547183558
2013-08-19,51.0662,51.9921,50.7798,51.6294,4538707,4538707,1.5463,3.087,51.5631,"Aug 19, 13",-0.02099490676304513
2013-08-20,51.6962,51.763,50.8753,50.9421,2663420,2663420,-0.687247,-1.331,51.2551,"Aug 20, 13",-0.034027601324317445
2013-08-21,50.9707,52.0207,50.6844,51.9252,3274292,3274292,0.983143,1.93,51.7043,"Aug 21, 13",-0.015385898977181048
2013-08-22,51.868,53.0707,51.5434,52.9275,3108459,3108459,1.0022,1.93,52.7173,"Aug 22, 13",0.0036198768976384364
2013-08-23,52.9848,53.0707,52.2975,52.5457,2263718,2263718,-0.381805,-0.721,52.5724,"Aug 23, 13",-0.0036198768976385713
2013-08-26,52.9084,53.5479,52.6507,53.0611,1745782,1745782,0.515437,0.981,53.1575,"Aug 26, 13",0.006153221861098373
2013-08-27,52.498,52.8129,52.1352,52.1639,1912433,1912433,-0.89724,-1.691,52.3933,"Aug 27, 13",-0.010859630692915444
2013-08-28,52.1639,52.4025,51.7439,52.0016,1777173,1777173,-0.162265,-0.311,52.1084,"Aug 28, 13",-0.013937189731609534
