date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,49.4437,49.5616,49.2889,49.4584,1592757,1592757,-0.081055,-0.164,49.4524,"Aug 5, 13",0
2013-08-06,49.4584,49.4952,49.2079,49.4068,2010715,2010715,-0.05158,-0.104,49.3644,"Aug 6, 13",-0.0010433010368309638
2013-08-07,49.37,49.7826,49.2226,49.731,2339852,2339852,0.324219,0.656,49.5784,"Aug 7, 13",0.005511702764343452
2013-08-08,49.9595,50.0921,49.5395,49.6131,2041171,2041171,-0.117898,-0.237,49.7044,"Aug 8, 13",0.0031278812092587994
2013-08-09,49.5689,49.6647,49.311,49.3626,1557308,1557308,-0.250534,-0.505,49.4616,"Aug 9, 13",-0.0019369813823333752
2013-08-12,49.031,49.2816,48.8763,49.0163,2111954,2111954,-0.346327,-0.702,49.0501,"Aug 12, 13",-0.008938825356258924
2013-08-13,49.0237,49.9005,48.9794,49.8342,1760382,1760382,0.817921,1.669,49.6205,"Aug 13, 13",0.00759830483800538
2013-08-14,49.6647,49.7016,49.0347,49.1268,1734379,1734379,-0.70739,-1.419,49.2192,"Aug 14, 13",-0.00670462449250268
2013-08-15,48.9573,49.4363,48.5447,49.0089,2419244,2419244,-0.117899,-0.24,49.1526,"Aug 15, 13",-0.009088446047587477
2013-08-16,49.0089,49.2447,48.8579,49.171,2177721,2177721,0.16211,0.331,49.0874,"Aug 16, 13",-0.005810944147000269
2013-08-19,49.0016,49.58,48.9721,49.2668,1952398,1952398,0.095793,0.195,49.3103,"Aug 19, 13",-0.0038739627646667504
2013-08-20,49.2963,49.2963,48.7915,48.8689,2390427,2390427,-0.397906,-0.808,48.9212,"Aug 20, 13",-0.011919107775423408
2013-08-21,48.81,49.1268,48.67,48.7658,1936928,1936928,-0.103162,-0.211,48.8809,"Aug 21, 13",-0.014003687947851099
2013-08-22,48.9279,49.7679,48.8247,49.5837,1675850,1675850,0.817919,1.677,49.3839,"Aug 22, 13",0.002533442246413205
