date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,45.23,45.33,44.69,44.71,2854089,2854089,-0.51,-1.128,45.0331,"Aug 5, 13",0
2013-08-06,43.99,46,43.602,44.91,3652708,3652708,0.2,0.447,45.0454,"Aug 6, 13",0.0044732721986131905
2013-08-07,44.81,45.47,44.26,45.32,1986390,1986390,0.41,0.913,45.026,"Aug 7, 13",0.013643480205770508
2013-08-08,44.94,45.23,44.34,44.89,2370863,2370863,-0.43,-0.949,44.8048,"Aug 8, 13",0.00402594497875195
2013-08-09,44.9,45.7,44.36,45.64,4444709,4444709,0.75,1.671,45.269,"Aug 9, 13",0.02080071572355177
2013-08-12,45.5,45.87,44.88,45.76,2277142,2277142,0.12,0.263,45.6049,"Aug 12, 13",0.023484679042719687
2013-08-13,45.92,45.92,44.99,45.13,1797766,1797766,-0.63,-1.377,45.1588,"Aug 13, 13",0.009393871617087938
2013-08-14,44.8,45.02,44.52,44.76,1709501,1709501,-0.37,-0.82,44.719,"Aug 14, 13",0.0011183180496532577
2013-08-15,45.04,45.04,44.09,44.29,3144027,3144027,-0.47,-1.05,44.3916,"Aug 15, 13",-0.009393871617087938
2013-08-16,44.23,44.66,43.88,44.5,2455548,2455548,0.21,0.474,44.4528,"Aug 16, 13",-0.004696935808543969
2013-08-19,44.55,44.645,43.945,44.07,2153666,2153666,-0.43,-0.966,44.0902,"Aug 19, 13",-0.014314471035562526
2013-08-20,44.16,44.575,44.02,44.46,1226871,1226871,0.39,0.885,44.3655,"Aug 20, 13",-0.0055915902482666065
2013-08-21,44.36,44.76,43.84,44.32,1476523,1476523,-0.14,-0.315,44.2795,"Aug 21, 13",-0.00872288078729592
2013-08-22,44.19,44.91,43.98,44.69,1081469,1081469,0.37,0.835,44.5784,"Aug 22, 13",-0.0004473272198613985
2013-08-23,44.96,45.05,44.39,44.91,925156,925156,0.22,0.492,44.7214,"Aug 23, 13",0.0044732721986131905
2013-08-26,45.16,45.57,44.785,44.96,3008538,3008538,0.05,0.111,45.1352,"Aug 26, 13",0.0055915902482666065
2013-08-27,44.09,44.64,44,44.29,1694464,1694464,-0.67,-1.49,44.3219,"Aug 27, 13",-0.009393871617087938
2013-08-28,44.14,44.61,44,44.49,1470436,1470436,0.2,0.452,44.3691,"Aug 28, 13",-0.004920599418474589
2013-08-29,44.58,44.76,44.275,44.36,1769060,1769060,-0.13,-0.292,44.4235,"Aug 29, 13",-0.007828226347573282
2013-08-30,44.64,45.53,44.55,44.96,2936896,2936896,0.6,1.353,45.0123,"Aug 30, 13",0.0055915902482666065
2013-09-03,45.5,46.19,44.99,45.8,2801001,2801001,0.84,1.868,45.6827,"Sep 3, 13",0.024379333482442325
2013-09-04,45.79,45.93,45.47,45.86,1511574,1511574,0.06,0.131,45.7582,"Sep 4, 13",0.02572131514202636
2013-09-05,49.44,49.44,45.805,46.31,1723041,1723041,0.45,0.981,46.0989,"Sep 5, 13",0.035786177588906315
2013-09-06,47.39,47.39,45.77,46.62,1699123,1699123,0.31,0.669,46.5332,"Sep 6, 13",0.042719749496756804
2013-09-09,46.48,46.62,45.71,46.11,1818138,1818138,-0.51,-1.094,46.1072,"Sep 9, 13",0.03131290539029297
2013-09-10,46.53,46.77,46.2,46.73,1379967,1379967,0.62,1.345,46.5634,"Sep 10, 13",0.0451800492059941
2013-09-11,46.74,47.28,46.27,47.03,1750630,1750630,0.3,0.642,47.0761,"Sep 11, 13",0.05188995750391412
2013-09-12,47.03,47.175,46.71,46.96,1731302,1731302,-0.07,-0.149,46.9381,"Sep 12, 13",0.05032431223439946
2013-09-13,47.09,47.76,46.69,47.72,1735890,1735890,0.76,1.618,47.4115,"Sep 13, 13",0.0673227465891299
2013-09-16,48.2,48.3,46.66,46.94,2926697,2926697,-0.78,-1.635,47.2612,"Sep 16, 13",0.049876985014538064
