date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,60.9006,60.9006,60.1481,60.5692,731552,731552,-0.313551,-0.515,60.5093,"Aug 5, 13",0
2013-08-06,60.5692,60.8021,59.9421,60.3363,785839,785839,-0.232924,-0.385,60.1143,"Aug 6, 13",-0.0038451886437331313
2013-08-07,60.175,61.7159,60.0137,61.465,1732699,1732699,1.1288,1.871,61.0835,"Aug 7, 13",0.014789695092555313
2013-08-08,61.5994,62.119,60.8603,61.7069,2380831,2380831,0.241884,0.394,61.7055,"Aug 8, 13",0.018783474108952987
2013-08-09,61.6173,61.9488,60.6068,61.0977,786977,786977,-0.609186,-0.987,61.0944,"Aug 9, 13",0.008725556883696682
2013-08-12,60.4348,61.2052,60.3094,60.6498,2139021,2139021,-0.447928,-0.733,60.7933,"Aug 12, 13",0.001330709337418967
2013-08-13,60.3542,60.8469,60.2915,60.5781,1795608,1795608,-0.07167,-0.118,60.6836,"Aug 13, 13",0.00014693936852388706
2013-08-14,60.6677,60.8021,60.0227,60.175,978846,978846,-0.403139,-0.665,60.226,"Aug 14, 13",-0.0065082583227119555
2013-08-15,59.8794,59.9869,59.3866,59.8435,916725,916725,-0.331469,-0.551,59.7812,"Aug 15, 13",-0.011981337049193375
2013-08-16,59.8614,59.9958,58.7327,59.1627,877254,877254,-0.680854,-1.138,59.1363,"Aug 16, 13",-0.023221373239204104
2013-08-19,59.0731,59.1358,58.6252,58.7595,797065,797065,-0.403139,-0.681,58.8478,"Aug 19, 13",-0.0298782219345806
2013-08-20,58.7595,59.0552,58.3116,58.5177,896040,896040,-0.241882,-0.412,58.6645,"Aug 20, 13",-0.033870349946837734
2013-08-21,58.2937,58.3833,57.6845,57.6845,789630,789630,-0.833151,-1.424,57.9468,"Aug 21, 13",-0.047626516447303285
2013-08-22,57.6307,58.7374,57.586,58.5893,843261,843261,0.904821,1.569,58.4054,"Aug 22, 13",-0.032688230982083316
2013-08-23,58.7058,59.3777,58.3564,58.9835,689138,689138,0.39418,0.673,58.8888,"Aug 23, 13",-0.026179972659371473
2013-08-26,59.1268,59.4359,58.5535,58.7058,516513,516513,-0.277719,-0.471,58.9403,"Aug 26, 13",-0.03076481115814636
2013-08-27,58.3116,58.7954,58.0742,58.231,722860,722860,-0.474804,-0.809,58.3933,"Aug 27, 13",-0.038603778818277285
2013-08-28,58.3654,58.9835,58.2131,58.4729,881206,881206,0.241882,0.415,58.5729,"Aug 28, 13",-0.03460999980187949
2013-08-29,58.1951,58.6162,57.4247,57.4874,1032212,1032212,-0.985449,-1.685,57.6999,"Aug 29, 13",-0.0508806456086592
2013-08-30,57.5591,57.8637,57.2634,57.362,891331,891331,-0.125419,-0.218,57.5295,"Aug 30, 13",-0.05295100480112004
2013-09-03,58.0428,58.0608,56.4841,56.8513,1198738,1198738,-0.510644,-0.89,56.998,"Sep 3, 13",-0.06138268294776884
2013-09-04,56.8872,57.147,56.4885,56.8066,1233443,1233443,-0.044792,-0.079,56.7817,"Sep 4, 13",-0.06212068179866993
2013-09-05,56.7349,57.6039,56.6991,57.2455,1140581,1140581,0.438973,0.773,57.2998,"Sep 5, 13",-0.054874424625057
2013-09-06,57.6128,57.9309,56.7797,57.6307,975266,975266,0.385219,0.673,57.678,"Sep 6, 13",-0.04851475667500982
2013-09-09,57.7651,58.5535,57.586,58.2489,1375930,1375930,0.618146,1.073,58.177,"Sep 9, 13",-0.038308249077088734
2013-09-10,58.5445,58.7237,57.9174,58.3922,711279,711279,0.143337,0.246,58.4194,"Sep 10, 13",-0.03594236014343923
2013-09-11,58.4549,58.7284,57.9309,58.4908,640330,640330,0.098545,0.169,58.3884,"Sep 11, 13",-0.034314470060690945
2013-09-12,58.3922,58.5893,57.8547,58.1235,1109571,1109571,-0.367303,-0.628,58.1619,"Sep 12, 13",-0.040378608269549573
2013-09-13,58.0249,58.0563,57.5188,57.7024,732112,732112,-0.421054,-0.724,57.7911,"Sep 13, 13",-0.04733098670611474
