date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-10-10,16,17.75,15.04,16.02,8050530,8050530,16.02,0,16.1182,"Oct 10, 14",0
2014-10-13,15.89,16.88,15.8,16.02,843955,843955,0,0,16.4159,"Oct 13, 14",0
2014-10-14,16.3,16.4,15.61,15.72,510204,510204,-0.3,-1.873,15.8984,"Oct 14, 14",-0.01872659176029956
2014-10-15,15.6,16.44,15.45,16.25,501315,501315,0.53,3.372,15.9654,"Oct 15, 14",0.014357053682896406
2014-10-16,16,19.48,15.99,18.81,425912,425912,2.56,15.754,18.4187,"Oct 16, 14",0.17415730337078647
2014-10-17,19.83,19.99,19.1,19.38,310144,310144,0.57,3.03,19.4161,"Oct 17, 14",0.20973782771535576
2014-10-20,19.46,19.688,18,19.19,318273,318273,-0.19,-0.98,18.7084,"Oct 20, 14",0.19787765293383283
2014-10-21,19.46,20.4,19,19.53,739295,739295,0.34,1.772,19.6828,"Oct 21, 14",0.2191011235955057
2014-10-22,19.95,20.2,18.9,19.74,321365,321365,0.21,1.075,19.5937,"Oct 22, 14",0.23220973782771528
2014-10-23,19.8,22,19.8,21.05,301031,301031,1.31,6.636,21.0175,"Oct 23, 14",0.3139825218476905
2014-10-24,21.25,21.448,20.642,21.03,210254,210254,-0.02,-0.095,21.0478,"Oct 24, 14",0.31273408239700384
2014-10-27,21.5,21.59,21,21.5,98879,98879,0.47,2.235,21.3369,"Oct 27, 14",0.3420724094881399
2014-10-28,21.4,21.94,20.79,21.56,428861,428861,0.06,0.279,21.3511,"Oct 28, 14",0.3458177278401997
2014-10-29,21.37,21.82,20.8241,21.14,311640,311640,-0.42,-1.948,21.4174,"Oct 29, 14",0.31960049937578033
2014-10-30,21,21.7375,20.73,21.61,94147,94147,0.47,2.223,21.1731,"Oct 30, 14",0.3489388264669164
2014-10-31,22,22,21.01,21.5,154403,154403,-0.11,-0.509,21.4882,"Oct 31, 14",0.3420724094881399
2014-11-03,21.7,21.9899,21.51,21.53,192378,192378,0.03,0.14,21.7818,"Nov 3, 14",0.3439450686641699
2014-11-04,21.5,21.87,21.34,21.75,192232,192232,0.22,1.022,21.5606,"Nov 4, 14",0.3576779026217229
2014-11-05,21.91,22.41,20.81,21.1,218783,218783,-0.65,-2.989,21.6667,"Nov 5, 14",0.3171036204744071
2014-11-06,20.85,21.351,19.25,20.5,256246,256246,-0.6,-2.844,20.5535,"Nov 6, 14",0.27965043695380776
2014-11-07,20.9,21.8299,20.6651,21.6,208045,208045,1.1,5.366,21.2436,"Nov 7, 14",0.34831460674157316
2014-11-10,21.93,23.49,20.38,20.52,270642,270642,-1.08,-5,21.7923,"Nov 10, 14",0.2808988764044944
2014-11-11,20.71,21.604,20.66,21.39,338683,338683,0.87,4.24,21.2417,"Nov 11, 14",0.3352059925093634
2014-11-12,21.21,22.31,21.21,22.02,195085,195085,0.63,2.945,21.7814,"Nov 12, 14",0.37453183520599254
2014-11-13,22,22.23,21.67,22.05,188283,188283,0.03,0.136,21.9662,"Nov 13, 14",0.37640449438202256
2014-11-14,21.84,23.47,21.84,23.03,518598,518598,0.98,4.444,22.8338,"Nov 14, 14",0.43757802746566804
2014-11-17,23.45,24.87,23.45,24.1,656324,656324,1.07,4.646,24.3332,"Nov 17, 14",0.5043695380774034
2014-11-18,24.11,24.38,23.77,24.01,275514,275514,-0.09,-0.373,24.1539,"Nov 18, 14",0.4987515605493135
2014-11-19,24,24.9,23.55,24.5,316665,316665,0.49,2.041,24.5529,"Nov 19, 14",0.5293383270911362
2014-11-20,25.79,25.79,24.681,24.87,345891,345891,0.37,1.51,25.0234,"Nov 20, 14",0.5524344569288391
2014-11-21,25.55,26.4,25,26.28,205508,205508,1.41,5.669,25.7269,"Nov 21, 14",0.6404494382022473
2014-11-24,26.63,28,26.55,27.69,318962,318962,1.41,5.365,27.5485,"Nov 24, 14",0.7284644194756555
2014-11-25,27.99,28.08,27.22,27.8,239188,239188,0.11,0.397,27.7046,"Nov 25, 14",0.7353308364544321
2014-11-26,27.54,28.23,25.077,26.18,288910,288910,-1.62,-5.827,26.4025,"Nov 26, 14",0.634207240948814
2014-11-28,25.89,26.87,25.72,26.86,95765,95765,0.68,2.597,26.3069,"Nov 28, 14",0.6766541822721598
