date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2015-06-05,25.01,27.48,24,27,7716464,7716464,27,0,25.6948,"Jun 5, 15",0
2015-06-08,27.45,29.7,27.1,28.81,1797455,1797455,1.81,6.704,28.7717,"Jun 8, 15",0.06703703703703699
2015-06-09,29.7,29.97,28.9526,29.6,743067,743067,0.79,2.742,29.4587,"Jun 9, 15",0.09629629629629635
2015-06-10,29.79,29.79,27.55,27.74,384047,384047,-1.86,-6.284,28.4779,"Jun 10, 15",0.02740740740740735
2015-06-11,27.56,28.29,26.98,27.06,245575,245575,-0.68,-2.451,27.3039,"Jun 11, 15",0.002222222222222175
2015-06-12,27.04,27.73,26.9,26.98,606600,606600,-0.08,-0.296,27.3868,"Jun 12, 15",-0.000740740740740725
2015-06-15,27.07,27.4499,26.59,27.25,168210,168210,0.27,1.001,27.0153,"Jun 15, 15",0.009259259259259259
2015-06-16,27.5,29.16,27.02,29.16,355284,355284,1.91,7.009,27.9564,"Jun 16, 15",0.08
2015-06-17,24.9,26.66,21.88,22,2266764,2266764,-7.16,-24.554,23.9622,"Jun 17, 15",-0.18518518518518517
2015-06-18,22,22.2896,21.02,21.32,487469,487469,-0.68,-3.091,21.4437,"Jun 18, 15",-0.21037037037037035
2015-06-19,21.01,22.15,20.75,22,429858,429858,0.68,3.189,21.581,"Jun 19, 15",-0.18518518518518517
2015-06-22,22.26,22.26,20.43,21.81,276052,276052,-0.19,-0.864,21.3033,"Jun 22, 15",-0.19222222222222227
2015-06-23,21.96,22.5,21.8,22.41,175271,175271,0.6,2.751,22.1709,"Jun 23, 15",-0.16999999999999998
2015-06-24,22.51,23,22.05,22.24,143971,143971,-0.17,-0.759,22.3735,"Jun 24, 15",-0.17629629629629637
2015-06-25,22.15,23,22,22.77,176027,176027,0.53,2.383,22.5152,"Jun 25, 15",-0.15666666666666668
2015-06-26,22.88,22.9,22.344,22.57,106371,106371,-0.2,-0.878,22.4807,"Jun 26, 15",-0.16407407407407407
2015-06-29,22.48,22.58,21.98,22.48,83427,83427,-0.09,-0.399,22.3095,"Jun 29, 15",-0.1674074074074074
