date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2016-12-08,22.884,23.3088,22.884,23.2239,185150,185150,23.2239,0,23.1866,"Dec 8, 16",0
2016-12-09,23.2239,23.29,23.1012,23.2428,300468,300468,0.018881,0.081,23.2179,"Dec 9, 16",0.0008138168007956711
2016-12-12,23.2239,23.2239,23.1295,23.1861,221455,221455,-0.056644,-0.244,23.1518,"Dec 12, 16",-0.001627633601591495
2016-12-13,23.1295,23.2522,23.1295,23.2239,213771,213771,0.037763,0.163,23.1991,"Dec 13, 16",0
2016-12-14,23.1578,23.3183,23.1295,23.2994,260663,260663,0.075525,0.325,23.2615,"Dec 14, 16",0.0032509612941839278
2016-12-15,23.1767,23.2428,23.0823,23.2239,99400,99400,-0.075525,-0.324,23.1704,"Dec 15, 16",0
2016-12-16,23.2711,23.2711,22.9123,23.12,141208,141208,-0.103847,-0.447,23.1046,"Dec 16, 16",-0.004473839449877042
2016-12-19,23.2522,23.2711,23.0823,23.1891,51083,51083,0.069105,0.299,23.1616,"Dec 19, 16",-0.0014984563316239137
2016-12-20,23.2239,23.4138,23.2239,23.3867,105246,105246,0.197592,0.852,23.3094,"Dec 20, 16",0.007010019850240516
2016-12-21,23.441,23.5543,23.3183,23.5543,80748,80748,0.167571,0.717,23.4146,"Dec 21, 16",0.014226723332429131
2016-12-22,23.5543,23.8375,23.4789,23.6487,135954,135954,0.094405,0.401,23.6344,"Dec 22, 16",0.018291501427408884
2016-12-23,23.6676,23.6959,23.5732,23.6015,25617,25617,-0.047202,-0.2,23.661,"Dec 23, 16",0.01625911237991901
2016-12-27,23.6109,23.6298,23.442,23.6298,63351,63351,0.028322,0.12,23.5465,"Dec 27, 16",0.01747768462661306
2016-12-28,23.5826,23.6676,23.5544,23.6298,41642,41642,0,0,23.6067,"Dec 28, 16",0.01747768462661306
2016-12-29,23.6487,23.762,23.6298,23.6959,61487,61487,0.066084,0.28,23.6884,"Dec 29, 16",0.02032389047489876
2016-12-30,23.6959,24.2718,23.6959,24.2623,259301,259301,0.566437,2.39,24.0543,"Dec 30, 16",0.04471255904477712
2017-01-03,24.3851,24.3851,23.913,23.913,136290,136290,-0.349302,-1.44,24.1202,"Jan 3, 17",0.029672018911552314
2017-01-04,24.1113,24.1113,23.8375,23.9225,55088,55088,0.00944,0.039,23.9129,"Jan 4, 17",0.030081080266449605
2017-01-05,23.9697,23.9697,23.7149,23.847,54237,54237,-0.075525,-0.316,23.8368,"Jan 5, 17",0.026830118972265678
2017-01-06,23.7903,23.847,23.7431,23.8375,56066,56066,-0.009441,-0.04,23.7902,"Jan 6, 17",0.026421057617368234
2017-01-09,23.8281,23.8367,23.7337,23.7526,134086,134086,-0.084966,-0.356,23.7757,"Jan 9, 17",0.022765340877285926
2017-01-10,23.8186,23.8375,23.7242,23.7809,99999,99999,0.028322,0.119,23.7801,"Jan 10, 17",0.023983913123979978
2017-01-11,23.8281,23.8281,23.6959,23.7526,193446,193446,-0.028322,-0.119,23.7482,"Jan 11, 17",0.022765340877285926
2017-01-12,23.7903,23.7903,23.7148,23.762,177180,177180,0.009441,0.04,23.7458,"Jan 12, 17",0.023170096323184307
2017-01-13,23.7809,23.7903,23.7431,23.762,129953,129953,0,0,23.7634,"Jan 13, 17",0.023170096323184307
2017-01-17,23.8281,23.8281,23.7714,23.7998,94570,94570,0.037763,0.159,23.7881,"Jan 17, 17",0.024797729924775802
2017-01-18,23.8186,23.9036,23.7431,23.7526,204652,204652,-0.047204,-0.198,23.7899,"Jan 18, 17",0.022765340877285926
2017-01-19,23.7431,23.7431,23.6109,23.6298,229806,229806,-0.122727,-0.517,23.6775,"Jan 19, 17",0.01747768462661306
