date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,0.72,0.77,0.65,0.72,14400,14400,0.022,3.152,0.738358,"Aug 5, 13",0
2013-08-07,0.6392,0.74,0.6392,0.74,1693,1693,0.02,2.778,0.733278,"Aug 7, 13",0.027777777777777804
2013-08-08,0.7,0.8,0.6801,0.8,5979,5979,0.06,8.108,0.743004,"Aug 8, 13",0.11111111111111122
2013-08-09,0.8,0.85,0.75,0.8,11454,11454,0,0,0.789075,"Aug 9, 13",0.11111111111111122
2013-08-12,0.8499,0.8499,0.7,0.749,4100,4100,-0.051,-6.375,0.76061,"Aug 12, 13",0.040277777777777815
2013-08-13,0.8,0.85,0.73,0.75,9643,9643,0.001,0.134,0.761622,"Aug 13, 13",0.041666666666666706
2013-08-14,0.7499,0.7499,0.7499,0.7499,100,100,-0.0001,-0.013,0.7499,"Aug 14, 13",0.04152777777777783
2013-08-15,0.708,0.72,0.706,0.72,2970,2970,-0.0299,-3.987,0.710165,"Aug 15, 13",0
2013-08-16,0.7,0.705,0.7,0.7,3300,3300,-0.02,-2.778,0.700782,"Aug 16, 13",-0.027777777777777804
2013-08-19,0.717,0.72,0.69,0.694,2160,2160,-0.006,-0.857,0.70962,"Aug 19, 13",-0.03611111111111114
2013-08-20,0.6801,0.6907,0.6501,0.677,6450,6450,-0.017,-2.45,0.67658,"Aug 20, 13",-0.05972222222222212
2013-08-21,0.701,0.701,0.7,0.7,400,400,0.023,3.397,0.7005,"Aug 21, 13",-0.027777777777777804
2013-08-22,0.6999,0.7,0.67,0.6999,1400,1400,-0.0001,-0.014,0.680386,"Aug 22, 13",-0.027916666666666676
2013-08-23,0.7,0.7,0.7,0.7,200,200,0.0001,0.014,0.7,"Aug 23, 13",-0.027777777777777804
2013-08-27,0.7,0.7,0.65,0.65,3900,3900,-0.05,-7.143,0.665428,"Aug 27, 13",-0.09722222222222215
2013-08-28,0.68,0.749,0.66,0.66,5000,5000,0.01,1.538,0.706678,"Aug 28, 13",-0.08333333333333326
