date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,36.4293,36.7028,36.3328,36.5097,158511,158511,-0.289567,-0.787,36.5781,"Aug 5, 13",0
2013-08-06,36.55,36.566,36.2129,36.3408,110119,110119,-0.168912,-0.463,36.2979,"Aug 6, 13",-0.0046261678403273845
2013-08-07,36.4534,36.6143,36.381,36.5821,152058,152058,0.241305,0.664,36.4986,"Aug 7, 13",0.0019830346455871916
2013-08-08,36.7832,37.0326,36.6231,37.0326,191672,191672,0.45044,1.231,36.8169,"Aug 8, 13",0.014322221217922905
2013-08-09,36.6626,36.8073,36.4776,36.8073,178852,178852,-0.225218,-0.608,36.6802,"Aug 9, 13",0.008151258432690371
2013-08-12,36.4373,36.6947,36.4011,36.6947,93363,93363,-0.112613,-0.306,36.5482,"Aug 12, 13",0.005067146539138781
2013-08-13,36.5902,36.8958,36.4478,36.7028,147989,147989,0.008045,0.022,36.7212,"Aug 13, 13",0.005289005387609352
2013-08-14,36.8556,36.9602,36.7913,36.936,107761,107761,0.233262,0.636,36.8955,"Aug 14, 13",0.011676349025053552
2013-08-15,36.5902,37.0004,36.3408,37.0004,331555,331555,0.064347,0.174,36.5637,"Aug 15, 13",0.013440263820299723
2013-08-16,37.1371,37.3704,37.0446,37.3624,246391,246391,0.361962,0.978,37.2172,"Aug 16, 13",0.02335543704823646
2013-08-19,36.5982,36.6384,36.2523,36.3328,208896,208896,-1.0296,-2.756,36.471,"Aug 19, 13",-0.0048452876906686
2013-08-20,36.3569,36.4776,36.2604,36.4132,101541,101541,0.080434,0.221,36.4462,"Aug 20, 13",-0.002643133194739998
2013-08-21,35.8984,36.2202,35.7295,35.8743,316161,316161,-0.538919,-1.48,35.9877,"Aug 21, 13",-0.017403594113345335
2013-08-22,36.4776,36.8073,36.4695,36.8073,144754,144754,0.933056,2.601,36.6311,"Aug 22, 13",0.008151258432690371
2013-08-23,36.9119,37.5554,36.8958,37.5232,216537,216537,0.715874,1.945,37.3148,"Aug 23, 13",0.02775974604009347
2013-08-26,37.113,37.3334,36.8636,37.0889,171868,171868,-0.434352,-1.158,37.0328,"Aug 26, 13",0.0158642771646987
2013-08-27,36.9682,37.3784,36.7993,36.7993,229233,229233,-0.28957,-0.781,37.0595,"Aug 27, 13",0.00793213858234935
2013-08-28,37.7726,38.03,37.66,37.7243,281406,281406,0.925012,2.514,37.8518,"Aug 28, 13",0.03326787127804384
2013-08-29,37.2819,37.5232,36.1156,37.2578,291187,291187,-0.466526,-1.237,37.2753,"Aug 29, 13",0.020490445005026083
2013-08-30,36.9521,36.9602,36.4776,36.5821,262762,262762,-0.67566,-1.813,36.7192,"Aug 30, 13",0.0019830346455871916
2013-09-03,36.928,36.9843,36.7189,36.9039,255283,255283,0.321744,0.88,36.833,"Sep 3, 13",0.010797130625559724
2013-09-04,36.4856,36.9441,36.4373,36.8717,168087,168087,-0.032176,-0.087,36.7446,"Sep 4, 13",0.009915173227936542
2013-09-05,36.2523,36.558,36.1558,36.558,184363,184363,-0.313697,-0.851,36.3913,"Sep 5, 13",0.0013229360964345793
2013-09-06,36.7028,36.8878,36.4052,36.7108,143482,143482,0.152825,0.418,36.703,"Sep 6, 13",0.005508125237950372
2013-09-09,36.4936,36.9441,36.4132,36.9441,108772,108772,0.233261,0.635,36.7279,"Sep 9, 13",0.011898207873523928
2013-09-10,36.936,37.1613,36.6384,37.1613,156173,156173,0.217178,0.588,36.9486,"Sep 10, 13",0.01784731181028589
2013-09-11,36.8636,37.1291,36.8476,37.121,216204,216204,-0.040217,-0.108,36.9846,"Sep 11, 13",0.016743495564192527
2013-09-12,36.9602,37.2417,36.92,36.936,72530,72530,-0.185002,-0.498,37.0166,"Sep 12, 13",0.011676349025053552
2013-09-13,37.3302,37.5168,37.0708,37.3463,125270,125270,0.41022,1.111,37.3436,"Sep 13, 13",0.022914458349424866
2013-09-16,37.7726,37.8047,37.5313,37.6439,120324,120324,0.297614,0.797,37.6614,"Sep 16, 13",0.03106571678211543
2013-09-17,37.6358,37.7163,37.5071,37.6841,99058,99058,0.040218,0.107,37.6495,"Sep 17, 13",0.03216679403007964
2013-09-18,37.5876,38.8102,37.5634,38.5769,263943,263943,0.892838,2.369,38.2661,"Sep 18, 13",0.056620569328151134
2013-09-19,38.7137,38.8826,38.5126,38.8826,162305,162305,0.305652,0.792,38.6906,"Sep 19, 13",0.06499368660931189
2013-09-20,38.963,39.1561,38.77,39.0113,405456,405456,0.128699,0.331,39.034,"Sep 20, 13",0.06851877720167507
2013-09-23,38.842,38.842,38.4308,38.4554,313021,313021,-0.555838,-1.425,38.5532,"Sep 23, 13",0.053292686601094916
2013-09-24,38.2498,40.1249,38.036,38.2005,313554,313554,-0.254945,-0.663,38.3373,"Sep 24, 13",0.04631098036960029
2013-09-25,38.0525,38.5624,38.036,38.3239,112200,112200,0.12336,0.323,38.3664,"Sep 25, 13",0.04969090406111251
2013-09-26,37.9949,38.2745,37.9044,38.2745,166984,166984,-0.049346,-0.129,38.0483,"Sep 26, 13",0.048337838985255996
2013-09-27,38.2581,38.2663,37.9456,38.1512,173391,173391,-0.123359,-0.322,38.0847,"Sep 27, 13",0.04496065429187313
2013-09-30,37.5344,37.9538,37.4768,37.8551,274524,274524,-0.296064,-0.776,37.7478,"Sep 30, 13",0.03685048083112153
2013-10-01,38.0278,38.5295,37.9456,38.3156,183561,183561,0.460547,1.217,38.2862,"Oct 1, 13",0.04946356721638362
2013-10-02,38.4801,38.5624,38.3239,38.5212,266059,266059,0.205599,0.537,38.4777,"Oct 2, 13",0.05509494737015089
2013-10-03,38.365,38.3979,38.2087,38.3156,182426,182426,-0.205599,-0.534,38.2966,"Oct 3, 13",0.04946356721638362
2013-10-04,38.3814,38.513,38.3074,38.3156,84915,84915,0,0,38.3926,"Oct 4, 13",0.04946356721638362
2013-10-07,38.2498,38.4226,38.1265,38.1265,91100,91100,-0.189154,-0.494,38.2812,"Oct 7, 13",0.04428412175394478
2013-10-08,38.4554,38.5048,38.0607,38.0689,186853,186853,-0.05757,-0.151,38.273,"Oct 8, 13",0.042706458831488534
2013-10-09,38.4226,38.5377,38.1594,38.2252,419817,419817,0.156258,0.41,37.7091,"Oct 9, 13",0.046987512907528645
2013-10-10,38.7268,39.1298,38.6585,39.0229,115655,115655,0.797727,2.087,38.8846,"Oct 10, 13",0.06883650098466976
2013-10-11,38.8666,39.0229,38.7885,39.0229,205420,205420,0,0,38.9294,"Oct 11, 13",0.06883650098466976
2013-10-14,38.8502,39.2449,38.8173,39.2449,105693,105693,0.222049,0.569,39.0001,"Oct 14, 13",0.0749170768316365
2013-10-15,38.916,39.2038,38.916,38.9489,126693,126693,-0.296065,-0.754,39.1047,"Oct 15, 13",0.06680964236901425
2013-10-16,39.5657,39.9933,39.4752,39.5492,180797,180797,0.600354,1.541,39.6818,"Oct 16, 13",0.08325184813898763
2013-10-17,39.8206,40.0509,39.7219,40.0509,273521,273521,0.501664,1.268,39.8574,"Oct 17, 13",0.0969934017535065
2013-10-18,39.8864,40.092,39.7302,39.7548,237232,237232,-0.296064,-0.739,39.8401,"Oct 18, 13",0.08888322829275509
2013-10-21,39.87,40.018,39.7877,39.8289,99655,99655,0.074016,0.186,39.9228,"Oct 21, 13",0.09091282590653976
2013-10-22,40.3799,40.7417,40.3716,40.5279,203514,203514,0.69904,1.755,40.5399,"Oct 22, 13",0.1100584228300972
2013-10-23,40.0591,40.1989,39.7795,40.1989,155369,155369,-0.328958,-0.812,39.9866,"Oct 23, 13",0.10104711898481772
2013-10-24,40.2154,40.5443,40.1579,40.5279,358775,358775,0.328958,0.818,40.0516,"Oct 24, 13",0.1100584228300972
2013-10-25,40.5855,40.8486,40.3634,40.8486,170996,170996,0.320736,0.791,40.51,"Oct 25, 13",0.11884238983064761
2013-10-28,40.5608,40.643,40.3552,40.5526,113788,113788,-0.296064,-0.725,40.5276,"Oct 28, 13",0.11073495536802537
2013-10-29,40.9144,41.1036,40.7746,41.1036,133944,133944,0.551009,1.359,40.9482,"Oct 29, 13",0.1258268350602716
2013-10-30,42.0247,42.0987,41.12,41.12,325639,325639,0.016448,0.04,41.7085,"Oct 30, 13",0.12627603075347085
2013-10-31,40.8815,41.8931,40.6513,41.7779,326432,326432,0.65792,1.6,41.2407,"Oct 31, 13",0.14429589944590068
2013-11-01,41.2845,41.3174,40.6677,40.7828,377167,377167,-0.995105,-2.382,40.8123,"Nov 1, 13",0.11704012906159184
2013-11-04,40.9309,41.4325,40.9226,41.4325,265718,265718,0.649697,1.593,41.0538,"Nov 4, 13",0.13483539990742172
2013-11-05,40.6184,40.791,40.4539,40.6513,146691,146691,-0.781282,-1.886,40.6061,"Nov 5, 13",0.11343834652160924
2013-11-06,40.6841,40.9473,40.5937,40.6595,100219,100219,0.008224,0.02,40.7332,"Nov 6, 13",0.11366294436820897
2013-11-07,40.2072,40.2154,39.4917,39.4917,234830,234830,-1.1678,-2.872,39.7496,"Nov 7, 13",0.08167692421466073
2013-11-08,39.2778,39.7631,39.2285,39.7548,167581,167581,0.263168,0.666,39.5394,"Nov 8, 13",0.08888322829275509
2013-11-11,39.7302,39.8042,39.5986,39.6644,183983,183983,-0.090464,-0.228,39.7008,"Nov 11, 13",0.08640717398390012
2013-11-12,39.7384,39.8453,39.2778,39.4588,1006972,1006972,-0.2056,-0.518,39.6175,"Nov 12, 13",0.08077579383013266
2013-11-13,39.3848,39.7795,39.2367,39.7795,188101,188101,0.320737,0.813,39.4197,"Nov 13, 13",0.08955976083068325
2013-11-14,39.467,39.8453,39.3971,39.8042,84674,84674,0.024671,0.062,39.6589,"Nov 14, 13",0.09023629336861161
2013-11-15,39.9522,40.2318,39.87,40.2318,152495,152495,0.427651,1.074,39.9906,"Nov 15, 13",0.1019482493693456
2013-11-18,40.8733,41.0131,40.495,40.643,137245,137245,0.411195,1.022,40.7457,"Nov 18, 13",0.11321100967688034
2013-11-19,40.2236,40.347,39.9275,40.1085,220613,220613,-0.534558,-1.315,40.2183,"Nov 19, 13",0.09857106467596274
2013-11-20,40.2401,40.2729,39.7219,39.7631,99713,99713,-0.345408,-0.861,40.013,"Nov 20, 13",0.08911056513748399
2013-11-21,39.8206,39.9144,39.5904,39.8206,92237,92237,0.057566,0.145,39.773,"Nov 21, 13",0.09068548906181087
2013-11-22,40.0509,40.166,39.9193,40.0262,137162,137162,0.205603,0.516,40.0457,"Nov 22, 13",0.09631686921557833
2013-11-25,39.7795,39.7945,39.4752,39.7877,74880,74880,-0.238496,-0.596,39.6647,"Nov 25, 13",0.08978435867728299
2013-11-26,39.7055,39.7877,39.4752,39.541,97507,97507,-0.24672,-0.62,39.5661,"Nov 26, 13",0.0830272502923879
2013-11-27,39.7631,39.7877,39.4999,39.7877,69007,69007,0.24672,0.624,39.6395,"Nov 27, 13",0.08978435867728299
2013-11-29,39.944,39.9687,39.3601,39.3601,208653,208653,-0.427649,-1.075,39.7821,"Nov 29, 13",0.07807240267654898
2013-12-02,39.1051,39.3353,39.0229,39.0805,182848,182848,-0.279618,-0.71,39.3145,"Dec 2, 13",0.070414163907126
2013-12-03,38.7515,38.8337,38.4801,38.7433,228034,228034,-0.337182,-0.863,38.6701,"Dec 3, 13",0.06117826221524678
2013-12-04,38.036,38.5541,37.9949,38.2992,213109,213109,-0.444098,-1.146,38.219,"Dec 4, 13",0.04901437152318416
2013-12-05,38.291,38.5377,37.9291,38.0278,250909,250909,-0.27139,-0.709,38.1152,"Dec 5, 13",0.04158073060036091
2013-12-06,38.2498,38.513,38.0936,38.4637,156407,156407,0.435873,1.146,38.3341,"Dec 6, 13",0.053520023445824
2013-12-09,38.6528,38.7186,38.4883,38.7186,140736,140736,0.254943,0.663,38.5782,"Dec 9, 13",0.06050172967731862
2013-12-10,38.4554,38.5953,38.3732,38.4883,237136,237136,-0.230272,-0.595,38.5429,"Dec 10, 13",0.054193816985623
2013-12-11,37.7893,37.7893,37.3452,37.3452,280514,280514,-1.1431,-2.97,37.5732,"Dec 11, 13",0.022884329370002933
2013-12-12,37.3945,37.4028,36.9093,36.9751,327295,327295,-0.370082,-0.991,37.0488,"Dec 12, 13",0.01274729729359582
2013-12-13,37.0656,37.0985,36.7777,36.9422,174427,174427,-0.032893,-0.089,36.9346,"Dec 13, 13",0.01184616690906793
2013-12-16,37.4357,37.6906,37.263,37.3699,137960,137960,0.427647,1.158,37.4624,"Dec 16, 13",0.023560861907931288
2013-12-17,37.4521,37.4521,36.9669,37.1972,130139,130139,-0.172705,-0.462,37.1918,"Dec 17, 13",0.01883061213869191
2013-12-18,37.2959,37.7975,37.0903,37.5673,141553,141553,0.370082,0.995,37.4047,"Dec 18, 13",0.02896764421509902
2013-12-19,37.633,38.0525,37.5919,38.036,102884,102884,0.468766,1.248,37.8603,"Dec 19, 13",0.041805328446960645
