date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,22.1508,22.2855,22.0245,22.1845,5380615,5380615,0.071549,0.324,22.1666,"Aug 5, 13",0
2013-08-06,22.1845,22.639,22.0708,22.6011,10340994,10340994,0.41667,1.878,22.4264,"Aug 6, 13",0.01877887714395181
2013-08-07,22.4875,22.6769,22.2981,22.3107,7060408,7060408,-0.290406,-1.285,22.4043,"Aug 7, 13",0.005688656494399277
2013-08-08,22.5296,22.6138,22.2405,22.5464,5634604,5634604,0.235691,1.056,22.49,"Aug 8, 13",0.016313191642813613
2013-08-09,22.5338,22.6348,22.2939,22.4454,6381518,6381518,-0.10101,-0.448,22.4284,"Aug 9, 13",0.011760463386598728
2013-08-12,22.2013,22.5001,22.1045,22.4244,4712378,4712378,-0.021044,-0.094,22.3721,"Aug 12, 13",0.010813856521445094
2013-08-13,22.618,22.9294,22.5212,22.7779,9442158,9442158,0.353537,1.577,22.8047,"Aug 13, 13",0.026748405418197348
2013-08-14,22.7863,22.9463,22.7232,22.8242,6767394,6767394,0.046297,0.203,22.8425,"Aug 14, 13",0.02883544817327419
2013-08-15,22.4707,22.5001,21.751,22.3823,15264763,15264763,-0.441922,-1.936,22.1411,"Aug 15, 13",0.00891613513939917
2013-08-16,22.3444,22.5738,22.1761,22.2729,7531418,7531418,-0.109428,-0.489,22.3623,"Aug 16, 13",0.003984764137122767
2013-08-19,22.1971,22.4244,21.9025,21.9151,6643580,6643580,-0.357747,-1.606,22.1483,"Aug 19, 13",-0.01214361378439906
2013-08-20,22.0119,22.1487,21.791,21.8814,9378923,9378923,-0.03367,-0.154,21.9748,"Aug 20, 13",-0.013662692420383628
2013-08-21,21.7741,21.8309,21.3859,21.4479,12848703,12848703,-0.433504,-1.981,21.5729,"Aug 21, 13",-0.03320336270819713
2013-08-22,21.549,21.727,21.4689,21.4984,7477649,7477649,0.050505,0.235,21.5923,"Aug 22, 13",-0.03092699858008969
2013-08-23,21.5587,21.7594,21.5237,21.7383,7025148,7025148,0.239901,1.116,21.6626,"Aug 23, 13",-0.020113142058644597
2013-08-26,21.7468,21.9425,21.5532,21.8688,8070708,8070708,0.130472,0.6,21.8246,"Aug 26, 13",-0.014230656539475745
2013-08-27,21.5658,21.671,21.2207,21.3006,10340794,10340794,-0.568185,-2.598,21.3994,"Aug 27, 13",-0.03984313371948886
2013-08-28,21.3596,21.469,21.2207,21.2249,8135985,8135985,-0.075758,-0.356,21.3452,"Aug 28, 13",-0.043255426085780535
2013-08-29,21.1365,21.6668,21.1281,21.4606,7109171,7109171,0.235691,1.11,21.5047,"Aug 29, 13",-0.0326308909373662
2013-08-30,21.5027,21.5069,20.884,21.0397,11121725,11121725,-0.420878,-1.961,21.1024,"Aug 30, 13",-0.051603597106087584
2013-09-03,21.288,21.5006,21.0755,21.1786,8138203,8138203,0.13889,0.66,21.2647,"Sep 3, 13",-0.045342468840857374
2013-09-04,21.3596,21.7383,21.2165,21.6542,9500564,9500564,0.475592,2.246,21.6438,"Sep 4, 13",-0.023904077170997788
2013-09-05,21.6668,21.9825,21.5868,21.8646,6752734,6752734,0.210439,0.972,21.8867,"Sep 5, 13",-0.014419977912506503
2013-09-06,22.1087,22.4075,22.0035,22.235,12072213,12072213,0.370373,1.694,22.2428,"Sep 6, 13",0.002276364128107442
2013-09-09,22.2139,22.4286,21.9277,22.1676,8990614,8990614,-0.067341,-0.303,22.124,"Sep 9, 13",-0.0007617931438616914
2013-09-10,22.3276,22.5338,22.2897,22.5128,8747139,8747139,0.34512,1.557,22.4488,"Sep 10, 13",0.01479862065856786
2013-09-11,22.3065,22.9252,22.3065,22.8453,10001832,10001832,0.332494,1.477,22.7997,"Sep 11, 13",0.02978656269016664
2013-09-12,22.921,22.9841,22.517,22.7421,7936698,7936698,-0.103115,-0.451,22.726,"Sep 12, 13",0.02513466609569748
2013-09-13,22.8074,22.82,22.4762,22.6517,5218729,5218729,-0.090489,-0.398,22.6452,"Sep 13, 13",0.02105974892379823
2013-09-16,22.9294,23.001,22.4917,22.5801,6995520,6995520,-0.071549,-0.316,22.6859,"Sep 16, 13",0.01783227027879834
2013-09-17,22.7106,23.1778,22.6685,22.9926,10349334,10349334,0.41246,1.827,23.0301,"Sep 17, 13",0.03642633370145821
2013-09-18,22.8579,23.0431,22.6264,23.0136,10318420,10318420,0.021044,0.092,22.8239,"Sep 18, 13",0.03737294056661184
2013-09-19,23.1399,23.1904,22.7842,22.9168,6311257,6311257,-0.096802,-0.421,22.9306,"Sep 19, 13",0.03300953368342756
2013-09-20,22.9799,23.2535,22.9547,23.1272,11465844,11465844,0.210439,0.918,23.133,"Sep 20, 13",0.042493632941918845
2013-09-23,23.1525,23.2746,22.8459,23.0473,7240287,7240287,-0.079967,-0.346,23.0392,"Sep 23, 13",0.038892019202596405
2013-09-24,23.1483,23.3461,22.9968,23.2198,6587261,6587261,0.17256,0.749,23.2227,"Sep 24, 13",0.04666771845207237
2013-09-25,23.1567,23.224,22.7337,22.8158,7504214,7504214,-0.404043,-1.74,22.8833,"Sep 25, 13",0.028456805427212673
2013-09-26,22.9926,23.948,22.9252,23.8385,13903871,13903871,1.0227,4.483,23.6652,"Sep 26, 13",0.07455655976019293
2013-09-27,23.6113,23.6954,23.4303,23.4766,7229460,7229460,-0.361955,-1.518,23.5358,"Sep 27, 13",0.05824336811737931
2013-09-30,23.2619,23.5986,23.1483,23.4829,8075033,8075033,0.006313,0.027,23.524,"Sep 30, 13",0.05852735017692537
2013-10-01,23.4219,23.6744,23.3966,23.5565,5801712,5801712,0.073654,0.314,23.5406,"Oct 1, 13",0.061844981856701745
2013-10-02,23.3882,23.4513,23.1946,23.4134,6322889,6322889,-0.143099,-0.607,23.3746,"Oct 2, 13",0.055394532218440776
2013-10-03,23.3587,23.4724,22.9336,23.1104,6698629,6698629,-0.303032,-1.294,23.1563,"Oct 3, 13",0.041736347449795964
2013-10-04,23.1735,23.485,23.0725,23.3924,5869147,5869147,0.281988,1.22,23.3743,"Oct 4, 13",0.054447925353287144
2013-10-07,23.1062,23.3293,22.9463,22.9673,5321176,5321176,-0.425087,-1.817,23.1155,"Oct 7, 13",0.035285897811535155
2013-10-08,22.9442,22.9799,22.1508,22.2939,9257330,9257330,-0.673404,-2.932,22.4382,"Oct 8, 13",0.004931371002276402
2013-10-09,22.3612,22.4033,21.9256,22.0245,9095933,9095933,-0.269362,-1.208,22.0577,"Oct 9, 13",-0.00721224278212266
2013-10-10,22.256,22.538,22.1298,22.4833,8850739,8850739,0.458757,2.083,22.4304,"Oct 10, 13",0.013468863395614053
2013-10-11,22.538,23.0599,22.5128,22.8831,8762457,8762457,0.399834,1.778,22.8823,"Oct 11, 13",0.03149045504744299
2013-10-14,22.7737,23.0557,22.6685,23.0515,6031497,6031497,0.168351,0.736,22.9155,"Oct 14, 13",0.03908134057562717
2013-10-15,22.9757,23.0641,22.6517,22.7148,8921700,8921700,-0.336702,-1.461,22.7807,"Oct 15, 13",0.023904077170997788
2013-10-16,22.9126,22.9126,22.3739,22.5254,19320622,19320622,-0.189395,-0.834,22.4297,"Oct 16, 13",0.015366584777660137
2013-10-17,21.1828,21.8309,21.1407,21.6247,34376189,34376189,-0.900679,-3.999,21.5811,"Oct 17, 13",-0.025233834433951597
2013-10-18,21.7089,22.1719,21.2375,21.9698,30624874,30624874,0.34512,1.596,21.7107,"Oct 18, 13",-0.00967792828326086
2013-10-21,22.0666,22.134,21.7173,21.8604,14252661,14252661,-0.109429,-0.498,21.8771,"Oct 21, 13",-0.014609299285537261
2013-10-22,22.0161,22.0372,21.7047,21.8141,11155104,11155104,-0.046296,-0.212,21.8626,"Oct 22, 13",-0.016696342040613946
2013-10-23,21.7804,22.0035,21.7047,21.7724,8359574,8359574,-0.041667,-0.191,21.8362,"Oct 23, 13",-0.018576032815704604
2013-10-24,21.9151,22.1003,21.8225,22.0288,9700225,9700225,0.256315,1.177,21.985,"Oct 24, 13",-0.007018413757353085
2013-10-25,22.134,22.2729,21.4858,21.732,15838077,15838077,-0.296719,-1.347,21.7539,"Oct 25, 13",-0.020397124118190654
2013-10-28,21.8015,22.0035,21.6584,21.873,8551595,8551595,0.140994,0.649,21.8409,"Oct 28, 13",-0.014041335166444985
2013-10-29,22.0077,22.4623,21.9193,22.4496,12253291,12253291,0.576603,2.636,22.2777,"Oct 29, 13",0.011949784759629486
2013-10-30,22.5212,22.5212,22.1027,22.1908,8700053,8700053,-0.25884,-1.153,22.2725,"Oct 30, 13",0.0002839820595460582
2013-10-31,22.1929,22.2771,21.9909,22.1845,9047478,9047478,-0.006314,-0.028,22.9772,"Oct 31, 13",0
2013-11-01,22.2813,22.3023,21.8225,21.8604,12346728,12346728,-0.324076,-1.461,21.978,"Nov 1, 13",-0.014609299285537261
2013-11-04,21.8814,22.0035,21.5953,21.6205,8835564,8835564,-0.2399,-1.097,21.7087,"Nov 4, 13",-0.025423155806982355
2013-11-05,21.5784,21.6079,21.2628,21.4984,11341673,11341673,-0.122055,-0.565,21.4581,"Nov 5, 13",-0.03092699858008969
2013-11-06,21.7047,22.6517,21.5153,22.4244,25126766,25126766,0.925932,4.307,22.2739,"Nov 6, 13",0.010813856521445094
2013-11-07,22.517,22.6643,22.0161,22.1256,9687193,9687193,-0.298824,-1.333,22.2451,"Nov 7, 13",-0.0026550068741689596
2013-11-08,22.2392,22.3777,22.0835,22.3065,9804309,9804309,0.180978,0.818,22.2608,"Nov 8, 13",0.005499335121368518
2013-11-11,22.1508,22.3402,22.0961,22.2308,6898854,6898854,-0.075758,-0.34,22.2747,"Nov 11, 13",0.002087042755076683
2013-11-12,21.9067,22.3907,21.8688,22.235,10741792,10741792,0.004209,0.019,22.2177,"Nov 12, 13",0.002276364128107442
2013-11-13,22.1382,22.3234,22.0835,22.3192,7658912,7658912,0.084175,0.379,22.2243,"Nov 13, 13",0.0060718068921994505
2013-11-14,22.3486,22.5086,22.1719,22.256,10519427,10519427,-0.063131,-0.283,22.3231,"Nov 14, 13",0.003222970993261076
2013-11-15,22.315,22.357,22.0203,22.1382,10588533,10588533,-0.117846,-0.53,22.1678,"Nov 15, 13",-0.002087042755076683
2013-11-18,22.0245,22.1761,21.772,21.9193,12753940,12753940,-0.218857,-0.989,21.9599,"Nov 18, 13",-0.011954292411368302
2013-11-19,22.0666,22.0961,21.8604,21.9404,10263297,10263297,0.021044,0.096,21.967,"Nov 19, 13",-0.011003177894475852
2013-11-20,22.0877,22.0961,20.985,21.208,34262761,34262761,-0.732328,-3.338,21.3602,"Nov 20, 13",-0.044017219229642385
2013-11-21,21.368,21.3806,21.0144,21.1323,17609612,17609612,-0.075758,-0.357,21.1812,"Nov 21, 13",-0.04742951159593406
2013-11-22,21.1575,21.2628,21.1197,21.1828,13722817,13722817,0.050506,0.239,21.183,"Nov 22, 13",-0.045153147467826615
2013-11-25,21.3469,21.3554,20.4,20.6399,34904347,34904347,-0.542933,-2.563,20.6681,"Nov 25, 13",-0.06962518875791653
2013-11-26,20.7325,20.7367,20.2274,20.522,23429501,23429501,-0.117846,-0.571,20.4802,"Nov 26, 13",-0.07493971015799326
2013-11-27,20.7451,20.9829,20.6862,20.7493,12640187,12640187,0.227274,1.107,20.8199,"Nov 27, 13",-0.06469381775564012
2013-11-29,20.9471,21.3596,20.9218,21.2628,9636624,9636624,0.513472,2.475,21.2326,"Nov 29, 13",-0.041547026076765366
2013-12-02,21.974,22.3402,21.562,21.6121,24811361,24811361,0.349328,1.643,21.913,"Dec 2, 13",-0.025801798553043712
2013-12-03,21.8225,21.9804,21.5801,21.8562,14471956,14471956,0.24411,1.13,21.978,"Dec 3, 13",-0.01479862065856786
2013-12-04,21.5868,21.6921,21.2585,21.5027,15465897,15465897,-0.353538,-1.618,21.5221,"Dec 4, 13",-0.030733169555320114
2013-12-05,21.4984,21.7383,21.3932,21.6373,9928610,9928610,0.134681,0.626,21.6177,"Dec 5, 13",-0.02466587031485948
2013-12-06,21.7678,22.0582,21.7594,21.8899,9431508,9431508,0.252527,1.167,21.9367,"Dec 6, 13",-0.013279542022583295
2013-12-09,21.8857,21.9909,21.7005,21.7552,7912227,7912227,-0.134681,-0.615,21.9139,"Dec 9, 13",-0.019351348914782903
2013-12-10,21.7299,22.0119,21.7257,21.852,9549725,9549725,0.096802,0.445,21.8702,"Dec 10, 13",-0.01498794203159862
2013-12-11,21.8309,21.9151,21.5953,21.6205,8226524,8226524,-0.231483,-1.059,21.7639,"Dec 11, 13",-0.025423155806982355
2013-12-12,21.5658,21.8688,21.5447,21.6205,8126790,8126790,0,0,21.7059,"Dec 12, 13",-0.025423155806982355
2013-12-13,21.7383,21.9572,21.6415,21.6963,7322474,7322474,0.075758,0.35,21.8167,"Dec 13, 13",-0.022006355788951704
2013-12-16,21.9867,22.4307,21.8899,22.3528,13067781,13067781,0.65657,3.026,22.2501,"Dec 16, 13",0.007586377876445201
2013-12-17,21.9404,22.4075,21.8857,22.1298,15204229,15204229,-0.223066,-0.998,22.2069,"Dec 17, 13",-0.002465685501138201
2013-12-18,22.2392,22.3823,21.7005,22.3612,13210341,13210341,0.231483,1.046,22.0829,"Dec 18, 13",0.00796502062250672
2013-12-19,22.357,22.4875,22.0666,22.4749,10221373,10221373,0.113637,0.508,22.3012,"Dec 19, 13",0.013090220649552696
2013-12-20,22.4833,23.0641,22.4623,22.9715,17229822,17229822,0.496636,2.21,22.8447,"Dec 20, 13",0.035475219184565754
2013-12-23,23.022,23.283,22.9799,23.2746,13508205,13508205,0.303032,1.319,23.1676,"Dec 23, 13",0.04913791160494938
2013-12-24,23.0389,23.2451,23.0389,23.2198,5520026,5520026,-0.054714,-0.235,23.1698,"Dec 24, 13",0.04666771845207237
2013-12-26,23.0641,23.0683,22.6054,22.7527,10292182,10292182,-0.467174,-2.012,22.7726,"Dec 26, 13",0.025612477180013114
2013-12-27,22.7316,22.9294,22.618,22.8032,6623438,6623438,0.050505,0.222,22.8217,"Dec 27, 13",0.027888841308120554
2013-12-30,22.9168,22.9336,22.6517,22.7316,6119174,6119174,-0.071549,-0.314,22.7393,"Dec 30, 13",0.024661362663120665
2013-12-31,22.7485,23.1357,22.7232,23.0915,6365881,6365881,0.35985,1.583,22.9996,"Dec 31, 13",0.04088440127115779
2014-01-02,23.1357,23.1483,22.6853,22.7022,9980763,9980763,-0.389312,-1.686,22.6479,"Jan 2, 14",0.023336113051905673
2014-01-03,22.7653,22.8074,22.3865,22.416,9591227,9591227,-0.286197,-1.261,22.5013,"Jan 3, 14",0.010435213775383735
2014-01-06,22.054,22.0793,21.5532,21.7931,17918646,17918646,-0.622899,-2.779,21.7708,"Jan 6, 14",-0.017642948905767578
2014-01-07,22.0498,22.3192,21.8772,22.2518,14088474,14088474,0.458757,2.105,22.4695,"Jan 7, 14",0.003033649620230317
2014-01-08,22.2897,22.5675,21.9572,22.0414,13034826,13034826,-0.210439,-0.946,22.2742,"Jan 8, 14",-0.006450449638260968
2014-01-09,22.2013,22.2266,21.8141,21.9151,10529090,10529090,-0.126264,-0.573,21.9453,"Jan 9, 14",-0.01214361378439906
2014-01-10,21.8436,21.9698,21.5111,21.953,20052920,20052920,0.037879,0.173,21.7125,"Jan 10, 14",-0.010435213775383735
2014-01-13,21.9362,22.2687,21.7973,22.1129,19062464,19062464,0.159934,0.729,21.9697,"Jan 13, 14",-0.0032274786449998922
