date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,27.7958,28.6638,27.6573,28.1282,56565,56565,0.212395,0.761,28.2125,"Aug 5, 13",0
2013-08-06,28.0359,28.4163,27.9343,28.0913,36288,36288,-0.036939,-0.131,28.1391,"Aug 6, 13",-0.0013118507405379394
2013-08-07,27.9251,28.2206,27.6388,28.0266,27581,27581,-0.064644,-0.23,27.9733,"Aug 7, 13",-0.00361203347530241
2013-08-08,28.2206,28.396,27.7773,27.9528,31527,31527,-0.073875,-0.264,28.0185,"Aug 8, 13",-0.006235734956378289
2013-08-09,27.962,28.5715,27.7127,28.1559,43167,43167,0.203159,0.727,28.2954,"Aug 9, 13",0.0009847768431680446
2013-08-12,28.0636,28.0636,27.528,27.7311,44436,44436,-0.424788,-1.509,27.7532,"Aug 12, 13",-0.014117504852781132
2013-08-13,27.8235,27.8872,27.251,27.7681,20973,20973,0.03694,0.133,27.4982,"Aug 13, 13",-0.012802098961184833
2013-08-14,27.685,27.8512,27.2694,27.3618,22819,22819,-0.406318,-1.463,27.4269,"Aug 14, 13",-0.027246677711335987
2013-08-15,27.2417,27.287,26.503,26.7523,64418,64418,-0.609474,-2.227,26.8566,"Aug 15, 13",-0.048915323412091705
2013-08-16,26.6045,27.094,26.5408,26.7708,54352,54352,0.018468,0.069,26.7995,"Aug 16, 13",-0.04825762046629355
2013-08-19,26.7985,27.2694,26.623,26.937,57271,57271,0.166221,0.621,26.9741,"Aug 19, 13",-0.04234895940728516
2013-08-20,26.8908,27.6573,26.8908,27.4264,51542,51542,0.489427,1.817,27.3664,"Aug 20, 13",-0.024950050127629877
2013-08-21,27.3156,27.5188,26.9554,27.0755,38847,38847,-0.350911,-1.279,27.1854,"Aug 21, 13",-0.037425075191444813
2013-08-22,27.2417,27.4079,27.1124,27.3987,24678,24678,0.323206,1.194,27.3477,"Aug 22, 13",-0.02593482697079792
2013-08-23,27.3987,27.5926,27.2141,27.3618,42373,42373,-0.036937,-0.135,27.4146,"Aug 23, 13",-0.027246677711335987
2013-08-26,27.3987,27.5095,27.1864,27.3064,49935,49935,-0.055406,-0.202,27.3841,"Aug 26, 13",-0.029216231397672075
2013-08-27,27.057,27.3987,26.4937,26.5399,34064,34064,-0.766465,-2.807,26.8414,"Aug 27, 13",-0.05646646426006642
2013-08-28,26.4106,26.9047,26.189,26.5584,36382,36382,0.018475,0.07,26.553,"Aug 28, 13",-0.05580876131426827
2013-08-29,26.4383,26.6688,26.3737,26.4753,53579,53579,-0.083112,-0.313,26.5069,"Aug 29, 13",-0.0587630918437724
2013-08-30,26.4106,26.5491,25.7365,25.9397,64813,64813,-0.5356,-2.023,25.9913,"Aug 30, 13",-0.07780448091239402
2013-09-03,26.3275,26.4937,25.9581,26.1705,79379,79379,0.23086,0.89,26.204,"Sep 3, 13",-0.0695991922696795
2013-09-04,26.1428,26.1982,25.9951,26.0505,57207,57207,-0.120046,-0.459,26.0766,"Sep 4, 13",-0.07386537353972171
2013-09-05,26.0782,26.152,25.9397,26.0782,51571,51571,0.027703,0.106,26.0537,"Sep 5, 13",-0.07288059669655367
2013-09-06,26.2352,26.2352,25.7642,25.8288,41808,41808,-0.249331,-0.956,25.9136,"Sep 6, 13",-0.08174714343612455
2013-09-09,25.8565,25.9674,25.8105,25.875,64067,64067,0.046171,0.179,25.882,"Sep 9, 13",-0.08010466364715836
2013-09-10,26.032,26.0412,25.8196,25.9951,50476,50476,0.120049,0.464,25.9477,"Sep 10, 13",-0.0758349272260578
2013-09-11,25.8658,25.8935,25.2378,25.8842,83101,83101,-0.110815,-0.426,25.6643,"Sep 11, 13",-0.07977758974978846
2013-09-12,25.7734,26.2444,25.5795,26.2259,61942,61942,0.341676,1.32,25.9476,"Sep 12, 13",-0.06762963858334342
2013-09-13,26.2813,26.7523,26.2813,26.5584,32581,32581,0.332445,1.268,26.537,"Sep 13, 13",-0.05580876131426827
2013-09-16,26.7892,27.2325,26.7892,27.094,63539,63539,0.535595,2.017,27.0237,"Sep 16, 13",-0.03676737224564666
2013-09-17,27.1494,27.3341,26.9554,27.2971,43907,43907,0.20316,0.75,27.1645,"Sep 17, 13",-0.029546860446100328
2013-09-18,27.2971,27.8972,26.9924,27.7865,55621,55621,0.489427,1.793,27.5155,"Sep 18, 13",-0.012147951166445042
2013-09-19,27.7311,27.8789,26.8631,27.0293,46820,46820,-0.757226,-2.725,27.2161,"Sep 19, 13",-0.03906755498041113
