date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,10.7419,10.7419,10.5355,10.616,46737,46737,-0.090651,-0.847,10.6506,"Aug 5, 13",0
2013-08-06,10.5858,10.6109,10.4196,10.5767,46159,46159,-0.039279,-0.37,10.5597,"Aug 6, 13",-0.0037019593067067636
2013-08-07,10.4397,10.5203,10.3811,10.485,66602,66602,-0.091658,-0.867,10.4488,"Aug 7, 13",-0.012339864355689546
2013-08-08,10.5707,10.5707,10.3642,10.4145,85154,85154,-0.070504,-0.672,10.4422,"Aug 8, 13",-0.018980783722682682
2013-08-09,10.4145,10.4145,10.3088,10.3491,52978,52978,-0.065469,-0.629,10.3606,"Aug 9, 13",-0.025141296156744507
2013-08-12,10.3843,10.4246,10.2735,10.3843,67554,67554,0.035251,0.341,10.3594,"Aug 12, 13",-0.021825546345139415
2013-08-13,10.3743,10.4397,10.3239,10.4397,52475,52475,0.055398,0.533,10.3853,"Aug 13, 13",-0.01660700828937448
2013-08-14,10.4246,10.6714,10.4246,10.6311,88221,88221,0.191369,1.833,10.5711,"Aug 14, 13",0.0014223813112283661
2013-08-15,10.6057,10.6727,10.4787,10.5193,49808,49808,-0.111744,-1.051,10.5426,"Aug 15, 13",-0.009108892238131145
2013-08-16,10.5854,10.6971,10.306,10.3703,43751,43751,-0.149077,-1.417,10.4897,"Aug 16, 13",-0.023144310474755028
2013-08-19,10.3314,10.3358,10.1943,10.306,140603,140603,-0.064255,-0.62,10.3051,"Aug 19, 13",-0.029201205727204266
2013-08-20,10.3009,10.4838,10.2603,10.3822,72183,72183,0.076191,0.739,10.3942,"Aug 20, 13",-0.022023360964581806
2013-08-21,10.3974,10.5549,10.2857,10.4178,78909,78909,0.035557,0.342,10.4104,"Aug 21, 13",-0.018669932177844756
2013-08-22,10.4635,10.5143,10.3111,10.3873,61505,61505,-0.030475,-0.293,10.3882,"Aug 22, 13",-0.02154295403165033
2013-08-23,10.3822,10.4127,10.2095,10.3111,90759,90759,-0.076195,-0.734,10.2997,"Aug 23, 13",-0.028720798794272792
2013-08-26,10.2705,10.3111,10.1587,10.1689,78404,78404,-0.142219,-1.379,10.1849,"Aug 26, 13",-0.042115674453654765
2013-08-27,10.1079,10.113,9.9047,10.0063,191409,191409,-0.162541,-1.598,10.0069,"Aug 27, 13",-0.057432177844762636
2013-08-28,10.0317,10.2349,10.0063,10.0927,79655,79655,0.086349,0.863,10.1083,"Aug 28, 13",-0.049293519216277226
2013-08-29,10.1282,10.1684,9.9809,10.0114,51393,51393,-0.081271,-0.805,10.06,"Aug 29, 13",-0.05695177091183116
2013-08-30,10.0521,10.1435,10.047,10.0724,30893,30893,0.060953,0.609,10.0738,"Aug 30, 13",-0.051205727204220015
2013-09-03,10.0927,10.1689,9.9997,10.0114,43142,43142,-0.060953,-0.605,10.0849,"Sep 3, 13",-0.05695177091183116
2013-09-04,9.9962,10.0434,9.9098,9.986,55779,55779,-0.025393,-0.254,9.9705,"Sep 4, 13",-0.05934438583270526
2013-09-05,9.9809,9.9961,9.8946,9.9301,66344,66344,-0.055874,-0.56,9.9354,"Sep 5, 13",-0.0646100226073851
2013-09-06,9.9403,9.9962,9.9047,9.9301,56133,56133,0,0,9.9395,"Sep 6, 13",-0.0646100226073851
2013-09-09,10.0618,10.1541,10.0208,10.0875,68762,68762,0.157322,1.584,10.089,"Sep 9, 13",-0.049783345892991646
2013-09-10,10.1028,10.1951,10.0823,10.1541,49447,49447,0.066634,0.661,10.1225,"Sep 10, 13",-0.04350979653353429
2013-09-11,10.2002,10.2105,10.1285,10.1951,38960,38960,0.041006,0.404,10.1836,"Sep 11, 13",-0.03964770158251692
2013-09-12,10.1285,10.1695,10.026,10.026,59600,59600,-0.169147,-1.659,10.1003,"Sep 12, 13",-0.0555764883195177
2013-09-13,10.0413,10.0977,9.9645,10.067,86301,86301,0.041002,0.409,10.0248,"Sep 13, 13",-0.05171439336850033
2013-09-16,10.1336,10.1895,10.0424,10.0516,144085,144085,-0.015377,-0.153,10.1041,"Sep 16, 13",-0.05316503391107754
2013-09-17,10.0875,10.1592,9.9747,10.067,97047,97047,0.015377,0.153,10.06,"Sep 17, 13",-0.05171439336850033
2013-09-18,10.0823,10.477,9.9696,10.4514,173198,173198,0.384433,3.819,10.1893,"Sep 18, 13",-0.015504898266767151
2013-09-19,10.4924,10.5129,10.3694,10.5027,52657,52657,0.051255,0.49,10.453,"Sep 19, 13",-0.010672569706103885
2013-09-20,10.4206,10.4657,10.3335,10.4104,45794,45794,-0.092263,-0.878,10.3823,"Sep 20, 13",-0.01936699321778452
2013-09-23,10.4411,10.4551,10.2566,10.3079,80478,80478,-0.102513,-0.985,10.3868,"Sep 23, 13",-0.02902223059532777
2013-09-24,10.2515,10.3284,10.2054,10.2874,156270,156270,-0.020503,-0.199,10.2674,"Sep 24, 13",-0.030953278070836452
2013-09-25,10.2515,10.2976,10.2002,10.272,80047,80047,-0.01538,-0.15,10.2579,"Sep 25, 13",-0.032403918613413664
