date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2016-02-03,18,18.88,16,18.2,4157947,4157947,18.2,0,17.2397,"Feb 3, 16",0
2016-02-04,18.26,19.42,17.5725,18.5,469941,469941,0.3,1.648,18.2911,"Feb 4, 16",0.016483516483516522
2016-02-05,18.84,18.88,17.52,17.6,220160,220160,-0.9,-4.865,17.9473,"Feb 5, 16",-0.03296703296703285
2016-02-08,17.52,18,15.72,15.85,372112,372112,-1.75,-9.943,16.5017,"Feb 8, 16",-0.1291208791208791
2016-02-09,15.5,15.5,12.7482,12.81,744115,744115,-3.04,-19.18,14.0422,"Feb 9, 16",-0.2961538461538461
2016-02-10,13.01,14,12.79,13.09,260763,260763,0.28,2.186,13.2067,"Feb 10, 16",-0.28076923076923077
2016-02-11,12.97,16.9,12.57,15.77,258889,258889,2.68,20.474,14.69,"Feb 11, 16",-0.13351648351648351
2016-02-12,16,17.44,15.0501,15.4,216331,216331,-0.37,-2.346,15.8654,"Feb 12, 16",-0.1538461538461538
2016-02-16,15.85,16.2048,15.73,15.94,142544,142544,0.54,3.506,15.9742,"Feb 16, 16",-0.12417582417582416
2016-02-17,16.74,17.16,15.9613,16.7,245695,245695,0.76,4.768,16.6533,"Feb 17, 16",-0.08241758241758242
2016-02-18,17.15,17.39,16.2,16.75,129909,129909,0.05,0.299,16.7948,"Feb 18, 16",-0.07967032967032964
2016-02-19,16.86,19.98,16.66,18.48,345704,345704,1.73,10.328,18.7571,"Feb 19, 16",0.015384615384615448
2016-02-22,19.6,21.9,19.1,21.62,416964,416964,3.14,16.991,20.6283,"Feb 22, 16",0.18791208791208802
2016-02-23,21.3,23.48,21.26,22.62,411844,411844,1,4.625,22.2459,"Feb 23, 16",0.24285714285714297
2016-02-24,22.9,24.5599,22,23.22,498975,498975,0.6,2.653,23.1394,"Feb 24, 16",0.2758241758241758
2016-02-25,22.84,24.2799,22.8,23.95,325894,325894,0.73,3.144,23.5355,"Feb 25, 16",0.3159340659340659
2016-02-26,25.36,29.4,24.32,27.49,583111,583111,3.54,14.781,27.0558,"Feb 26, 16",0.5104395604395604
2016-02-29,28,30.12,27.4396,28.95,618699,618699,1.46,5.311,28.9194,"Feb 29, 16",0.5906593406593407
2016-03-01,29.47,29.8,26.69,28.96,532765,532765,0.01,0.035,27.9075,"Mar 1, 16",0.5912087912087913
2016-03-02,29,31.9,28.05,31.9,394342,394342,2.94,10.152,30.1119,"Mar 2, 16",0.7527472527472527
2016-03-03,32.92,39.075,31.5105,37.49,590035,590035,5.59,17.524,35.6752,"Mar 3, 16",1.0598901098901101
2016-03-04,39,39.13,34.25,35.56,577298,577298,-1.93,-5.148,36.6726,"Mar 4, 16",0.953846153846154
2016-03-07,35.89,41.6,35.89,39.11,421597,421597,3.55,9.983,38.1072,"Mar 7, 16",1.148901098901099
2016-03-08,41.99,43.99,40.13,41.99,603925,603925,2.88,7.364,41.8371,"Mar 8, 16",1.3071428571428574
2016-03-09,42.7,43.41,30,31.1,1444684,1444684,-10.89,-25.935,34.4097,"Mar 9, 16",0.7087912087912089
2016-03-10,32.5,32.5,25.64,26.74,816860,816860,-4.36,-14.019,28.0172,"Mar 10, 16",0.46923076923076923
2016-03-11,27.98,32,27.25,31.25,467890,467890,4.51,16.866,30.0752,"Mar 11, 16",0.7170329670329672
2016-03-14,31.25,34.3,30.5101,30.77,305507,305507,-0.48,-1.536,32.851,"Mar 14, 16",0.6906593406593406
2016-03-15,29.85,33.35,29.4,32.34,198029,198029,1.57,5.102,31.9718,"Mar 15, 16",0.7769230769230772
2016-03-16,32.08,35.2,31.01,31.02,278460,278460,-1.32,-4.082,33.0893,"Mar 16, 16",0.7043956043956044
2016-03-17,31.17,32.5387,30.31,30.43,290382,290382,-0.59,-1.902,30.5631,"Mar 17, 16",0.671978021978022
2016-03-18,31.57,31.57,28.02,29.36,1080674,1080674,-1.07,-3.516,29.2263,"Mar 18, 16",0.6131868131868132
2016-03-21,30.24,30.5,29,29.96,229868,229868,0.6,2.044,29.606,"Mar 21, 16",0.6461538461538463
2016-03-22,29.95,30.38,29.2,29.88,100086,100086,-0.08,-0.267,29.7487,"Mar 22, 16",0.6417582417582418
2016-03-23,30,30.88,29.11,30.45,294269,294269,0.57,1.908,30.0756,"Mar 23, 16",0.6730769230769231
2016-03-24,30.44,31.5699,30.05,31.31,185444,185444,0.86,2.824,30.9171,"Mar 24, 16",0.7203296703296703
2016-03-28,31.78,31.99,30.05,30.53,104145,104145,-0.78,-2.491,31.3339,"Mar 28, 16",0.6774725274725276
2016-03-29,30.13,33.24,30.13,32.61,158526,158526,2.08,6.813,31.9947,"Mar 29, 16",0.7917582417582418
2016-03-30,33,34.325,31.02,31.19,122510,122510,-1.42,-4.354,32.4153,"Mar 30, 16",0.7137362637362639
2016-03-31,32,35,31.5,34.54,977020,977020,3.35,10.741,34.3126,"Mar 31, 16",0.8978021978021978
2016-04-01,35,37.41,33.17,36.9,230259,230259,2.36,6.833,35.8948,"Apr 1, 16",1.0274725274725274
2016-04-04,37.29,40.5,37,39.58,333872,333872,2.68,7.263,39.1132,"Apr 4, 16",1.1747252747252748
2016-04-05,39.45,42.845,38.6,42.04,404222,404222,2.46,6.215,41.6022,"Apr 5, 16",1.30989010989011
2016-04-06,41.98,43.5,41.6121,41.83,272527,272527,-0.21,-0.5,42.4436,"Apr 6, 16",1.2983516483516484
2016-04-07,41.5,41.5637,38.6,39.86,372407,372407,-1.97,-4.71,39.656,"Apr 7, 16",1.19010989010989
2016-04-08,40.41,41.1315,40,40.45,237138,237138,0.59,1.48,40.5135,"Apr 8, 16",1.2225274725274728
2016-04-11,41.05,41.19,37.26,37.87,241949,241949,-2.58,-6.378,38.6059,"Apr 11, 16",1.0807692307692307
2016-04-12,37.48,37.91,35.42,37.11,275069,275069,-0.76,-2.007,36.7376,"Apr 12, 16",1.039010989010989
2016-04-13,38.61,38.61,37.15,38.19,107929,107929,1.08,2.91,38.076,"Apr 13, 16",1.0983516483516482
2016-04-14,38.1,40.7576,38.1,39.73,159244,159244,1.54,4.032,39.6099,"Apr 14, 16",1.182967032967033
2016-04-15,39.67,41.4,39.67,39.87,161220,161220,0.14,0.352,40.4458,"Apr 15, 16",1.1906593406593406
2016-04-18,40.5,41.26,40,40.36,57108,57108,0.49,1.229,40.391,"Apr 18, 16",1.2175824175824177
2016-04-19,40.76,41.1,38.75,39.59,145117,145117,-0.77,-1.908,39.7242,"Apr 19, 16",1.1752747252747255
2016-04-20,39.74,40.966,39.1001,40.64,67684,67684,1.05,2.652,40.384,"Apr 20, 16",1.232967032967033
2016-04-21,41.04,41.24,39.5201,40.23,91305,91305,-0.41,-1.009,40.3862,"Apr 21, 16",1.2104395604395604
2016-04-22,40.48,40.7581,37.76,38.1,210577,210577,-2.13,-5.295,38.6552,"Apr 22, 16",1.0934065934065935
2016-04-25,38.09,39.5,38.09,38.71,121932,121932,0.61,1.601,38.7981,"Apr 25, 16",1.1269230769230771
2016-04-26,39.28,39.41,36.5,37,141595,141595,-1.71,-4.417,37.3718,"Apr 26, 16",1.032967032967033
2016-04-27,36.86,36.98,36.02,36.37,141621,141621,-0.63,-1.703,36.4462,"Apr 27, 16",0.9983516483516482
2016-04-28,36.98,38.0295,34.04,34.14,152310,152310,-2.23,-6.131,35.5367,"Apr 28, 16",0.8758241758241759
2016-04-29,34,34.55,32.03,33.05,215066,215066,-1.09,-3.193,33.0291,"Apr 29, 16",0.8159340659340658
2016-05-02,33.07,34.3088,33.07,33.51,91167,91167,0.46,1.392,33.4743,"May 2, 16",0.8412087912087912
2016-05-03,33.47,33.5199,30.99,30.99,182017,182017,-2.52,-7.52,31.5625,"May 3, 16",0.7027472527472527
2016-05-04,32.05,32.1799,30,30.2,170165,170165,-0.79,-2.549,30.5686,"May 4, 16",0.6593406593406593
2016-05-05,31,32.5,30.2926,31.99,199695,199695,1.79,5.927,31.9533,"May 5, 16",0.7576923076923077
2016-05-06,31.9,32.56,29.43,30.13,170173,170173,-1.86,-5.814,30.7365,"May 6, 16",0.6554945054945055
2016-05-09,30.04,30.973,30.04,30.3,76038,76038,0.17,0.564,30.3642,"May 9, 16",0.6648351648351649
