date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,19.8712,20.0304,19.6493,19.8385,885852,885852,0.034917,0.176,19.8015,"Aug 5, 13",0
2013-08-06,19.7863,20.0996,19.6232,19.9625,861798,861798,0.12399,0.625,19.8874,"Aug 6, 13",0.006250472565970148
2013-08-07,19.819,19.9299,19.3622,19.6232,1304699,1304699,-0.339342,-1.7,19.6247,"Aug 7, 13",-0.010852635027849845
2013-08-08,19.7146,19.7407,19.3034,19.3295,904557,904557,-0.293661,-1.496,19.398,"Aug 8, 13",-0.02565718174257128
2013-08-09,19.3622,19.4405,19.2643,19.3361,933834,933834,0.006523,0.034,19.3532,"Aug 9, 13",-0.025324495299543892
2013-08-12,19.3426,19.3465,19.1207,19.1468,829665,829665,-0.18925,-0.979,19.1863,"Aug 12, 13",-0.0348665473700129
2013-08-13,19.1272,19.199,18.9706,19.0946,881455,881455,-0.052207,-0.273,19.0634,"Aug 13, 13",-0.03749779469213902
2013-08-14,19.2316,19.2839,18.9641,19.062,766187,766187,-0.032627,-0.171,19.0473,"Aug 14, 13",-0.03914106409254725
2013-08-15,18.9576,19.2381,18.9249,19.1403,929835,929835,0.078309,0.411,19.1114,"Aug 15, 13",-0.03519419310935806
2013-08-16,19.1403,19.2904,19.0946,19.2316,794221,794221,0.091361,0.477,19.2094,"Aug 16, 13",-0.030592030647478365
2013-08-19,19.186,19.2773,19.0293,19.0815,633940,633940,-0.150093,-0.78,19.1638,"Aug 19, 13",-0.038158126874511755
2013-08-20,19.075,19.447,19.0554,19.3883,645047,645047,0.306714,1.607,19.3175,"Aug 20, 13",-0.022693247977417588
2013-08-21,19.3687,19.6232,19.3361,19.4535,447831,447831,0.06526,0.337,19.4935,"Aug 21, 13",-0.019406709176601134
2013-08-22,19.5123,19.7407,19.447,19.7015,413900,413900,0.247982,1.275,19.6727,"Aug 22, 13",-0.006905764044660658
2013-08-23,19.7537,20.0539,19.7146,19.9234,628760,628760,0.221877,1.126,19.9388,"Aug 23, 13",0.004279557426216754
2013-08-26,19.9169,19.9364,19.447,19.5906,457999,457999,-0.332817,-1.67,19.6996,"Aug 26, 13",-0.012495904428258252
2013-08-27,19.4992,19.5775,19.3361,19.5384,448780,448780,-0.052208,-0.266,19.5127,"Aug 27, 13",-0.015127151750384378
2013-08-28,19.5318,19.8059,19.4209,19.6885,319975,319975,0.150095,0.768,19.7066,"Aug 28, 13",-0.007561055523350988
2013-08-29,19.6754,19.8247,19.6036,19.8059,445566,445566,0.117464,0.597,19.7426,"Aug 29, 13",-0.001643269400408228
2013-08-30,19.7341,19.8973,19.3752,19.46,420552,420552,-0.345867,-1.746,19.6018,"Aug 30, 13",-0.019079063437255787
2013-09-03,19.5384,19.6297,19.2251,19.46,522652,522652,0,0,19.386,"Sep 3, 13",-0.019079063437255787
2013-09-04,19.4405,19.584,19.2186,19.2708,623184,623184,-0.18925,-0.973,19.326,"Sep 4, 13",-0.02861607480404257
2013-09-05,19.2969,19.5775,19.2839,19.4144,401224,401224,0.143566,0.745,19.4522,"Sep 5, 13",-0.021377624316354527
2013-09-06,19.4862,19.6362,19.447,19.5384,290605,290605,0.123992,0.639,19.5652,"Sep 6, 13",-0.015127151750384378
2013-09-09,19.5514,19.7863,19.4862,19.708,664344,664344,0.169674,0.868,19.6042,"Sep 9, 13",-0.0065781183053154925
2013-09-10,19.447,19.5905,19.2447,19.2643,1352667,1352667,-0.443757,-2.252,19.4048,"Sep 10, 13",-0.028943720543387914
