date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2016-11-16,13.5098,13.5098,13.5098,13.5098,200,200,13.5098,0,13.5098,"Nov 16, 16",0
2016-11-17,13.6188,13.6188,13.5552,13.5643,3235,3235,0.054585,0.404,13.5869,"Nov 17, 16",0.0040341085730358035
2016-11-18,13.537,13.537,13.3642,13.4362,2400,2400,-0.128094,-0.944,13.3939,"Nov 18, 16",-0.005447897082118224
2016-11-21,13.5188,13.5188,13.5188,13.5188,100,100,0.082516,0.614,13.5188,"Nov 21, 16",0.0006661830671068662
2016-11-23,,,,13.5188,20,20,0,0,,"Nov 23, 16",0.0006661830671068662
2016-11-25,13.6826,13.7008,13.6651,13.7008,1261,1261,0.182039,1.347,13.6945,"Nov 25, 16",0.01413788509082288
2016-11-28,13.6178,13.6178,13.6178,13.6178,528,528,-0.082968,-0.606,13.6178,"Nov 28, 16",0.007994196805282131
2016-11-29,13.628,13.628,13.5643,13.5643,220,220,-0.053493,-0.393,13.5962,"Nov 29, 16",0.0040341085730358035
2016-11-30,,,,13.5643,1,1,0,0,,"Nov 30, 16",0.0040341085730358035
2016-12-02,,,,13.5689,4,4,0.004544,0.033,,"Dec 2, 16",0.004374602140668185
2016-12-05,13.8283,13.9194,13.8283,13.9194,734,734,0.350482,2.583,13.8598,"Dec 5, 16",0.030318731587440174
2016-12-06,14.0649,14.0649,14.0649,14.0649,150,150,0.145568,1.046,14.0649,"Dec 6, 16",0.041088691172334116
2016-12-07,,,,14.0649,45,45,0,0,,"Dec 7, 16",0.041088691172334116
2016-12-08,14.2198,14.2198,14.2198,14.2198,144,144,0.154852,1.101,14.2198,"Dec 8, 16",0.05255444196065072
2016-12-12,14.2744,14.2744,14.2741,14.2741,351,351,0.054348,0.382,14.2743,"Dec 12, 16",0.056573746465528756
2016-12-13,14.4109,14.411,14.4109,14.411,257,257,0.136829,0.959,14.4109,"Dec 13, 16",0.06670713111963163
2016-12-14,14.3746,14.3837,14.3017,14.3017,354,354,-0.109245,-0.758,14.3565,"Dec 14, 16",0.058616707871323045
2016-12-16,,,,14.3017,50,50,0,0,,"Dec 16, 16",0.058616707871323045
2016-12-19,,,,14.3017,40,40,0,0,,"Dec 19, 16",0.058616707871323045
2016-12-20,,,,14.3017,119,119,0,0,,"Dec 20, 16",0.058616707871323045
2016-12-22,,,,14.3017,2,2,0,0,,"Dec 22, 16",0.058616707871323045
2016-12-23,,,,14.3017,71,71,0,0,,"Dec 23, 16",0.058616707871323045
2016-12-29,,,,14.3276,47,47,0.025876,0.181,,"Dec 29, 16",0.06053383469777495
2017-01-03,,,,14.3276,6,6,0,0,,"Jan 3, 17",0.06053383469777495
2017-01-06,,,,14.3276,50,50,0,0,,"Jan 6, 17",0.06053383469777495
2017-01-09,,,,14.3276,1,1,0,0,,"Jan 9, 17",0.06053383469777495
2017-01-10,,,,14.3276,19,19,0,0,,"Jan 10, 17",0.06053383469777495
2017-01-11,14.4735,14.5009,14.4735,14.5009,340,340,0.17328,1.209,14.4848,"Jan 11, 17",0.07336155975662108
2017-01-13,,,,14.5009,10,10,0,0,,"Jan 13, 17",0.07336155975662108
2017-01-18,,,,14.5009,75,75,0,0,,"Jan 18, 17",0.07336155975662108
2017-01-23,14.6194,14.6194,14.6017,14.6017,402,402,0.100777,0.695,14.6105,"Jan 23, 17",0.08082281010821767
2017-01-24,,,,14.6017,100,100,0,0,,"Jan 24, 17",0.08082281010821767
2017-01-25,14.8538,14.8558,14.8538,14.8558,239,239,0.254175,1.741,14.8548,"Jan 25, 17",0.09963137870286755
2017-01-26,,,,14.8558,46,46,0,0,,"Jan 26, 17",0.09963137870286755
2017-01-27,14.7653,14.7653,14.7653,14.7653,199,199,-0.09056,-0.61,14.7653,"Jan 27, 17",0.09293253786140428
2017-01-30,14.6103,14.6103,14.6103,14.6103,537,537,-0.154951,-1.049,14.6103,"Jan 30, 17",0.08145938503900874
2017-01-31,14.6832,14.6832,14.6832,14.6832,460,460,0.07287,0.499,14.6832,"Jan 31, 17",0.08685546788257406
2017-02-03,14.6619,14.6892,14.6619,14.6892,1970,1970,0.006035,0.041,14.6837,"Feb 3, 17",0.08729958992731197
2017-02-06,14.4917,14.5153,14.4917,14.4975,752,752,-0.191739,-1.305,14.501,"Feb 6, 17",0.07310989059793634
2017-02-07,14.4787,14.497,14.4787,14.497,1109,1109,-0.000459,-0.003,14.4858,"Feb 7, 17",0.07307288042754145
2017-02-09,,,,14.497,2,2,0,0,,"Feb 9, 17",0.07307288042754145
