date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,14.3716,14.6426,14.2718,14.2789,35153,35153,-0.256765,-1.766,14.3652,"Aug 5, 13",0
2013-08-06,14.286,14.3715,14.286,14.3359,20216,20216,0.057057,0.4,14.3118,"Aug 6, 13",0.0039919041382739835
2013-08-07,14.2646,14.3146,14.2646,14.2646,18300,18300,-0.071324,-0.498,14.273,"Aug 7, 13",-0.0010014777048652503
2013-08-08,14.2718,14.3074,14.2646,14.2646,8045,8045,0,0,14.2765,"Aug 8, 13",-0.0010014777048652503
2013-08-09,14.2646,14.4786,14.2646,14.2932,24582,24582,0.028531,0.2,14.3631,"Aug 9, 13",0.0010014777048652503
2013-08-12,14.2361,14.2361,13.908,14.122,50971,50971,-0.171175,-1.198,14.0742,"Aug 12, 13",-0.010988241391143594
2013-08-13,14.2004,14.2004,13.9437,14.0792,12826,12826,-0.042795,-0.303,14.0617,"Aug 13, 13",-0.013985671165145774
2013-08-14,14.0507,14.1434,13.908,13.9151,25822,25822,-0.164041,-1.165,13.9861,"Aug 14, 13",-0.025478153079018653
2013-08-15,13.8723,14.0863,13.694,14.0507,37118,37118,0.135509,0.974,13.9117,"Aug 15, 13",-0.015981623234282705
2013-08-16,13.9223,14.0435,13.908,13.939,8240,8240,-0.111687,-0.795,13.9461,"Aug 16, 13",-0.023804354677181023
2013-08-19,13.9964,14.4051,13.9964,14.0967,12838,12838,0.157774,1.132,14.1,"Aug 19, 13",-0.012760086561289729
2013-08-20,14.0896,14.2688,14.0896,14.0896,6680,6680,-0.007166,-0.051,14.1853,"Aug 20, 13",-0.013257323743425569
2013-08-21,14.1971,14.1971,13.6522,13.6594,24394,24394,-0.43022,-3.053,13.8112,"Aug 21, 13",-0.04338569497650382
2013-08-22,13.982,13.982,13.7311,13.7311,9770,9770,0.071706,0.525,13.8498,"Aug 22, 13",-0.038364299770990797
2013-08-23,13.9103,13.9103,13.7311,13.9031,6867,6867,0.172087,1.253,13.8568,"Aug 23, 13",-0.026318553950234254
2013-08-26,13.896,13.9772,13.7383,13.8651,7989,7989,-0.038003,-0.273,13.8812,"Aug 26, 13",-0.028979823375750245
2013-08-27,13.6952,13.9462,13.6737,13.7762,13313,13313,-0.088984,-0.642,13.7272,"Aug 27, 13",-0.035205793163338966
2013-08-28,13.939,14.1469,13.853,13.896,8847,8847,0.119813,0.87,13.9938,"Aug 28, 13",-0.026815791132370096
2013-08-29,13.7024,13.8458,13.6952,13.8028,7470,7470,-0.093213,-0.671,13.7298,"Aug 29, 13",-0.033342904565477775
2013-08-30,13.8028,13.8103,13.7311,13.8103,3132,3132,0.00753,0.055,13.7868,"Aug 30, 13",-0.03281765402096803
2013-09-03,13.9175,13.9175,13.5375,13.6686,22438,22438,-0.141687,-1.026,13.6577,"Sep 3, 13",-0.04274138764190522
2013-09-04,13.6235,13.805,13.1574,13.3367,41337,41337,-0.331914,-2.428,13.4908,"Sep 4, 13",-0.06598547507160914
2013-09-05,13.265,13.3725,13.265,13.351,4560,4560,0.014272,0.107,13.3182,"Sep 5, 13",-0.06498399736674389
2013-09-06,13.1718,13.1789,13.0427,13.0427,9100,9100,-0.308248,-2.309,13.1585,"Sep 6, 13",-0.08657529641639063
2013-09-09,13.1144,13.1431,13.014,13.014,7400,7400,-0.028682,-0.22,13.0563,"Sep 9, 13",-0.08858525516671457
2013-09-10,12.9495,12.9495,12.6555,12.8778,64302,64302,-0.136236,-1.047,12.7576,"Sep 10, 13",-0.09812380505501121
2013-09-11,12.8706,12.9782,12.7487,12.8061,30760,30760,-0.071702,-0.557,12.829,"Sep 11, 13",-0.10314520026052423
2013-09-12,12.7208,12.8133,12.6627,12.6699,49654,49654,-0.136235,-1.064,12.7431,"Sep 12, 13",-0.11268375014882098
2013-09-13,12.6555,12.8993,12.6555,12.8993,11184,11184,0.229448,1.811,12.7886,"Sep 13, 13",-0.09661808682741667
2013-09-16,12.8348,13.0786,12.8276,13.0355,14261,14261,0.136164,1.056,12.9879,"Sep 16, 13",-0.08707953693911992
2013-09-17,13.05,13.0857,12.7638,12.8061,17355,17355,-0.229377,-1.76,12.9617,"Sep 17, 13",-0.10314520026052423
2013-09-18,12.7702,13.3295,12.7702,13.3295,60510,60510,0.523429,4.087,13.1946,"Sep 18, 13",-0.06648971559433854
2013-09-19,13.398,13.5133,12.9915,13.2538,31140,31140,-0.07568,-0.568,13.1922,"Sep 19, 13",-0.07179124442359006
2013-09-20,13.3331,13.3386,12.8719,12.9151,23850,23850,-0.33873,-2.556,13.0288,"Sep 20, 13",-0.09551155901364947
2013-09-23,12.9584,13.0016,12.8719,12.98,36620,36620,0.064867,0.502,12.95,"Sep 23, 13",-0.09096639096849195
2013-09-24,12.9511,13.052,12.8575,13.0232,13889,13889,0.04324,0.333,12.9383,"Sep 24, 13",-0.08794094783211598
2013-09-25,12.7926,13.0448,12.771,12.98,31543,31543,-0.04324,-0.332,12.8544,"Sep 25, 13",-0.09096639096849195
2013-09-26,12.8214,12.9872,12.7998,12.9367,6250,6250,-0.043244,-0.333,12.8889,"Sep 26, 13",-0.09399883744546149
2013-09-27,12.8359,13.0376,12.8359,12.9872,9059,9059,0.050446,0.39,12.9567,"Sep 27, 13",-0.09046215044576267
2013-09-30,12.8791,12.9728,12.4827,12.9223,71115,71115,-0.064862,-0.499,12.7287,"Sep 30, 13",-0.09500731849092019
2013-10-01,12.7493,12.9994,12.6989,12.9872,12300,12300,0.064862,0.502,12.8386,"Oct 1, 13",-0.09046215044576267
2013-10-02,13.0016,13.1962,12.9007,13.1962,7798,7798,0.209009,1.609,13.0187,"Oct 2, 13",-0.07582516860542485
2013-10-03,13.1477,13.1477,13.0146,13.016,18836,18836,-0.18018,-1.365,13.1019,"Oct 3, 13",-0.08844518835484527
2013-10-04,12.9872,13.1385,12.9656,13.0376,13292,13292,0.021622,0.166,13.026,"Oct 4, 13",-0.08693246678665728
2013-10-07,12.9008,13.1457,12.9008,13.1097,10537,10537,0.072071,0.553,13.0198,"Oct 7, 13",-0.08188305821877036
2013-10-08,13.1602,13.2354,13.1169,13.1169,12247,12247,0.007209,0.055,13.1556,"Oct 8, 13",-0.08137881769604106
2013-10-09,13.1169,13.204,13.1169,13.1169,6400,6400,0,0,13.1292,"Oct 9, 13",-0.08137881769604106
2013-10-10,13.1169,13.1818,13.1169,13.1385,7950,7950,0.02162,0.165,13.1305,"Oct 10, 13",-0.07986609612785296
2013-10-11,13.1169,13.1857,12.807,12.8935,34786,34786,-0.245041,-1.865,13.0939,"Oct 11, 13",-0.09702428058183758
2013-10-14,12.8575,12.8647,12.6557,12.8286,11250,11250,-0.064862,-0.503,12.8078,"Oct 14, 13",-0.1015694486269951
2013-10-15,12.771,12.9367,12.7061,12.9367,17221,17221,0.108106,0.843,12.8345,"Oct 15, 13",-0.09399883744546149
2013-10-16,12.843,12.9497,12.8358,12.8647,10205,10205,-0.072073,-0.557,12.8631,"Oct 16, 13",-0.09904124267275498
2013-10-17,12.7349,12.9295,12.7062,12.8286,49034,49034,-0.036033,-0.28,12.7855,"Oct 17, 13",-0.1015694486269951
2013-10-18,12.8863,12.9511,12.8286,12.8286,15495,15495,0,0,12.8878,"Oct 18, 13",-0.1015694486269951
2013-10-21,12.8502,13.0088,12.7998,12.7998,19744,19744,-0.028834,-0.225,12.9115,"Oct 21, 13",-0.1035864107179125
2013-10-22,12.8505,13.0535,12.8505,12.8795,15089,15089,0.079737,0.623,12.9432,"Oct 22, 13",-0.09800474826492236
2013-10-23,12.9303,13.1839,12.8579,13.1839,14685,14685,0.304339,2.363,12.9873,"Oct 23, 13",-0.0766865794984208
2013-10-24,13.1767,13.4231,12.9738,12.9738,42595,42595,-0.210119,-1.594,13.0418,"Oct 24, 13",-0.09140059808528664
2013-10-25,13.1549,13.1549,12.9738,13.0217,27166,27166,0.047983,0.37,13.0477,"Oct 25, 13",-0.08804599794101793
2013-10-28,13.0462,13.0825,12.923,12.954,68013,68013,-0.067767,-0.52,12.9768,"Oct 28, 13",-0.09278725952279233
2013-10-29,13.0462,13.0752,12.9811,13.0101,12848,12848,0.056094,0.433,13.0414,"Oct 29, 13",-0.08885838544985962
2013-10-30,12.9738,13.0752,12.9448,12.9882,33315,33315,-0.021813,-0.168,12.9886,"Oct 30, 13",-0.09039211703982794
2013-10-31,12.923,13.0535,12.9158,13.0535,32841,32841,0.065231,0.502,12.9569,"Oct 31, 13",-0.08581893563229664
2013-11-01,13.01,13.0752,12.9593,13.0462,24600,24600,-0.007246,-0.056,13.0251,"Nov 1, 13",-0.08633017949561937
2013-11-04,12.9955,13.1694,12.9593,13.0825,37429,37429,0.036307,0.278,13.4087,"Nov 4, 13",-0.08378796686019235
2013-11-05,13.2129,13.2129,13.0317,13.1549,16335,16335,0.072407,0.553,13.1073,"Nov 5, 13",-0.07871754827052507
2013-11-06,13.1477,13.1549,13.0898,13.1549,41851,41851,0,0,13.1382,"Nov 6, 13",-0.07871754827052507
2013-11-07,13.1549,13.2564,13.0608,13.1405,32605,32605,-0.014492,-0.11,13.129,"Nov 7, 13",-0.07972602931598377
2013-11-08,13.0897,13.1984,13.039,13.097,46987,46987,-0.043491,-0.331,13.088,"Nov 8, 13",-0.08277248247414021
2013-11-11,13.0027,13.1694,13.0027,13.0825,51122,51122,-0.014491,-0.111,13.0987,"Nov 11, 13",-0.08378796686019235
2013-11-12,13.1405,13.1405,12.9665,13.0672,55834,55834,-0.015225,-0.116,13.0104,"Nov 12, 13",-0.08485947797099219
2013-11-13,12.9593,13.126,12.9593,13.0462,58842,58842,-0.021015,-0.161,13.0164,"Nov 13, 13",-0.08633017949561937
2013-11-14,13.097,13.1644,12.9738,12.981,42143,42143,-0.065234,-0.5,13.0593,"Nov 14, 13",-0.09089635756255736
2013-11-15,13.039,13.1115,12.9882,12.9955,36616,36616,0.014497,0.112,13.0367,"Nov 15, 13",-0.08988087317650521
2013-11-18,13.039,13.0897,12.9665,13.039,36853,36853,0.043487,0.335,13.0198,"Nov 18, 13",-0.08683442001834878
2013-11-19,13.039,13.0391,12.9817,13.039,33096,33096,0,0,13.0261,"Nov 19, 13",-0.08683442001834878
2013-11-20,13.0754,13.0973,13.0172,13.0754,32174,32174,0.036375,0.279,13.0553,"Nov 20, 13",-0.08428520404232819
2013-11-21,13.0244,13.09,12.9734,13.0245,55769,55769,-0.050877,-0.389,13.027,"Nov 21, 13",-0.08784990440440092
2013-11-22,12.988,13.0609,12.9734,13.0536,52263,52263,0.029081,0.223,13.0084,"Nov 22, 13",-0.0858119322917032
2013-11-25,13.0973,13.2649,12.988,13.0317,54337,54337,-0.02186,-0.167,13.1209,"Nov 25, 13",-0.08734566388167152
2013-11-26,13.0754,13.0973,13.0244,13.039,45790,45790,0.007285,0.056,13.0474,"Nov 26, 13",-0.08683442001834878
2013-11-27,13.0171,13.0973,12.9442,13.0171,30817,30817,-0.021864,-0.168,13.0228,"Nov 27, 13",-0.08836815160831724
2013-11-29,13.039,13.0463,12.9953,13.0463,14637,14637,0.029153,0.224,13.0448,"Nov 29, 13",-0.08632317615502592
2013-12-02,13.0536,13.1483,13.0025,13.0536,22916,22916,0.007286,0.056,13.0464,"Dec 2, 13",-0.0858119322917032
2013-12-03,13.141,13.469,13.0026,13.2504,75718,75718,0.19679,1.508,13.157,"Dec 3, 13",-0.07202935800376775
2013-12-04,13.1556,13.2941,13.1337,13.1888,57416,57416,-0.061591,-0.465,13.2022,"Dec 4, 13",-0.07634341580934102
2013-12-05,13.1192,13.1701,12.9953,13.0317,47254,47254,-0.157059,-1.191,13.0431,"Dec 5, 13",-0.08734566388167152
2013-12-06,13.1111,13.1192,13.0098,13.0244,40541,40541,-0.007293,-0.056,13.0584,"Dec 6, 13",-0.08785690774499437
2013-12-09,13.0317,13.0674,12.9661,13.0171,77264,77264,-0.007286,-0.056,13.0096,"Dec 9, 13",-0.08836815160831724
2013-12-10,12.9953,13.1767,12.9807,13.0609,99138,99138,0.043728,0.336,13.0456,"Dec 10, 13",-0.08530068842838033
2013-12-11,12.9953,13.1046,12.9953,13.09,50404,50404,0.029155,0.223,13.0479,"Dec 11, 13",-0.0832627163156826
2013-12-12,13.0244,13.1556,13.0025,13.1047,42413,42413,0.014649,0.112,13.0403,"Dec 12, 13",-0.08223322524844356
