date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-10-25,11,11.64,10.88,11.25,12283788,12283788,11.25,0,11.1705,"Oct 25, 13",0
2013-10-28,11.3,11.83,11.19,11.56,1072345,1072345,0.31,2.756,11.493,"Oct 28, 13",0.0275555555555556
2013-10-29,11.59,11.7,11.5,11.65,544958,544958,0.09,0.779,11.6327,"Oct 29, 13",0.03555555555555559
2013-10-30,11.65,11.74,11.4,11.4,630287,630287,-0.25,-2.146,11.5736,"Oct 30, 13",0.013333333333333365
2013-10-31,11.4,11.44,10.96,10.98,899950,899950,-0.42,-3.684,11.1133,"Oct 31, 13",-0.023999999999999962
2013-11-01,11,11.32,10.9,10.99,329840,329840,0.01,0.091,11.027,"Nov 1, 13",-0.023111111111111093
2013-11-04,11.05,11.05,10.9,10.97,198367,198367,-0.02,-0.182,10.9471,"Nov 4, 13",-0.024888888888888832
2013-11-05,10.9,10.95,10.9,10.92,169236,169236,-0.05,-0.456,10.9044,"Nov 5, 13",-0.02933333333333334
2013-11-06,10.9,10.97,10.41,10.85,285020,285020,-0.07,-0.641,10.7435,"Nov 6, 13",-0.03555555555555559
2013-11-07,10.85,11.04,10.85,11.04,338292,338292,0.19,1.751,10.9169,"Nov 7, 13",-0.01866666666666674
2013-11-08,11,11.04,11,11.02,82164,82164,-0.02,-0.181,11.0018,"Nov 8, 13",-0.020444444444444484
2013-11-11,11,11.08,11,11.05,547196,547196,0.03,0.272,11.0157,"Nov 11, 13",-0.017777777777777715
2013-11-12,11.05,11.26,11.05,11.14,137901,137901,0.09,0.814,11.1458,"Nov 12, 13",-0.009777777777777727
2013-11-13,11.14,11.25,11.14,11.2,83168,83168,0.06,0.539,11.1976,"Nov 13, 13",-0.004444444444444508
2013-11-14,11.08,11.37,10.9701,11.35,255404,255404,0.15,1.339,11.2473,"Nov 14, 13",0.008888888888888858
2013-11-15,11.47,11.52,11.35,11.52,129173,129173,0.17,1.498,11.416,"Nov 15, 13",0.023999999999999962
2013-11-18,11.52,11.91,11.52,11.86,288001,288001,0.34,2.951,11.7866,"Nov 18, 13",0.05422222222222217
2013-11-19,12.05,12.41,11.73,12.26,1860825,1860825,0.4,3.373,12.0787,"Nov 19, 13",0.08977777777777776
2013-11-20,12.36,12.377,12.05,12.05,325362,325362,-0.21,-1.713,12.1675,"Nov 20, 13",0.07111111111111118
2013-11-21,12.07,12.5,12.01,12.5,353341,353341,0.45,3.734,12.1867,"Nov 21, 13",0.1111111111111111
2013-11-22,12.4,12.45,12.261,12.41,613357,613357,-0.09,-0.72,12.3773,"Nov 22, 13",0.10311111111111113
2013-11-25,12.4,12.92,12.25,12.75,210437,210437,0.34,2.74,12.4893,"Nov 25, 13",0.13333333333333333
2013-11-26,12.75,13.45,12.73,13.4,412111,412111,0.65,5.098,13.0625,"Nov 26, 13",0.19111111111111115
2013-11-27,13.4,14.23,13.4,14.16,905510,905510,0.76,5.672,13.7541,"Nov 27, 13",0.25866666666666666
2013-11-29,14.22,14.4,14.01,14.29,287936,287936,0.13,0.918,14.2438,"Nov 29, 13",0.27022222222222214
2013-12-02,14.5,14.5,14.04,14.16,636379,636379,-0.13,-0.91,14.2524,"Dec 2, 13",0.25866666666666666
2013-12-03,14.4,14.5,13.8,13.95,598627,598627,-0.21,-1.483,13.9412,"Dec 3, 13",0.23999999999999994
2013-12-04,13.7,14.05,12.71,13.63,406621,406621,-0.32,-2.294,13.6871,"Dec 4, 13",0.21155555555555564
2013-12-05,13.54,14.52,13.465,14.36,648312,648312,0.73,5.356,14.2087,"Dec 5, 13",0.2764444444444444
2013-12-06,14.3,14.53,14.11,14.43,564003,564003,0.07,0.487,14.3372,"Dec 6, 13",0.2826666666666666
2013-12-09,14.45,14.85,13.73,13.84,914568,914568,-0.59,-4.089,14.3485,"Dec 9, 13",0.23022222222222222
2013-12-10,13.8,13.99,13.04,13.09,305426,305426,-0.75,-5.419,13.3608,"Dec 10, 13",0.16355555555555554
2013-12-11,13.07,13.65,12.31,12.75,179188,179188,-0.34,-2.597,12.9566,"Dec 11, 13",0.13333333333333333
2013-12-12,12.78,13.54,12.78,12.98,208684,208684,0.23,1.804,13.1675,"Dec 12, 13",0.15377777777777782
2013-12-13,13.02,13.54,12.79,12.92,328670,328670,-0.06,-0.462,13.1379,"Dec 13, 13",0.14844444444444443
2013-12-16,13.03,13.85,13.03,13.81,322757,322757,0.89,6.889,13.6465,"Dec 16, 13",0.2275555555555556
2013-12-17,13.8,13.98,13.088,13.92,230606,230606,0.11,0.797,13.6374,"Dec 17, 13",0.23733333333333334
2013-12-18,13.88,14.35,12.99,14.03,344993,344993,0.11,0.79,13.8277,"Dec 18, 13",0.24711111111111106
2013-12-19,13.95,14.05,13.39,13.6,152624,152624,-0.43,-3.065,13.6138,"Dec 19, 13",0.20888888888888885
2013-12-20,13.67,14.27,13.2,14.2,3948621,3948621,0.6,4.412,14.129,"Dec 20, 13",0.26222222222222213
2013-12-23,14.22,14.3,13.76,14.24,232369,232369,0.04,0.282,14.1999,"Dec 23, 13",0.2657777777777778
2013-12-24,14.21,14.44,14.0825,14.35,92325,92325,0.11,0.772,14.3086,"Dec 24, 13",0.2755555555555555
2013-12-26,14.37,14.44,14.15,14.38,111344,111344,0.03,0.209,14.3434,"Dec 26, 13",0.2782222222222223
2013-12-27,14.44,14.6,14.068,14.55,118092,118092,0.17,1.182,14.4834,"Dec 27, 13",0.2933333333333334
2013-12-30,14.5,14.55,13.9,14.37,616727,616727,-0.18,-1.237,14.2862,"Dec 30, 13",0.27733333333333327
2013-12-31,14.44,14.4475,14,14.18,243367,243367,-0.19,-1.322,14.209,"Dec 31, 13",0.2604444444444444
2014-01-02,14.01,14.2,13.88,13.92,123959,123959,-0.26,-1.834,13.95,"Jan 2, 14",0.23733333333333334
2014-01-03,13.94,14.075,13.8,13.95,198222,198222,0.03,0.216,13.9599,"Jan 3, 14",0.23999999999999994
2014-01-06,14.05,14.05,13.64,13.96,350636,350636,0.01,0.072,13.9595,"Jan 6, 14",0.24088888888888896
2014-01-07,14.26,14.26,13.12,13.9,268951,268951,-0.06,-0.43,13.856,"Jan 7, 14",0.23555555555555557
2014-01-08,13.85,13.95,13.42,13.62,170039,170039,-0.28,-2.014,13.6184,"Jan 8, 14",0.21066666666666659
2014-01-09,13.92,14,13.44,13.65,336648,336648,0.03,0.22,13.7802,"Jan 9, 14",0.21333333333333337
2014-01-10,13.93,13.93,13.15,13.48,276401,276401,-0.17,-1.245,13.4554,"Jan 10, 14",0.19822222222222227
2014-01-13,13.38,13.58,13.1,13.26,160579,160579,-0.22,-1.632,13.1587,"Jan 13, 14",0.17866666666666664
2014-01-14,13.28,13.95,13.08,13.7,454963,454963,0.44,3.318,13.6767,"Jan 14, 14",0.2177777777777777
2014-01-15,13.69,13.98,13.26,13.45,509450,509450,-0.25,-1.825,13.4869,"Jan 15, 14",0.19555555555555548
2014-01-16,13.35,13.4,13.04,13.07,207084,207084,-0.38,-2.825,13.1652,"Jan 16, 14",0.1617777777777778
2014-01-17,13.11,13.29,12.8,12.94,516300,516300,-0.13,-0.995,12.9499,"Jan 17, 14",0.15022222222222217
2014-01-21,13.12,13.15,12.81,12.97,157386,157386,0.03,0.232,12.9265,"Jan 21, 14",0.15288888888888894
2014-01-22,13.03,13.25,12.74,12.82,425136,425136,-0.15,-1.157,12.8447,"Jan 22, 14",0.13955555555555557
2014-01-23,12.82,13.0299,11.96,11.99,524826,524826,-0.83,-6.474,12.2202,"Jan 23, 14",0.0657777777777778
2014-01-24,11.92,12.18,11.69,11.95,386817,386817,-0.04,-0.334,11.9505,"Jan 24, 14",0.06222222222222216
2014-01-27,12.01,12.15,11.3028,11.39,632394,632394,-0.56,-4.686,11.54,"Jan 27, 14",0.012444444444444496
2014-01-28,11.42,11.5019,11.1313,11.3,719694,719694,-0.09,-0.79,11.2285,"Jan 28, 14",0.004444444444444508
2014-01-29,11.38,11.576,10.98,11.16,317091,317091,-0.14,-1.239,11.2565,"Jan 29, 14",-0.007999999999999988
2014-01-30,11.31,11.45,11.025,11.31,320700,320700,0.15,1.344,11.2158,"Jan 30, 14",0.005333333333333377
2014-01-31,11.09,11.5,11.054,11.48,228208,228208,0.17,1.503,11.415,"Jan 31, 14",0.020444444444444484
2014-02-03,11.5,12.4,11.5,12.12,936294,936294,0.64,5.575,12.0707,"Feb 3, 14",0.07733333333333327
2014-02-04,12.1,12.47,11.64,12.39,325483,325483,0.27,2.228,12.1083,"Feb 4, 14",0.10133333333333339
2014-02-05,12.39,12.47,12.086,12.22,314691,314691,-0.17,-1.372,12.2548,"Feb 5, 14",0.08622222222222228
2014-02-06,12.32,12.3499,12.02,12.06,74561,74561,-0.16,-1.309,12.1645,"Feb 6, 14",0.07200000000000005
2014-02-07,12.15,12.33,12.04,12.33,172144,172144,0.27,2.239,12.2589,"Feb 7, 14",0.096
2014-02-10,12.3,12.35,12.21,12.3,575057,575057,-0.03,-0.243,12.2875,"Feb 10, 14",0.0933333333333334
2014-02-11,12.35,12.54,12.21,12.51,543100,543100,0.21,1.707,12.441,"Feb 11, 14",0.11199999999999997
2014-02-12,12.56,12.67,12.29,12.66,128993,128993,0.15,1.199,12.5378,"Feb 12, 14",0.12533333333333335
2014-02-13,12.62,13.05,12.56,13.01,291122,291122,0.35,2.765,12.8277,"Feb 13, 14",0.1564444444444444
