date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,5.8,5.843,5.45,5.5,520,2600,-0.35,-5.983,5.511,"Aug 5, 13",0
2013-08-06,5.65,5.9995,5.6,5.9495,8047,40233,0.4495,8.173,5.674,"Aug 6, 13",0.08172727272727265
2013-08-08,5.9,5.9,5.8,5.9,2380,11900,-0.0495,-0.832,5.8917,"Aug 8, 13",0.0727272727272728
2013-08-12,5.9,5.95,5.85,5.85,4246,21229,-0.05,-0.847,5.8952,"Aug 12, 13",0.06363636363636357
2013-08-13,6.25,6.25,5.7505,6,4606,23030,0.15,2.564,6.1132,"Aug 13, 13",0.09090909090909091
2013-08-14,6.25,6.25,5.75,6.05,430,2150,0.05,0.833,6.0895,"Aug 14, 13",0.09999999999999996
2013-08-15,6.05,6.05,5.95,5.95,160,799,-0.1,-1.653,5.9625,"Aug 15, 13",0.08181818181818185
2013-08-16,5.9505,6.05,5.5,6.05,7675,38376,0.1,1.681,5.9163,"Aug 16, 13",0.09999999999999996
2013-08-19,6.25,6.3975,6.1425,6.145,8212,41059,0.095,1.57,6.2375,"Aug 19, 13",0.1172727272727272
2013-08-20,7.05,9,6.5,6.5,420915,2104576,0.355,5.777,7.7373,"Aug 20, 13",0.18181818181818182
2013-08-21,6.85,6.85,6.25,6.5,42030,210149,0,0,6.4723,"Aug 21, 13",0.18181818181818182
2013-08-22,6.3,6.5,6.25,6.35,9019,45096,-0.15,-2.308,6.3746,"Aug 22, 13",0.15454545454545449
2013-08-23,6.55,6.5535,6.3505,6.45,3822,19109,0.1,1.575,6.467,"Aug 23, 13",0.17272727272727276
2013-08-26,6.4995,6.8995,6.4005,6.5,13058,65288,0.05,0.775,6.5746,"Aug 26, 13",0.18181818181818182
2013-08-27,6.5,6.7995,6.3635,6.5,3280,16400,0,0,6.4577,"Aug 27, 13",0.18181818181818182
2013-08-28,6.35,6.8495,6.275,6.3005,4141,20706,-0.1995,-3.069,6.3691,"Aug 28, 13",0.14554545454545462
2013-08-29,6.3785,6.95,6.35,6.4,43860,219299,0.0995,1.579,6.7533,"Aug 29, 13",0.1636363636363637
2013-08-30,6.45,6.7495,6.3,6.4,7415,37073,0,0,6.4145,"Aug 30, 13",0.1636363636363637
2013-09-03,6.5,6.7,6.4,6.7,13396,66982,0.3,4.688,6.5229,"Sep 3, 13",0.21818181818181823
2013-09-04,6.75,6.75,6.55,6.6,6199,30995,-0.1,-1.493,6.646,"Sep 4, 13",0.19999999999999993
2013-09-05,6.6005,6.65,6.5005,6.65,1120,5600,0.05,0.758,6.5423,"Sep 5, 13",0.20909090909090916
2013-09-06,6.6,6.95,6.5,6.75,10165,50825,0.1,1.504,6.7237,"Sep 6, 13",0.22727272727272727
2013-09-09,6.95,6.95,6.55,6.8,7198,35990,0.05,0.741,6.7784,"Sep 9, 13",0.23636363636363633
2013-09-10,6.95,7,6.6,6.75,5133,25663,-0.05,-0.735,6.7425,"Sep 10, 13",0.22727272727272727
2013-09-11,6.7,6.7,6.45,6.55,5008,25040,-0.2,-2.963,6.5521,"Sep 11, 13",0.1909090909090909
2013-09-12,6.65,6.75,6.5,6.5,1462,7309,-0.05,-0.763,6.5876,"Sep 12, 13",0.18181818181818182
2013-09-13,6.4505,6.55,6.45,6.55,2660,13300,0.05,0.769,6.462,"Sep 13, 13",0.1909090909090909
2013-09-16,6.6,6.7,6.35,6.35,3382,16908,-0.2,-3.053,6.4607,"Sep 16, 13",0.15454545454545449
2013-09-17,6.3505,6.5995,6.3505,6.5995,138,689,0.2495,3.929,6.5128,"Sep 17, 13",0.1999090909090909
2013-09-18,6.45,6.45,6.45,6.45,20,100,-0.1495,-2.265,6.45,"Sep 18, 13",0.17272727272727276
2013-09-19,6.35,6.6,6.35,6.5,2215,11075,0.05,0.775,6.436,"Sep 19, 13",0.18181818181818182
2013-09-20,6.4,6.43,6.25,6.25,10787,53935,-0.25,-3.846,6.2838,"Sep 20, 13",0.13636363636363635
2013-09-23,6.3,6.35,6.15,6.35,9077,45385,0.1,1.6,6.2478,"Sep 23, 13",0.15454545454545449
2013-09-24,6.35,6.4495,6.1505,6.4495,4417,22085,0.0995,1.567,6.3572,"Sep 24, 13",0.17263636363636356
2013-09-25,6.6,6.6,6.4,6.55,1781,8906,0.1005,1.558,6.523,"Sep 25, 13",0.1909090909090909
2013-09-26,6.5995,6.5995,6.25,6.25,4737,23685,-0.3,-4.58,6.5471,"Sep 26, 13",0.13636363636363635
2013-09-27,6.2505,6.355,6.2505,6.35,580,2900,0.1,1.6,6.3332,"Sep 27, 13",0.15454545454545449
2013-09-30,6.55,6.6,6.3,6.5,5640,28200,0.15,2.362,6.4741,"Sep 30, 13",0.18181818181818182
2013-10-01,6.35,6.35,6.25,6.35,656,3280,-0.15,-2.308,6.2912,"Oct 1, 13",0.15454545454545449
2013-10-02,6.3,6.4995,6.3,6.45,590,2950,0.1,1.575,6.3816,"Oct 2, 13",0.17272727272727276
