date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,28.378,28.378,28.1147,28.1323,8592,8592,-0.315895,-1.11,28.2029,"Aug 5, 13",0
2013-08-06,28.2551,28.2551,27.8955,27.9052,2174,2174,-0.227097,-0.807,28.0024,"Aug 6, 13",-0.008072571385915836
2013-08-07,27.6409,27.7111,27.5654,27.5654,6186,6186,-0.339763,-1.218,27.6551,"Aug 7, 13",-0.02015121408487754
2013-08-08,27.8164,28.1709,27.8164,28.1498,5035,5035,0.58441,2.12,27.9727,"Aug 8, 13",0.000622060762895259
2013-08-09,28.0709,28.378,28.0709,28.378,19583,19583,0.228147,0.81,28.3091,"Aug 9, 13",0.008733733111050265
2013-08-12,28.5623,28.6579,28.3742,28.4131,7858,7858,0.035098,0.124,28.561,"Aug 12, 13",0.009981409269771731
2013-08-13,28.3692,28.4745,28.3319,28.4745,5703,5703,0.061424,0.216,28.4147,"Aug 13, 13",0.01216395388930156
2013-08-14,28.4131,28.5434,28.3429,28.3429,4150,4150,-0.131623,-0.462,28.4632,"Aug 14, 13",0.007486056952328798
2013-08-15,28.1849,28.1849,27.8515,28.0884,8161,8161,-0.254473,-0.898,28.0169,"Aug 15, 13",-0.00156048385663457
2013-08-16,27.9919,27.9919,27.6498,27.7058,5233,5233,-0.382583,-1.362,27.8248,"Aug 16, 13",-0.015160509449991673
2013-08-19,27.4917,27.5531,27.2723,27.2723,23420,23420,-0.433481,-1.565,27.4677,"Aug 19, 13",-0.0305698432051414
2013-08-20,27.3425,27.5531,27.325,27.3776,17244,17244,0.105301,0.386,27.3793,"Aug 20, 13",-0.026826814728977
2013-08-21,27.1934,27.1934,26.8161,26.8248,31460,31460,-0.552819,-2.019,26.9845,"Aug 21, 13",-0.046476825570607484
2013-08-22,26.974,27.1934,26.7634,27.1934,14778,14778,0.368545,1.374,27.0797,"Aug 22, 13",-0.033374448587566614
