date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,24.54,25.46,24.3969,25.44,41672,41672,0.94,3.837,25.1663,"Aug 5, 13",0
2013-08-06,25.44,25.44,24.67,24.87,25158,25158,-0.57,-2.241,24.8877,"Aug 6, 13",-0.0224056603773585
2013-08-07,24.9,25.54,24.87,25.5,38350,38350,0.63,2.533,25.277,"Aug 7, 13",0.0023584905660376855
2013-08-08,25.69,26.24,25.69,26.17,61394,61394,0.67,2.627,26.0479,"Aug 8, 13",0.028694968553459134
2013-08-09,26.17,26.3,25.96,26.17,25294,25294,0,0,26.1729,"Aug 9, 13",0.028694968553459134
2013-08-12,26.09,26.85,25.8,26.01,33774,33774,-0.16,-0.611,26.2531,"Aug 12, 13",0.0224056603773585
2013-08-13,26.05,26.19,25.71,25.83,22926,22926,-0.18,-0.692,25.8912,"Aug 13, 13",0.015330188679245165
2013-08-14,25.91,26.21,25.9,26,66159,66159,0.17,0.658,26.0552,"Aug 14, 13",0.02201257861635215
2013-08-15,25.63,25.63,25.15,25.2,80245,80245,-0.8,-3.077,25.3103,"Aug 15, 13",-0.009433962264151021
2013-08-16,25.07,25.61,25,25.52,57238,57238,0.32,1.27,25.3442,"Aug 16, 13",0.0031446540880502474
2013-08-19,25.57,25.57,25.15,25.27,34095,34095,-0.25,-0.98,25.3166,"Aug 19, 13",-0.006682389937106985
2013-08-20,25.37,25.6,25.26,25.43,48902,48902,0.16,0.633,25.4212,"Aug 20, 13",-0.00039308176100635075
2013-08-21,25.46,25.95,25.46,25.65,40971,40971,0.22,0.865,25.7216,"Aug 21, 13",0.00825471698113197
2013-08-22,25.81,25.99,25.69,25.89,14465,14465,0.24,0.936,25.8793,"Aug 22, 13",0.01768867924528299
2013-08-23,25.89,26,25.3725,25.48,29204,29204,-0.41,-1.584,25.7149,"Aug 23, 13",0.0015723270440251237
2013-08-26,25.61,25.61,24.72,25.14,69186,69186,-0.34,-1.334,24.9351,"Aug 26, 13",-0.011792452830188706
2013-08-27,24.86,25.31,24.86,25.06,120128,120128,-0.08,-0.318,25.0151,"Aug 27, 13",-0.014937106918239093
2013-08-28,25.1,25.46,25.1,25.44,23112,23112,0.38,1.516,25.3625,"Aug 28, 13",0
2013-08-29,25.47,25.97,25.27,25.93,49405,49405,0.49,1.926,25.671,"Aug 29, 13",0.019261006289308113
2013-08-30,25.86,25.91,24.82,24.83,55852,55852,-1.1,-4.242,25.0109,"Aug 30, 13",-0.023977987421383764
2013-09-03,24.73,25.26,24.2,24.79,150309,150309,-0.04,-0.161,24.9151,"Sep 3, 13",-0.025550314465408886
2013-09-04,24.86,25.58,24.8475,25.58,366540,366540,0.79,3.187,25.486,"Sep 4, 13",0.005503144654087933
2013-09-05,25.53,25.88,25.22,25.63,71073,71073,0.05,0.195,25.6062,"Sep 5, 13",0.007468553459119407
2013-09-06,25.78,25.96,25.355,25.81,59917,59917,0.18,0.702,25.713,"Sep 6, 13",0.014544025157232602
2013-09-09,26,26.13,25.35,26.08,56375,56375,0.27,1.046,25.8438,"Sep 9, 13",0.025157232704402396
2013-09-10,26.29,26.45,25.66,26.2,36751,36751,0.12,0.46,26.06,"Sep 10, 13",0.029874213836477908
