date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,67.5875,67.5875,65.689,66.3075,26365,26365,-1.6837,-2.476,66.6109,"Aug 5, 13",0
2013-08-06,66.4278,67.4071,66.0412,67.0291,25348,25348,0.721571,1.088,66.6832,"Aug 6, 13",0.010882630170041022
2013-08-07,67.0291,67.639,66.3505,66.5137,25803,25803,-0.51541,-0.769,66.8066,"Aug 7, 13",0.003109753798589835
2013-08-08,66.4965,66.9862,65.6976,66.3333,10463,10463,-0.180392,-0.271,66.2141,"Aug 8, 13",0.00038909625607947226
2013-08-09,66.3505,66.8487,65.9038,66.4965,30993,30993,0.163213,0.246,66.3361,"Aug 9, 13",0.0028503562945367106
2013-08-12,66.4536,66.926,66.2045,66.5567,16659,16659,0.060133,0.09,66.6032,"Aug 12, 13",0.003758247558722646
2013-08-13,66.8315,67.5703,65.0706,65.4571,28254,28254,-1.0995,-1.652,65.3926,"Aug 13, 13",-0.012825095200392227
2013-08-14,66.0928,66.4665,65.0791,66.067,15167,15167,0.609901,0.932,65.7584,"Aug 14, 13",-0.0036270406816726834
2013-08-15,66.0412,66.0412,65.0276,65.0877,11575,11575,-0.979278,-1.482,65.1143,"Aug 15, 13",-0.0183961090374393
2013-08-16,65.0276,65.3283,64.7699,65.1393,11759,11759,0.051538,0.079,65.0312,"Aug 16, 13",-0.017617916525279928
2013-08-19,65.4571,65.4571,64.306,64.3404,8258,8258,-0.798883,-1.226,64.6614,"Aug 19, 13",-0.029666327338536393
2013-08-20,64.4263,65.2338,64.0741,64.9932,17544,17544,0.65285,1.015,64.8655,"Aug 20, 13",-0.019821287184707655
2013-08-21,64.5895,64.6325,63.6789,64.2717,15516,15516,-0.721572,-1.11,64.2971,"Aug 21, 13",-0.030702409229725277
2013-08-22,64.0483,64.7355,64.0397,64.4349,12032,12032,0.163214,0.254,64.2408,"Aug 22, 13",-0.02824114919126804
2013-08-23,64.7785,65.0919,64.0999,64.641,37922,37922,0.206164,0.32,64.4705,"Aug 23, 13",-0.025132903517701605
2013-08-26,64.7098,64.8816,64.1944,64.2631,10499,10499,-0.377968,-0.585,64.3994,"Aug 26, 13",-0.03083210798175184
2013-08-27,64.0397,64.4349,63.8078,63.971,11803,11803,-0.292065,-0.454,64.1259,"Aug 27, 13",-0.035237341175583574
2013-08-28,63.5674,64.3318,63.4384,63.6446,14960,14960,-0.326427,-0.51,63.7933,"Aug 28, 13",-0.040159861252497944
2013-08-29,63.7477,64.3404,63.4298,63.9452,13510,13510,0.300656,0.472,64.1531,"Aug 29, 13",-0.035626437431663154
2013-08-30,64.306,64.3318,63.3439,63.3611,18977,18977,-0.584133,-0.913,63.7189,"Aug 30, 13",-0.04443539569430312
2013-09-03,64.0655,64.0655,62.6224,63.0862,19532,19532,-0.274884,-0.434,63.0902,"Sep 3, 13",-0.04858123138408184
2013-09-04,63.069,63.5844,63.069,63.5844,14505,14505,0.498228,0.79,63.4231,"Sep 4, 13",-0.04106775251668367
2013-09-05,64.1256,64.6325,63.825,63.9452,13266,13266,0.360789,0.567,64.074,"Sep 5, 13",-0.035626437431663154
2013-09-06,64.4778,64.4778,63.0519,63.0519,16265,16265,-0.893377,-1.397,63.5225,"Sep 6, 13",-0.04909851826716436
2013-09-09,63.5071,64.3146,63.1292,64.0999,7610,7610,1.048,1.662,63.8163,"Sep 9, 13",-0.033293368020208866
2013-09-10,64.4177,65.0963,64.0741,64.2631,20906,20906,0.163212,0.255,64.3475,"Sep 10, 13",-0.03083210798175184
2013-09-11,64.014,64.3318,63.6961,63.7648,8234,8234,-0.498228,-0.775,63.931,"Sep 11, 13",-0.03834709497417341
2013-09-12,64.0483,64.2459,63.2666,63.4212,9123,9123,-0.34361,-0.539,63.5736,"Sep 12, 13",-0.043529012555140904
2013-09-13,63.5759,63.8851,63.3096,63.4814,46611,46611,0.060133,0.095,63.5707,"Sep 13, 13",-0.04262112129095508
2013-09-16,64.3232,64.3232,63.5673,63.782,10861,10861,0.300657,0.474,63.8121,"Sep 16, 13",-0.03808769747012039
2013-09-17,63.8765,64.2373,63.6154,63.6789,17101,17101,-0.103083,-0.162,63.7802,"Sep 17, 13",-0.03964257436941531
2013-09-18,63.9281,64.2029,63.6446,63.6961,33144,33144,0.017179,0.027,63.7837,"Sep 18, 13",-0.039383176865362184
2013-09-19,64.1514,64.1514,63.7305,63.782,26184,26184,0.085904,0.135,63.8158,"Sep 19, 13",-0.03808769747012039
2013-09-20,64.0827,64.2717,63.6446,63.6618,63269,63269,-0.120263,-0.189,63.7056,"Sep 20, 13",-0.03990046374844482
2013-09-23,63.782,64.014,63.1464,63.258,16902,16902,-0.40374,-0.634,63.3664,"Sep 23, 13",-0.04599027259359804
2013-09-24,63.5157,63.8765,63.1555,63.2408,15184,15184,-0.017176,-0.027,63.4756,"Sep 24, 13",-0.04624967009765116
2013-09-25,63.6188,65.5774,63.4728,65.2252,35724,35724,1.9843,3.138,64.7279,"Sep 25, 13",-0.01632243713003813
2013-09-26,65.3111,65.6719,63.1979,63.5501,26555,26555,-1.6751,-2.568,64.0761,"Sep 26, 13",-0.0415850393997663
2013-09-27,63.2408,63.9968,63.0519,63.1292,46997,46997,-0.42092,-0.662,63.3774,"Sep 27, 13",-0.04793273762394913
2013-09-30,62.9831,63.0605,62.0726,62.253,42472,42472,-0.876198,-1.388,62.4523,"Sep 30, 13",-0.06114692908042083
2013-10-01,62.5279,62.7856,61.8699,62.3561,42781,42781,0.103082,0.166,62.2858,"Oct 1, 13",-0.05959205218112591
