date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,40.4538,40.6099,40.2582,40.5548,7009,7009,-0.670402,-1.626,40.4289,"Aug 5, 13",0
2013-08-06,40.5348,40.5348,40.3252,40.3987,1038,1038,-0.156122,-0.385,53.3268,"Aug 6, 13",-0.0038491128053893034
2013-08-07,40.2334,40.2334,39.5432,39.5432,3414,3414,-0.855456,-2.118,39.9347,"Aug 7, 13",-0.024944026354463623
2013-08-08,39.5813,40.114,39.5262,39.7283,3365,3365,0.185052,0.468,39.8292,"Aug 8, 13",-0.02037983173385155
2013-08-09,39.9028,40.1415,39.9028,40.0405,1500,1500,0.312241,0.786,40.0656,"Aug 9, 13",-0.012681606123072944
2013-08-12,40.2885,40.8671,40.2885,40.5915,5176,5176,0.551019,1.376,45.1873,"Aug 12, 13",0.0009049483661614232
2013-08-13,42.1528,42.1711,41.8772,41.9691,10391,10391,1.3775,3.394,42.0527,"Aug 13, 13",0.03487380038860991
2013-08-14,41.5283,41.9599,40.9405,41.9599,5552,5552,-0.009184,-0.022,41.4333,"Aug 14, 13",0.03464694684722887
2013-08-15,41.317,41.317,40.6742,40.8671,6271,6271,-1.0928,-2.605,40.9446,"Aug 15, 13",0.007700691410141351
2013-08-16,40.8671,41.2877,40.6558,40.8579,4619,4619,-0.009183,-0.022,40.76,"Aug 16, 13",0.007473837868760309
2013-08-19,41.5319,41.7814,41.0336,41.5226,12107,12107,0.66475,1.627,42.0506,"Aug 19, 13",0.02386400623354071
2013-08-20,41.3932,42.4285,41.3932,42.0078,4134,4134,0.485201,1.169,41.7367,"Aug 20, 13",0.03582806474202814
2013-08-21,42.104,42.41,41.9672,42.41,4400,4400,0.402192,0.957,42.1268,"Aug 21, 13",0.045745509779360184
2013-08-22,42.446,42.6966,42.446,42.6688,3487,3487,0.258821,0.61,42.5711,"Aug 22, 13",0.05212699853038351
2013-08-23,42.6873,42.7058,42.0588,42.4747,7784,7784,-0.194113,-0.455,42.4569,"Aug 23, 13",0.04734088196711606
2013-08-26,42.2991,42.2991,41.1622,41.6151,16926,16926,-0.859662,-2.024,41.7786,"Aug 26, 13",0.026144870644165378
2013-08-27,40.2008,40.6537,40.1638,40.173,18393,18393,-1.442,-3.465,40.3441,"Aug 27, 13",-0.009414421967313322
2013-08-28,40.0898,40.6629,39.8495,40.3949,24317,24317,0.221847,0.552,40.3575,"Aug 28, 13",-0.003942813181177084
2013-08-29,40.8293,41.9109,40.8293,41.5504,6238,6238,1.1555,2.86,41.538,"Aug 29, 13",0.024549498456409677
2013-08-30,41.5143,41.8637,41.5143,41.5596,4417,4417,0.009241,0.022,41.5757,"Aug 30, 13",0.024776351997790717
