date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2017-12-22,0.6,0.8,0.6,0.8,30600,30600,0.8,0,0.636601,"Dec 22, 17",0
2017-12-26,0.79,0.8,0.74,0.8,67989,67989,0,0,0.768405,"Dec 26, 17",0
2017-12-27,0.76,0.7884,0.66,0.7884,12600,12600,-0.0116,-1.45,0.756199,"Dec 27, 17",-0.014500000000000068
2017-12-28,0.7,0.7875,0.7,0.7875,1500,1500,-0.0009,-0.114,0.729167,"Dec 28, 17",-0.015625000000000083
2017-12-29,0.78,1.03,0.69,0.75,318650,318650,-0.0375,-4.762,0.767723,"Dec 29, 17",-0.06250000000000006
2018-01-03,0.675,0.675,0.675,0.675,1075,1075,-0.075,-10,0.675,"Jan 3, 18",-0.15625
2018-01-04,0.725,0.726,0.725,0.726,225,225,0.051,7.556,0.7255,"Jan 4, 18",-0.09250000000000008
2018-01-05,0.73,0.75,0.72,0.75,6500,6500,0.024,3.306,0.725846,"Jan 5, 18",-0.06250000000000006
2018-01-09,0.7,0.75,0.65,0.7,23510,23510,-0.05,-6.667,0.689574,"Jan 9, 18",-0.1250000000000001
2018-01-10,0.74,0.74,0.74,0.74,100,100,0.04,5.714,0.74,"Jan 10, 18",-0.07500000000000007
2018-01-11,0.73,0.73,0.73,0.73,1000,1000,-0.01,-1.351,0.73,"Jan 11, 18",-0.08750000000000008
2018-01-17,0.7,0.7,0.6988,0.7,6500,6500,-0.03,-4.11,0.699538,"Jan 17, 18",-0.1250000000000001
2018-01-18,0.71,0.73,0.65,0.72,8502,8502,0.02,2.857,0.687651,"Jan 18, 18",-0.10000000000000009
2018-01-19,0.69,0.71,0.69,0.7099,15000,15000,-0.0101,-1.403,0.695971,"Jan 19, 18",-0.11262500000000009
2018-01-22,0.72,0.72,0.68,0.72,8490,8490,0.0101,1.423,0.687164,"Jan 22, 18",-0.10000000000000009
2018-01-23,0.73,0.73,0.67,0.72,5102,5102,0,0,0.711765,"Jan 23, 18",-0.10000000000000009
2018-01-24,0.68,0.71,0.68,0.7,44624,44624,-0.02,-2.778,0.690973,"Jan 24, 18",-0.1250000000000001
2018-01-25,0.7499,0.7499,0.65,0.698,19504,19504,-0.002,-0.286,0.662143,"Jan 25, 18",-0.1275000000000001
2018-01-26,0.729,0.75,0.68,0.68,22200,22200,-0.018,-2.579,0.727784,"Jan 26, 18",-0.15
2018-01-29,0.72,0.72,0.65,0.65,1100,1100,-0.03,-4.412,0.660909,"Jan 29, 18",-0.18750000000000003
2018-01-30,0.699,0.73,0.65,0.65,88400,88400,0,0,0.717457,"Jan 30, 18",-0.18750000000000003
2018-01-31,0.65,0.65,0.65,0.65,5500,5500,0,0,0.65,"Jan 31, 18",-0.18750000000000003
2018-02-02,0.65,0.65,0.63,0.65,49100,49100,0,0,0.649593,"Feb 2, 18",-0.18750000000000003
2018-02-05,0.6768,0.6768,0.6,0.6,4200,4200,-0.05,-7.692,0.627614,"Feb 5, 18",-0.25000000000000006
2018-02-06,0.6112,0.6112,0.6,0.6075,1200,1200,0.0075,1.25,0.608717,"Feb 6, 18",-0.240625
2018-02-07,0.61,0.75,0.61,0.65,27900,27900,0.0425,6.996,0.626559,"Feb 7, 18",-0.18750000000000003
2018-02-08,0.64,0.64,0.62,0.62,11800,11800,-0.03,-4.615,0.639492,"Feb 8, 18",-0.22500000000000006
2018-02-09,0.61,0.65,0.59,0.6,34875,34875,-0.02,-3.226,0.614214,"Feb 9, 18",-0.25000000000000006
2018-02-13,0.56,0.58,0.56,0.58,22000,22000,-0.02,-3.333,0.561818,"Feb 13, 18",-0.2750000000000001
2018-02-14,0.6,0.6,0.575,0.575,1901,1901,-0.005,-0.862,0.580263,"Feb 14, 18",-0.2812500000000001
2018-02-15,0.73,0.7399,0.62,0.67,51651,51651,0.095,16.522,0.679783,"Feb 15, 18",-0.1625
2018-02-16,0.74,0.7401,0.6599,0.6898,24648,24648,0.0198,2.955,0.669446,"Feb 16, 18",-0.1377500000000001
2018-02-20,0.68,0.7,0.67,0.7,16902,16902,0.0102,1.479,0.689563,"Feb 20, 18",-0.1250000000000001
2018-02-21,0.7498,0.7498,0.6795,0.6795,12685,12685,-0.0205,-2.929,0.689857,"Feb 21, 18",-0.15062500000000006
2018-02-22,0.699,0.699,0.6591,0.694,15796,15796,0.0145,2.134,0.667037,"Feb 22, 18",-0.13250000000000012
2018-02-23,0.699,0.75,0.659,0.68,74641,74641,-0.014,-2.017,0.682502,"Feb 23, 18",-0.15
2018-02-26,0.7498,0.7498,0.68,0.7,17500,17500,0.02,2.941,0.69143,"Feb 26, 18",-0.1250000000000001
2018-02-27,0.695,0.695,0.68,0.68,11800,11800,-0.02,-2.857,0.680593,"Feb 27, 18",-0.15
2018-02-28,0.69,0.7,0.68,0.68,21100,21100,0,0,0.684787,"Feb 28, 18",-0.15
2018-03-01,0.69,0.69,0.68,0.68,10200,10200,0,0,0.680196,"Mar 1, 18",-0.15
2018-03-02,0.7039,0.7039,0.7039,0.7039,4910,4910,0.0239,3.515,0.7039,"Mar 2, 18",-0.12012500000000009
2018-03-05,0.67,0.699,0.65,0.67,10820,10820,-0.0339,-4.816,0.665472,"Mar 5, 18",-0.1625
2018-03-06,0.699,0.699,0.6734,0.69,9100,9100,0.02,2.985,0.686987,"Mar 6, 18",-0.13750000000000012
2018-03-07,0.65,0.69,0.65,0.69,200,200,0,0,0.67,"Mar 7, 18",-0.13750000000000012
2018-03-08,0.699,0.699,0.64,0.640251,3400,3400,-0.049749,-7.21,0.643133,"Mar 8, 18",-0.19968625000000004
2018-03-09,0.6899,0.6899,0.6732,0.6799,12200,12200,0.039649,6.193,0.676736,"Mar 9, 18",-0.15012500000000012
2018-03-12,0.62,0.68,0.55,0.6354,27875,27875,-0.0445,-6.545,0.560958,"Mar 12, 18",-0.2057500000000001
2018-03-13,0.6599,0.6599,0.6599,0.6599,200,200,0.0245,3.856,0.6599,"Mar 13, 18",-0.175125
2018-03-14,0.6394,0.6394,0.6394,0.6394,100,100,-0.0205,-3.107,0.6394,"Mar 14, 18",-0.2007500000000001
2018-03-15,0.63,0.63,0.63,0.63,126,126,-0.0094,-1.47,0.63,"Mar 15, 18",-0.21250000000000005
2018-03-19,0.5996,0.5996,0.5995,0.5995,1200,1200,-0.0305,-4.841,0.599583,"Mar 19, 18",-0.250625
2018-03-20,0.6038,0.6294,0.58,0.6,8000,8000,0.0005,0.083,0.595798,"Mar 20, 18",-0.25000000000000006
2018-03-21,0.6227,0.6227,0.6227,0.6227,100,100,0.0227,3.783,0.6227,"Mar 21, 18",-0.22162500000000002
2018-03-22,0.57,0.62,0.5336,0.62,10100,10100,-0.0027,-0.434,0.569039,"Mar 22, 18",-0.22500000000000006
2018-03-23,0.62,0.62,0.54,0.62,21060,21060,0,0,0.567215,"Mar 23, 18",-0.22500000000000006
2018-03-26,0.62,0.62,0.62,0.62,1000,1000,0,0,0.62,"Mar 26, 18",-0.22500000000000006
2018-03-27,0.62,0.62,0.62,0.62,100,100,0,0,0.62,"Mar 27, 18",-0.22500000000000006
2018-03-28,0.54,0.59,0.52,0.59,10700,10700,-0.03,-4.839,0.530874,"Mar 28, 18",-0.26250000000000007
2018-03-29,0.59,0.59,0.5799,0.58,10100,10100,-0.01,-1.695,0.58005,"Mar 29, 18",-0.2750000000000001
2018-04-03,0.54,0.57,0.52,0.57,11000,11000,-0.01,-1.724,0.539002,"Apr 3, 18",-0.2875000000000001
2018-04-04,0.6199,0.65,0.6064,0.64,37570,37570,0.07,12.281,0.632855,"Apr 4, 18",-0.20000000000000004
2018-04-05,0.61,0.61,0.61,0.61,6600,6600,-0.03,-4.688,0.61,"Apr 5, 18",-0.23750000000000007
2018-04-06,0.54,0.58,0.5201,0.58,15500,15500,-0.03,-4.918,0.543741,"Apr 6, 18",-0.2750000000000001
2018-04-09,0.62,0.62,0.62,0.62,100,100,0.04,6.897,0.62,"Apr 9, 18",-0.22500000000000006
2018-04-10,0.6192,0.6192,0.6,0.6192,10000,10000,-0.0008,-0.129,0.60576,"Apr 10, 18",-0.2260000000000001
2018-04-11,0.6192,0.6192,0.6192,0.6192,400,400,0,0,0.6192,"Apr 11, 18",-0.2260000000000001
2018-04-12,0.6192,0.6192,0.6192,0.6192,100,100,0,0,0.6192,"Apr 12, 18",-0.2260000000000001
2018-04-13,0.595,0.6,0.592,0.6,12680,12680,-0.0192,-3.101,0.594477,"Apr 13, 18",-0.25000000000000006
2018-04-16,0.5999,0.6,0.5999,0.6,25000,25000,0,0,0.599995,"Apr 16, 18",-0.25000000000000006
2018-04-17,0.55,0.65,0.52,0.5785,58698,58698,-0.0215,-3.583,0.555344,"Apr 17, 18",-0.27687500000000004
2018-04-18,0.54,0.65,0.54,0.6,97272,97272,0.0215,3.717,0.594171,"Apr 18, 18",-0.25000000000000006
