date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,5.3627,5.3627,5.3114,5.3114,80019,80019,-0.058607,-1.091,5.3376,"Aug 5, 13",0
2013-08-06,5.3077,5.3372,5.293,5.3298,61353,61353,0.018441,0.347,5.3078,"Aug 6, 13",0.0034642467146138024
2013-08-07,5.293,5.3298,5.2628,5.3298,101435,101435,0,0,5.2977,"Aug 7, 13",0.0034642467146138024
2013-08-08,5.3298,5.3445,5.2562,5.3445,67904,67904,0.014724,0.276,5.2949,"Aug 8, 13",0.006231878600745591
2013-08-09,5.3519,5.3782,5.293,5.3666,91110,91110,0.022085,0.413,5.3379,"Aug 9, 13",0.010392740143841575
2013-08-12,5.3445,5.396,5.3151,5.3887,75497,75497,0.022083,0.411,5.3548,"Aug 12, 13",0.014553601686937558
2013-08-13,5.3519,5.4108,5.3077,5.4034,50906,50906,0.014721,0.273,5.3504,"Aug 13, 13",0.017321233573069347
2013-08-14,5.374,5.374,5.3151,5.3593,77783,77783,-0.044168,-0.817,5.349,"Aug 14, 13",0.009018337914674148
2013-08-15,5.3077,5.3364,5.2488,5.2783,84018,84018,-0.080977,-1.511,5.2972,"Aug 15, 13",-0.006231878600745591
2013-08-16,5.2636,5.3298,5.2341,5.2783,79869,79869,0,0,5.2621,"Aug 16, 13",-0.006231878600745591
2013-08-19,5.2488,5.2709,5.1458,5.1826,246830,246830,-0.095703,-1.813,5.1976,"Aug 19, 13",-0.024249727002296953
2013-08-20,5.1679,5.2341,5.1458,5.1973,121769,121769,0.014726,0.284,5.1712,"Aug 20, 13",-0.021482095116165164
2013-08-21,5.212,5.212,5.1163,5.1605,162118,162118,-0.036809,-0.708,5.1516,"Aug 21, 13",-0.028410588545392936
2013-08-22,5.1752,5.2415,5.1384,5.2047,111415,111415,0.044174,0.856,5.2032,"Aug 22, 13",-0.020088865459200966
2013-08-23,5.1826,5.2047,5.1605,5.1899,77299,77299,-0.014727,-0.283,5.1823,"Aug 23, 13",-0.022875324773129525
2013-08-26,5.1973,5.212,5.1531,5.1952,63394,63394,0.005224,0.101,5.1825,"Aug 26, 13",-0.02187747109989835
2013-08-27,5.1679,5.212,5.1016,5.2047,150542,150542,0.009503,0.183,5.1474,"Aug 27, 13",-0.020088865459200966
2013-08-28,5.1752,5.2414,5.1679,5.2267,51388,51388,0.022078,0.424,5.1968,"Aug 28, 13",-0.015946831343901756
2013-08-29,5.2047,5.2783,5.1752,5.2783,103815,103815,0.051534,0.986,5.2114,"Aug 29, 13",-0.006231878600745591
2013-08-30,5.2562,5.2562,5.1973,5.2194,51807,51807,-0.058896,-1.116,5.2236,"Aug 30, 13",-0.01732123357306918
2013-09-03,5.2194,5.2488,5.1899,5.2488,67886,67886,0.029447,0.564,5.2144,"Sep 3, 13",-0.011785969800805771
2013-09-04,5.2194,5.2529,5.212,5.2488,111271,111271,0,0,5.2252,"Sep 4, 13",-0.011785969800805771
2013-09-05,5.212,5.2194,5.1826,5.2194,131602,131602,-0.029447,-0.561,5.1981,"Sep 5, 13",-0.01732123357306918
