date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,8.0475,8.0547,7.9613,7.9757,55436,55436,-0.086225,-1.07,7.9984,"Aug 5, 13",0
2013-08-06,7.9824,8.0837,7.9824,7.9824,145345,145345,0.006704,0.084,8.0199,"Aug 6, 13",0.0008400516569079043
2013-08-07,7.9751,8.0112,7.9245,7.9389,132222,132222,-0.043419,-0.544,7.9667,"Aug 7, 13",-0.004614015070777424
2013-08-08,7.8883,7.8966,7.7725,7.7797,67544,67544,-0.159216,-2.006,7.8574,"Aug 8, 13",-0.02457464548566267
2013-08-09,7.7797,7.8521,7.6856,7.7291,106274,106274,-0.050657,-0.651,7.7582,"Aug 9, 13",-0.030918916207981737
2013-08-12,7.787,8.0041,7.7797,7.91,158276,158276,0.180925,2.341,7.8508,"Aug 12, 13",-0.008237521471469545
2013-08-13,7.8593,7.9317,7.8159,7.8449,118525,118525,-0.06513,-0.823,7.87,"Aug 13, 13",-0.016399814436350392
2013-08-14,7.8593,7.8738,7.6784,7.7363,150159,150159,-0.108561,-1.384,7.7571,"Aug 14, 13",-0.030016174128916565
2013-08-15,7.635,7.7074,7.4902,7.5699,233679,233679,-0.166446,-2.151,7.5891,"Aug 15, 13",-0.05087954662286698
2013-08-16,7.5626,7.6704,7.512,7.6277,108433,108433,0.057893,0.765,7.5955,"Aug 16, 13",-0.04363253382148274
2013-08-19,7.6784,7.7074,7.5988,7.6495,113687,113687,0.021711,0.285,7.6548,"Aug 19, 13",-0.040899231415424356
2013-08-20,7.6205,7.7435,7.5988,7.7218,141154,141154,0.072373,0.946,7.6848,"Aug 20, 13",-0.03183419637147834
2013-08-21,7.7363,7.7435,7.6205,7.6784,106449,106449,-0.043424,-0.562,7.6718,"Aug 21, 13",-0.03727572501473224
2013-08-22,7.6639,7.7797,7.6639,7.7652,108970,108970,0.086842,1.131,7.6984,"Aug 22, 13",-0.026392667728224444
2013-08-23,7.758,7.8087,7.6929,7.7146,111243,111243,-0.050659,-0.652,7.761,"Aug 23, 13",-0.03273693845054351
2013-08-26,7.6929,7.7725,7.6205,7.6205,64437,64437,-0.094081,-1.22,7.6802,"Aug 26, 13",-0.04453527590054791
2013-08-27,7.6133,7.6856,7.5771,7.5988,96806,96806,-0.021708,-0.285,7.6184,"Aug 27, 13",-0.04725604022217486
2013-08-28,7.5988,7.6856,7.5554,7.5916,79749,79749,-0.007235,-0.095,7.6161,"Aug 28, 13",-0.04815878230124003
2013-08-29,7.5988,7.6133,7.4324,7.5626,126657,126657,-0.028952,-0.381,7.5299,"Aug 29, 13",-0.05179482678636358
2013-08-30,7.5047,7.5626,7.4613,7.483,91513,91513,-0.079605,-1.053,7.5014,"Aug 30, 13",-0.0617751419938062
2013-09-03,7.5047,7.5264,7.4324,7.4902,76949,76949,0.007237,0.097,7.4896,"Sep 3, 13",-0.060872399914741034
2013-09-04,7.4975,7.5192,7.4396,7.4613,101104,101104,-0.028944,-0.386,7.4766,"Sep 4, 13",-0.06449590631543316
2013-09-05,7.4468,7.4902,7.4324,7.468,58121,58121,0.006729,0.09,7.4588,"Sep 5, 13",-0.06365585465852525
2013-09-06,7.4722,7.5159,7.4139,7.4868,128006,128006,0.018732,0.251,7.4535,"Sep 6, 13",-0.0612986947854107
2013-09-09,7.4868,7.5232,7.3847,7.3847,109775,109775,-0.102059,-1.363,7.4501,"Sep 9, 13",-0.07410007898993194
2013-09-10,7.3847,7.4357,7.2826,7.2899,142868,142868,-0.094769,-1.283,7.3323,"Sep 10, 13",-0.08598618303095647
2013-09-11,7.3191,7.3191,7.2681,7.3045,137173,137173,0.01458,0.2,7.2959,"Sep 11, 13",-0.08415562270396326
2013-09-12,7.341,7.392,7.2754,7.3118,117578,117578,0.007295,0.1,7.3201,"Sep 12, 13",-0.08324034254046667
2013-09-13,7.341,7.4649,7.3249,7.4649,98829,98829,0.153092,2.094,7.404,"Sep 13, 13",-0.06404453527590051
2013-09-16,7.4795,7.6181,7.4795,7.5597,113854,113854,0.094761,1.269,7.5604,"Sep 16, 13",-0.052158431234875874
2013-09-17,7.6107,7.72,7.5815,7.6617,135697,135697,0.102063,1.35,7.641,"Sep 17, 13",-0.03936958511478617
2013-09-18,7.6982,7.8075,7.5232,7.7929,141285,141285,0.131219,1.713,7.6747,"Sep 18, 13",-0.02291961834070983
2013-09-19,7.7857,7.8658,7.6792,7.8002,103864,103864,0.007286,0.093,7.7967,"Sep 19, 13",-0.02200433817721323
2013-09-20,7.7929,7.8731,7.7929,7.8206,83516,83516,0.020344,0.261,7.8301,"Sep 20, 13",-0.019446568953195333
2013-09-23,7.8075,7.8804,7.6909,7.7273,103719,103719,-0.093241,-1.192,7.7858,"Sep 23, 13",-0.031144601727748057
2013-09-24,7.7492,7.8367,7.72,7.8148,79823,79823,0.087475,1.132,7.7904,"Sep 24, 13",-0.02017377785022002
2013-09-25,7.8367,7.9023,7.8003,7.9023,44661,44661,0.087484,1.119,7.8744,"Sep 25, 13",-0.009202953972691986
2013-09-26,7.8658,7.9314,7.8586,7.9169,58326,58326,0.014579,0.184,7.9106,"Sep 26, 13",-0.007372393645698778
2013-09-27,7.8731,7.9679,7.8367,7.9606,54465,54465,0.043738,0.552,7.9369,"Sep 27, 13",-0.0018932507491504756
2013-09-30,7.9533,8.0991,7.946,8.0554,108551,108551,0.094773,1.191,8.0385,"Sep 30, 13",0.009992853291874165
2013-10-01,8.0991,8.1283,7.9606,7.9898,99793,99793,-0.065612,-0.815,8.0421,"Oct 1, 13",0.0017678699048359393
2013-10-02,7.9825,8.0306,7.9533,8.0043,36428,36428,0.01458,0.182,7.9924,"Oct 2, 13",0.003585892147397827
2013-10-03,8.0408,8.0918,7.9679,8.0408,109231,109231,0.036453,0.455,8.0368,"Oct 3, 13",0.008162292964880956
2013-10-04,7.9971,8.0627,7.9971,8.0408,52520,52520,0,0,8.0382,"Oct 4, 13",0.008162292964880956
2013-10-07,8.0772,8.121,8.0189,8.0335,106209,106209,-0.007292,-0.091,8.0622,"Oct 7, 13",0.007247012801384242
2013-10-08,8.0372,8.0372,7.8757,7.9271,87501,87501,-0.106427,-1.325,7.9517,"Oct 8, 13",-0.0060935090336897745
2013-10-09,7.8977,7.9858,7.8977,7.9638,45015,45015,0.036697,0.463,7.9491,"Oct 9, 13",-0.0014920320473437818
2013-10-10,7.9491,7.9638,7.8904,7.9418,66716,66716,-0.022018,-0.276,7.933,"Oct 10, 13",-0.004250410622265136
2013-10-11,7.9418,7.9785,7.795,7.9564,140027,140027,0.014675,0.185,7.8812,"Oct 11, 13",-0.002419850295271817
2013-10-14,8.0005,8.0592,7.9711,8.0298,82066,82066,0.073407,0.923,8.0102,"Oct 14, 13",0.006783103677420169
2013-10-15,7.9638,8.0445,7.9638,8.0225,111423,111423,-0.007344,-0.091,7.9886,"Oct 15, 13",0.0058678235139236765
2013-10-16,8.0372,8.0372,7.9197,8.0298,130280,130280,0.007344,0.092,7.9648,"Oct 16, 13",0.006783103677420169
2013-10-17,8.0739,8.162,8.0152,8.1253,174295,174295,0.095413,1.188,8.0808,"Oct 17, 13",0.01875697430946494
2013-10-18,8.1399,8.184,8.0739,8.1473,93441,93441,0.022024,0.271,8.1189,"Oct 18, 13",0.02151535288438629
2013-10-21,8.1179,8.206,8.0665,8.1987,138690,138690,0.051378,0.631,8.1316,"Oct 21, 13",0.027959928282157147
2013-10-22,8.2574,8.2574,8.1327,8.1987,95367,95367,0,0,8.1801,"Oct 22, 13",0.027959928282157147
2013-10-23,8.2207,8.3601,8.1473,8.2574,88491,88491,0.058721,0.716,8.2708,"Oct 23, 13",0.03531978384342449
2013-10-24,8.2574,8.3088,8.2537,8.2941,42649,42649,0.036699,0.444,8.2766,"Oct 24, 13",0.03992126082977049
2013-10-25,8.2794,8.3455,8.2794,8.3014,41031,41031,0.007334,0.088,8.3116,"Oct 25, 13",0.04083654099326698
2013-10-28,8.3455,8.3528,8.2647,8.2941,41371,41371,-0.007334,-0.088,8.2933,"Oct 28, 13",0.03992126082977049
2013-10-29,8.3308,8.3822,8.2867,8.3601,36006,36006,0.066057,0.796,8.3508,"Oct 29, 13",0.048196396554534324
2013-10-30,8.3601,8.4042,8.195,8.25,122073,122073,-0.110098,-1.317,8.2771,"Oct 30, 13",0.03439196559549635
2013-10-31,8.2794,8.3088,8.2061,8.25,54562,54562,0,0,8.2519,"Oct 31, 13",0.03439196559549635
2013-11-01,8.2574,8.2867,8.1399,8.162,78978,78978,-0.088078,-1.068,8.187,"Nov 1, 13",0.023358451295811156
2013-11-04,8.1473,8.2794,8.1473,8.2574,63618,63618,0.09542,1.169,8.2294,"Nov 4, 13",0.03531978384342449
2013-11-05,8.2574,8.3381,8.2207,8.3308,85823,85823,0.073394,0.889,8.2959,"Nov 5, 13",0.04452273781611648
2013-11-06,8.3014,8.3822,8.3014,8.3381,61694,61694,0.00734,0.088,8.3399,"Nov 6, 13",0.04543801797961319
2013-11-07,8.2679,8.327,8.231,8.2975,90700,90700,-0.040638,-0.487,8.2757,"Nov 7, 13",0.04034755570044004
2013-11-08,8.2458,8.2458,8.0093,8.0758,100762,100762,-0.221657,-2.671,8.1039,"Nov 8, 13",0.012550622515891948
2013-11-11,8.1275,8.1866,8.0315,8.0758,43372,43372,0,0,8.1045,"Nov 11, 13",0.012550622515891948
2013-11-12,8.0758,8.0758,7.8098,7.9133,148840,148840,-0.162554,-2.013,7.9173,"Nov 12, 13",-0.00782376468523142
2013-11-13,7.928,7.9502,7.795,7.928,51698,51698,0.01478,0.187,7.8698,"Nov 13, 13",-0.00598066627380667
2013-11-14,7.928,8.0167,7.9133,7.9427,75489,75489,0.014702,0.185,7.9623,"Nov 14, 13",-0.004137567862381919
2013-11-15,7.9354,7.9443,7.8689,7.928,53757,53757,-0.014702,-0.185,7.9193,"Nov 15, 13",-0.00598066627380667
2013-11-18,7.9059,7.9502,7.9059,7.9059,62256,62256,-0.022169,-0.28,7.9238,"Nov 18, 13",-0.008751582933159455
2013-11-19,7.8837,7.9576,7.832,7.832,91528,91528,-0.073884,-0.935,7.8841,"Nov 19, 13",-0.01801722732800882
2013-11-20,7.8763,7.965,7.795,7.795,107562,107562,-0.036944,-0.472,7.8442,"Nov 20, 13",-0.022656318567649218
2013-11-21,7.7729,7.8542,7.7729,7.8098,87737,87737,0.014777,0.19,7.8186,"Nov 21, 13",-0.020800682071793038
2013-11-22,7.8172,7.8689,7.8098,7.8246,29274,29274,0.01478,0.189,7.8331,"Nov 22, 13",-0.018945045575936854
2013-11-25,7.8246,7.8468,7.7359,7.7359,54750,54750,-0.088667,-1.133,7.799,"Nov 25, 13",-0.030066326466642403
2013-11-26,7.7286,7.7877,7.7286,7.7359,61801,61801,0,0,7.7515,"Nov 26, 13",-0.030066326466642403
2013-11-27,7.7729,7.8172,7.7507,7.7832,68345,68345,0.047218,0.61,7.7976,"Nov 27, 13",-0.024135812530561566
2013-11-29,7.7655,7.8098,7.7655,7.7803,12764,12764,-0.002885,-0.037,7.7881,"Nov 29, 13",-0.024499416979073856
2013-12-02,7.7729,7.8054,7.7729,7.7877,33613,33613,0.007389,0.095,7.7918,"Dec 2, 13",-0.02357159873114582
2013-12-03,7.8024,7.8246,7.7581,7.7581,299453,299453,-0.029557,-0.38,7.7944,"Dec 3, 13",-0.027282871722858183
2013-12-04,7.7581,7.8394,7.7581,7.8172,104800,104800,0.05911,0.762,7.7951,"Dec 4, 13",-0.019872863823865
2013-12-05,7.8615,7.8615,7.7581,7.7877,71625,71625,-0.029553,-0.378,7.8173,"Dec 5, 13",-0.02357159873114582
2013-12-06,7.8509,7.8509,7.7318,7.7616,84775,84775,-0.026042,-0.334,7.7841,"Dec 6, 13",-0.026844038767757084
2013-12-09,7.7467,7.7467,7.6202,7.6574,126052,126052,-0.104184,-1.342,7.6726,"Dec 9, 13",-0.039908722745338944
2013-12-10,7.6649,7.7021,7.5756,7.6202,124182,124182,-0.037211,-0.486,7.6161,"Dec 10, 13",-0.04457289015384232
2013-12-11,7.6053,7.6426,7.5235,7.6128,159888,159888,-0.007442,-0.098,7.5644,"Dec 11, 13",-0.045500708401770354
2013-12-12,7.5905,7.6407,7.5607,7.5905,77263,77263,-0.022324,-0.293,7.594,"Dec 12, 13",-0.04829670122998611
2013-12-13,7.5681,7.5905,7.5235,7.5607,81434,81434,-0.029765,-0.392,7.5571,"Dec 13, 13",-0.05203305039056134
2013-12-16,7.5607,7.6128,7.5607,7.5979,108841,108841,0.037211,0.492,7.5895,"Dec 16, 13",-0.047368882982057964
2013-12-17,7.6426,7.7616,7.5756,7.6946,184808,184808,0.096734,1.273,7.6743,"Dec 17, 13",-0.03524455533683557
