date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,18.47,18.47,17.9,18.03,276178,276178,-0.5,-2.698,18.0839,"Aug 5, 13",0
2013-08-06,17.93,18.06,17.8,17.95,230802,230802,-0.08,-0.444,17.9122,"Aug 6, 13",-0.004437049362174256
2013-08-07,17.9,18.01,17.83,17.88,193048,193048,-0.07,-0.39,17.898,"Aug 7, 13",-0.008319467554076657
2013-08-08,17.91,17.99,17.64,17.86,150974,150974,-0.02,-0.112,17.8403,"Aug 8, 13",-0.009428729894620172
2013-08-09,17.84,17.9,17.55,17.66,114521,114521,-0.2,-1.12,17.7283,"Aug 9, 13",-0.020521353300055518
2013-08-12,17.6,18.01,17.58,18.01,249659,249659,0.35,1.982,17.8436,"Aug 12, 13",-0.0011092623405435148
2013-08-13,17.96,18.13,17.71,18.1,116548,116548,0.09,0.5,18.0213,"Aug 13, 13",0.0038824181919024005
2013-08-14,18.1,18.17,17.84,18.11,229731,229731,0.01,0.055,18.0272,"Aug 14, 13",0.004437049362174059
2013-08-15,17.95,18,17.71,17.79,130879,130879,-0.32,-1.767,17.8611,"Aug 15, 13",-0.013311148086522572
2013-08-16,17.7,18.02,17.7,17.77,173426,173426,-0.02,-0.112,17.8469,"Aug 16, 13",-0.014420410427066087
2013-08-19,17.69,17.9,17.31,17.35,167800,167800,-0.42,-2.364,17.4921,"Aug 19, 13",-0.03771491957848029
2013-08-20,17.34,17.59,17.12,17.41,237416,237416,0.06,0.346,17.4024,"Aug 20, 13",-0.03438713255684975
2013-08-21,17.36,17.45,17.02,17.18,171777,171777,-0.23,-1.321,17.193,"Aug 21, 13",-0.047143649473100464
2013-08-22,17.18,17.52,17.08,17.45,129454,129454,0.27,1.572,17.338,"Aug 22, 13",-0.03216860787576272
2013-08-23,17.44,17.58,17.21,17.4,161558,161558,-0.05,-0.287,17.3515,"Aug 23, 13",-0.03494176372712161
2013-08-26,17.39,17.39,17.17,17.18,225173,225173,-0.22,-1.264,17.3278,"Aug 26, 13",-0.047143649473100464
2013-08-27,17.04,17.19,16.93,17.02,347259,347259,-0.16,-0.931,17.072,"Aug 27, 13",-0.05601774819744878
2013-08-28,17.03,17.09,16.91,16.93,167354,167354,-0.09,-0.529,16.9817,"Aug 28, 13",-0.0610094287298947
2013-08-29,17,17.3,16.94,17.07,265665,265665,0.14,0.827,17.0801,"Aug 29, 13",-0.05324459234608989
2013-08-30,17.04,17.1,16.87,16.98,262987,262987,-0.09,-0.527,16.9614,"Aug 30, 13",-0.05823627287853581
2013-09-03,17.2,17.25,16.94,17.05,194646,194646,0.07,0.412,17.1087,"Sep 3, 13",-0.05435385468663341
2013-09-04,17.08,17.545,17.05,17.41,201587,201587,0.36,2.111,17.4005,"Sep 4, 13",-0.03438713255684975
2013-09-05,17.36,17.52,17.06,17.4,149307,149307,-0.01,-0.057,17.3403,"Sep 5, 13",-0.03494176372712161
2013-09-06,17.53,17.53,16.91,17.29,102357,102357,-0.11,-0.632,17.3456,"Sep 6, 13",-0.041042706600111035
2013-09-09,17.3,17.57,17.16,17.52,160182,160182,0.23,1.33,17.4432,"Sep 9, 13",-0.02828618968386032
2013-09-10,17.56,17.81,17.42,17.81,244838,244838,0.29,1.655,17.6289,"Sep 10, 13",-0.012201885745979057
2013-09-11,17.71,17.8599,17.61,17.63,141694,141694,-0.18,-1.011,17.6955,"Sep 11, 13",-0.022185246810870887
2013-09-12,17.6,17.79,17.6,17.65,166310,166310,0.02,0.113,17.6926,"Sep 12, 13",-0.021075984470327373
2013-09-13,17.71,17.845,17.5,17.58,128400,128400,-0.07,-0.397,17.6482,"Sep 13, 13",-0.024958402662229772
2013-09-16,17.84,17.88,17.62,17.71,158965,158965,0.13,0.739,17.7011,"Sep 16, 13",-0.017748197448696632
2013-09-17,17.69,17.81,17.55,17.81,177096,177096,0.1,0.565,17.7141,"Sep 17, 13",-0.012201885745979057
2013-09-18,17.77,18.08,17.76,18.08,260306,260306,0.27,1.516,17.8843,"Sep 18, 13",0.0027731558513586886
2013-09-19,18.16,18.16,17.8,18.04,137772,137772,-0.04,-0.221,18.0187,"Sep 19, 13",0.0005546311702716588
2013-09-20,18.03,18.12,17.75,18,883005,883005,-0.04,-0.222,18.0028,"Sep 20, 13",-0.0016638935108153707
2013-09-23,17.98,18.08,17.8075,18,188732,188732,0,0,18.0109,"Sep 23, 13",-0.0016638935108153707
2013-09-24,18.05,18.155,17.912,18.05,405685,405685,0.05,0.278,18.0428,"Sep 24, 13",0.0011092623405435148
2013-09-25,18.03,18.03,17.41,17.42,207322,207322,-0.63,-3.49,17.7092,"Sep 25, 13",-0.03383250138657789
2013-09-26,17.45,17.59,17.2,17.39,237268,237268,-0.03,-0.172,17.373,"Sep 26, 13",-0.035496394897393264
2013-09-27,17.29,17.29,16.85,16.9,363545,363545,-0.49,-2.818,16.9384,"Sep 27, 13",-0.06267332224071007
2013-09-30,16.77,16.89,16.608,16.87,342972,342972,-0.03,-0.178,16.804,"Sep 30, 13",-0.06433721575152523
2013-10-01,16.9,17.03,16.81,17.02,322036,322036,0.15,0.889,16.9181,"Oct 1, 13",-0.05601774819744878
2013-10-02,17.21,17.21,16.6,16.62,366190,366190,-0.4,-2.35,16.7427,"Oct 2, 13",-0.07820299500831947
2013-10-03,16.62,16.7,15.93,16.09,518770,518770,-0.53,-3.189,16.209,"Oct 3, 13",-0.10759844703272331
2013-10-04,16.07,16.18,15.94,16.04,257523,257523,-0.05,-0.311,16.0304,"Oct 4, 13",-0.1103716028840822
2013-10-07,15.93,15.98,15.68,15.87,310742,310742,-0.17,-1.06,15.8561,"Oct 7, 13",-0.11980033277870226
2013-10-08,15.91,15.989,15.8,15.8,201976,201976,-0.07,-0.441,15.8523,"Oct 8, 13",-0.12368275097060456
2013-10-09,15.81,15.85,15.63,15.76,332849,332849,-0.04,-0.253,15.7663,"Oct 9, 13",-0.12590127565169168
2013-10-10,15.91,16.02,15.78,15.89,267629,267629,0.13,0.825,15.9166,"Oct 10, 13",-0.11869107043815864
2013-10-11,15.81,16.08,15.7001,16.08,425419,425419,0.19,1.196,15.9136,"Oct 11, 13",-0.10815307820299516
2013-10-14,15.99,16.0399,15.9,16.02,296196,296196,-0.06,-0.373,15.9881,"Oct 14, 13",-0.1114808652246257
2013-10-15,15.995,16.0881,15.63,15.86,262980,262980,-0.16,-0.999,15.8627,"Oct 15, 13",-0.12035496394897402
2013-10-16,15.92,15.99,15.56,15.9,512686,512686,0.04,0.252,15.7628,"Oct 16, 13",-0.11813643926788689
2013-10-17,15.79,15.93,15.79,15.92,363845,363845,0.02,0.126,15.8916,"Oct 17, 13",-0.11702717692734338
2013-10-18,16.04,16.35,15.9,16.18,595139,595139,0.26,1.633,16.0893,"Oct 18, 13",-0.10260676650027739
2013-10-21,16.18,16.28,16.09,16.12,283506,283506,-0.06,-0.371,16.1523,"Oct 21, 13",-0.10593455352190793
2013-10-22,16.16,16.17,16,16.12,204863,204863,0,0,16.1109,"Oct 22, 13",-0.10593455352190793
2013-10-23,16.03,16.13,16.02,16.04,184311,184311,-0.08,-0.496,16.0706,"Oct 23, 13",-0.1103716028840822
2013-10-24,16.01,16.07,15.77,15.82,383856,383856,-0.22,-1.372,15.8648,"Oct 24, 13",-0.12257348863006105
2013-10-25,15.88,15.88,15.45,15.74,289303,289303,-0.08,-0.506,15.6609,"Oct 25, 13",-0.12701053799223522
2013-10-28,15.72,15.987,15.582,15.91,220918,220918,0.17,1.08,15.8499,"Oct 28, 13",-0.11758180809761513
2013-10-29,15.98,16.1,15.9,15.95,339086,339086,0.04,0.251,15.9839,"Oct 29, 13",-0.1153632834165281
2013-10-30,15.99,16.3,15.86,15.91,294221,294221,-0.04,-0.251,16.0314,"Oct 30, 13",-0.11758180809761513
2013-10-31,15.89,15.91,15.58,15.73,268751,268751,-0.18,-1.131,15.757,"Oct 31, 13",-0.12756516916250696
2013-11-01,15.73,15.77,15.46,15.52,325335,325335,-0.21,-1.335,15.5449,"Nov 1, 13",-0.13921242373821416
2013-11-04,15.53,15.71,15.45,15.71,240142,240142,0.19,1.224,15.6423,"Nov 4, 13",-0.12867443150305047
2013-11-05,15.61,15.65,15.41,15.46,377510,377510,-0.25,-1.591,15.4653,"Nov 5, 13",-0.14254021075984472
2013-11-06,15.47,15.7,15.44,15.52,175806,175806,0.06,0.388,15.5372,"Nov 6, 13",-0.13921242373821416
2013-11-07,14.74,14.8,13.2,13.58,2289833,2289833,-1.94,-12.5,13.8575,"Nov 7, 13",-0.24681087077093736
2013-11-08,13.59,13.79,11.3,11.34,2665505,2665505,-2.24,-16.495,11.8883,"Nov 8, 13",-0.3710482529118137
2013-11-11,11.34,12.07,11.34,11.96,1613832,1613832,0.62,5.467,11.8443,"Nov 11, 13",-0.3366611203549639
2013-11-12,11.98,12,11.74,11.79,623381,623381,-0.17,-1.421,11.8677,"Nov 12, 13",-0.3460898502495841
2013-11-13,11.8,11.84,11.64,11.79,313672,313672,0,0,11.7772,"Nov 13, 13",-0.3460898502495841
2013-11-14,11.79,12.12,11.63,12.05,479693,479693,0.26,2.205,11.9029,"Nov 14, 13",-0.331669439822518
2013-11-15,12.04,12.12,11.6499,11.8,364369,364369,-0.25,-2.075,11.839,"Nov 15, 13",-0.3455352190793123
2013-11-18,11.87,12.3,11.867,12.24,496378,496378,0.44,3.729,12.143,"Nov 18, 13",-0.32113144758735446
2013-11-19,12.28,12.31,11.9692,12.13,353247,353247,-0.11,-0.899,12.1077,"Nov 19, 13",-0.32723239046034386
2013-11-20,12.14,12.159,11.8,11.84,289384,289384,-0.29,-2.391,11.9617,"Nov 20, 13",-0.3433166943982252
2013-11-21,11.83,12.29,11.69,12.14,489320,489320,0.3,2.534,11.9703,"Nov 21, 13",-0.3266777592900721
2013-11-22,12.16,12.16,11.75,11.94,584885,584885,-0.2,-1.647,11.8942,"Nov 22, 13",-0.3377703826955076
2013-11-25,11.97,11.97,11.66,11.79,645632,645632,-0.15,-1.256,11.7576,"Nov 25, 13",-0.3460898502495841
2013-11-26,11.78,11.85,11.68,11.75,365762,365762,-0.04,-0.339,11.7629,"Nov 26, 13",-0.3483083749306711
2013-11-27,11.73,11.81,11.65,11.71,442823,442823,-0.04,-0.34,11.731,"Nov 27, 13",-0.35052689961175815
2013-11-29,11.76,11.77,11.64,11.68,234479,234479,-0.03,-0.256,11.6943,"Nov 29, 13",-0.35219079312257356
2013-12-02,11.67,11.705,11.38,11.48,497390,497390,-0.2,-1.712,11.5172,"Dec 2, 13",-0.3632834165280089
2013-12-03,11.42,11.45,10.74,10.89,1001765,1001765,-0.59,-5.139,11.0226,"Dec 3, 13",-0.39600665557404324
2013-12-04,10.89,11.38,10.89,11.22,416167,416167,0.33,3.03,11.1809,"Dec 4, 13",-0.3777038269550749
2013-12-05,11.26,11.26,10.88,11.08,359254,359254,-0.14,-1.248,11.0443,"Dec 5, 13",-0.3854686633388797
2013-12-06,11.15,11.33,10.95,11.01,428370,428370,-0.07,-0.632,11.0638,"Dec 6, 13",-0.3893510815307821
2013-12-09,10.64,10.77,9.85,10.33,1140929,1140929,-0.68,-6.176,10.231,"Dec 9, 13",-0.42706600110926235
2013-12-10,10.4,10.76,10.26,10.31,523139,523139,-0.02,-0.194,10.3955,"Dec 10, 13",-0.4281752634498059
2013-12-11,10.3,10.39,10.02,10.12,579885,579885,-0.19,-1.843,10.1503,"Dec 11, 13",-0.43871325568496955
2013-12-12,10.14,10.22,9.99,10.12,543980,543980,0,0,10.1108,"Dec 12, 13",-0.43871325568496955
2013-12-13,10.1,10.5,10.07,10.31,374142,374142,0.19,1.877,10.2917,"Dec 13, 13",-0.4281752634498059
2013-12-16,10.39,10.655,10.32,10.62,591591,591591,0.31,3.007,10.5237,"Dec 16, 13",-0.4109816971713811
2013-12-17,10.62,10.75,10.43,10.48,517466,517466,-0.14,-1.318,10.5597,"Dec 17, 13",-0.4187465335551858
2013-12-18,10.52,10.73,10.42,10.58,894865,894865,0.1,0.954,10.584,"Dec 18, 13",-0.41320022185246813
2013-12-19,10.53,10.69,10.47,10.59,410028,410028,0.01,0.095,10.6035,"Dec 19, 13",-0.41264559068219636
2013-12-20,10.64,11.13,10.6,11.08,1252551,1252551,0.49,4.627,10.9341,"Dec 20, 13",-0.3854686633388797
2013-12-23,11.1,11.24,10.86,10.88,625126,625126,-0.2,-1.805,11.0005,"Dec 23, 13",-0.396561286744315
2013-12-24,10.9,11.07,10.9,10.93,265985,265985,0.05,0.46,10.9765,"Dec 24, 13",-0.3937881308929562
2013-12-26,10.95,11.08,10.91,11,391116,391116,0.07,0.64,11.0363,"Dec 26, 13",-0.38990571270105384
2013-12-27,11.06,11.23,10.97,11.21,392993,392993,0.21,1.909,11.136,"Dec 27, 13",-0.37825845812534664
2013-12-30,11.22,11.45,11.21,11.31,436803,436803,0.1,0.892,11.353,"Dec 30, 13",-0.37271214642262895
2013-12-31,11.36,11.73,11.28,11.69,490106,490106,0.38,3.36,11.6036,"Dec 31, 13",-0.3516361619523018
2014-01-02,11.69,11.7,11.3,11.5,622895,622895,-0.19,-1.625,11.4674,"Jan 2, 14",-0.3621741541874654
2014-01-03,11.53,11.92,11.372,11.75,420612,420612,0.25,2.174,11.7605,"Jan 3, 14",-0.3483083749306711
2014-01-06,11.8,11.8,11.44,11.53,501871,501871,-0.22,-1.872,11.5735,"Jan 6, 14",-0.3605102606766501
2014-01-07,11.6,11.62,11.19,11.38,568838,568838,-0.15,-1.301,11.3563,"Jan 7, 14",-0.3688297282307266
2014-01-08,11.41,11.6,11.33,11.58,546511,546511,0.2,1.757,11.5012,"Jan 8, 14",-0.3577371048252912
2014-01-09,11.54,11.58,10.93,10.97,437857,437857,-0.61,-5.268,11.1412,"Jan 9, 14",-0.3915696062118691
2014-01-10,10.97,11.19,10.92,11.1,518333,518333,0.13,1.185,11.0998,"Jan 10, 14",-0.38435940099833615
2014-01-13,11.09,11.18,10.866,10.94,384558,384558,-0.16,-1.441,10.9828,"Jan 13, 14",-0.39323349972268445
2014-01-14,10.99,11.06,10.66,10.99,575024,575024,0.05,0.457,10.8604,"Jan 14, 14",-0.3904603438713256
2014-01-15,11.01,11.1,10.91,10.99,324949,324949,0,0,10.9991,"Jan 15, 14",-0.3904603438713256
2014-01-16,10.93,11,10.74,10.78,271055,271055,-0.21,-1.911,10.8349,"Jan 16, 14",-0.4021075984470328
2014-01-17,10.8,10.8,10.26,10.4,605398,605398,-0.38,-3.525,10.47,"Jan 17, 14",-0.42318358291735997
2014-01-21,10.41,10.53,10.16,10.44,423585,423585,0.04,0.385,10.4195,"Jan 21, 14",-0.42096505823627295
2014-01-22,10.48,10.48,10.35,10.38,232454,232454,-0.06,-0.575,10.3943,"Jan 22, 14",-0.4242928452579035
2014-01-23,10.33,10.48,10.07,10.26,586646,586646,-0.12,-1.156,10.2182,"Jan 23, 14",-0.4309484193011648
2014-01-24,10.16,10.34,10.06,10.1,517859,517859,-0.16,-1.559,10.1699,"Jan 24, 14",-0.4398225180255131
2014-01-27,10.1,10.27,9.86,9.93,776341,776341,-0.17,-1.683,9.612,"Jan 27, 14",-0.44925124792013316
2014-01-28,9.93,10,9.22,9.35,1182051,1182051,-0.58,-5.841,9.5966,"Jan 28, 14",-0.4814198557958958
2014-01-29,11.16,11.88,10.71,11.25,4563427,4563427,1.9,20.321,11.3261,"Jan 29, 14",-0.3760399334442596
2014-01-30,11.14,11.72,11.01,11.29,988965,988965,0.04,0.356,11.4381,"Jan 30, 14",-0.3738214087631726
2014-01-31,11.12,11.248,10.97,10.98,653059,653059,-0.31,-2.746,11.1038,"Jan 31, 14",-0.3910149750415974
2014-02-03,11.35,11.368,10.92,11,824773,824773,0.02,0.182,11.0331,"Feb 3, 14",-0.38990571270105384
2014-02-04,11.07,11.3,10.97,11.08,800517,800517,0.08,0.727,11.1091,"Feb 4, 14",-0.3854686633388797
2014-02-05,11.06,11.15,10.82,10.98,767602,767602,-0.1,-0.903,10.9401,"Feb 5, 14",-0.3910149750415974
2014-02-06,11.03,11.41,10.914,11.31,464438,464438,0.33,3.005,11.2923,"Feb 6, 14",-0.37271214642262895
2014-02-07,11.38,11.44,11.08,11.33,414381,414381,0.02,0.177,11.245,"Feb 7, 14",-0.37160288408208547
2014-02-10,11.37,12.49,11.31,12.11,1359816,1359816,0.78,6.884,11.931,"Feb 10, 14",-0.3283416528008875
2014-02-11,12.23,12.87,12.1,12.62,1177924,1177924,0.51,4.211,12.5663,"Feb 11, 14",-0.30005546311702724
2014-02-12,12.61,12.795,12.15,12.43,746907,746907,-0.19,-1.506,12.4675,"Feb 12, 14",-0.31059345535219085
2014-02-13,12.36,13.39,12.2501,13.31,762405,762405,0.88,7.08,13.0211,"Feb 13, 14",-0.26178591236827514
2014-02-14,13.34,13.55,12.96,13.15,577908,577908,-0.16,-1.202,13.1858,"Feb 14, 14",-0.27066001109262344
2014-02-18,13.15,13.24,12.84,13.11,434406,434406,-0.04,-0.304,13.0014,"Feb 18, 14",-0.2728785357737106
2014-02-19,13.01,13.05,12.72,12.73,404636,404636,-0.38,-2.899,12.8685,"Feb 19, 14",-0.29395452024403773
2014-02-20,12.7,12.83,12.0149,12.18,1195618,1195618,-0.55,-4.321,12.3334,"Feb 20, 14",-0.32445923460898507
2014-02-21,12.22,12.62,12.15,12.55,626347,626347,0.37,3.038,12.4092,"Feb 21, 14",-0.30393788130892957
2014-02-24,12.61,13.26,12.5,12.94,745364,745364,0.39,3.108,13.0365,"Feb 24, 14",-0.28230726566833064
2014-02-25,12.92,13.0899,12.58,12.69,403776,403776,-0.25,-1.932,12.6884,"Feb 25, 14",-0.29617304492512486
2014-02-26,12.71,12.86,12.1,12.32,633658,633658,-0.37,-2.916,12.4128,"Feb 26, 14",-0.3166943982251803
2014-02-27,12.33,12.6,12.15,12.55,389395,389395,0.23,1.867,12.4511,"Feb 27, 14",-0.30393788130892957
2014-02-28,12.57,12.84,12.46,12.64,572073,572073,0.09,0.717,12.6617,"Feb 28, 14",-0.29894620077648365
2014-03-03,12.5,12.52,12.11,12.27,461450,461450,-0.37,-2.927,12.3165,"Mar 3, 14",-0.31946755407653915
2014-03-04,12.41,12.99,12.41,12.72,461676,461676,0.45,3.667,13.0721,"Mar 4, 14",-0.2945091514143095
2014-03-05,12.67,12.99,12.56,12.89,437075,437075,0.17,1.336,12.8668,"Mar 5, 14",-0.28508042151968943
