date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2017-10-23,12.3868,13.5382,10.9545,10.9545,1541380,1541380,10.9545,0,12.6197,"Oct 23, 17",0
2017-10-24,11.5448,11.6029,9.7546,10.6449,450069,450069,-0.309669,-2.827,10.5325,"Oct 24, 17",-0.028262357935095135
2017-10-25,10.6352,10.8844,9.9675,10.7416,112972,112972,0.096771,0.909,10.3145,"Oct 25, 17",-0.01943493541466972
2017-10-26,10.79,11.6029,10.79,11.1287,108108,108108,0.387087,3.604,11.133,"Oct 26, 17",0.01590214067278295
2017-10-27,11.5061,11.5061,11.061,11.2932,51994,51994,0.164512,1.478,11.2363,"Oct 27, 17",0.030918800492948206
2017-10-30,11.3803,11.3803,10.2094,10.432,61669,61669,-0.861268,-7.626,10.8009,"Oct 30, 17",-0.04769729334976486
2017-10-31,10.3739,10.8868,10.2965,10.5287,53873,53873,0.096772,0.928,10.5079,"Oct 31, 17",-0.03886987082933944
2017-11-01,10.4997,11.078,10.161,10.4029,60059,60059,-0.125803,-1.195,10.5785,"Nov 1, 17",-0.05035373590761776
2017-11-02,10.0739,10.9136,10.0642,10.4513,71200,71200,0.048386,0.465,10.4204,"Nov 2, 17",-0.045935460313113304
2017-11-03,10.161,10.4101,8.6707,9.9191,67324,67324,-0.532244,-5.093,9.7825,"Nov 3, 17",-0.09451823451549585
2017-11-06,9.8707,9.8707,8.961,8.9707,60786,60786,-0.948361,-9.561,9.4048,"Nov 6, 17",-0.18109452736318396
2017-11-07,8.7578,8.8691,7.8385,8.6127,93064,93064,-0.358055,-3.991,8.5931,"Nov 7, 17",-0.21377516089278373
2017-11-08,8.7578,8.9804,7.7417,8.4869,93896,93896,-0.125803,-1.461,8.2318,"Nov 8, 17",-0.22525902597106207
2017-11-09,8.7094,9.1836,8.7094,8.9901,44701,44701,0.503213,5.929,8.9464,"Nov 9, 17",-0.17932356565794874
2017-11-10,8.903,9.1933,8.903,9.1933,17391,17391,0.203219,2.26,9.091,"Nov 10, 17",-0.16077411109589657
2017-11-13,9.1933,9.1933,8.2256,8.903,46292,46292,-0.290314,-3.158,8.7959,"Nov 13, 17",-0.18727463599434013
2017-11-14,8.6514,9.0965,8.2256,9.0772,41787,41787,0.174188,1.957,8.7113,"Nov 14, 17",-0.17137249532155735
2017-11-15,9.0385,10.19,8.5159,9.2465,118056,118056,0.169351,1.866,9.4178,"Nov 15, 17",-0.15591765940937516
2017-11-16,9.4062,9.5312,8.903,9.1062,57856,57856,-0.140319,-1.518,9.0907,"Nov 16, 17",-0.16872518143228812
2017-11-17,8.932,8.9998,8.7094,8.9804,54914,54914,-0.125803,-1.382,8.8586,"Nov 17, 17",-0.18020904651056643
2017-11-20,8.7094,8.9998,8.7094,8.8449,39693,39693,-0.13548,-1.509,8.8447,"Nov 20, 17",-0.1925783924414623
2017-11-21,8.8546,9.5319,8.8546,9.4449,33955,33955,0.599983,6.783,9.1972,"Nov 21, 17",-0.13780638093933992
2017-11-22,9.3288,9.9675,9.1449,9.8707,84339,84339,0.425795,4.508,9.6011,"Nov 22, 17",-0.09893651011000047
2017-11-24,9.8513,9.8707,9.8223,9.8242,10464,10464,-0.04645,-0.471,9.8487,"Nov 24, 17",-0.10318134100141496
2017-11-27,9.8707,9.8707,9.2127,9.503,48855,48855,-0.321281,-3.27,9.6013,"Nov 27, 17",-0.13250262449221775
2017-11-28,9.532,9.6772,9.3868,9.532,31060,31060,0.029031,0.305,9.5812,"Nov 28, 17",-0.12985531060294853
2017-11-29,9.532,9.8707,9.4352,9.4449,48341,48341,-0.087095,-0.914,9.6629,"Nov 29, 17",-0.13780638093933992
2017-11-30,9.6772,9.6772,8.5353,9.0869,91923,91923,-0.358054,-3.791,9.0295,"Nov 30, 17",-0.17048701446893966
2017-12-01,8.9514,9.0418,8.4675,8.9901,26707,26707,-0.096771,-1.065,8.7383,"Dec 1, 17",-0.17932356565794874
2017-12-04,9.0965,9.1933,8.9514,9.1062,17193,17193,0.116125,1.292,9.1252,"Dec 4, 17",-0.16872518143228812
2017-12-05,9.1159,9.1933,8.9127,8.9127,4133,4133,-0.193543,-2.125,9.0694,"Dec 5, 17",-0.1863891551417226
2017-12-06,9.0385,9.0481,8.274,8.7094,39448,39448,-0.20322,-2.28,8.814,"Dec 6, 17",-0.2049477383723583
2017-12-07,8.7869,8.7869,8.402,8.7772,9898,9898,0.06774,0.778,8.6022,"Dec 7, 17",-0.19875850107261847
2017-12-08,8.4578,8.7762,8.4191,8.4965,20114,20114,-0.280638,-3.197,8.5552,"Dec 8, 17",-0.2243826737870282
2017-12-11,8.7869,8.7965,8.4675,8.4772,67622,67622,-0.019355,-0.228,8.6718,"Dec 11, 17",-0.22614450682367973
2017-12-12,8.6127,8.7869,8.4675,8.4965,29454,29454,0.019355,0.228,8.5962,"Dec 12, 17",-0.2243826737870282
2017-12-13,8.4578,8.7578,8.2449,8.4675,34006,34006,-0.029031,-0.342,8.6535,"Dec 13, 17",-0.22702998767629742
2017-12-14,8.6514,8.7094,8.3435,8.3804,15034,15034,-0.087095,-1.029,8.5371,"Dec 14, 17",-0.23498105801268881
2017-12-15,8.4191,8.5294,7.4224,7.4224,67805,67805,-0.958038,-11.432,7.7796,"Dec 15, 17",-0.322433703044411
2017-12-18,7.7417,8.603,7.6208,7.8385,52674,52674,0.416118,5.606,7.8553,"Dec 18, 17",-0.28444931306768906
2017-12-19,8.0224,8.0224,7.645,7.645,36486,36486,-0.193544,-2.469,7.769,"Dec 19, 17",-0.30211328677712357
2017-12-20,7.7127,8.0276,7.2772,7.2772,30783,30783,-0.367731,-4.81,7.5148,"Dec 20, 17",-0.3356885298279246
2017-12-21,7.2772,7.7998,7.2772,7.7901,55385,55385,0.512889,7.048,7.6415,"Dec 21, 17",-0.2888675886621936
2017-12-22,7.6933,7.8288,7.3353,7.8191,52487,52487,0.029031,0.373,7.6542,"Dec 22, 17",-0.28622027477292433
2017-12-26,8.0224,8.0224,7.5482,7.5482,20374,20374,-0.27096,-3.465,7.7089,"Dec 26, 17",-0.3109498379661326
2017-12-27,7.8288,8.6514,7.3246,8.4675,92846,92846,0.91933,12.179,7.9106,"Dec 27, 17",-0.22702998767629742
2017-12-28,8.4675,8.8159,7.9934,8.7191,49527,49527,0.251605,2.971,8.4555,"Dec 28, 17",-0.20406225751974078
2017-12-29,8.6901,9.3868,8.274,8.632,39458,39458,-0.087093,-0.999,8.8549,"Dec 29, 17",-0.21201332785613217
2018-01-02,8.6127,9.4545,8.5997,9.0288,15239,15239,0.396763,4.596,9.0222,"Jan 2, 18",-0.17579077091606182
2018-01-03,8.9417,9.3675,8.816,9.0385,25516,25516,0.009677,0.107,9.0246,"Jan 3, 18",-0.17490529006344413
2018-01-04,8.932,10.3546,8.8999,9.7739,46631,46631,0.735464,8.137,9.7081,"Jan 4, 18",-0.10777306129900956
2018-01-05,10.161,10.161,9.0965,9.2901,21914,21914,-0.483858,-4.95,9.3784,"Jan 5, 18",-0.15193755990688748
2018-01-08,9.2901,11.0803,9.2901,9.3965,86209,86209,0.106448,1.146,10.2736,"Jan 8, 18",-0.14222465653384453
2018-01-09,9.4352,10.1577,9.4352,9.6868,18602,18602,0.290315,3.09,9.7111,"Jan 9, 18",-0.11572413163540095
2018-01-10,9.5804,9.6177,9.4614,9.6177,5001,5001,-0.069095,-0.713,9.5079,"Jan 10, 18",-0.12203204162672876
2018-01-11,9.4933,9.8513,8.7965,9.6772,49325,49325,0.059418,0.618,9.435,"Jan 11, 18",-0.11660048381943497
2018-01-12,9.6727,9.8028,9.2417,9.3772,11473,11473,-0.299991,-3.1,9.395,"Jan 12, 18",-0.1439864895704961
2018-01-16,9.3868,9.5804,8.9998,9.261,18648,18648,-0.116126,-1.238,9.2433,"Jan 16, 18",-0.15459400246474056
2018-01-17,9.0772,9.1041,8.5643,8.7482,26287,26287,-0.512889,-5.538,8.8477,"Jan 17, 18",-0.2014058149618877
2018-01-18,8.6127,8.903,8.5933,8.766,7789,7789,0.017805,0.204,8.7274,"Jan 18, 18",-0.19978091195399147
2018-01-19,8.7578,8.7578,8.337,8.5546,8508,8508,-0.211348,-2.411,8.5853,"Jan 19, 18",-0.21907891733990587
2018-01-22,8.4675,8.5101,8.4288,8.4409,3036,3036,-0.113707,-1.329,8.4625,"Jan 22, 18",-0.2294582135195582
2018-01-23,8.2274,8.6577,8.2274,8.2836,7752,7752,-0.157255,-1.863,8.3734,"Jan 23, 18",-0.2438176092016979
2018-01-24,8.2699,8.4948,8.2699,8.4869,3603,3603,0.203221,2.453,8.3705,"Jan 24, 18",-0.22525902597106207
2018-01-25,8.3224,8.5159,8.2256,8.5159,7638,7638,0.029031,0.342,8.3237,"Jan 25, 18",-0.2226117120817928
2018-01-26,8.2444,8.2936,8.1288,8.2256,9433,9433,-0.290314,-3.409,8.2319,"Jan 26, 18",-0.2491122369802364
2018-01-29,8.4118,8.5256,8.003,8.0127,15411,15411,-0.212898,-2.588,8.219,"Jan 29, 18",-0.2685471723949061
2018-01-30,8.0127,8.1772,7.7514,8.1772,14216,14216,0.164512,2.053,8.0187,"Jan 30, 18",-0.253530512574741
2018-01-31,7.8395,8.1675,7.7417,7.8579,21276,21276,-0.319346,-3.905,7.8675,"Jan 31, 18",-0.2826783513624538
2018-02-01,7.8482,8.303,7.8385,7.9159,6404,6404,0.058063,0.739,7.8736,"Feb 1, 18",-0.2773837235839153
2018-02-02,7.7611,7.9159,7.7418,7.9159,8305,8305,0,0,7.8125,"Feb 2, 18",-0.2773837235839153
2018-02-05,7.7417,9.6762,7.7417,8.2449,13468,13468,0.329023,4.156,8.4348,"Feb 5, 18",-0.24735040394358485
2018-02-06,8.0707,8.2933,8.032,8.1191,9298,9298,-0.125803,-1.526,8.0849,"Feb 6, 18",-0.2588342690218632
2018-02-07,7.8675,8.0224,7.4308,7.8869,8819,8819,-0.232252,-2.861,7.7992,"Feb 7, 18",-0.28003103747318453
2018-02-08,8.2256,8.5643,8.0083,8.0224,14817,14817,0.135481,1.718,8.3164,"Feb 8, 18",-0.2676616915422886
2018-02-09,8.4191,8.7095,7.7417,7.7417,42421,42421,-0.280638,-3.498,8.3578,"Feb 9, 18",-0.29328586425669817
2018-02-12,8.1288,8.4636,7.9837,7.9837,4518,4518,0.241929,3.125,8.1039,"Feb 12, 18",-0.2711944862841754
2018-02-13,7.7417,8.2256,7.7417,8.1758,9931,9931,0.192188,2.407,7.9352,"Feb 13, 18",-0.2536583139349125
2018-02-14,7.8772,8.4535,7.8095,7.8095,761,761,-0.366377,-4.481,7.9313,"Feb 14, 18",-0.2870966269569583
2018-02-15,8.6998,8.6998,7.7417,7.7708,21264,21264,-0.038709,-0.496,7.8977,"Feb 15, 18",-0.29062942169884515
2018-02-16,7.9353,7.9353,7.7417,7.7804,5733,5733,0.009678,0.125,7.8226,"Feb 16, 18",-0.2897530695148112
2018-02-20,7.7901,7.8869,7.7901,7.8364,4327,4327,0.055934,0.719,7.8409,"Feb 20, 18",-0.2846410151079464
2018-02-21,7.8869,7.8869,7.5966,7.7224,8426,8426,-0.113998,-1.455,7.736,"Feb 21, 18",-0.2950476972933497
2018-02-22,7.8679,8.2727,7.6933,7.7127,33154,33154,-0.009676,-0.125,7.8494,"Feb 22, 18",-0.29593317814596737
2018-02-23,7.8191,7.8191,7.4514,7.6933,8114,8114,-0.019355,-0.251,7.6626,"Feb 23, 18",-0.2977041398512027
2018-02-26,7.7804,8.2062,7.5192,7.5675,9014,9014,-0.125803,-1.635,7.8046,"Feb 26, 18",-0.309188004929481
2018-02-27,7.645,8.0224,7.645,7.7514,4561,4561,0.183866,2.43,7.8047,"Feb 27, 18",-0.2924003834040805
2018-02-28,7.6619,7.8772,7.6619,7.7417,14599,14599,-0.009677,-0.125,7.784,"Feb 28, 18",-0.29328586425669817
2018-03-01,7.7417,8.1869,7.704,7.9353,17839,17839,0.193543,2.5,7.8965,"Mar 1, 18",-0.27561276187868
2018-03-02,7.645,7.7726,7.3159,7.4901,27730,27730,-0.445149,-5.61,7.5681,"Mar 2, 18",-0.3162535944132548
2018-03-05,7.5772,7.9159,6.9579,7.4708,51262,51262,-0.019354,-0.258,7.2689,"Mar 5, 18",-0.3180154274499064
2018-03-06,7.4708,7.4795,6.9192,7.0643,32518,32518,-0.406441,-5.44,7.1064,"Mar 6, 18",-0.3551234652425943
2018-03-07,7.103,7.1794,6.5321,6.6772,46367,46367,-0.387086,-5.479,6.6827,"Mar 7, 18",-0.390460541330047
2018-03-08,6.774,6.774,6.5901,6.7353,10643,10643,0.058062,0.87,6.6742,"Mar 8, 18",-0.3851567848829248
2018-03-09,6.5805,6.7643,6.5589,6.6966,7893,7893,-0.038708,-0.575,6.6863,"Mar 9, 18",-0.38868957962481165
2018-03-12,6.6385,6.7062,6.5079,6.5998,16269,16269,-0.096771,-1.445,6.566,"Mar 12, 18",-0.39752613081382077
2018-03-13,6.7643,6.7643,6.4923,6.7256,6677,6677,0.125803,1.906,6.6591,"Mar 13, 18",-0.38604226573554246
2018-03-14,6.624,6.624,6.488,6.5147,3623,3623,-0.210962,-3.137,6.5571,"Mar 14, 18",-0.4052946277785384
2018-03-15,6.5991,6.5991,6.4934,6.4934,8212,8212,-0.021291,-0.327,6.5301,"Mar 15, 18",-0.4072390341868638
2018-03-16,6.6918,6.6918,6.5011,6.6772,11872,11872,0.183867,2.832,6.5804,"Mar 16, 18",-0.390460541330047
2018-03-19,6.6772,6.6772,6.4847,6.6093,1896,1896,-0.067933,-1.017,6.5915,"Mar 19, 18",-0.3966589072983705
2018-03-20,6.5041,6.6093,6.4837,6.4837,10141,10141,-0.12561,-1.901,6.5018,"Mar 20, 18",-0.4081245150394815
2018-03-21,6.6037,6.6579,6.4353,6.6579,10445,10445,0.174188,2.687,6.5061,"Mar 21, 18",-0.3922223743666986
2018-03-22,6.7634,6.774,6.4643,6.774,10675,10675,0.116126,1.744,6.6977,"Mar 22, 18",-0.38162399014103787
2018-03-23,6.6289,6.6289,6.5611,6.6289,885,885,-0.145157,-2.143,6.5828,"Mar 23, 18",-0.39486968825596785
2018-03-26,6.7547,6.7547,6.6606,6.6606,1430,1430,0.031741,0.479,6.6793,"Mar 26, 18",-0.39197590031493906
2018-03-27,6.6676,6.9482,6.4354,6.9288,5973,5973,0.26825,4.027,6.6883,"Mar 27, 18",-0.3674928111734903
2018-03-28,6.9977,7.0568,6.7419,6.7517,7615,7615,-0.177156,-2.557,6.8453,"Mar 28, 18",-0.38365968323520017
2018-03-29,6.8157,6.8157,6.6434,6.7653,6047,6047,0.013583,0.201,6.669,"Mar 29, 18",-0.3824181843078187
2018-04-02,6.6434,6.6926,6.1218,6.4761,14902,14902,-0.289162,-4.274,6.4419,"Apr 2, 18",-0.4088182938518417
2018-04-03,6.3777,7.0017,6.1612,6.1612,4030,4030,-0.314947,-4.863,6.4269,"Apr 3, 18",-0.43756447122187225
2018-04-04,6.2202,6.919,6.2202,6.3777,7114,7114,0.216526,3.514,6.3225,"Apr 4, 18",-0.4178009037381898
2018-04-05,6.5549,6.7713,6.5549,6.5844,2696,2696,0.206685,3.241,6.7346,"Apr 5, 18",-0.3989319457757086
2018-04-06,6.6631,6.6828,6.2989,6.4072,5043,5043,-0.177158,-2.691,6.4535,"Apr 6, 18",-0.41510794650600213
2018-04-09,6.3974,6.3974,6.3285,6.3285,2485,2485,-0.078737,-1.229,6.3652,"Apr 9, 18",-0.4222922086813638
2018-04-10,6.3384,6.4439,6.2005,6.2005,3577,3577,-0.127948,-2.022,6.311,"Apr 10, 18",-0.43397690446848325
2018-04-11,6.2005,6.5919,5.7576,6.2202,31453,31453,0.019685,0.317,6.1039,"Apr 11, 18",-0.4321785567574969
2018-04-12,6.171,6.171,5.7576,5.8973,19585,19585,-0.32292,-5.191,5.9255,"Apr 12, 18",-0.4616550276142224
2018-04-13,5.8561,5.8561,5.5116,5.8167,19502,19502,-0.080607,-1.367,5.792,"Apr 13, 18",-0.4690127344926742
