date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,15.86,16.04,14.5596,15.9,44120,44120,-0.04,-0.251,15.5998,"Aug 5, 13",0
2013-08-06,15.86,16.1,15.71,15.86,11524,11524,-0.04,-0.252,15.8943,"Aug 6, 13",-0.0025157232704403096
2013-08-07,15.85,16.23,15.7,16.02,25739,25739,0.16,1.009,16.0058,"Aug 7, 13",0.007547169811320705
2013-08-08,16.09,16.38,15.81,16.17,41346,41346,0.15,0.936,16.1912,"Aug 8, 13",0.01698113207547178
2013-08-09,16.2,16.25,16.03,16.05,8604,8604,-0.12,-0.742,16.0874,"Aug 9, 13",0.009433962264150966
2013-08-12,15.92,16.06,15.64,16.06,13701,13701,0.01,0.062,15.9289,"Aug 12, 13",0.010062893081760903
2013-08-13,15.85,16.05,15.7,16.03,9632,9632,-0.03,-0.187,15.9726,"Aug 13, 13",0.008176100628930866
2013-08-14,15.91,15.91,15.71,15.73,7176,7176,-0.3,-1.871,15.7749,"Aug 14, 13",-0.010691823899371065
2013-08-15,15.55,15.71,15.35,15.48,21980,21980,-0.25,-1.589,15.4164,"Aug 15, 13",-0.026415094339622636
2013-08-16,15.39,15.54,14.555,15,97117,97117,-0.48,-3.101,14.995,"Aug 16, 13",-0.05660377358490568
2013-08-19,14.94,15.24,14.7501,14.78,22466,22466,-0.22,-1.467,15.0157,"Aug 19, 13",-0.07044025157232711
2013-08-20,14.83,15.13,14.81,15.1,28822,28822,0.32,2.165,15.0548,"Aug 20, 13",-0.050314465408805076
2013-08-21,15.02,15.18,14.87,15.05,27579,27579,-0.05,-0.331,15,"Aug 21, 13",-0.05345911949685532
2013-08-22,15.17,16.68,15.124,16.38,38844,38844,1.33,8.837,15.8872,"Aug 22, 13",0.030188679245282932
2013-08-23,16.3,16.3,15.65,15.85,37338,37338,-0.53,-3.236,15.9048,"Aug 23, 13",-0.003144654088050359
2013-08-26,15.86,15.86,15.5,15.65,19692,19692,-0.2,-1.262,15.6509,"Aug 26, 13",-0.015723270440251572
2013-08-27,15.49,15.49,15.09,15.12,29031,29031,-0.53,-3.387,15.2038,"Aug 27, 13",-0.04905660377358498
2013-08-28,15.11,15.28,14.9834,15.26,17162,17162,0.14,0.926,15.1874,"Aug 28, 13",-0.04025157232704406
2013-08-29,15.27,15.83,15.2,15.81,26699,26699,0.55,3.604,15.6204,"Aug 29, 13",-0.005660377358490557
2013-08-30,15.78,15.938,15.55,15.71,40264,40264,-0.1,-0.633,15.6554,"Aug 30, 13",-0.011949685534591163
2013-09-03,15.99,16.08,15.76,16.01,36581,36581,0.3,1.91,16.0017,"Sep 3, 13",0.0069182389937107675
2013-09-04,16.16,16.19,15.97,15.98,4460,4460,-0.03,-0.187,16.0151,"Sep 4, 13",0.005031446540880507
2013-09-05,15.9868,16.17,15.9,16.02,21551,21551,0.04,0.25,16.0388,"Sep 5, 13",0.007547169811320705
2013-09-06,16.05,16.05,15.9,15.98,15585,15585,-0.04,-0.25,15.985,"Sep 6, 13",0.005031446540880507
2013-09-09,16.02,16.75,15.9,16.75,43048,43048,0.77,4.819,16.2605,"Sep 9, 13",0.05345911949685532
2013-09-10,16.75,16.75,16.5,16.55,24928,24928,-0.2,-1.194,16.5906,"Sep 10, 13",0.04088050314465411
2013-09-11,16.56,16.65,16.55,16.58,9830,9830,0.03,0.181,16.5851,"Sep 11, 13",0.04276729559748415
2013-09-12,16.51,16.55,16.36,16.53,10592,10592,-0.05,-0.302,16.4977,"Sep 12, 13",0.03962264150943401
2013-09-13,16.53,16.75,16.401,16.69,11649,11649,0.16,0.968,16.6036,"Sep 13, 13",0.04968553459119503
2013-09-16,16.75,16.75,16.58,16.61,11785,11785,-0.08,-0.479,16.6561,"Sep 16, 13",0.04465408805031441
2013-09-17,16.76,17.67,16.76,17.66,107325,107325,1.05,6.321,17.1497,"Sep 17, 13",0.11069182389937106
2013-09-18,17.61,17.92,17.3,17.62,25373,25373,-0.04,-0.227,17.5675,"Sep 18, 13",0.10817610062893085
2013-09-19,17.68,17.68,17.34,17.67,8266,8266,0.05,0.284,17.6061,"Sep 19, 13",0.11132075471698122
2013-09-20,17.75,18,17.7,17.77,48611,48611,0.1,0.566,17.8347,"Sep 20, 13",0.11761006289308171
2013-09-23,17.81,17.94,17.58,17.59,37765,37765,-0.18,-1.013,17.7098,"Sep 23, 13",0.10628930817610059
