date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,35.4129,35.5162,35.3978,35.4881,49906,49906,-0.018795,-0.053,35.4685,"Aug 5, 13",0
2013-08-06,35.4317,35.4317,35.1166,35.2437,108587,108587,-0.244356,-0.689,35.2243,"Aug 6, 13",-0.006886815580434171
2013-08-07,35.0745,35.1308,34.9336,35.0651,87222,87222,-0.178568,-0.507,35.0312,"Aug 7, 13",-0.011919488504597366
2013-08-08,35.2343,35.3508,35.0651,35.3001,61163,61163,0.234957,0.67,35.1809,"Aug 8, 13",-0.005297550446487762
2013-08-09,35.2813,35.3847,35.1309,35.2531,128401,128401,-0.04699,-0.133,35.2596,"Aug 9, 13",-0.006621938058109603
2013-08-12,35.1121,35.2718,35.1121,35.2249,71111,71111,-0.028197,-0.08,35.198,"Aug 12, 13",-0.007416570625082908
2013-08-13,35.2907,35.3471,35.0557,35.2907,61589,61589,0.065789,0.187,35.2304,"Aug 13, 13",-0.005562427968812131
2013-08-14,35.2719,35.2907,35.0651,35.0933,55474,55474,-0.197365,-0.559,35.1582,"Aug 14, 13",-0.011124855937624262
2013-08-15,34.8584,34.8584,34.5106,34.5764,109903,109903,-0.516908,-1.473,34.5944,"Aug 15, 13",-0.02569030181948324
2013-08-16,34.5294,34.6233,34.3791,34.473,48007,48007,-0.10338,-0.299,34.5145,"Aug 16, 13",-0.02860395456505149
2013-08-19,34.3791,34.4918,34.1629,34.1629,274959,274959,-0.310146,-0.9,34.1928,"Aug 19, 13",-0.03734209495577397
2013-08-20,34.2193,34.5388,34.1854,34.4448,69608,69608,0.281952,0.825,34.4387,"Aug 20, 13",-0.029398587132024596
2013-08-21,34.3133,34.5011,34.1084,34.2099,93027,93027,-0.234959,-0.682,34.3056,"Aug 21, 13",-0.03601770734415213
2013-08-22,34.2475,35.2771,34.2475,34.5764,329843,329843,0.366533,1.071,34.6481,"Aug 22, 13",-0.02569030181948324
2013-08-23,34.708,34.708,34.4742,34.6798,46324,46324,0.103382,0.299,34.6318,"Aug 23, 13",-0.02277664907391499
2013-08-26,34.7456,34.8114,34.5012,34.52,52846,52846,-0.159771,-0.461,34.7117,"Aug 26, 13",-0.02727956695342945
2013-08-27,34.1723,34.2945,33.8715,33.8903,180598,180598,-0.629688,-1.824,33.9928,"Aug 27, 13",-0.045023543103181046
2013-08-28,33.9091,34.1065,33.8339,33.9749,54661,54661,0.084585,0.25,34.0255,"Aug 28, 13",-0.042639645402261735
2013-08-29,33.9091,34.2381,33.9091,34.1159,193608,193608,0.140977,0.415,34.1854,"Aug 29, 13",-0.03866648256739581
