date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,11.4496,11.5778,11.4038,11.4771,1503985,1503985,0,0,11.4958,"Aug 5, 13",0
2013-08-06,11.4496,11.5137,11.2114,11.2664,1955917,1955917,-0.210671,-1.836,11.2911,"Aug 6, 13",-0.018358296085247947
2013-08-07,11.2114,11.2206,11.0649,11.1839,1642812,1642812,-0.082438,-0.732,11.1328,"Aug 7, 13",-0.025546523076386943
2013-08-08,11.2297,11.3671,11.1107,11.129,1377042,1377042,-0.054958,-0.491,11.1652,"Aug 8, 13",-0.030329961401399354
2013-08-09,11.1198,11.1656,10.9824,11.0099,2677648,2677648,-0.119074,-1.07,11.0551,"Aug 9, 13",-0.0407071472758798
2013-08-12,10.9916,11.1473,10.955,11.0466,2824974,2824974,0.036638,0.333,11.0446,"Aug 12, 13",-0.03750947539012471
2013-08-13,11.0557,11.1198,10.955,11.1015,1566347,1566347,0.054959,0.498,11.0676,"Aug 13, 13",-0.0327260370651123
2013-08-14,11.0923,11.1839,11.0374,11.0649,1320605,1320605,-0.03664,-0.33,11.0788,"Aug 14, 13",-0.03591499594845391
2013-08-15,10.9824,11.0191,10.845,10.9275,1125809,1125809,-0.137397,-1.242,10.9121,"Aug 15, 13",-0.04788666126460516
2013-08-16,10.8817,11.0374,10.8542,10.9092,1176508,1176508,-0.018315,-0.168,10.9483,"Aug 16, 13",-0.04948114070627596
2013-08-19,10.8634,10.8725,10.6802,10.7076,1556865,1556865,-0.201514,-1.847,10.7394,"Aug 19, 13",-0.0670465535718954
2013-08-20,10.6985,10.9275,10.671,10.8725,1260531,1260531,0.164874,1.54,10.8402,"Aug 20, 13",-0.052678812592031055
2013-08-21,10.8542,10.9366,10.6802,10.7901,1590988,1590988,-0.082439,-0.758,10.8222,"Aug 21, 13",-0.05985832658075641
2013-08-22,10.8084,11.0099,10.7901,10.9183,1139903,1139903,0.128237,1.188,10.9309,"Aug 22, 13",-0.0486882574866473
2013-08-23,10.955,10.9824,10.7168,10.7626,2088312,2088312,-0.155714,-1.426,10.7785,"Aug 23, 13",-0.062254402244469355
2013-08-26,10.7534,10.8359,10.616,10.6527,1823903,1823903,-0.109917,-1.021,10.7068,"Aug 26, 13",-0.07182999189690782
2013-08-27,10.5153,10.5336,10.3138,10.3138,2020087,2020087,-0.338908,-3.181,10.3962,"Aug 27, 13",-0.10135835707626487
2013-08-28,10.3229,10.3962,10.2313,10.2771,1771798,1771798,-0.036638,-0.355,10.3189,"Aug 28, 13",-0.10455602896201996
2013-08-29,10.2771,10.4603,10.2497,10.3962,1318519,1318519,0.11908,1.159,10.4085,"Aug 29, 13",-0.09417884308753952
2013-08-30,10.3687,10.3779,10.1123,10.1306,1297227,1297227,-0.265633,-2.555,10.1918,"Aug 30, 13",-0.11732057749780003
2013-09-03,10.2497,10.4329,10.0069,10.1214,3464016,3464016,-0.00916,-0.09,10.1338,"Sep 3, 13",-0.11812217371984217
