date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,12.8643,13.0653,12.8241,12.9179,45624,45624,-0.087102,-0.67,12.8969,"Aug 5, 13",0
2013-08-06,12.8978,12.8978,12.6366,12.8442,37947,37947,-0.073705,-0.571,12.7626,"Aug 6, 13",-0.005705261691141654
2013-08-07,12.7772,12.8924,12.7303,12.8911,57548,57548,0.046904,0.365,12.8159,"Aug 7, 13",-0.0020746406149606137
2013-08-08,12.9313,12.9849,12.8777,12.9648,28018,28018,0.073704,0.572,12.9287,"Aug 8, 13",0.0036306210761811774
2013-08-09,13.0452,13.0854,12.9313,13.0251,28110,28110,0.060301,0.465,13.0092,"Aug 9, 13",0.008298562459842593
2013-08-12,13.0251,13.0385,12.9313,12.9313,22096,22096,-0.093805,-0.72,12.9714,"Aug 12, 13",0.0010373203074803758
2013-08-13,12.8777,12.9313,12.7303,12.7638,40957,40957,-0.167501,-1.295,12.7888,"Aug 13, 13",-0.011929183536023633
2013-08-14,12.7303,12.7973,12.6097,12.6231,22178,22178,-0.140706,-1.102,12.6965,"Aug 14, 13",-0.02282104676456689
2013-08-15,12.5896,12.5896,12.3953,12.5896,36768,36768,-0.033499,-0.265,12.4954,"Aug 15, 13",-0.02541434753326769
2013-08-16,12.5293,12.6432,12.469,12.4757,34207,34207,-0.113903,-0.905,12.5041,"Aug 16, 13",-0.03423157014685047
2013-08-19,12.5155,12.61,12.1044,12.151,101936,101936,-0.324721,-2.603,12.2684,"Aug 19, 13",-0.05936723461243699
2013-08-20,12.0902,12.4193,12.0565,12.2995,58882,58882,0.148515,1.222,12.2383,"Aug 20, 13",-0.047871558070584186
2013-08-21,12.2657,12.3333,12.1104,12.1307,57073,57073,-0.168763,-1.372,12.2224,"Aug 21, 13",-0.06093869746630647
2013-08-22,12.232,12.2995,12.1577,12.2387,38078,38078,0.108008,0.89,12.2457,"Aug 22, 13",-0.052578205435868046
2013-08-23,12.286,12.3738,12.1982,12.313,69914,69914,0.074256,0.607,12.2879,"Aug 23, 13",-0.04682649656677935
2013-08-26,12.2657,12.3198,12.1037,12.1037,50585,50585,-0.209264,-1.7,12.245,"Aug 26, 13",-0.063028820473916
2013-08-27,12.0362,12.2117,11.9092,12.1172,68292,68292,0.013498,0.112,12.1011,"Aug 27, 13",-0.06198375897011117
2013-08-28,12.1375,12.2928,12.0902,12.2928,50863,50863,0.175518,1.448,12.2064,"Aug 28, 13",-0.04839021822432437
2013-08-29,12.2117,12.3738,12.151,12.3535,39940,39940,0.060752,0.494,12.2492,"Aug 29, 13",-0.04369131205536497
2013-08-30,12.4008,12.4008,12.286,12.3198,27214,27214,-0.033751,-0.273,12.3381,"Aug 30, 13",-0.046300095216714694
2013-09-03,12.34,12.3805,12.2793,12.3535,38071,38071,0.033751,0.274,12.3548,"Sep 3, 13",-0.04369131205536497
2013-09-04,12.3265,12.4143,12.2657,12.4074,42850,42850,0.053941,0.437,12.3263,"Sep 4, 13",-0.03951880723647022
2013-09-05,12.3063,12.34,12.2117,12.2657,32554,32554,-0.141697,-1.142,12.2762,"Sep 5, 13",-0.05048808242825837
2013-09-06,12.2657,12.3198,12.097,12.1982,60631,60631,-0.067505,-0.55,12.1902,"Sep 6, 13",-0.05571338994728242
2013-09-09,12.1847,12.3333,12.1307,12.313,56530,56530,0.114757,0.941,12.2074,"Sep 9, 13",-0.04682649656677935
2013-09-10,12.2725,12.34,12.259,12.34,26538,26538,0.027004,0.219,12.2892,"Sep 10, 13",-0.04473637355916981
2013-09-11,12.3333,12.3805,12.2792,12.3198,30727,30727,-0.020251,-0.164,12.3209,"Sep 11, 13",-0.046300095216714694
2013-09-12,12.3468,12.3468,12.2455,12.2725,38268,38268,-0.047255,-0.384,12.2956,"Sep 12, 13",-0.04996168107819372
2013-09-13,12.2387,12.2928,12.2252,12.2793,19409,19409,0.006755,0.055,12.2527,"Sep 13, 13",-0.04943527972812921
2013-09-16,12.3333,12.3805,12.2995,12.3468,22910,22910,0.067502,0.55,12.3374,"Sep 16, 13",-0.04420997220910516
2013-09-17,12.3468,12.3535,12.1861,12.2455,35970,35970,-0.101259,-0.82,12.2648,"Sep 17, 13",-0.0520518040858034
2013-09-18,12.1847,12.5425,12.1847,12.5425,62515,62515,0.297022,2.426,12.319,"Sep 18, 13",-0.02906045100209779
2013-09-19,12.5398,12.6077,12.4388,12.5602,35964,35964,0.017691,0.141,12.5232,"Sep 19, 13",-0.027690259252664867
2013-09-20,12.4854,12.5194,12.4038,12.4854,24913,24913,-0.074806,-0.596,12.4608,"Sep 20, 13",-0.03348067410337588
