date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,11.593,11.6229,11.4507,11.5106,68631,68631,-0.164759,-1.411,11.527,"Aug 5, 13",0
2013-08-06,11.4507,11.4807,11.256,11.3009,119798,119798,-0.20969,-1.822,11.3496,"Aug 6, 13",-0.01821799037408995
2013-08-07,11.241,11.3009,11.1961,11.2635,139100,139100,-0.037449,-0.331,11.241,"Aug 7, 13",-0.021467169391691108
2013-08-08,11.2335,11.253,11.211,11.2335,85761,85761,-0.029958,-0.266,11.2339,"Aug 8, 13",-0.02407346272131781
2013-08-09,11.2036,11.3758,11.2036,11.3758,57541,57541,0.142297,1.267,11.2562,"Aug 9, 13",-0.011710944694455567
2013-08-12,11.3533,11.4657,11.3084,11.4282,72100,72100,0.052418,0.461,11.3863,"Aug 12, 13",-0.007158619012041058
2013-08-13,11.3872,11.4851,11.3646,11.4625,137254,137254,0.034252,0.3,11.4382,"Aug 13, 13",-0.00417875697183464
2013-08-14,11.4474,11.455,11.3195,11.4399,57122,57122,-0.022578,-0.197,11.3985,"Aug 14, 13",-0.0061421646134867365
2013-08-15,11.3044,11.3496,11.2667,11.327,149570,149570,-0.112892,-0.987,11.3046,"Aug 15, 13",-0.015950515177314842
2013-08-16,11.3044,11.3646,11.2517,11.3646,73428,73428,0.037629,0.332,11.2987,"Aug 16, 13",-0.012683960870849546
2013-08-19,11.3119,11.3119,11.1915,11.2668,88056,88056,-0.097846,-0.861,11.2512,"Aug 19, 13",-0.02118047712543223
2013-08-20,11.2216,11.2593,11.0711,11.1464,194922,194922,-0.120414,-1.069,11.1494,"Aug 20, 13",-0.031640401021667014
2013-08-21,11.1388,11.169,10.9507,11.0786,268840,268840,-0.067736,-0.608,11.0268,"Aug 21, 13",-0.03753062394662315
2013-08-22,11.0335,11.2141,11.026,11.1464,123666,123666,0.067736,0.611,11.1285,"Aug 22, 13",-0.031640401021667014
2013-08-23,11.1464,11.1464,11.1012,11.1163,117521,117521,-0.03011,-0.27,11.1174,"Aug 23, 13",-0.03425538199572563
2013-08-26,11.1012,11.1614,11.0862,11.1012,88666,88666,-0.01505,-0.135,11.1127,"Aug 26, 13",-0.03556721630497105
2013-08-27,11.0711,11.1388,11.041,11.1388,103163,103163,0.03763,0.339,11.0763,"Aug 27, 13",-0.03230066199850576
2013-08-28,11.1012,11.2216,11.1012,11.2216,77047,77047,0.082792,0.743,11.1543,"Aug 28, 13",-0.02510729240873627
2013-08-29,11.184,11.2292,11.1012,11.2292,129505,129505,0.007521,0.067,11.158,"Aug 29, 13",-0.024447031431897526
2013-08-30,11.184,11.2593,11.1313,11.2593,87290,87290,0.030106,0.268,11.177,"Aug 30, 13",-0.021832050457838908
2013-09-03,11.2216,11.2668,11.169,11.2668,81334,81334,0.007525,0.067,11.2208,"Sep 3, 13",-0.02118047712543223
2013-09-04,11.2141,11.3044,11.1622,11.2969,97358,97358,0.03011,0.267,11.2305,"Sep 4, 13",-0.01856549615137346
2013-09-05,11.2292,11.2292,11.1388,11.1614,104249,104249,-0.135472,-1.199,11.1892,"Sep 5, 13",-0.03033725435685366
2013-09-06,11.1238,11.1614,11.0674,11.1012,112918,112918,-0.060212,-0.539,11.1032,"Sep 6, 13",-0.03556721630497105
2013-09-09,11.1204,11.1733,11.0901,11.1128,151466,151466,0.01157,0.104,11.1412,"Sep 9, 13",-0.034559449550848796
2013-09-10,11.1052,11.2263,11.0901,11.2263,91669,91669,0.113473,1.021,11.1204,"Sep 10, 13",-0.024698973120428125
2013-09-11,11.1657,11.196,11.1355,11.1884,110863,110863,-0.03782,-0.337,11.1588,"Sep 11, 13",-0.02799159036018978
2013-09-12,11.0825,11.1279,11.0144,11.1279,220062,220062,-0.06052,-0.541,11.0518,"Sep 12, 13",-0.03324761524160338
2013-09-13,11.1052,11.1582,11.0598,11.1582,81959,81959,0.030258,0.272,11.0928,"Sep 13, 13",-0.030615258978680466
