date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-10-04,12.9,12.9,12.9,12.9,5000,5000,12.9,0,12.95,"Oct 4, 13",0
2014-08-22,16.5,16.5,16.5,16.5,766,766,3.6,27.907,16.5,"Aug 22, 14",0.2790697674418604
2014-08-27,16.5,16.5,16.5,16.5,2706,2706,0,0,16.5,"Aug 27, 14",0.2790697674418604
2014-08-28,16.5,16.5,16.5,16.5,800,800,0,0,16.5,"Aug 28, 14",0.2790697674418604
2014-09-15,18.5,18.5,18.5,18.5,301,301,2,12.121,18.5,"Sep 15, 14",0.4341085271317829
2014-09-16,18.5,22,18.5,22,600,600,3.5,18.919,19.9167,"Sep 16, 14",0.7054263565891472
2014-09-18,17.5,18.05,17.1,18.05,988,988,-3.95,-17.955,17.3232,"Sep 18, 14",0.39922480620155043
2014-09-23,17.5,18,17.25,18,658,658,-0.05,-0.277,17.6873,"Sep 23, 14",0.3953488372093023
2014-09-24,18,18,17.95,18,8721,8721,0,0,17.9745,"Sep 24, 14",0.3953488372093023
2014-09-26,18,18,18,18,1785,1785,0,0,18,"Sep 26, 14",0.3953488372093023
2014-10-01,,,,18,3,3,0,0,,"Oct 1, 14",0.3953488372093023
2014-10-06,,,,18,39,39,0,0,,"Oct 6, 14",0.3953488372093023
2014-10-13,18,18,18,18,520,520,0,0,18,"Oct 13, 14",0.3953488372093023
2014-10-14,18,18,18,18,469,469,0,0,18,"Oct 14, 14",0.3953488372093023
2014-10-15,18,18,18,18,804,804,0,0,18,"Oct 15, 14",0.3953488372093023
2014-10-21,18,18,18,18,2600,2600,0,0,18,"Oct 21, 14",0.3953488372093023
2014-10-22,17.75,18,16.25,18,260638,260638,0,0,16.271,"Oct 22, 14",0.3953488372093023
2014-10-27,,,,18,99,99,0,0,,"Oct 27, 14",0.3953488372093023
2014-10-28,,,,18,55,55,0,0,,"Oct 28, 14",0.3953488372093023
2014-10-29,,,,18,108,108,0,0,,"Oct 29, 14",0.3953488372093023
2014-10-31,18,18,18,18,1164,1164,0,0,18,"Oct 31, 14",0.3953488372093023
2014-11-03,,,,18,20,20,0,0,,"Nov 3, 14",0.3953488372093023
2014-11-07,18.5,18.5,18.5,18.5,275,275,0.5,2.778,18.5,"Nov 7, 14",0.4341085271317829
2014-11-12,17.3,18.45,17.3,18.45,1092,1092,-0.05,-0.27,17.8873,"Nov 12, 14",0.4302325581395348
2014-11-20,18.45,18.45,18.45,18.45,177,177,0,0,18.45,"Nov 20, 14",0.4302325581395348
2014-11-21,18.5,18.5,18.5,18.5,1446,1446,0.05,0.271,18.5,"Nov 21, 14",0.4341085271317829
2014-11-24,18.75,18.75,18.75,18.75,300,300,0.25,1.351,18.75,"Nov 24, 14",0.45348837209302323
2014-11-25,17.55,18.5,17.55,18.5,1849,1849,-0.25,-1.333,17.6027,"Nov 25, 14",0.4341085271317829
2014-11-26,17.55,18.5,17.55,18.5,677,677,0,0,17.8179,"Nov 26, 14",0.4341085271317829
2014-12-01,17.55,18.42,17.5,18.42,4760,4760,-0.08,-0.432,18.2584,"Dec 1, 14",0.42790697674418615
2014-12-02,18.5,18.5,18.5,18.5,436,436,0.08,0.434,18.5,"Dec 2, 14",0.4341085271317829
2014-12-03,17.4,18.4,16.25,18.4,35903,35903,-0.1,-0.541,16.2711,"Dec 3, 14",0.4263565891472867
