date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,9.6016,9.6454,9.4919,9.5796,251296,251296,-0.02925,-0.304,9.5638,"Aug 5, 13",0
2013-08-06,9.5284,9.6162,9.5284,9.5796,341216,341216,0,0,9.5736,"Aug 6, 13",0
2013-08-07,9.5796,9.6162,9.5138,9.5577,181763,181763,-0.021938,-0.229,9.5586,"Aug 7, 13",-0.002286107979456209
2013-08-08,9.5943,9.5943,9.4846,9.5577,285541,285541,0,0,9.5412,"Aug 8, 13",-0.002286107979456209
2013-08-09,9.5358,9.6345,9.5138,9.5577,291822,291822,0,0,9.5704,"Aug 9, 13",-0.002286107979456209
2013-08-12,9.5284,9.5796,9.4699,9.565,195635,195635,0.007313,0.077,9.5494,"Aug 12, 13",-0.0015240719863042012
2013-08-13,9.5431,9.5723,9.3383,9.3895,348883,348883,-0.175504,-1.835,9.4086,"Aug 13, 13",-0.0198442523696187
2013-08-14,9.4114,9.4261,9.3456,9.3968,187119,187119,0.007312,0.078,9.3872,"Aug 14, 13",-0.019082216376466506
2013-08-15,9.3017,9.3222,9.1189,9.1409,639536,639536,-0.255944,-2.724,9.1507,"Aug 15, 13",-0.04579523153367562
2013-08-16,9.1336,9.2286,8.8922,8.9581,323875,323875,-0.182817,-2,9.0257,"Aug 16, 13",-0.06487744791014231
2013-08-19,8.9288,8.9288,8.6582,8.746,388827,388827,-0.212069,-2.367,8.7481,"Aug 19, 13",-0.08701824710843864
2013-08-20,8.8484,8.9507,8.7387,8.9434,394520,394520,0.197442,2.258,8.8741,"Aug 20, 13",-0.06641195874566776
2013-08-21,8.8995,9.0751,8.4462,8.9288,233630,233630,-0.014626,-0.164,8.9258,"Aug 21, 13",-0.06793603073197195
2013-08-22,8.9361,8.9654,8.7752,8.9361,288025,288025,0.007313,0.082,8.899,"Aug 22, 13",-0.06717399473881995
2013-08-23,8.9361,9.0677,8.9069,9.0458,198861,198861,0.109692,1.228,9.0272,"Aug 23, 13",-0.05572257714309568
2013-08-26,9.0604,9.0677,8.9946,9.0677,163744,163744,0.021939,0.243,9.0391,"Aug 26, 13",-0.05343646916363929
2013-08-27,8.9361,9.0824,8.9361,9.0531,296343,296343,-0.014626,-0.161,9.0422,"Aug 27, 13",-0.05496054114994349
2013-08-28,9.0531,9.097,8.8703,8.9581,250147,250147,-0.095065,-1.05,8.9575,"Aug 28, 13",-0.06487744791014231
2013-08-29,8.9434,9.0677,8.9215,9.0677,202386,202386,0.109691,1.224,9.0056,"Aug 29, 13",-0.05343646916363929
2013-08-30,9.0312,9.1262,8.8279,8.9069,448295,448295,-0.160882,-1.774,8.9194,"Aug 30, 13",-0.07022213871142835
2013-09-03,8.9946,8.9946,8.6363,8.746,483002,483002,-0.160878,-1.806,8.7267,"Sep 3, 13",-0.08701824710843864
2013-09-04,8.7606,8.7972,8.6948,8.7972,340535,340535,0.051188,0.585,8.7621,"Sep 4, 13",-0.08167355630715262
2013-09-05,8.8118,8.8118,8.5997,8.6144,340690,340690,-0.182815,-2.078,8.6529,"Sep 5, 13",-0.10075577268361931
2013-09-06,8.7094,8.8264,8.629,8.7679,402809,402809,0.153566,1.783,8.7684,"Sep 6, 13",-0.08473213912898243
2013-09-09,8.7752,8.9946,8.7533,8.9654,489631,489631,0.197443,2.252,8.9328,"Sep 9, 13",-0.06411541191699012
2013-09-10,8.9946,9.0531,8.8849,8.9361,340904,340904,-0.029253,-0.326,8.9362,"Sep 10, 13",-0.06717399473881995
2013-09-11,8.9288,9.0312,8.9069,9.0019,149040,149040,0.065815,0.737,8.9767,"Sep 11, 13",-0.060305231951229714
2013-09-12,8.9946,9.0604,8.8849,8.9654,201055,201055,-0.036562,-0.406,8.947,"Sep 12, 13",-0.06411541191699012
2013-09-13,8.9946,9.0019,8.9434,9.0019,196683,196683,0.036562,0.408,8.9861,"Sep 13, 13",-0.060305231951229714
2013-09-16,9.1336,9.1921,9.0019,9.097,329013,329013,0.095066,1.056,9.073,"Sep 16, 13",-0.050377886341809654
2013-09-17,9.097,9.1409,9.0531,9.1189,208215,208215,0.021935,0.241,9.1046,"Sep 17, 13",-0.04809177836235326
2013-09-18,9.1409,9.5869,9.0019,9.5796,447905,447905,0.460702,5.052,9.3714,"Sep 18, 13",0
2013-09-19,9.5943,9.6601,9.4992,9.5504,269246,269246,-0.029251,-0.305,9.5486,"Sep 19, 13",-0.0030481439726084024
2013-09-20,9.6162,9.6162,9.4114,9.4846,585978,585978,-0.065816,-0.689,9.5149,"Sep 20, 13",-0.009916906760198638
2013-09-23,9.4919,9.5796,9.4202,9.4846,236576,236576,0,0,9.4943,"Sep 23, 13",-0.009916906760198638
2013-09-24,9.4846,9.4846,9.3164,9.3383,249916,249916,-0.146251,-1.542,9.3998,"Sep 24, 13",-0.025188943170904733
