date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-02-18,30.52,32.22,30.5,32.15,215847,215847,32.15,0,31.5262,"Feb 18, 14",0
2014-02-19,31.91,32.47,31.5,31.53,161551,161551,-0.62,-1.928,31.7974,"Feb 19, 14",-0.019284603421461818
2014-02-20,31.64,31.99,31.1,31.12,154198,154198,-0.41,-1.3,31.6095,"Feb 20, 14",-0.032037325038880175
2014-02-21,31.29,31.29,30.79,31.05,212045,212045,-0.07,-0.225,30.9949,"Feb 21, 14",-0.034214618973561366
2014-02-24,31.02,31.77,30.93,31.63,127302,127302,0.58,1.868,31.5201,"Feb 24, 14",-0.01617418351477448
2014-02-25,31.44,32.62,31.04,32.57,163047,163047,0.94,2.972,32.346,"Feb 25, 14",0.013063763608087146
2014-02-26,32.74,32.74,31.64,31.75,154479,154479,-0.82,-2.518,32.1216,"Feb 26, 14",-0.012441679626749568
2014-02-27,31.63,32.43,31.34,31.66,105416,105416,-0.09,-0.283,31.731,"Feb 27, 14",-0.015241057542768225
2014-02-28,31.75,32.18,30.45,31.06,194565,194565,-0.6,-1.895,31.3694,"Feb 28, 14",-0.03390357698289269
2014-03-03,32.27,32.75,31.66,32.04,396262,396262,0.98,3.155,32.2276,"Mar 3, 14",-0.0034214618973561254
2014-03-04,32.73,34.28,32.51,34,324597,324597,1.96,6.117,34.1017,"Mar 4, 14",0.057542768273717
2014-03-05,34,34.65,33.62,33.99,140761,140761,-0.01,-0.029,34.0602,"Mar 5, 14",0.05723172628304832
2014-03-06,33.9,34.818,32.1,33.35,415693,415693,-0.64,-1.883,33.2067,"Mar 6, 14",0.03732503888024892
2014-03-07,33.41,33.7,32.52,32.58,248730,248730,-0.77,-2.309,33.2544,"Mar 7, 14",0.013374805598755824
2014-03-10,32.17,32.47,31.82,32.06,117877,117877,-0.52,-1.596,32.1487,"Mar 10, 14",-0.002799377916018548
2014-03-11,31.88,31.9,31.3,31.4,190956,190956,-0.66,-2.059,31.524,"Mar 11, 14",-0.02332814930015552
2014-03-12,31.28,32.2,31.28,32.2,141821,141821,0.8,2.548,31.8206,"Mar 12, 14",0.001555209953343834
2014-03-13,32.11,32.32,31.35,31.36,148504,148504,-0.84,-2.609,31.8474,"Mar 13, 14",-0.024572317262830455
2014-03-14,31.2,31.8,31.12,31.4,109614,109614,0.04,0.128,31.394,"Mar 14, 14",-0.02332814930015552
2014-03-17,31.49,32.15,31.16,31.28,182015,182015,-0.12,-0.382,31.4104,"Mar 17, 14",-0.027060653188180326
2014-03-18,31.45,33.04,31.2601,33.02,286519,286519,1.74,5.563,31.7998,"Mar 18, 14",0.027060653188180548
2014-03-19,32.98,33.3999,32.36,33.36,140001,140001,0.34,1.03,32.9259,"Mar 19, 14",0.037636080870917604
2014-03-20,32.89,33.49,32.3,32.71,128602,128602,-0.65,-1.948,35.4018,"Mar 20, 14",0.017418351477449526
2014-03-21,32.75,33.17,31.54,31.82,346405,346405,-0.89,-2.721,24.4391,"Mar 21, 14",-0.010264385692068377
2014-03-24,31.73,32.45,31.21,31.6,100213,100213,-0.22,-0.691,31.5156,"Mar 24, 14",-0.017107309486780627
2014-03-25,31.84,32.1,31.17,31.77,147837,147837,0.17,0.538,31.7188,"Mar 25, 14",-0.011819595645412101
2014-03-26,32.12,32.75,31.69,31.79,170295,170295,0.02,0.063,31.9325,"Mar 26, 14",-0.011197511664074632
2014-03-27,31.82,32.12,31.3,32.05,182834,182834,0.26,0.818,32.0698,"Mar 27, 14",-0.003110419906687447
2014-03-28,32.2,32.81,31.82,32.05,104880,104880,0,0,32.2181,"Mar 28, 14",-0.003110419906687447
2014-03-31,32.33,32.78,31.73,31.81,258697,258697,-0.24,-0.749,31.9084,"Mar 31, 14",-0.010575427682737166
2014-04-01,31.88,32.48,31.58,32.04,186440,186440,0.23,0.723,31.9327,"Apr 1, 14",-0.0034214618973561254
2014-04-02,32.02,32.42,31.8,32.21,107167,107167,0.17,0.531,32.1149,"Apr 2, 14",0.0018662519440125125
2014-04-03,32.23,32.54,31.9,32.45,113067,113067,0.24,0.745,32.1979,"Apr 3, 14",0.009331259720062341
2014-04-04,32.66,33,31.302,31.89,137568,137568,-0.56,-1.726,31.8873,"Apr 4, 14",-0.008087091757387185
2014-04-07,31.8,32.05,31.12,31.88,201309,201309,-0.01,-0.031,31.7081,"Apr 7, 14",-0.008398133748055975
2014-04-08,31.87,32.42,31.87,32.3,213478,213478,0.42,1.317,32.215,"Apr 8, 14",0.00466562986003106
2014-04-09,32.36,32.38,31.91,32.15,223287,223287,-0.15,-0.464,32.0635,"Apr 9, 14",0
2014-04-10,32.03,32.03,31.31,31.36,202346,202346,-0.79,-2.457,31.7168,"Apr 10, 14",-0.024572317262830455
2014-04-11,31.17,31.44,30.91,31.26,262880,262880,-0.1,-0.319,31.1829,"Apr 11, 14",-0.027682737169517795
2014-04-14,31.46,31.579,30.9,30.95,143696,143696,-0.31,-0.992,31.0873,"Apr 14, 14",-0.037325038880248816
2014-04-15,31.12,31.43,30.54,30.85,184658,184658,-0.1,-0.323,30.9188,"Apr 15, 14",-0.04043545878693615
2014-04-16,31.06,31.93,30.54,31.3,98769,98769,0.45,1.459,31.2117,"Apr 16, 14",-0.026438569206842857
2014-04-17,31.2,31.71,30.76,31.07,100902,100902,-0.23,-0.735,31.1657,"Apr 17, 14",-0.0335925349922239
2014-04-21,31.04,31.36,27.6,30.82,307490,307490,-0.25,-0.805,30.1685,"Apr 21, 14",-0.04136858475894241
2014-04-22,31.02,32.52,31.02,32.23,145082,145082,1.41,4.575,31.9616,"Apr 22, 14",0.002488335925349869
2014-04-23,32.11,32.11,31.29,31.31,78282,78282,-0.92,-2.854,31.5237,"Apr 23, 14",-0.02612752721617418
2014-04-24,31.43,31.43,30.54,31.01,142613,142613,-0.3,-0.958,31.0639,"Apr 24, 14",-0.0354587869362363
2014-04-25,30.73,31.19,30.4,30.61,128254,128254,-0.4,-1.29,30.7432,"Apr 25, 14",-0.04790046656298598
2014-04-28,30.81,30.81,30.05,30.3,146570,146570,-0.31,-1.013,30.3833,"Apr 28, 14",-0.05754276827371689
2014-04-29,30.55,30.72,29.8,30.46,178005,178005,0.16,0.528,30.4194,"Apr 29, 14",-0.05256609642301704
2014-04-30,30.43,30.91,29.925,30.34,147204,147204,-0.12,-0.394,30.2924,"Apr 30, 14",-0.05629860031104195
2014-05-01,30.29,31.01,30.1,30.46,138044,138044,0.12,0.396,30.551,"May 1, 14",-0.05256609642301704
2014-05-02,30.6,30.81,30.24,30.34,72802,72802,-0.12,-0.394,30.476,"May 2, 14",-0.05629860031104195
2014-05-05,30.12,30.3,29.75,30.08,150961,150961,-0.26,-0.857,30.0024,"May 5, 14",-0.06438569206842924
2014-05-06,30,30.3499,29.12,29.45,193288,193288,-0.63,-2.094,29.4872,"May 6, 14",-0.08398133748055986
2014-05-07,29.46,29.71,28.7,29.48,178721,178721,0.03,0.102,29.2044,"May 7, 14",-0.0830482115085536
2014-05-08,29.74,31.82,29.32,30.02,261833,261833,0.54,1.832,30.4979,"May 8, 14",-0.06625194401244165
