date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-10-23,29.5306,29.5306,29.5108,29.5108,600,600,29.5108,0,29.5273,"Oct 23, 13",0
2013-10-24,29.343,29.3924,29.343,29.3924,1775,1775,-0.118379,-0.401,30.5528,"Oct 24, 13",-0.004012090488905796
2013-10-25,29.4911,29.5602,29.4911,29.5405,5200,5200,0.148097,0.504,29.5585,"Oct 25, 13",0.0010064112121664557
2013-10-28,29.3825,29.3825,29.3529,29.3529,300,300,-0.18759,-0.635,29.3661,"Oct 28, 13",-0.00535058351518759
2013-10-29,29.3035,29.3035,29.2838,29.2838,650,650,-0.069111,-0.235,29.2899,"Oct 29, 13",-0.007692099163696013
2013-10-30,29.3528,29.3528,29.2344,29.2344,4901,4901,-0.049367,-0.169,29.3054,"Oct 30, 13",-0.009366062594033333
2013-10-31,,,,29.1456,100,100,-0.088858,-0.304,29.1554,"Oct 31, 13",-0.012375130460712619
2013-11-01,28.7605,28.7605,28.7013,28.7111,675,675,-0.434419,-1.491,28.7444,"Nov 1, 13",-0.027098553749813674
2013-11-04,28.563,28.5729,28.5334,28.5334,15400,15400,-0.177717,-0.619,28.5659,"Nov 4, 13",-0.033120078073112194
2013-11-05,28.5235,28.5729,28.5235,28.5729,1238,1238,0.039493,0.138,28.549,"Nov 5, 13",-0.031781585046830284
2013-11-06,28.6716,28.6716,28.6322,28.6322,3600,3600,0.059239,0.207,28.6607,"Nov 6, 13",-0.029772151212437436
2013-11-07,28.6716,28.6716,28.5927,28.5927,1600,1600,-0.039493,-0.138,28.5976,"Nov 7, 13",-0.031110644238719353
2013-11-11,28.721,28.7505,28.721,28.7505,700,700,0.157872,0.552,28.7294,"Nov 11, 13",-0.025763449313471708
2013-11-13,28.6914,28.6914,28.6913,28.6913,1080,1080,-0.059239,-0.206,28.6913,"Nov 13, 13",-0.027769494557924605
2013-11-14,28.5137,28.642,28.4841,28.6377,700,700,-0.053612,-0.187,28.6005,"Nov 14, 13",-0.02958577876574003
2013-11-15,28.7309,28.7309,28.6716,28.6716,800,800,0.033965,0.119,28.7087,"Nov 15, 13",-0.02843704677609547
2013-11-18,28.7704,28.7704,28.7704,28.7704,200,200,0.098731,0.344,28.7704,"Nov 18, 13",-0.025089119915420833
2013-11-21,28.7704,28.7704,28.7704,28.7704,172,172,0,0,28.7704,"Nov 21, 13",-0.025089119915420833
2013-11-22,28.9086,28.9086,28.9086,28.9086,700,700,0.138224,0.48,28.9086,"Nov 22, 13",-0.020406088618404105
2013-11-25,28.8691,28.958,28.8691,28.958,4295,4295,0.049366,0.171,28.9097,"Nov 25, 13",-0.018732125188066787
2013-11-26,28.9975,29.0073,28.9975,29.0073,2426,2426,0.049366,0.17,29.0066,"Nov 26, 13",-0.01706155034766929
2013-11-27,28.8889,28.9283,28.8889,28.9283,2802,2802,-0.078985,-0.272,28.8924,"Nov 27, 13",-0.019738536400233122
2013-11-29,29.0073,29.0863,29.0073,29.0863,2500,2500,0.15797,0.546,29.0389,"Nov 29, 13",-0.014384564295105463
2013-12-02,29.1357,29.1357,29.1357,29.1357,328,328,0.049366,0.17,29.1357,"Dec 2, 13",-0.012710600864768145
2013-12-03,28.958,28.958,28.958,28.958,100,100,-0.177717,-0.61,28.958,"Dec 3, 13",-0.018732125188066787
