date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,44.0704,44.8539,43.7766,44.658,1120505,16807579,0.685531,1.559,44.3493,"Aug 5, 13",0
2013-08-06,44.1683,44.8539,44.1683,44.658,1020943,15314151,0,0,44.6102,"Aug 6, 13",0
2013-08-07,44.2662,45.5394,43.8745,45.1477,1391247,20868698,0.489676,1.097,44.7949,"Aug 7, 13",0.010965560481884525
2013-08-08,45.1477,45.1477,43.4828,44.9518,830108,12451622,-0.195868,-0.434,44.3897,"Aug 8, 13",0.00657888844104074
2013-08-09,44.56,45.8332,44.2662,44.56,1386665,20799971,-0.391762,-0.872,45.1488,"Aug 9, 13",-0.0021944556406466695
2013-08-12,44.2662,45.8332,44.0704,45.5394,661214,9918210,0.979353,2.198,44.8612,"Aug 12, 13",0.01973666532312238
2013-08-13,45.4415,46.4208,44.8539,46.4208,799241,11988609,0.881424,1.936,45.927,"Aug 13, 13",0.03947333064624476
2013-08-14,46.127,46.6167,45.8332,46.127,583069,8746042,-0.293822,-0.633,46.2815,"Aug 14, 13",0.03289444220520402
2013-08-15,45.9311,46.3229,45.4415,45.8332,386126,5791893,-0.293781,-0.637,45.9364,"Aug 15, 13",0.02631555376416312
2013-08-16,46.0291,46.0291,45.0008,45.0987,321307,4819602,-0.734514,-1.603,45.3998,"Aug 16, 13",0.00986833266156119
2013-08-19,44.658,44.9518,43.5807,43.7766,534114,8011716,-1.3221,-2.932,44.1601,"Aug 19, 13",-0.01973666532312238
2013-08-20,43.7766,44.1193,43.4828,43.7766,469763,7046443,0,0,43.8022,"Aug 20, 13",-0.01973666532312238
2013-08-21,43.8745,44.9518,43.6787,44.4621,253825,3807370,0.685557,1.566,44.5169,"Aug 21, 13",-0.004386672040843784
2013-08-22,44.7559,44.7559,43.8745,44.0704,376072,5641074,-0.391735,-0.881,44.3008,"Aug 22, 13",-0.01315777688208164
2013-08-23,44.3642,44.9518,44.0704,44.56,450348,6755218,0.489636,1.111,44.4779,"Aug 23, 13",-0.0021944556406466695
2013-08-26,44.4621,44.8539,44.1683,44.56,281550,4223254,0,0,44.6058,"Aug 26, 13",-0.0021944556406466695
2013-08-27,44.2662,44.658,43.7766,43.7766,334026,5010384,-0.783458,-1.758,44.0834,"Aug 27, 13",-0.01973666532312238
2013-08-28,43.7766,44.1683,43.189,43.4338,371834,5577504,-0.342738,-0.783,43.5146,"Aug 28, 13",-0.027412781584486616
2013-08-29,43.5807,44.56,43.4828,43.6787,310626,4659394,0.244825,0.564,43.9222,"Aug 29, 13",-0.021928881723319495
2013-08-30,43.8745,44.1683,42.4055,42.4055,563622,8454329,-1.2731,-2.915,42.9143,"Aug 30, 13",-0.050438891128129285
2013-09-03,43.189,43.6787,42.6993,42.8462,429656,6444845,0.440679,1.039,43.0362,"Sep 3, 13",-0.040570558466568096
2013-09-04,43.091,44.658,42.7972,43.5807,1410080,21151197,0.734515,1.714,43.7421,"Sep 4, 13",-0.024123337363966164
2013-09-05,43.6809,44.3822,43.5807,43.6809,418263,6273950,0.100182,0.23,43.8708,"Sep 5, 13",-0.021879618433427384
2013-09-06,43.7811,43.8812,42.6791,42.8794,543064,8145953,-0.801456,-1.835,42.9513,"Sep 6, 13",-0.039827130637287926
2013-09-09,42.8794,43.7811,42.7792,43.4304,535988,8039824,0.551001,1.285,43.3378,"Sep 9, 13",-0.02748891575977434
2013-09-10,43.5807,43.6809,42.8794,43.3303,409672,6145081,-0.100168,-0.231,43.3743,"Sep 10, 13",-0.029730395449863407
2013-09-11,43.5807,43.8812,43.2301,43.5807,499622,7494334,0.250441,0.578,43.5673,"Sep 11, 13",-0.024123337363966164
2013-09-12,44.1818,44.1818,43.8812,44.0316,369232,5538482,0.450859,1.035,44.0227,"Sep 12, 13",-0.014026602176541803
2013-09-13,44.1818,44.282,43.18,43.5807,489462,7341933,-0.450859,-1.024,43.705,"Sep 13, 13",-0.024123337363966164
2013-09-16,43.8812,44.0816,42.8794,43.2802,959164,14387457,-0.300546,-0.69,43.4539,"Sep 16, 13",-0.0308522549151328
2013-09-17,43.4805,43.8812,43.19,43.5307,968414,14526204,0.250495,0.579,43.5379,"Sep 17, 13",-0.025242957588785843
2013-09-18,43.5807,43.8812,43.3804,43.731,512149,7682242,0.20035,0.46,43.6635,"Sep 18, 13",-0.020757758968157992
2013-09-19,43.9815,43.9815,43.0798,43.18,417300,6259504,-0.551027,-1.26,43.3702,"Sep 19, 13",-0.03309597384567158
2013-09-20,43.4805,43.5807,41.8776,41.8876,851993,12779893,-1.2924,-2.993,42.5758,"Sep 20, 13",-0.06203591741681226
2013-09-23,42.0779,42.9796,41.9778,42.8794,522642,7839634,0.991841,2.368,42.7178,"Sep 23, 13",-0.039827130637287926
2013-09-24,42.8794,43.5807,42.6791,43.2802,466429,6996434,0.400728,0.935,43.3292,"Sep 24, 13",-0.0308522549151328
2013-09-25,43.4805,43.5807,42.8794,42.9696,473633,7104502,-0.310578,-0.718,43.2674,"Sep 25, 13",-0.03780733575171305
2013-09-26,42.8794,43.4805,42.8794,43.0798,598262,8973932,0.110201,0.256,43.2292,"Sep 26, 13",-0.035339692776210366
2013-09-27,42.8794,43.3804,42.4787,42.9796,403142,6047125,-0.100183,-0.233,42.9128,"Sep 27, 13",-0.03758341170674915
2013-09-30,42.6791,43.2802,40.9759,41.8776,1470709,22060633,-1.102,-2.564,41.7162,"Sep 30, 13",-0.06225984146177617
2013-10-01,42.4787,43.0297,41.6772,42.6289,602538,9038069,0.751365,1.794,43.0988,"Oct 1, 13",-0.04543642796363473
2013-10-02,42.2783,43.2802,42.0779,42.9796,551610,8274143,0.350676,0.823,42.7509,"Oct 2, 13",-0.03758341170674915
2013-10-03,42.7792,43.3804,42.3785,42.3785,561387,8420801,-0.601117,-1.399,42.8292,"Oct 3, 13",-0.05104348604953197
2013-10-04,42.3785,42.9796,42.3785,42.8794,322227,4833400,0.500949,1.182,42.8172,"Oct 4, 13",-0.039827130637287926
2013-10-07,42.3785,43.0798,42.2783,42.8794,323435,4851531,0,0,42.9133,"Oct 7, 13",-0.039827130637287926
2013-10-08,42.6791,42.9796,42.1781,42.2783,704167,10562506,-0.601131,-1.402,42.4677,"Oct 8, 13",-0.05328720498007075
2013-10-09,42.2783,42.8794,42.1781,42.2883,468534,7028011,0.010031,0.024,42.5473,"Oct 9, 13",-0.05306328093510685
2013-10-10,42.8794,43.2802,42.4787,43.19,399777,5996662,0.90165,2.132,43.1632,"Oct 10, 13",-0.03287204980070768
2013-10-11,42.8794,44.2319,42.8794,44.1818,545855,8187827,0.991856,2.296,43.8311,"Oct 11, 13",-0.010663263021183183
2013-10-14,43.6809,44.282,43.5807,43.8812,303248,4548714,-0.300586,-0.68,43.8944,"Oct 14, 13",-0.01739441981279953
2013-10-15,43.7811,44.5826,43.5807,43.7811,346961,5204421,-0.100156,-0.228,43.9699,"Oct 15, 13",-0.0196358995028886
2013-10-16,44.0816,44.4824,43.7811,44.1718,420764,6311458,0.39071,0.892,44.234,"Oct 16, 13",-0.010887187066147247
2013-10-17,44.0816,44.5826,43.9815,44.4924,290858,4362868,0.320595,0.726,44.5149,"Oct 17, 13",-0.0037081821846029323
2013-10-18,44.6827,44.9833,44.4824,44.783,223759,3356382,0.290555,0.653,44.7627,"Oct 18, 13",0.0027990505620493528
2013-10-21,44.783,45.0835,44.5826,44.6827,303092,4546375,-0.100209,-0.224,44.7291,"Oct 21, 13",0.0005530923910608564
2013-10-22,44.5826,44.9833,44.5826,44.8731,240819,3612288,0.190372,0.426,44.8045,"Oct 22, 13",0.004816606207174518
2013-10-23,44.8831,44.8841,44.1818,44.282,303367,4550501,-0.591086,-1.317,44.4935,"Oct 23, 13",-0.00841954409064456
2013-10-24,43.9815,44.4323,43.8812,44.282,197709,2965635,0,0,44.2117,"Oct 24, 13",-0.00841954409064456
2013-10-25,44.1818,44.8831,43.9815,44.8831,239768,3596527,0.601104,1.357,44.5679,"Oct 25, 13",0.005040530252138422
2013-10-28,44.8831,45.0835,44.6827,44.9833,265007,3975100,0.100183,0.223,44.8656,"Oct 28, 13",0.007284249182677204
2013-10-29,45.0835,45.0835,44.6827,44.9332,318061,4770908,-0.050105,-0.111,44.8934,"Oct 29, 13",0.006162389717407813
2013-10-30,44.9833,44.9833,44.0816,44.3321,271008,4065120,-0.601132,-1.338,44.4723,"Oct 30, 13",-0.007297684625375169
2013-10-31,44.3822,44.6827,43.9815,44.1317,510172,7652581,-0.200336,-0.452,46.1837,"Oct 31, 13",-0.011785122486452575
2013-11-01,43.6809,44.6827,43.6809,44.5826,414690,6220347,0.450831,1.022,44.5025,"Nov 1, 13",-0.0016883872990282123
2013-11-04,44.282,44.8831,44.2319,44.6827,329591,4943860,0.100169,0.225,44.6104,"Nov 4, 13",0.0005530923910608564
2013-11-05,44.3822,45.1837,44.1818,44.8831,625874,9388115,0.20039,0.448,44.7621,"Nov 5, 13",0.005040530252138422
2013-11-06,45.0835,47.488,45.0835,47.3377,1610136,24152035,2.4546,5.469,46.5327,"Nov 6, 13",0.060004926328989135
2013-11-07,47.3878,47.488,45.885,46.436,1024569,15368541,-0.901718,-1.905,46.5926,"Nov 7, 13",0.039813695194589965
2013-11-08,46.987,47.0872,45.7848,46.987,658800,9881999,0.551041,1.187,46.5689,"Nov 8, 13",0.052151910072103555
2013-11-11,46.987,47.5881,46.987,47.2375,680606,10209092,0.250468,0.533,47.4207,"Nov 11, 13",0.05776120739845035
2013-11-12,47.2876,47.3878,46.7366,47.0872,469900,7048496,-0.150286,-0.318,47.1522,"Nov 12, 13",0.05439562900264234
2013-11-13,46.6864,48.1892,46.6864,47.8887,859539,12893092,0.801482,1.702,47.636,"Nov 13, 13",0.07234314120650273
2013-11-14,47.0872,48.4898,47.0872,48.2995,440389,6605839,0.410773,0.858,48.1976,"Nov 14, 13",0.08154194097362176
2013-11-15,48.4898,49.2913,48.3896,49.0909,1066436,15996539,0.791491,1.639,48.9746,"Nov 15, 13",0.09926328989206853
2013-11-18,49.1911,49.5918,48.6902,49.0909,1053207,15798106,0,0,49.1038,"Nov 18, 13",0.09926328989206853
2013-11-19,48.9907,49.9926,48.9907,49.8924,496475,7447131,0.801441,1.633,49.5187,"Nov 19, 13",0.11721080209592907
2013-11-20,50.0928,50.2931,48.0891,48.4898,837638,12564570,-1.4026,-2.811,50.1031,"Nov 20, 13",0.0858032155492857
2013-11-21,48.9907,48.9907,47.6883,48.0891,491289,7369328,-0.400741,-0.826,48.0951,"Nov 21, 13",0.07683057906758028
2013-11-22,47.7885,48.0891,47.0872,47.0872,579535,8693027,-1.0019,-2.083,47.4328,"Nov 22, 13",0.05439562900264234
2013-11-25,47.0872,47.2876,46.2857,46.7867,712102,10681532,-0.300546,-0.638,46.858,"Nov 25, 13",0.047666711451475705
2013-11-26,46.987,47.3878,46.4861,46.4861,850002,12750025,-0.300546,-0.642,46.904,"Nov 26, 13",0.040935554659859354
2013-11-27,46.8869,47.1874,46.7867,46.987,328922,4933834,0.50091,1.078,46.9806,"Nov 27, 13",0.052151910072103555
2013-11-29,47.0872,47.2876,46.6864,46.8869,237681,3565221,-0.100168,-0.213,46.8994,"Nov 29, 13",0.04991043038201433
2013-12-02,46.8869,46.987,46.1855,46.2857,720887,10813299,-0.601119,-1.282,46.4894,"Dec 2, 13",0.03644811679878179
2013-12-03,46.4861,46.7867,46.1855,46.5863,759756,11396344,0.30056,0.649,46.5852,"Dec 3, 13",0.04317927359039814
2013-12-04,46.2857,46.9369,46.0854,46.4861,1477069,22156037,-0.100183,-0.215,46.3864,"Dec 4, 13",0.040935554659859354
2013-12-05,46.4861,46.5885,45.0526,45.3598,795940,11939104,-1.1263,-2.423,45.7216,"Dec 5, 13",0.015714989475569856
2013-12-06,46.4861,46.6909,45.5646,46.6909,524413,7866199,1.3311,2.935,46.1336,"Dec 6, 13",0.04552151910072099
2013-12-09,46.2813,47.3052,45.8718,46.7421,978594,14678909,0.051185,0.11,46.6642,"Dec 9, 13",0.04666801021093644
2013-12-10,46.3837,47.3052,46.2813,47.2029,414449,6216731,0.460768,0.986,47.1072,"Dec 10, 13",0.056986430202875145
