date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,20.8265,20.9646,20.7613,20.8166,394990,394990,-0.009865,-0.047,20.8565,"Aug 5, 13",0
2013-08-06,20.8462,20.8462,20.57,20.787,468259,468259,-0.029597,-0.142,20.7098,"Aug 6, 13",-0.0014219421038979502
2013-08-07,20.5009,20.5009,18.9718,19.2579,2381651,2381651,-1.5292,-7.356,19.2748,"Aug 7, 13",-0.07487774180221562
2013-08-08,19.1888,19.3614,19.0309,19.2085,527173,527173,-0.049328,-0.256,19.1948,"Aug 8, 13",-0.07725084788101805
2013-08-09,19.1691,19.2973,19.0211,19.1789,867171,867171,-0.029596,-0.154,19.1503,"Aug 9, 13",-0.07867278998491599
2013-08-12,19.2085,19.322,19.1049,19.1296,464197,464197,-0.049329,-0.257,19.1668,"Aug 12, 13",-0.08104109220525932
2013-08-13,19.1395,19.2677,19.0901,19.1987,533921,533921,0.06906,0.361,19.1808,"Aug 13, 13",-0.07772162601001135
2013-08-14,19.2283,19.2973,19.1,19.2579,285840,285840,0.059193,0.308,19.2149,"Aug 14, 13",-0.07487774180221562
2013-08-15,19.1099,19.1099,18.7054,18.8534,680843,680843,-0.404493,-2.1,18.8276,"Aug 15, 13",-0.09430934926933315
2013-08-16,18.8928,19.1099,18.8238,19.1,597648,597648,0.246643,1.308,19.0456,"Aug 16, 13",-0.0824630343091571
2013-08-19,19.0408,19.4354,19.0408,19.2677,1199427,1199427,0.167717,0.878,19.2705,"Aug 19, 13",-0.07440696367322232
2013-08-20,19.3171,19.4946,19.3171,19.4256,467013,467013,0.15785,0.819,19.4444,"Aug 20, 13",-0.06682167116628084
2013-08-21,19.3861,19.544,19.2381,19.3467,350976,350976,-0.078925,-0.406,19.368,"Aug 21, 13",-0.0706119154905221
2013-08-22,19.4354,19.6328,19.3565,19.5144,272038,272038,0.167718,0.867,19.479,"Aug 22, 13",-0.06255584485458733
2013-08-23,19.5538,19.5637,19.3762,19.465,225076,225076,-0.04933,-0.253,19.4582,"Aug 23, 13",-0.06492895093338975
2013-08-26,19.4354,19.4552,19.1987,19.2677,314525,314525,-0.197313,-1.014,19.3329,"Aug 26, 13",-0.07440696367322232
2013-08-27,19.0901,19.1296,18.7942,18.8435,483371,483371,-0.424225,-2.202,18.8797,"Aug 27, 13",-0.09478493125678555
2013-08-28,18.804,19.0014,18.6363,18.9027,293969,293969,0.059194,0.314,18.8729,"Aug 28, 13",-0.09194104704898982
2013-08-29,18.8731,19.2085,18.8534,19.1395,354756,354756,0.236777,1.253,19.0968,"Aug 29, 13",-0.0805655102178069
2013-08-30,19.1296,19.1888,18.9126,18.9915,336378,336378,-0.147986,-0.773,19.0246,"Aug 30, 13",-0.08767522073729632
2013-09-03,19.1592,19.4256,19.0309,19.3467,1178065,1178065,0.355165,1.87,19.287,"Sep 3, 13",-0.0706119154905221
2013-09-04,19.3368,19.4058,19.1789,19.3269,575150,575150,-0.019731,-0.102,19.3193,"Sep 4, 13",-0.07156307946542675
2013-09-05,19.3072,19.4552,19.2085,19.2677,501174,501174,-0.059194,-0.306,19.3307,"Sep 5, 13",-0.07440696367322232
2013-09-06,19.3368,19.4256,19.1197,19.3368,340820,340820,0.06906,0.358,19.3324,"Sep 6, 13",-0.07108749747797435
2013-09-09,19.0803,19.3861,18.9619,19.2381,725396,725396,-0.098658,-0.51,19.28,"Sep 9, 13",-0.07582890577712026
2013-09-10,19.2875,19.4626,19.0704,19.2085,1323086,1323086,-0.029597,-0.154,19.1657,"Sep 10, 13",-0.07725084788101805
2013-09-11,19.1493,19.3762,19.1197,19.3664,713445,713445,0.157851,0.822,19.274,"Sep 11, 13",-0.06966555537407657
2013-09-12,19.3368,19.5637,19.2776,19.2973,641006,641006,-0.069059,-0.357,19.4189,"Sep 12, 13",-0.07298502156932453
2013-09-13,19.3565,19.4256,19.0704,19.1099,421399,421399,-0.187448,-0.971,19.1492,"Sep 13, 13",-0.08198745232170486
2013-09-16,19.2381,19.4052,19.2283,19.3072,555221,555221,0.197313,1.033,19.3311,"Sep 16, 13",-0.07250943958187213
2013-09-17,19.2677,19.5045,19.1888,19.5045,335184,335184,0.197315,1.022,19.3808,"Sep 17, 13",-0.06303142684203956
2013-09-18,19.544,19.5982,19.2777,19.4058,416431,416431,-0.098658,-0.506,19.3918,"Sep 18, 13",-0.06777283514118548
2013-09-19,19.4848,19.5341,19.396,19.465,411270,411270,0.059194,0.305,19.4773,"Sep 19, 13",-0.06492895093338975
2013-09-20,19.4453,19.5055,18.9027,18.9323,1748433,1748433,-0.532747,-2.737,19.0353,"Sep 20, 13",-0.09051910494509187
2013-09-23,18.9126,19.0309,18.8632,18.952,1118645,1118645,0.01973,0.104,18.9549,"Sep 23, 13",-0.08957274482864633
2013-09-24,19.0014,19.0309,18.8139,18.8632,703894,703894,-0.088791,-0.469,18.9308,"Sep 24, 13",-0.09383857114034001
2013-09-25,18.8435,18.9816,18.7448,18.9323,708754,708754,0.069061,0.366,18.9077,"Sep 25, 13",-0.09051910494509187
