date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,56.9434,56.9434,55.8232,56.359,37457,37457,-0.525989,-0.925,56.3713,"Aug 5, 13",0
2013-08-06,56.32,57.4694,55.9867,57.0798,11505,11505,0.720801,1.279,56.5395,"Aug 6, 13",0.012789439131283326
2013-08-07,57.3135,57.3622,56.9142,57.1479,6908,6908,0.068186,0.119,57.1557,"Aug 7, 13",0.013997764332227295
2013-08-08,57.4012,57.4109,56.7096,57.3428,19446,19446,0.194812,0.341,57.0996,"Aug 8, 13",0.017455952021859775
2013-08-09,57.2453,57.9369,57.1869,57.9369,7742,7742,0.594174,1.036,57.5208,"Aug 9, 13",0.02799730300395677
2013-08-12,57.3915,57.9272,57.2064,57.6837,14110,14110,-0.253254,-0.437,57.446,"Aug 12, 13",0.023504675384588086
2013-08-13,57.5668,57.7324,57.3038,57.4889,12853,12853,-0.194813,-0.338,57.4591,"Aug 13, 13",0.02004826203445766
2013-08-14,57.7129,57.8687,56.3687,56.7875,14141,14141,-0.701321,-1.22,57.086,"Aug 14, 13",0.007603044766585632
2013-08-15,57.4889,57.4889,56.6804,56.8168,8738,8738,0.029222,0.051,57.02,"Aug 15, 13",0.008122926240706877
2013-08-16,56.4661,57.8103,56.2557,56.8362,8688,8688,0.019484,0.034,56.7495,"Aug 16, 13",0.008467148104118177
2013-08-19,56.9239,58.424,56.9054,57.2746,17299,17299,0.438324,0.771,57.7003,"Aug 19, 13",0.016245852481413754
2013-08-20,57.7616,58.3996,57.7519,58.1804,6945,6945,0.905873,1.582,58.0847,"Aug 20, 13",0.03231781969161974
2013-08-21,57.7129,58.4337,57.3233,57.3233,6955,6955,-0.857172,-1.473,57.8771,"Aug 21, 13",0.017109955818946424
2013-08-22,57.7129,58.2973,57.2453,57.9856,9228,9228,0.662358,1.155,58.0142,"Aug 22, 13",0.028861406341489315
2013-08-23,57.8006,57.8006,56.7096,57.0408,11060,11060,-0.944836,-1.629,57.1759,"Aug 23, 13",0.012097446725456368
2013-08-26,57.3135,57.7616,56.9337,57.3135,8911,8911,0.272738,0.478,57.3944,"Aug 26, 13",0.016936070547738533
2013-08-27,58.7844,58.7844,55.1998,55.307,15114,15114,-2.0066,-3.501,56.6786,"Aug 27, 13",-0.018666051562305924
2013-08-28,57.2746,57.4694,55.9109,56.9044,12960,12960,1.5975,2.888,56.5975,"Aug 28, 13",0.009677247644564324
2013-08-29,58.1025,58.1025,57.2746,57.6837,6964,6964,0.779247,1.369,57.6342,"Aug 29, 13",0.023504675384588086
2013-08-30,57.4694,58.0051,55.4433,55.9888,24130,24130,-1.6949,-2.938,56.5974,"Aug 30, 13",-0.006568604836849555
2013-09-03,56.359,61.9354,56.359,61.687,63338,63338,5.6982,10.177,60.3279,"Sep 3, 13",0.09453680867297141
2013-09-04,61.8526,65.4469,61.1124,65.2229,53092,53092,3.5358,5.732,64.0173,"Sep 4, 13",0.1572756791284443
2013-09-05,65.0779,65.3216,63.6934,63.9469,27637,27637,-1.2759,-1.956,64.6022,"Sep 5, 13",0.1346351070813889
2013-09-06,64.5416,68.2465,64.4757,67.018,26246,26246,3.0711,4.803,66.3365,"Sep 6, 13",0.18912684753100656
2013-09-09,67.1155,68.2855,67.018,67.9442,25159,25159,0.9262,1.382,67.8152,"Sep 9, 13",0.205560779999645
2013-09-10,68.7827,70.1184,68.5974,69.9624,19329,19329,2.0181,2.97,69.629,"Sep 10, 13",0.24137049983143774
2013-09-11,70.3718,70.7374,69.1532,69.4554,14280,14280,-0.506971,-0.725,69.6415,"Sep 11, 13",0.23237459855568757
2013-09-12,69.6504,71.1811,69.3091,70.1086,20658,20658,0.653212,0.94,70.437,"Sep 12, 13",0.24396458418353756
2013-09-13,70.4888,70.6111,69.5626,69.9234,10739,10739,-0.185236,-0.264,70.0472,"Sep 13, 13",0.24067850742561078
2013-09-16,71.0641,71.6588,69.3384,71.1323,25055,25055,1.2089,1.729,70.3425,"Sep 16, 13",0.2621284976667435
2013-09-17,71.5613,73.5404,70.9354,73.1212,33589,33589,1.9889,2.796,71.5665,"Sep 17, 13",0.2974183360244149
2013-09-18,71.6588,72.2145,70.5863,72.2047,18129,18129,-0.916456,-1.253,71.7451,"Sep 18, 13",0.281156514487482
2013-09-19,72.4192,72.5265,71.1031,71.6003,12903,12903,-0.604469,-0.837,71.5635,"Sep 19, 13",0.2704324065366668
