date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,4.8669,4.919,4.7194,4.7541,65170,65170,-0.130129,-2.664,4.8068,"Aug 5, 13",0
2013-08-06,4.7281,4.8929,4.6847,4.8149,69299,69299,0.060727,1.277,4.7807,"Aug 6, 13",0.01278896110725469
2013-08-07,4.8322,4.9016,4.7975,4.8669,34767,34767,0.052054,1.081,4.8509,"Aug 7, 13",0.023726888370038494
2013-08-08,5.1966,6.1544,5.1966,5.908,779541,779541,1.041,21.39,5.8574,"Aug 8, 13",0.24271681285627145
2013-08-09,6.1943,6.7148,6.0988,6.6888,616187,616187,0.780792,13.216,6.3856,"Aug 9, 13",0.40695399760206963
2013-08-12,6.7495,6.8102,6.1422,6.5413,310608,310608,-0.147483,-2.205,6.4154,"Aug 12, 13",0.3759281462316736
2013-08-13,6.6194,6.6801,6.3417,6.5933,225270,225270,0.052054,0.796,6.5433,"Aug 13, 13",0.3868660734944574
2013-08-14,6.5066,6.7582,6.4806,6.6801,150402,150402,0.086752,1.316,6.6076,"Aug 14, 13",0.4051239982331041
2013-08-15,6.6714,6.7148,6.55,6.6888,137326,137326,0.008677,0.13,6.6468,"Aug 15, 13",0.40695399760206963
2013-08-16,6.5413,6.6194,6.3079,6.5066,151874,151874,-0.182185,-2.724,6.4506,"Aug 16, 13",0.368629183231316
2013-08-19,6.4545,6.5066,6.1682,6.3678,176567,176567,-0.138806,-2.133,6.3821,"Aug 19, 13",0.3394333312298857
2013-08-20,6.4459,6.5066,6.2029,6.4806,195917,195917,0.112779,1.771,6.3642,"Aug 20, 13",0.36316021959992417
2013-08-21,6.4459,6.4719,6.1257,6.3504,109277,109277,-0.130131,-2.008,6.2667,"Aug 21, 13",0.3357733324919542
2013-08-22,6.3764,6.6714,6.3764,6.5239,79527,79527,0.173508,2.732,6.5214,"Aug 22, 13",0.3722681474937422
2013-08-23,6.55,6.55,6.4198,6.5326,50301,50301,0.008676,0.133,6.5087,"Aug 23, 13",0.374098146862708
2013-08-26,6.5066,6.6627,6.3331,6.5153,382177,382177,-0.017349,-0.266,6.5183,"Aug 26, 13",0.37045918260028177
2013-08-27,6.4892,6.6801,6.3504,6.6541,401691,401691,0.138806,2.13,6.524,"Aug 27, 13",0.3996550346017121
2013-08-28,6.5413,6.6627,6.4033,6.5066,157861,157861,-0.147483,-2.216,6.5173,"Aug 28, 13",0.368629183231316
2013-08-29,6.5066,6.5066,6.4107,6.5066,196843,196843,0,0,6.4908,"Aug 29, 13",0.368629183231316
2013-08-30,6.4719,6.5413,6.4286,6.4719,113708,113708,-0.034703,-0.533,6.4787,"Aug 30, 13",0.36133022023095845
2013-09-03,6.4632,6.5413,6.2116,6.4892,197201,197201,0.017352,0.268,6.4659,"Sep 3, 13",0.36496918449338467
2013-09-04,6.4806,7.9814,6.4806,7.8426,622336,622336,1.3534,20.856,7.4455,"Sep 4, 13",0.6496497759828358
2013-09-05,7.7645,8.9439,7.617,8.5366,1034256,1034256,0.694033,8.85,8.4177,"Sep 5, 13",0.7956290359899875
2013-09-06,8.6407,8.7969,8.3718,8.4325,519131,519131,-0.104104,-1.219,8.5599,"Sep 6, 13",0.7737321469889146
2013-09-09,8.5882,8.78,8.501,8.7277,437544,437544,0.295183,3.501,8.6508,"Sep 9, 13",0.8358259186807178
2013-09-10,8.7277,8.8847,8.6231,8.7364,221484,221484,0.008721,0.1,8.7133,"Sep 10, 13",0.8376559180496833
2013-09-11,8.7539,8.8925,8.3877,8.44,225453,225453,-0.296448,-3.393,8.5808,"Sep 11, 13",0.7753097326518161
2013-09-12,8.44,9.1549,8.44,8.6754,295222,295222,0.235414,2.789,8.7918,"Sep 12, 13",0.8248248879914178
2013-09-13,8.8498,9.0242,8.6754,8.7364,205395,205395,0.061034,0.704,8.8235,"Sep 13, 13",0.8376559180496833
2013-09-16,8.8498,9.7391,8.7864,9.5909,455757,455757,0.854458,9.78,9.3116,"Sep 16, 13",1.017395511242927
2013-09-17,9.7217,9.7304,8.8506,9.1201,367625,367625,-0.470825,-4.909,9.2186,"Sep 17, 13",0.9183652005637241
2013-09-18,9.1201,9.1549,8.9108,8.9544,195499,195499,-0.165659,-1.816,9.0021,"Sep 18, 13",0.8835110746513534
2013-09-19,9.0242,9.7653,8.9893,9.7217,259630,259630,0.76727,8.569,9.4852,"Sep 19, 13",1.0449086052039291
2013-09-20,9.7565,9.961,9.4427,9.6781,181470,181470,-0.043597,-0.448,9.7316,"Sep 20, 13",1.0357375738835952
2013-09-23,9.6781,9.6907,8.8411,9.3729,280189,280189,-0.305162,-3.153,9.1967,"Sep 23, 13",0.9715403546412569
2013-09-24,9.3904,10.7854,9.277,10.5325,660321,660321,1.1596,12.372,10.2572,"Sep 24, 13",1.2154561326013336
2013-09-25,10.55,12.503,10.4715,12.4769,683325,683325,1.9443,18.46,11.6165,"Sep 25, 13",1.6244504743274226
2013-09-26,12.4769,12.7472,11.5265,11.6922,554105,554105,-0.784709,-6.289,12.0606,"Sep 26, 13",1.4593929450369154
2013-09-27,11.6311,11.7427,11.1167,11.4306,333886,333886,-0.261568,-2.237,11.4733,"Sep 27, 13",1.4043667571149112
2013-09-30,11.1516,11.2475,10.7505,10.9772,271262,271262,-0.453387,-3.966,10.9665,"Sep 30, 13",1.3089964451736396
2013-10-01,10.9772,11.1167,10.5413,10.7418,340159,340159,-0.235417,-2.145,10.7879,"Oct 1, 13",1.2594812898340377
2013-10-02,10.7592,10.9249,10.5064,10.55,293789,293789,-0.191815,-1.786,10.6954,"Oct 2, 13",1.2191371658147705
2013-10-03,10.5674,10.6546,10.0826,10.271,292008,292008,-0.279009,-2.645,10.3253,"Oct 3, 13",1.1604509791548347
2013-10-04,10.1925,10.5064,10.1838,10.2535,244324,244324,-0.017436,-0.17,10.3424,"Oct 4, 13",1.156769945941398
2013-10-07,10.1402,10.2535,9.9484,10.1663,293657,293657,-0.087191,-0.85,10.1405,"Oct 7, 13",1.1384278833007297
2013-10-08,10.2535,10.6546,9.8786,10.0181,318357,318357,-0.148223,-1.458,10.2465,"Oct 8, 13",1.1072547906017964
2013-10-09,10.1751,10.8115,10.0268,10.5761,447400,447400,0.558015,5.57,10.3392,"Oct 9, 13",1.2246271639216675
2013-10-10,10.8115,11.1603,10.4628,10.6808,425303,425303,0.10463,0.989,10.8335,"Oct 10, 13",1.2466502597757723
2013-10-11,11.6747,11.7532,10.2797,10.4628,1040090,1040090,-0.217978,-2.041,10.6997,"Oct 11, 13",1.2007951031741022
2013-10-14,10.3058,10.4977,9.8525,10.4105,392665,392665,-0.052314,-0.5,10.1359,"Oct 14, 13",1.1897940724848026
2013-10-15,10.4541,10.6022,10.1489,10.3582,199812,199812,-0.052312,-0.502,10.3372,"Oct 15, 13",1.1787930417955028
2013-10-16,10.4018,10.7418,10.393,10.5674,163063,163063,0.209257,2.02,10.5686,"Oct 16, 13",1.2227971645527016
2013-10-17,10.5587,10.7244,10.3843,10.55,205273,205273,-0.017439,-0.165,10.5514,"Oct 17, 13",1.2191371658147705
2013-10-18,10.6459,10.6459,10.1227,10.1489,201053,201053,-0.401073,-3.802,10.3426,"Oct 18, 13",1.1347678845627982
2013-10-21,10.1576,10.5849,10.1576,10.4628,197566,197566,0.313881,3.093,10.3678,"Oct 21, 13",1.2007951031741022
2013-10-22,10.5674,10.5674,10.332,10.5325,146506,146506,0.069755,0.667,10.4688,"Oct 22, 13",1.2154561326013336
2013-10-23,10.4628,10.5543,10.3058,10.3407,100428,100428,-0.191818,-1.821,10.402,"Oct 23, 13",1.1751120085820659
2013-10-24,10.3756,10.4584,10.1576,10.3669,124330,124330,0.026156,0.253,10.2791,"Oct 24, 13",1.1806230411644683
2013-10-25,10.4018,10.4018,10.1663,10.3407,88483,88483,-0.026156,-0.252,10.2845,"Oct 25, 13",1.1751120085820659
2013-10-28,10.1576,10.2439,9.4775,9.7653,358644,358644,-0.575454,-5.565,9.7945,"Oct 28, 13",1.054079636524263
2013-10-29,9.6868,10.0181,9.6868,9.8612,300074,300074,0.095908,0.982,9.8693,"Oct 29, 13",1.074251698533897
2013-10-30,9.9571,10.0007,9.6781,9.8089,262055,262055,-0.052312,-0.53,9.8091,"Oct 30, 13",1.0632506678445972
2013-10-31,9.5647,9.9048,8.7713,9.1288,735192,735192,-0.680084,-6.933,9.1885,"Oct 31, 13",0.9201951999326896
2013-11-01,9.1375,9.3816,9.0852,9.338,276185,276185,0.209256,2.292,9.2961,"Nov 1, 13",0.9641993226898885
2013-11-04,9.4165,9.5473,9.0766,9.5124,317049,317049,0.174381,1.867,9.4012,"Nov 4, 13",1.0008834479712247
2013-11-05,9.4775,9.5642,9.3642,9.4078,151505,151505,-0.104628,-1.1,9.4495,"Nov 5, 13",0.9788813865926252
2013-11-06,9.4427,9.5037,8.9282,9.2944,244809,244809,-0.113347,-1.205,9.2237,"Nov 6, 13",0.9550282913695545
2013-11-07,9.216,9.3468,8.7626,8.8062,150101,150101,-0.488263,-5.253,8.9632,"Nov 7, 13",0.85233798195242
2013-11-08,8.8323,9.1549,8.8323,8.998,121830,121830,0.191818,2.178,8.983,"Nov 8, 13",0.8926821059716874
2013-11-11,8.9195,9.0852,8.8759,9.0242,118989,118989,0.026155,0.291,9.0126,"Nov 11, 13",0.8981931385540901
2013-11-12,8.9718,9.3642,8.9697,9.3293,178037,178037,0.305164,3.382,9.1703,"Nov 12, 13",0.9623693233209228
2013-11-13,9.3119,9.4427,9.2726,9.4078,107342,107342,0.078473,0.841,9.388,"Nov 13, 13",0.9788813865926252
