date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-09-26,13.8296,14.0025,13.795,13.8296,1794706,1794706,13.8296,0,13.8248,"Sep 26, 14",0
2014-09-29,13.8503,14.037,13.8296,13.8642,306519,306519,0.034573,0.25,13.8938,"Sep 29, 14",0.00250188002545273
2014-09-30,13.9195,14.037,13.878,13.9372,223802,223802,0.07309,0.527,13.9472,"Sep 30, 14",0.0077804130271303205
2014-10-01,13.9126,13.9126,13.795,13.8296,345671,345671,-0.107663,-0.772,13.837,"Oct 1, 14",0
2014-10-02,13.8365,13.8534,13.795,13.8296,297316,297316,0,0,13.8138,"Oct 2, 14",0
2014-10-03,13.8434,13.8434,13.8019,13.8296,330399,330399,0,0,13.8217,"Oct 3, 14",0
2014-10-06,13.8296,13.8365,13.8019,13.8365,155106,155106,0.006914,0.05,13.8198,"Oct 6, 14",0.0004989298316654065
2014-10-07,13.8434,13.8641,13.8019,13.8365,212218,212218,0,0,13.8198,"Oct 7, 14",0.0004989298316654065
2014-10-08,13.8296,14.1684,13.8296,13.878,265449,265449,0.041489,0.3,13.8863,"Oct 8, 14",0.003499739688783543
2014-10-09,13.8987,13.8987,13.795,13.8365,232904,232904,-0.041489,-0.299,13.8209,"Oct 9, 14",0.0004989298316654065
2014-10-10,13.8296,13.8572,13.8088,13.8296,248286,248286,-0.006914,-0.05,13.8256,"Oct 10, 14",0
2014-10-13,13.7673,13.8296,13.5253,13.7604,408097,408097,-0.069151,-0.5,13.7705,"Oct 13, 14",-0.005003760050905203
2014-10-14,13.7604,13.7881,12.9652,13.2418,1266145,1266145,-0.518606,-3.769,13.5359,"Oct 14, 14",-0.04250303696419273
2014-10-15,13.1381,13.8296,12.6886,13.8296,494466,494466,0.587757,4.439,13.1842,"Oct 15, 14",0
2014-10-16,13.4424,14.0025,13.3663,13.8434,248925,248925,0.013829,0.1,13.7249,"Oct 16, 14",0.0009978596633309416
2014-10-17,14.0025,14.1062,13.5737,13.9955,288463,288463,0.152126,1.099,13.9183,"Oct 17, 14",0.011996008561346722
2014-10-20,13.7051,13.8296,13.553,13.8296,155680,155680,-0.165955,-1.186,13.7187,"Oct 20, 14",0
2014-10-21,13.961,13.961,13.8365,13.9195,67142,67142,0.089893,0.65,13.89,"Oct 21, 14",0.006500549545901552
2014-10-22,13.9679,14.1062,13.8296,13.8503,65340,65340,-0.069149,-0.497,13.9481,"Oct 22, 14",0.001496789494996348
2014-10-23,13.5945,13.8503,13.4838,13.8296,171084,171084,-0.020744,-0.15,13.6869,"Oct 23, 14",0
2014-10-24,13.7466,13.954,13.7466,13.8987,81104,81104,0.069147,0.5,13.8305,"Oct 24, 14",0.004996529183779763
2014-10-27,13.8434,13.8434,13.7466,13.8296,80482,80482,-0.069147,-0.498,13.813,"Oct 27, 14",0
