date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,4.93,4.93,4.86,4.86,400,400,-0.09,-1.818,4.9125,"Aug 5, 13",0
2013-08-06,4.85,4.92,4.7,4.92,11360,11360,0.06,1.235,4.8153,"Aug 6, 13",0.012345679012345599
2013-08-07,4.98,5.05,4.73,4.99,11026,11026,0.07,1.423,4.8924,"Aug 7, 13",0.026748971193415613
2013-08-08,5,5,4.97,5,1400,1400,0.01,0.2,4.9871,"Aug 8, 13",0.02880658436213985
2013-08-09,5.04,5.05,5.04,5.05,2500,2500,0.05,1,5.0475,"Aug 9, 13",0.039094650205761215
2013-08-12,5.05,5.05,4.971,4.971,4565,4565,-0.079,-1.564,5.0352,"Aug 12, 13",0.022839506172839457
2013-08-13,4.93,5.05,4.71,4.78,4765,4765,-0.191,-3.842,4.8026,"Aug 13, 13",-0.01646090534979425
2013-08-14,4.75,5.09,4.75,4.951,22550,22550,0.171,3.577,5.0043,"Aug 14, 13",0.0187242798353908
2013-08-15,4.97,5,4.97,5,900,900,0.049,0.99,4.9878,"Aug 15, 13",0.02880658436213985
2013-08-16,4.94,5.01,4.8,4.98,5878,5878,-0.02,-0.4,4.997,"Aug 16, 13",0.024691358024691377
2013-08-19,4.89,4.9599,4.7501,4.95,3231,3231,-0.03,-0.602,4.8244,"Aug 19, 13",0.01851851851851849
2013-08-20,4.93,4.93,4.93,4.93,500,500,-0.02,-0.404,4.93,"Aug 20, 13",0.014403292181069834
2013-08-21,4.97,5.01,4.97,5,25778,25778,0.07,1.42,4.9937,"Aug 21, 13",0.02880658436213985
2013-08-22,4.83,5.1,4.72,4.95,22232,22232,-0.05,-1,4.9256,"Aug 22, 13",0.01851851851851849
2013-08-23,4.95,4.95,4.92,4.92,403,403,-0.03,-0.606,4.9423,"Aug 23, 13",0.012345679012345599
2013-08-27,4.89,5.1999,4.89,5.1875,761,761,0.2675,5.437,5.0171,"Aug 27, 13",0.0673868312757201
2013-08-28,4.9419,5.14,4.9419,5.14,400,400,-0.0475,-0.916,5.0409,"Aug 28, 13",0.0576131687242797
2013-08-29,4.9601,4.97,4.96,4.961,2244,2244,-0.179,-3.482,4.9617,"Aug 29, 13",0.02078189300411522
2013-08-30,4.961,5.1499,4.95,5.1499,4578,4578,0.1889,3.808,4.9841,"Aug 30, 13",0.059650205761316744
2013-09-03,5.07,5.1382,4.9501,4.97,1830,1830,-0.1799,-3.493,4.9824,"Sep 3, 13",0.02263374485596696
2013-09-04,5,5.05,5,5.05,2892,2892,0.08,1.61,5.0388,"Sep 4, 13",0.039094650205761215
2013-09-05,5.04,5.15,4.95,5.15,12186,12186,0.1,1.98,5.0125,"Sep 5, 13",0.05967078189300412
2013-09-06,5.07,5.15,5.07,5.15,1000,1000,0,0,5.078,"Sep 6, 13",0.05967078189300412
2013-09-09,5.15,5.15,4.95,4.9999,8522,8522,-0.1501,-2.915,5.0966,"Sep 9, 13",0.028786008230452655
2013-09-10,5.1,5.1,4.95,5.08,3722,3722,0.0801,1.602,4.9646,"Sep 10, 13",0.0452674897119341
2013-09-11,5.0088,5.0088,5.0088,5.0088,500,500,-0.0712,-1.402,5.0088,"Sep 11, 13",0.030617283950617198
2013-09-12,5.04,5.04,4.9,4.98,16762,16762,-0.0288,-0.575,4.912,"Sep 12, 13",0.024691358024691377
2013-09-13,4.9,4.99,4.9,4.99,700,700,0.01,0.201,4.9129,"Sep 13, 13",0.026748971193415613
2013-09-16,4.89,4.89,4.71,4.77,5864,5864,-0.22,-4.409,4.8302,"Sep 16, 13",-0.01851851851851867
