date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,22.7228,22.9391,22.6671,22.7753,636240,212080,-0.040178,-0.176,22.7949,"Aug 5, 13",0
2013-08-06,22.7166,22.8124,22.2314,22.4137,801612,267204,-0.361612,-1.588,22.4274,"Aug 6, 13",-0.015876849042603294
2013-08-07,22.3581,22.3704,22.0212,22.1386,535437,178479,-0.275071,-1.227,22.1392,"Aug 7, 13",-0.02795572396411907
2013-08-08,22.2437,22.3936,22.0706,22.1572,539847,179949,0.018544,0.084,22.1561,"Aug 8, 13",-0.02713904976004715
2013-08-09,22.1139,22.3952,21.7399,22.2839,348954,116318,0.126718,0.572,22.2558,"Aug 9, 13",-0.021576005584997882
2013-08-12,22.2035,22.4693,22.2035,22.3457,377016,125672,0.061814,0.277,22.3242,"Aug 12, 13",-0.01886253968114583
2013-08-13,22.4137,22.4972,22.1603,22.4817,252978,84326,0.135991,0.609,22.4216,"Aug 13, 13",-0.0128911584040606
2013-08-14,22.5126,22.6146,22.3457,22.5435,496689,165563,0.061813,0.275,22.4995,"Aug 14, 13",-0.010177692500208549
2013-08-15,22.2159,22.2684,21.5143,21.9099,851688,283896,-0.633591,-2.811,21.8487,"Aug 15, 13",-0.0379973040969823
2013-08-16,21.8976,22.1634,21.8419,22.117,491037,163679,0.207076,0.945,22.0643,"Aug 16, 13",-0.028904119814009057
2013-08-19,22.0861,22.3018,21.9563,21.9563,316473,105491,-0.160716,-0.727,22.0929,"Aug 19, 13",-0.03596000930832975
2013-08-20,22.0057,22.2746,21.8883,22.2004,254148,84716,0.244164,1.112,22.1367,"Aug 20, 13",-0.025242258060267177
2013-08-21,22.1634,22.3766,21.981,22.1912,405306,135102,-0.009271,-0.042,22.2249,"Aug 21, 13",-0.02564620444077588
2013-08-22,22.2684,22.5435,22.2684,22.5157,238023,79341,0.324522,1.462,22.4603,"Aug 22, 13",-0.011398313084789332
2013-08-23,22.5466,22.5466,22.0366,22.3797,295512,98504,-0.13599,-0.604,22.2758,"Aug 23, 13",-0.017369694361874563
2013-08-26,22.321,22.4755,22.1788,22.2715,251532,83844,-0.108173,-0.483,22.3375,"Aug 26, 13",-0.022120455054379165
2013-08-27,21.9717,22.0892,21.6441,21.6719,318585,106195,-0.599596,-2.692,21.8132,"Aug 27, 13",-0.04844722133188149
2013-08-28,21.6874,21.8867,21.5143,21.8265,273594,91198,0.154535,0.713,21.7808,"Aug 28, 13",-0.041659165850724336
2013-08-29,21.7245,22.0218,21.7245,21.8079,371208,123736,-0.018544,-0.085,21.8684,"Aug 29, 13",-0.042475840054796266
2013-08-30,21.8512,21.8574,21.4185,21.4772,491862,163954,-0.330704,-1.516,21.5266,"Aug 30, 13",-0.05699595614547345
2013-09-03,21.7739,22.0305,21.0353,21.4154,1342113,447371,-0.061814,-0.288,21.4354,"Sep 3, 13",-0.05970942204932535
2013-09-04,21.4061,21.8512,21.3351,21.8048,575955,191985,0.389427,1.818,21.7017,"Sep 4, 13",-0.04261195242214158
2013-09-05,21.7894,22.0861,21.743,21.9872,438183,146061,0.182351,0.836,22.0028,"Sep 5, 13",-0.034603276356403645
2013-09-06,22.0305,22.2406,21.6843,21.9717,489858,163286,-0.015453,-0.07,22.0785,"Sep 6, 13",-0.035283838193130405
2013-09-09,22.0521,22.3148,22.0366,22.2252,391293,130431,0.253437,1.153,22.1858,"Sep 9, 13",-0.024153359121504455
2013-09-10,22.389,22.627,22.1943,22.6177,451671,150557,0.392518,1.766,22.5004,"Sep 10, 13",-0.006919777126975371
2013-09-11,22.5621,22.5961,22.3797,22.4693,195942,65314,-0.148353,-0.656,22.4639,"Sep 11, 13",-0.013435607873441884
2013-09-12,22.4261,22.593,22.3086,22.3612,417267,139089,-0.108176,-0.481,22.4366,"Sep 12, 13",-0.018181977844419227
2013-09-13,22.5064,22.559,22.0552,22.3488,476901,158967,-0.012363,-0.055,22.2308,"Sep 13, 13",-0.01872642731380051
2013-09-16,22.5621,22.5621,22.3983,22.4817,270519,90173,0.132901,0.595,22.4937,"Sep 16, 13",-0.0128911584040606
2013-09-17,22.4941,22.5621,22.2654,22.5621,400668,133556,0.080359,0.357,22.5445,"Sep 17, 13",-0.009361018296136626
