date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,15.5861,15.6223,15.5861,15.6223,1100,1100,-0.102045,-0.649,15.596,"Aug 5, 13",0
2013-08-07,15.5852,15.5852,15.5852,15.5852,260,260,-0.037109,-0.238,15.5852,"Aug 7, 13",-0.002374810367231381
2013-08-08,15.5852,15.5852,15.5852,15.5852,300,300,0,0,15.5852,"Aug 8, 13",-0.002374810367231381
2013-08-09,15.6037,15.6037,15.5852,15.5852,700,700,0,0,15.5939,"Aug 9, 13",-0.002374810367231381
2013-08-12,,,,15.6034,0,0,0.018211,0.117,,"Aug 12, 13",-0.0012098090550046142
2013-08-14,15.6034,15.6034,15.6034,15.6034,200,200,0,0,15.6034,"Aug 14, 13",-0.0012098090550046142
2013-08-15,,,,15.6034,130,130,0,0,15.6034,"Aug 15, 13",-0.0012098090550046142
2013-08-16,15.6127,15.6127,15.6034,15.6034,4827,4827,0,0,15.6043,"Aug 16, 13",-0.0012098090550046142
2013-08-19,15.5105,15.5105,15.5105,15.5105,1650,1650,-0.092876,-0.595,15.5471,"Aug 19, 13",-0.007156436632249976
2013-08-20,,,,15.5105,390,390,0,0,15.5105,"Aug 20, 13",-0.007156436632249976
2013-08-21,15.5105,15.5105,15.5105,15.5105,2000,2000,0,0,15.5105,"Aug 21, 13",-0.007156436632249976
2013-08-29,15.5114,15.5746,15.5114,15.5746,200,200,0.064081,0.413,15.543,"Aug 29, 13",-0.003053327615011808
2013-09-03,,,,15.5746,130,130,0,0,15.5746,"Sep 3, 13",-0.003053327615011808
2013-09-13,15.5568,15.5754,15.5531,15.5531,600,600,-0.02146,-0.138,15.5581,"Sep 13, 13",-0.004429565428906025
2013-09-16,15.5568,15.5568,15.5282,15.5288,4076,4076,-0.024267,-0.156,15.5303,"Sep 16, 13",-0.005985034213912088
2013-09-18,15.3802,15.3802,15.3802,15.3802,1500,1500,-0.14869,-0.958,15.3802,"Sep 18, 13",-0.015497077895060196
2013-09-19,15.3802,15.3811,15.3802,15.3811,4184,4184,0.000932,0.006,15.3806,"Sep 19, 13",-0.015439467940059992
2013-09-20,15.3802,15.3802,15.3802,15.3802,630,630,-0.000932,-0.006,15.3802,"Sep 20, 13",-0.015497077895060196
2013-09-24,15.3802,15.5474,15.3802,15.5474,1200,1200,0.167282,1.088,15.5196,"Sep 24, 13",-0.004794428477240837
2013-09-26,15.6033,15.6219,15.6033,15.6219,800,800,0.074488,0.479,15.6103,"Sep 26, 13",-0.000025604424444484345
2013-09-30,15.3802,15.3802,15.3802,15.3802,900,900,-0.24177,-1.548,15.3802,"Sep 30, 13",-0.015497077895060196
2013-10-02,15.343,15.343,15.343,15.343,200,200,-0.037192,-0.242,15.343,"Oct 2, 13",-0.01787828936840281
2013-10-04,15.3439,15.3439,15.3439,15.3439,100,100,0.00093,0.006,15.3439,"Oct 4, 13",-0.017820679413402606
2013-10-07,15.343,15.343,15.343,15.343,400,400,-0.00093,-0.006,15.343,"Oct 7, 13",-0.01787828936840281
2013-10-08,15.343,15.4606,15.2965,15.2965,5860,5860,-0.04649,-0.303,15.3295,"Oct 8, 13",-0.02085480371008105
2013-10-09,15.4446,15.4446,15.305,15.305,2800,2800,0.008498,0.056,15.3185,"Oct 9, 13",-0.020310709690634508
2013-10-10,15.1746,15.1746,15.1746,15.1746,400,400,-0.130337,-0.852,15.1746,"Oct 10, 13",-0.028657752059555848
2013-10-14,15.1747,15.1747,15.1747,15.1747,400,400,0.000092,0.001,15.1747,"Oct 14, 13",-0.02865135095344473
2013-10-16,15.5563,15.5563,15.5563,15.5563,100,100,0.381606,2.515,15.5563,"Oct 16, 13",-0.004224730033349696
2013-10-17,15.2212,15.2212,14.5788,15.0443,1650,1650,-0.512032,-3.291,14.9868,"Oct 17, 13",-0.03699839332236607
2013-10-21,15.5284,15.5284,15.5284,15.5284,300,300,0.484096,3.218,15.5284,"Oct 21, 13",-0.006010638638356686
2013-10-29,15.0443,15.0443,15.035,15.035,1000,1000,-0.49341,-3.177,15.0359,"Oct 29, 13",-0.03759369619070169
2013-10-30,15.1281,15.1281,15.1281,15.1281,3981,3981,0.093102,0.619,15.1281,"Oct 30, 13",-0.03163426640123409
2013-11-01,14.8302,14.9233,14.8302,14.9233,882,882,-0.204814,-1.354,14.8618,"Nov 1, 13",-0.044743731716840665
2013-11-04,14.5695,14.5695,14.4299,14.4299,1500,1500,-0.493408,-3.306,14.5118,"Nov 4, 13",-0.07632678926918567
2013-11-05,14.5509,14.5602,14.495,14.495,1500,1500,0.065172,0.452,14.5242,"Nov 5, 13",-0.07215966919083618
2013-11-07,14.4299,14.4299,14.3647,14.3647,1000,1000,-0.13034,-0.899,14.3973,"Nov 7, 13",-0.0805003104536464
2013-11-08,14.4764,14.4764,14.4299,14.4299,1127,1127,0.065168,0.454,14.4464,"Nov 8, 13",-0.07632678926918567
2013-11-12,,,,14.4299,0,0,-0.000002,0,,"Nov 12, 13",-0.07632678926918567
2013-11-13,14.4499,14.4499,14.4499,14.4499,600,600,0.020044,0.139,14.4499,"Nov 13, 13",-0.0750465680469585
2013-11-14,14.6457,14.6457,14.4499,14.4499,3129,3129,0,0,14.6343,"Nov 14, 13",-0.0750465680469585
