date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-02-18,27.6209,27.729,27.2319,27.693,1691881,1691881,27.693,0,27.6073,"Feb 18, 14",0
2014-02-19,27.4985,27.9955,27.34,27.5489,2121646,2121646,-0.144086,-0.52,27.5948,"Feb 19, 14",-0.005203481024085569
2014-02-20,27.0878,28.0244,26.3983,27.8515,1324698,1324698,0.302578,1.098,27.7603,"Feb 20, 14",0.005723468024410504
2014-02-21,27.8515,28.2261,27.2895,27.5417,1732253,1732253,-0.309783,-1.112,27.6581,"Feb 21, 14",-0.0054634745242481
2014-02-24,27.376,27.5633,26.9798,27.2103,1738531,1738531,-0.331392,-1.203,27.2297,"Feb 24, 14",-0.01743039757339404
2014-02-25,27.095,27.376,27.005,27.376,1367714,1367714,0.165695,0.609,27.2411,"Feb 25, 14",-0.011446936048821008
2014-02-26,27.0734,27.3904,26.4466,26.987,2174689,2174689,-0.389027,-1.421,26.9131,"Feb 26, 14",-0.025493807099267074
2014-02-27,27.0158,27.5417,26.7276,27.2967,1921077,1921077,0.309782,1.148,27.1558,"Feb 27, 14",-0.01431047557144405
2014-02-28,27.2967,27.6209,26.9581,27.4336,14828276,14828276,0.136879,0.501,27.4246,"Feb 28, 14",-0.009366988047521141
2014-03-03,27.4336,27.6137,27.0158,27.3328,1669889,1669889,-0.100858,-0.368,27.2959,"Mar 3, 14",-0.013006897049796068
2014-03-04,27.4624,27.9451,27.3111,27.9163,1034649,1034649,0.58354,2.135,27.6056,"Mar 4, 14",0.008063409525872901
2014-03-05,27.836,28.1792,27.427,27.9236,762539,762539,0.007294,0.026,27.7869,"Mar 5, 14",0.008327014046871015
2014-03-06,28.1134,28.296,27.6826,28.1354,658618,658618,0.211764,0.758,28.141,"Mar 6, 14",0.01597515617665111
2014-03-07,28.4786,28.5443,27.9674,28.2814,1003032,1003032,0.146042,0.519,28.2865,"Mar 7, 14",0.021247246596612864
2014-03-10,28.1207,28.4946,27.4489,27.6169,793993,793993,-0.664499,-2.35,27.6351,"Mar 10, 14",-0.0027479868558841682
2014-03-11,27.208,27.8871,27.0838,27.1715,749356,749356,-0.445432,-1.613,27.3049,"Mar 11, 14",-0.01883147365760299
2014-03-12,26.5143,27.4489,26.4443,27.3613,470513,470513,0.189853,0.699,27.2575,"Mar 12, 14",-0.011977756111652816
2014-03-13,27.2226,27.3686,26.8794,26.9962,262543,262543,-0.365109,-1.334,27.0534,"Mar 13, 14",-0.02516159318239265
2014-03-14,27.0765,27.9747,26.9305,27.2591,1007556,1007556,0.262879,0.974,27.4868,"Mar 14, 14",-0.015668219405626016
2014-03-17,27.1934,27.4416,26.7991,26.9013,479951,479951,-0.357808,-1.313,26.9886,"Mar 17, 14",-0.028588451955367862
2014-03-18,26.8283,26.9195,26.6311,26.7625,659816,659816,-0.138739,-0.516,26.7608,"Mar 18, 14",-0.033600548875167086
2014-03-19,26.7114,26.9889,26.4047,26.4632,1419128,1419128,-0.299391,-1.119,26.5055,"Mar 19, 14",-0.04440833423608857
2014-03-20,26.4047,26.5362,26.2295,26.4705,289061,289061,0.007304,0.028,26.4578,"Mar 20, 14",-0.04414472971509046
2014-03-21,26.4559,26.7187,26.2223,26.4632,1275611,1275611,-0.007304,-0.028,13.5133,"Mar 21, 14",-0.04440833423608857
2014-03-24,26.4485,26.5508,26.2003,26.3098,679160,679160,-0.153346,-0.579,26.3459,"Mar 24, 14",-0.049947640197884016
2014-03-25,26.5216,26.8356,26.4047,26.7114,539768,539768,0.40162,1.527,26.7035,"Mar 25, 14",-0.03544578052215362
2014-03-26,26.6165,27.1934,26.3609,26.3755,1062132,1062132,-0.335899,-1.258,26.8113,"Mar 26, 14",-0.04757519950890125
2014-03-27,26.2879,26.9232,26.2076,26.58,599759,599759,0.204459,0.775,26.8909,"Mar 27, 14",-0.04019066190011927
2014-03-28,26.7625,27.0619,26.3755,26.4193,429694,429694,-0.160647,-0.604,26.6072,"Mar 28, 14",-0.045993572382912705
2014-03-31,26.6822,26.8356,26.5143,26.6238,435050,435050,0.204462,0.774,26.6333,"Mar 31, 14",-0.038609034774130725
2014-04-01,26.58,27.3832,26.58,27.3832,1170719,1170719,0.759429,2.852,27.178,"Apr 1, 14",-0.011186942548658605
2014-04-02,27.2883,27.3759,27.0838,27.1715,560713,560713,-0.211763,-0.773,27.1717,"Apr 2, 14",-0.01883147365760299
2014-04-03,27.0984,27.3467,26.9962,27.1569,485011,485011,-0.014607,-0.054,27.1734,"Apr 3, 14",-0.019358682699599217
2014-04-04,27.2007,27.2007,26.4778,26.6165,1244869,1244869,-0.540363,-1.99,26.7619,"Apr 4, 14",-0.03887263929512884
2014-04-07,26.5654,26.7662,26.0761,26.1346,1020683,1020683,-0.481944,-1.811,26.3115,"Apr 7, 14",-0.0562741487018381
2014-04-08,26.2076,26.4339,25.9739,26.1053,519215,519215,-0.029208,-0.112,26.1803,"Apr 8, 14",-0.057332177806666
2014-04-09,26.2368,26.5398,26.1053,26.2879,439678,439678,0.182555,0.699,26.3609,"Apr 9, 14",-0.05073845376087823
2014-04-10,26.4559,26.6967,25.806,25.9593,912054,912054,-0.3286,-1.25,26.139,"Apr 10, 14",-0.06260426822662775
2014-04-11,25.9228,26.1857,25.7183,25.9593,411187,411187,0,0,25.9931,"Apr 11, 14",-0.06260426822662775
2014-04-14,26.2003,26.4851,26.0031,26.2879,359543,359543,0.3286,1.266,26.2745,"Apr 14, 14",-0.05073845376087823
2014-04-15,26.266,26.4266,25.8279,26.1346,639850,639850,-0.153347,-0.583,26.0075,"Apr 15, 14",-0.0562741487018381
2014-04-16,26.0907,26.8648,26.0907,26.653,1041770,1041770,0.518457,1.984,26.6064,"Apr 16, 14",-0.0375546166901384
2014-04-17,26.5216,27.4343,26.5216,27.3978,650581,650581,0.744822,2.795,27.1217,"Apr 17, 14",-0.010659733506662378
2014-04-21,27.5439,27.6534,27.3029,27.5293,1149135,1149135,0.131439,0.48,27.5319,"Apr 21, 14",-0.0059112411078612705
2014-04-22,27.6607,28.1134,27.6607,27.9893,913844,913844,0.460038,1.671,27.9733,"Apr 22, 14",0.010699454735853778
2014-04-23,27.9163,27.9163,27.3102,27.4563,337011,337011,-0.533059,-1.905,27.5418,"Apr 23, 14",-0.008547286317842146
2014-04-24,26.7041,27.5001,26.6683,27.1203,1642020,1642020,-0.335902,-1.223,27.1577,"Apr 24, 14",-0.020680316325425236
2014-04-25,27.0218,27.2737,26.2806,26.3463,785865,785865,-0.77403,-2.854,26.5567,"Apr 25, 14",-0.04862961759289358
2014-04-28,26.3244,26.7991,26.1565,26.5508,502520,502520,0.20446,0.776,26.4035,"Apr 28, 14",-0.041245079984111595
2014-04-29,26.5873,26.8867,26.4851,26.7771,393256,393256,0.226368,0.853,26.8007,"Apr 29, 14",-0.03307333983317086
2014-04-30,25.9812,27.0342,25.9812,26.8356,870421,870421,0.058417,0.218,26.8434,"Apr 30, 14",-0.030960892644350625
2014-05-01,26.9086,26.9086,26.4047,26.6092,865690,865690,-0.226367,-0.844,26.6253,"May 1, 14",-0.03913624381612682
2014-05-02,26.5216,26.8093,26.2076,26.2879,667794,667794,-0.321296,-1.207,26.3934,"May 2, 14",-0.05073845376087823
2014-05-05,26.1419,26.2879,25.784,26.2806,619003,619003,-0.0073,-0.028,26.1364,"May 5, 14",-0.051002058281876345
2014-05-06,26.193,26.2879,25.9666,26.0031,293614,293614,-0.277487,-1.056,26.0457,"May 6, 14",-0.0610226411006392
2014-05-07,26.1638,26.2879,25.8571,26.2879,328357,328357,0.284787,1.095,26.2307,"May 7, 14",-0.05073845376087823
2014-05-08,26.1638,26.3814,25.879,26.1784,436803,436803,-0.109534,-0.417,26.1527,"May 8, 14",-0.05469252157584954
2014-05-09,26.1126,26.3025,25.9009,26.1492,288048,288048,-0.029209,-0.112,26.155,"May 9, 14",-0.05574693965984187
2014-05-12,25.9009,26.2952,25.8206,25.9228,603620,603620,-0.226368,-0.866,25.97,"May 12, 14",-0.0639222908316182
2014-05-13,26.025,26.1711,25.4847,25.5358,4382909,4382909,-0.387016,-1.493,25.1195,"May 13, 14",-0.07789694146535237
2014-05-14,25.8206,26.2879,25.397,25.4408,1909636,1909636,-0.09493,-0.372,25.8136,"May 14, 14",-0.08132741125916303
2014-05-15,25.3313,25.6161,24.9224,25.2291,891893,891893,-0.211763,-0.832,25.1684,"May 15, 14",-0.08897194236810754
2014-05-16,25.2364,25.4993,25.083,25.4774,599215,599215,0.248274,0.984,25.2662,"May 16, 14",-0.08000577763333701
2014-05-19,25.3532,25.4481,25.0465,25.1342,1024187,1024187,-0.343202,-1.347,25.1594,"May 19, 14",-0.09239880114108263
2014-05-20,25.1999,25.1999,24.7617,24.8786,891238,891238,-0.255577,-1.017,24.8579,"May 20, 14",-0.10162857039685128
2014-05-21,24.937,25.0246,24.7325,24.8202,1251844,1251844,-0.058418,-0.235,24.8326,"May 21, 14",-0.10373740656483593
2014-05-22,24.8275,24.9735,24.6814,24.7471,503614,503614,-0.073021,-0.294,24.8549,"May 22, 14",-0.10637706279565239
2014-05-23,24.8348,25.0903,24.734,24.864,526458,526458,0.116836,0.472,24.9041,"May 23, 14",-0.10215577943884738
2014-05-27,24.8567,25.0392,24.8275,24.9516,665688,665688,0.087625,0.352,24.9596,"May 27, 14",-0.0989925251868704
2014-05-28,24.9954,25.251,24.8713,24.9078,894860,894860,-0.043812,-0.176,25.0175,"May 28, 14",-0.10057415231285882
2014-05-29,24.8859,24.9516,24.6668,24.7106,1426142,1426142,-0.197159,-0.792,24.8446,"May 29, 14",-0.10769508540064282
2014-05-30,24.696,24.7617,24.309,24.5062,1252241,1252241,-0.204463,-0.827,24.5202,"May 30, 14",-0.11507601198858923
2014-06-02,24.5792,24.7836,24.3674,24.5354,880789,880789,0.029208,0.119,24.5594,"Jun 2, 14",-0.1140215939045969
2014-06-03,24.4624,24.623,24.2433,24.4843,634463,634463,-0.051113,-0.208,24.5336,"Jun 3, 14",-0.11586682555158344
2014-06-04,24.4258,24.8859,24.4258,24.7179,2215452,2215452,0.23367,0.954,24.8062,"Jun 4, 14",-0.10743148087964471
2014-06-05,24.7325,25.067,24.696,24.7544,2342104,2342104,0.03651,0.148,24.8428,"Jun 5, 14",-0.10611345827465428
2014-06-06,24.6887,25.1415,24.6595,25.1342,1477698,1477698,0.379714,1.534,24.8879,"Jun 6, 14",-0.09239880114108263
2014-06-09,25.0611,25.1415,24.8202,24.8567,1207954,1207954,-0.277484,-1.104,24.9088,"Jun 9, 14",-0.1024193839598455
2014-06-10,24.9382,25.0094,24.4859,24.6045,1149502,1149502,-0.252129,-1.014,24.6633,"Jun 10, 14",-0.11152637850720397
2014-06-11,24.6416,24.827,24.4117,24.5007,503428,503428,-0.103816,-0.422,24.5143,"Jun 11, 14",-0.11527461813454674
2014-06-12,24.4711,24.6105,24.2485,24.4266,798986,798986,-0.074154,-0.303,24.3651,"Jun 12, 14",-0.11795038457371902
2014-06-13,24.4266,24.5378,24.2857,24.4711,326155,326155,0.044492,0.182,24.4528,"Jun 13, 14",-0.1163434803018814
2014-06-16,24.4711,24.6935,24.1374,24.434,758555,758555,-0.037078,-0.152,24.3355,"Jun 16, 14",-0.11768316903188532
2014-06-17,24.3376,24.6298,24.1003,24.1077,615833,615833,-0.32628,-1.335,24.2448,"Jun 17, 14",-0.1294659300184162
2014-06-18,24.1893,24.1967,23.863,24.0335,1590687,1590687,-0.074157,-0.308,24.0567,"Jun 18, 14",-0.13214530747842418
2014-06-19,23.9594,24.434,23.9082,24.434,837871,837871,0.400437,1.666,24.3169,"Jun 19, 14",-0.11768316903188532
2014-06-20,24.434,24.6416,24.345,24.6268,1101766,1101766,0.192802,0.789,24.5625,"Jun 20, 14",-0.11072112086086744
2014-06-23,24.5378,24.6194,24.3302,24.5304,848011,848011,-0.0964,-0.391,24.4738,"Jun 23, 14",-0.11420214494637637
2014-06-24,24.5378,24.6564,24.5378,24.6342,911046,911046,0.103817,0.423,24.624,"Jun 24, 14",-0.11045390531903373
2014-06-25,24.5749,24.738,24.56,24.649,631905,631905,0.014832,0.06,24.6356,"Jun 25, 14",-0.10991947423536635
2014-06-26,24.5749,24.7009,24.3376,24.4933,495210,495210,-0.155726,-0.632,24.5596,"Jun 26, 14",-0.11554183367638031
2014-06-27,24.5304,24.7009,24.2375,24.6416,1673608,1673608,0.148308,0.606,26.401,"Jun 27, 14",-0.11018668977720004
2014-06-30,24.7529,25.5463,24.4785,25.1904,2123389,2123389,0.548744,2.227,25.008,"Jun 30, 14",-0.09036940743148092
2014-07-01,25.3238,25.9764,25.1681,25.88,2256266,2256266,0.689641,2.738,25.5308,"Jul 1, 14",-0.06546780774925079
