date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,17.4805,17.4805,17.3906,17.4666,1150,1150,0.10365,0.597,17.4462,"Aug 5, 13",0
2013-08-06,17.3906,17.3906,17.356,17.356,1000,1000,-0.110563,-0.633,17.3646,"Aug 6, 13",-0.006332085236966441
2013-08-07,17.356,17.4597,17.356,17.4597,811,811,0.103652,0.597,17.4341,"Aug 7, 13",-0.0003950396757238461
2013-08-09,17.356,17.357,17.356,17.357,600,600,-0.102685,-0.588,17.3564,"Aug 9, 13",-0.006274833110050059
2013-08-13,17.3906,17.3906,17.3906,17.3906,185,185,0.033606,0.194,17.3906,"Aug 13, 13",-0.004351161645655166
2013-08-14,17.3906,17.3906,17.356,17.356,370,370,-0.034573,-0.199,17.3813,"Aug 14, 13",-0.006332085236966441
2013-08-15,17.3177,17.331,17.2869,17.331,3234,3234,-0.025029,-0.144,17.3092,"Aug 15, 13",-0.007763388409879436
2013-08-16,17.4458,17.4459,17.432,17.432,2061,2061,0.101023,0.583,17.4391,"Aug 16, 13",-0.001980923591311479
2013-08-20,17.4503,17.4503,17.4364,17.4364,500,500,0.004418,0.025,17.442,"Aug 20, 13",-0.0017290142328787899
2013-08-21,17.3599,17.3599,17.3599,17.3599,107,107,-0.076539,-0.439,17.3599,"Aug 21, 13",-0.006108801941992146
2013-08-23,17.4225,17.5547,17.3947,17.5338,1950,1950,0.173946,1.002,17.455,"Aug 23, 13",0.003847342928789788
2013-08-26,17.2903,17.2903,17.2903,17.2903,200,200,-0.243528,-1.389,17.2903,"Aug 26, 13",-0.010093549975381656
2013-08-27,17.5617,17.5617,17.3251,17.5546,1375,1375,0.264333,1.529,17.3956,"Aug 27, 13",0.005038187168653371
2013-08-30,17.2903,17.2903,17.0607,17.0607,1320,1320,-0.493937,-2.814,17.1245,"Aug 30, 13",-0.023238638315413365
2013-09-03,17.2973,17.2973,17.2973,17.2973,300,300,0.236562,1.387,17.2973,"Sep 3, 13",-0.009692785086965968
2013-09-04,17.332,17.332,17.332,17.332,201,201,0.034792,0.201,17.332,"Sep 4, 13",-0.007706136282962852
2013-09-05,17.0537,17.4782,17.0537,17.4782,1000,1000,0.146119,0.843,17.266,"Sep 5, 13",0.0006641246722316528
2013-09-06,17.1024,17.4427,17.0746,17.4427,879,879,-0.035486,-0.203,17.2371,"Sep 6, 13",-0.0013683258333047727
2013-09-09,17.0537,17.3946,17.0537,17.384,2405,2405,-0.058725,-0.337,17.1531,"Sep 9, 13",-0.004729025683304097
2013-09-10,17.3877,17.3877,17.0816,17.0816,1200,1200,-0.302321,-1.739,17.2857,"Sep 10, 13",-0.02204206886285814
2013-09-11,17.1303,17.1303,16.9494,16.9494,3245,3245,-0.13227,-0.774,17.0808,"Sep 11, 13",-0.029610800041221474
2013-09-13,17.012,17.012,16.9792,16.9792,447,447,0.029852,0.176,16.9926,"Sep 13, 13",-0.027904686659109442
2013-09-18,17.0516,17.0516,16.9395,17.0516,3149,3149,0.072371,0.426,16.9642,"Sep 18, 13",-0.023759632670353654
2013-09-19,17.3037,17.3246,17.2266,17.2266,2000,2000,0.175,1.026,17.2949,"Sep 19, 13",-0.013740510459963499
2013-09-20,17.0236,17.4157,17.0236,17.3037,2307,2307,0.077095,0.448,17.1723,"Sep 20, 13",-0.009326371474700314
2013-09-23,17.3565,17.3565,17.3565,17.3565,300,300,0.052805,0.305,17.3565,"Sep 23, 13",-0.00630345917350825
2013-09-26,17.3877,17.3877,17.3877,17.3877,700,700,0.031236,0.18,17.3877,"Sep 26, 13",-0.004517192813713078
2013-09-27,17.3597,17.3597,17.3597,17.3597,100,100,-0.028013,-0.161,17.3597,"Sep 27, 13",-0.006120252367375422
2013-09-30,17.1147,17.4157,17.1147,17.3947,1780,1780,0.035014,0.202,17.3095,"Sep 30, 13",-0.004116427925297391
2013-10-01,,,,17.3877,0,0,-0.007001,-0.04,,"Oct 1, 13",-0.004517192813713078
2013-10-02,17.4297,17.4297,17.4297,17.4297,300,300,0.041945,0.241,17.4297,"Oct 2, 13",-0.0021126034832193597
2013-10-03,,,,17.1426,0,0,-0.287042,-1.647,,"Oct 3, 13",-0.018549689120950733
2013-10-04,17.4227,17.4227,17.4227,17.4227,900,900,0.280109,1.634,17.4227,"Oct 4, 13",-0.002513368371635047
2013-10-07,17.1846,17.1987,17.1846,17.1987,800,800,-0.224084,-1.286,17.1904,"Oct 7, 13",-0.015337844800934407
2013-10-08,17.3947,17.3947,17.3947,17.3947,425,425,0.196001,1.14,17.3947,"Oct 8, 13",-0.004116427925297391
2013-10-09,17.2827,17.2827,17.2827,17.2827,500,500,-0.111971,-0.644,17.2827,"Oct 9, 13",-0.010528666139947173
2013-10-11,17.4218,17.4218,17.3387,17.3387,700,700,0.056019,0.324,17.4071,"Oct 11, 13",-0.007322547032622282
