date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2016-05-31,22.2384,22.2384,21.9716,22.1939,497745,497745,22.1939,0,22.143,"May 31, 16",0
2016-06-01,22.1495,22.2043,21.9982,22.1939,506506,506506,0,0,22.1389,"Jun 1, 16",0
2016-06-02,22.0961,22.185,22.0961,22.1673,131741,131741,-0.026686,-0.12,22.1302,"Jun 2, 16",-0.0011985275233284101
2016-06-03,22.0249,22.1939,22.0249,22.185,138671,138671,0.017791,0.08,22.1458,"Jun 3, 16",-0.00040101108863248796
2016-06-06,21.8025,22.185,21.8025,22.1495,222530,222530,-0.035582,-0.16,22.1034,"Jun 6, 16",-0.002000549700593386
2016-06-07,22.185,22.185,22.1051,22.1495,227821,227821,0,0,22.1596,"Jun 7, 16",-0.002000549700593386
2016-06-08,22.1495,22.1939,21.8915,22.0872,168302,168302,-0.062265,-0.281,22.0815,"Jun 8, 16",-0.004807627321020642
2016-06-09,22.1495,22.1495,22.105,22.1406,91003,91003,0.05337,0.242,22.131,"Jun 9, 16",-0.002401560789225874
2016-06-10,22.1495,22.1495,22.105,22.105,81878,81878,-0.035581,-0.161,22.1223,"Jun 10, 16",-0.004005605143755666
2016-06-13,21.8381,22.105,21.8381,22.0605,123823,123823,-0.044478,-0.201,22.0693,"Jun 13, 16",-0.006010660586917946
2016-06-14,22.1673,22.1673,21.9911,22.105,126710,126710,0.044478,0.202,22.1027,"Jun 14, 16",-0.004005605143755666
2016-06-15,21.9894,22.1495,21.9894,22.1406,83534,83534,0.035581,0.161,22.111,"Jun 15, 16",-0.002401560789225874
2016-06-16,22.1495,22.2384,22.1495,22.2028,125196,125196,0.062269,0.281,22.182,"Jun 16, 16",0.00040101108863248796
2016-06-17,22.2295,22.2295,22.0961,22.2206,79167,79167,0.01779,0.08,22.2039,"Jun 17, 16",0.0012030332658974638
2016-06-20,22.2295,22.2473,22.1939,22.2384,194121,194121,0.01779,0.08,22.2232,"Jun 20, 16",0.00200505544316228
2016-06-21,22.2384,22.2473,22.1673,22.2473,217074,217074,0.008897,0.04,22.2187,"Jun 21, 16",0.0024060665317947676
2016-06-22,22.2473,22.2918,22.2384,22.2384,239831,239831,-0.008897,-0.04,22.2717,"Jun 22, 16",0.00200505544316228
2016-06-23,22.2829,22.4608,22.2651,22.3718,256665,256665,0.133431,0.6,22.3359,"Jun 23, 16",0.008015716030080385
2016-06-24,22.2384,22.3394,22.1495,22.2028,83965,83965,-0.169011,-0.755,22.2264,"Jun 24, 16",0.00040101108863248796
2016-06-27,22.2028,22.2028,22.0694,22.1228,94525,94525,-0.08006,-0.361,22.128,"Jun 27, 16",-0.00320358296649069
2016-06-28,22.2028,22.2829,22.1939,22.2562,146343,146343,0.133431,0.603,22.2421,"Jun 28, 16",0.0028070776204272554
2016-06-29,22.3541,22.3718,22.283,22.3096,127408,127408,0.053372,0.24,22.3209,"Jun 29, 16",0.0052131441522220235
2016-06-30,22.3807,22.6832,22.3541,22.6832,381858,381858,0.373606,1.675,22.5289,"Jun 30, 16",0.02204659838964761
2016-07-01,22.4163,23.0301,22.4163,22.4564,62497,62497,-0.226831,-1,22.5225,"Jul 1, 16",0.011827574243373147
2016-07-05,22.5498,22.5764,22.3096,22.3896,165844,165844,-0.066805,-0.297,22.4546,"Jul 5, 16",0.008817738207345362
2016-07-06,22.4163,22.4846,22.2829,22.3096,98165,98165,-0.07997,-0.357,22.3554,"Jul 6, 16",0.0052131441522220235
2016-07-07,22.3718,22.4074,22.3363,22.4074,87272,87272,0.09785,0.439,22.3641,"Jul 7, 16",0.009619760384610177
2016-07-08,22.4074,22.4341,22.3363,22.3363,90125,90125,-0.071163,-0.318,22.378,"Jul 8, 16",0.006416177418119487
2016-07-11,22.3718,22.3985,22.3274,22.3274,89039,89039,-0.008895,-0.04,22.3602,"Jul 11, 16",0.006015166329486999
2016-07-12,22.3363,22.3807,22.3274,22.3508,121840,121840,0.023395,0.105,22.3487,"Jul 12, 16",0.007069510090610495
2016-07-13,22.5053,22.5053,22.3096,22.3229,212587,212587,-0.027843,-0.125,22.3512,"Jul 13, 16",0.005812407913886308
2016-07-14,22.3185,22.3807,22.2918,22.3274,103288,103288,0.004448,0.02,22.3377,"Jul 14, 16",0.006015166329486999
2016-07-15,22.3452,22.3718,22.2651,22.2651,70203,70203,-0.062269,-0.279,22.3367,"Jul 15, 16",0.0032080887090597436
2016-07-18,22.3274,22.4074,22.3274,22.3363,129541,129541,0.071164,0.32,22.3577,"Jul 18, 16",0.006416177418119487
2016-07-19,22.3718,22.3718,22.3185,22.3274,100296,100296,-0.008895,-0.04,22.3417,"Jul 19, 16",0.006015166329486999
2016-07-20,22.3541,22.4163,22.3452,22.4163,114486,114486,0.088953,0.398,22.3787,"Jul 20, 16",0.010020771473242665
2016-07-21,22.4519,22.532,22.4466,22.532,49022,49022,0.115638,0.516,22.4839,"Jul 21, 16",0.015233915625464688
2016-07-22,22.532,22.5498,22.4608,22.5053,100826,100826,-0.026685,-0.118,22.5159,"Jul 22, 16",0.014030882359567225
2016-07-25,22.4875,22.5498,22.4163,22.5231,86147,86147,0.017792,0.079,22.4672,"Jul 25, 16",0.0148329045368322
2016-07-26,22.532,22.6387,22.5231,22.5764,160421,160421,0.053371,0.237,22.5556,"Jul 26, 16",0.017234465326058074
2016-07-27,22.5942,22.6387,22.5456,22.5942,121756,121756,0.01779,0.079,22.5905,"Jul 27, 16",0.01803648750332305
2016-07-28,22.701,22.7277,22.612,22.6921,152849,152849,0.09785,0.433,22.6775,"Jul 28, 16",0.022447609478280096
2016-07-29,22.9056,22.9056,22.7277,22.7277,112958,112958,0.035582,0.157,22.7999,"Jul 29, 16",0.02405165383280989
2016-08-01,23.128,23.128,22.7988,22.8166,150397,150397,0.088953,0.391,22.8495,"Aug 1, 16",0.028057258976565715
2016-08-02,22.95,23.039,22.8611,22.95,186788,186788,0.133431,0.585,22.9384,"Aug 2, 16",0.03406791956348366
2016-08-03,23.128,23.1724,22.95,23.0301,201111,201111,0.080059,0.349,23.0627,"Aug 3, 16",0.037677019361175894
2016-08-04,23.1102,23.128,22.95,23.0123,441219,441219,-0.017792,-0.077,22.9973,"Aug 4, 16",0.036874997183910914
2016-08-05,23.0924,23.1013,22.9945,23.039,82567,82567,0.026686,0.116,23.0399,"Aug 5, 16",0.03807803044980838
2016-08-08,23.1724,23.2169,22.9945,23.0657,181109,181109,0.026687,0.116,23.086,"Aug 8, 16",0.03928106371570569
2016-08-09,23.1102,23.1546,22.9945,23.0034,212260,212260,-0.062268,-0.27,23.0471,"Aug 9, 16",0.03647398609527843
2016-08-10,23.0835,23.0942,23.0123,23.0746,113081,113081,0.071162,0.309,23.0445,"Aug 10, 16",0.03968207480433817
2016-08-11,23.4788,23.4878,22.8196,22.9189,276138,276138,-0.155686,-0.675,23.094,"Aug 11, 16",0.03266663362455456
2016-08-12,22.955,23.0092,22.9189,22.9641,153576,153576,0.045153,0.197,22.9471,"Aug 12, 16",0.0347032292656991
2016-08-15,23.0273,23.0814,23.0092,23.0544,92918,92918,0.090301,0.393,23.0435,"Aug 15, 16",0.03877191480541959
2016-08-16,23.1176,23.1537,23.0002,23.0544,139275,139275,0,0,23.0628,"Aug 16, 16",0.03877191480541959
2016-08-17,23.0995,23.0995,22.9911,23.0814,190673,190673,0.027093,0.118,23.0576,"Aug 17, 16",0.03998846529902358
2016-08-18,23.0724,23.0814,23.0092,23.0724,112660,112660,-0.00903,-0.039,23.0511,"Aug 18, 16",0.03958294846782219
2016-08-19,23.0905,23.0905,22.9009,22.937,137851,137851,-0.135456,-0.587,23.0157,"Aug 19, 16",0.03348217302952622
2016-08-22,22.937,23.0273,22.937,22.9821,121818,121818,0.045151,0.197,22.9818,"Aug 22, 16",0.03551426292810186
