date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,6.67,6.82,6.67,6.81,42817,42817,0.04,0.591,6.754,"Aug 5, 13",0
2013-08-06,6.8,6.86,6.68,6.68,25545,25545,-0.13,-1.909,6.7162,"Aug 6, 13",-0.019089574155653436
2013-08-07,6.64,6.78,6.64,6.69,60886,60886,0.01,0.15,6.6994,"Aug 7, 13",-0.017621145374449226
2013-08-08,6.7,6.7,6.63,6.68,39438,39438,-0.01,-0.149,6.6536,"Aug 8, 13",-0.019089574155653436
2013-08-09,6.63,6.73,6.63,6.67,34702,34702,-0.01,-0.15,6.6868,"Aug 9, 13",-0.020558002936857517
2013-08-12,6.62,6.82,6.61,6.81,255121,255121,0.14,2.099,6.6514,"Aug 12, 13",0
2013-08-13,6.8,6.8,6.72,6.73,21349,21349,-0.08,-1.175,6.77,"Aug 13, 13",-0.011747430249632774
2013-08-14,6.71,6.71,6.55,6.67,60331,60331,-0.06,-0.892,6.6314,"Aug 14, 13",-0.020558002936857517
2013-08-15,6.55,6.75,6.55,6.62,85454,85454,-0.05,-0.75,6.6059,"Aug 15, 13",-0.02790014684287805
2013-08-16,6.58,6.64,6.5401,6.631,35799,35799,0.011,0.166,6.6152,"Aug 16, 13",-0.02628487518355351
2013-08-19,6.57,6.63,6.57,6.61,35922,35922,-0.021,-0.317,6.6152,"Aug 19, 13",-0.02936857562408213
2013-08-20,6.57,6.72,6.57,6.66,58482,58482,0.05,0.756,6.6226,"Aug 20, 13",-0.022026431718061595
2013-08-21,6.62,6.95,6.6,6.95,122079,122079,0.29,4.354,6.8039,"Aug 21, 13",0.020558002936857646
2013-08-22,6.95,6.95,6.64,6.87,39707,39707,-0.08,-1.151,6.8767,"Aug 22, 13",0.008810572687224743
2013-08-23,6.86,6.87,6.76,6.82,25697,25697,-0.05,-0.728,6.828,"Aug 23, 13",0.0014684287812042108
2013-08-26,6.81,6.81,6.73,6.75,34388,34388,-0.07,-1.026,6.7552,"Aug 26, 13",-0.008810572687224613
2013-08-27,6.7,6.7,6.61,6.63,82568,82568,-0.12,-1.778,6.6377,"Aug 27, 13",-0.026431718061673968
2013-08-28,6.61,6.67,6.61,6.67,27753,27753,0.04,0.603,6.6428,"Aug 28, 13",-0.020558002936857517
2013-08-29,6.66,6.67,6.61,6.65,35716,35716,-0.02,-0.3,6.6418,"Aug 29, 13",-0.023494860499265677
2013-08-30,6.63,6.68,6.61,6.62,81528,81528,-0.03,-0.451,6.6297,"Aug 30, 13",-0.02790014684287805
2013-09-03,6.64,6.7,6.58,6.59,76057,76057,-0.03,-0.453,6.6457,"Sep 3, 13",-0.03230543318649042
2013-09-04,6.58,6.8,6.58,6.67,56407,56407,0.08,1.214,6.6677,"Sep 4, 13",-0.020558002936857517
2013-09-05,6.67,6.78,6.64,6.69,26921,26921,0.02,0.3,6.6939,"Sep 5, 13",-0.017621145374449226
2013-09-06,6.69,6.89,6.61,6.84,35076,35076,0.15,2.242,6.7735,"Sep 6, 13",0.004405286343612372
2013-09-09,6.83,6.83,6.75,6.83,20149,20149,-0.01,-0.146,6.8097,"Sep 9, 13",0.002936857562408291
2013-09-10,6.82,7.15,6.6901,7.04,90002,90002,0.21,3.075,7.0257,"Sep 10, 13",0.03377386196769463
2013-09-11,7.008,7.13,6.9,6.92,62265,62265,-0.12,-1.705,7.0277,"Sep 11, 13",0.016152716593245277
2013-09-12,6.7,6.99,6.65,6.72,27936,27936,-0.2,-2.89,6.7607,"Sep 12, 13",-0.013215859030836984
2013-09-13,6.75,7.01,6.6,6.93,30529,30529,0.21,3.125,6.7759,"Sep 13, 13",0.017621145374449355
2013-09-16,6.98,7.04,6.9448,6.99,33706,33706,0.06,0.866,6.99,"Sep 16, 13",0.0264317180616741
2013-09-17,6.99,7.04,6.95,7.03,16082,16082,0.04,0.572,7.0219,"Sep 17, 13",0.032305433186490554
2013-09-18,6.987,7.0501,6.95,7.04,31729,31729,0.01,0.142,7.0302,"Sep 18, 13",0.03377386196769463
2013-09-19,7.04,7.07,6.711,6.77,52142,52142,-0.27,-3.835,6.8659,"Sep 19, 13",-0.005873715124816452
2013-09-20,6.77,7.02,6.75,6.98,60783,60783,0.21,3.102,6.8617,"Sep 20, 13",0.02496328928047002
2013-09-23,6.95,7.06,6.901,6.98,35590,35590,0,0,7.0101,"Sep 23, 13",0.02496328928047002
2013-09-24,7.04,7.11,6.86,7.06,255889,255889,0.08,1.146,7.0546,"Sep 24, 13",0.03671071953010279
2013-09-25,7.07,7.24,7.045,7.1,101194,101194,0.04,0.567,7.1487,"Sep 25, 13",0.04258443465491924
2013-09-26,7.09,7.12,6.83,7.11,56461,56461,0.01,0.141,7.0454,"Sep 26, 13",0.044052863436123454
2013-09-27,7.08,7.12,7.05,7.09,10877,10877,-0.02,-0.281,7.0979,"Sep 27, 13",0.04111600587371517
2013-09-30,7.03,7.07,6.97,7.03,21911,21911,-0.06,-0.846,7.0136,"Sep 30, 13",0.032305433186490554
2013-10-01,7.01,7.16,6.98,7.13,16752,16752,0.1,1.422,7.1202,"Oct 1, 13",0.04698972099853162
2013-10-02,7.08,7.18,7.08,7.15,50735,50735,0.02,0.281,7.1538,"Oct 2, 13",0.049926578560939905
2013-10-03,7.15,7.18,7.1,7.15,30558,30558,0,0,7.1504,"Oct 3, 13",0.049926578560939905
2013-10-04,7.12,7.2,7.07,7.1,33884,33884,-0.05,-0.699,7.1233,"Oct 4, 13",0.04258443465491924
2013-10-07,7.02,7.09,7.02,7.05,22989,22989,-0.05,-0.704,7.0437,"Oct 7, 13",0.03524229074889871
2013-10-08,7.05,7.05,6.815,6.89,66949,66949,-0.16,-2.27,6.8976,"Oct 8, 13",0.011747430249632904
2013-10-09,6.89,7.18,6.83,7.01,37169,37169,0.12,1.742,7,"Oct 9, 13",0.02936857562408226
2013-10-10,7.1,7.2,6.99,7.13,29877,29877,0.12,1.712,7.1541,"Oct 10, 13",0.04698972099853162
2013-10-11,7.09,7.3,7.08,7.3,33034,33034,0.17,2.384,7.2362,"Oct 11, 13",0.0719530102790015
2013-10-14,7.28,7.3991,7.26,7.39,38160,38160,0.09,1.233,7.3486,"Oct 14, 13",0.08516886930983848
2013-10-15,7.35,7.38,7.21,7.21,131907,131907,-0.18,-2.436,7.2478,"Oct 15, 13",0.05873715124816452
2013-10-16,7.35,7.35,7.23,7.25,11308,11308,0.04,0.555,7.2682,"Oct 16, 13",0.06461086637298097
2013-10-17,7.22,7.3,7.22,7.26,17025,17025,0.01,0.138,7.2569,"Oct 17, 13",0.06607929515418505
2013-10-18,7.33,7.33,7.12,7.31,40588,40588,0.05,0.689,7.301,"Oct 18, 13",0.07342143906020558
2013-10-21,7.3,7.31,7.18,7.2,18709,18709,-0.11,-1.505,7.2185,"Oct 21, 13",0.05726872246696044
2013-10-22,7.2,7.21,7.05,7.17,28173,28173,-0.03,-0.417,7.1354,"Oct 22, 13",0.05286343612334807
2013-10-23,7.4,7.4,6.9,6.93,76083,76083,-0.24,-3.347,7.1065,"Oct 23, 13",0.017621145374449355
2013-10-24,6.93,7.04,6.9,6.94,34428,34428,0.01,0.144,6.9639,"Oct 24, 13",0.019089574155653568
2013-10-25,6.97,7.02,6.92,7.01,16118,16118,0.07,1.009,6.9907,"Oct 25, 13",0.02936857562408226
2013-10-28,7.01,7.03,6.92,6.96,17855,17855,-0.05,-0.713,6.9615,"Oct 28, 13",0.022026431718061727
2013-10-29,7,7.15,6.9,7.14,99284,99284,0.18,2.586,7.0384,"Oct 29, 13",0.0484581497797357
2013-10-30,7.12,7.12,6.92,6.97,28904,28904,-0.17,-2.381,6.9795,"Oct 30, 13",0.02349486049926581
2013-10-31,7.01,7.16,6.98,7.02,32013,32013,0.05,0.717,7.0289,"Oct 31, 13",0.03083700440528634
2013-11-01,6.9,6.9,6.51,6.56,147972,147972,-0.46,-6.553,6.6334,"Nov 1, 13",-0.03671071953010279
2013-11-04,6.56,6.69,6.54,6.63,41492,41492,0.07,1.067,6.6371,"Nov 4, 13",-0.026431718061673968
2013-11-05,6.62,6.72,6.49,6.66,51245,51245,0.03,0.452,6.6016,"Nov 5, 13",-0.022026431718061595
2013-11-06,6.69,6.73,6.53,6.58,31803,31803,-0.08,-1.201,6.6558,"Nov 6, 13",-0.0337738619676945
2013-11-07,6.59,6.6,6.5,6.5,24338,24338,-0.08,-1.216,6.5374,"Nov 7, 13",-0.045521292217327404
2013-11-08,6.49,6.56,6.45,6.47,40473,40473,-0.03,-0.462,6.5011,"Nov 8, 13",-0.04992657856093977
2013-11-11,6.42,6.54,6.4,6.48,25096,25096,0.01,0.155,6.4713,"Nov 11, 13",-0.04845814977973557
2013-11-12,6.44,6.6,6.4,6.51,36221,36221,0.03,0.463,6.5276,"Nov 12, 13",-0.04405286343612332
2013-11-13,6.46,6.61,6.41,6.61,27583,27583,0.1,1.536,6.5742,"Nov 13, 13",-0.02936857562408213
2013-11-14,6.59,6.61,6.48,6.5,20134,20134,-0.11,-1.664,6.5658,"Nov 14, 13",-0.045521292217327404
2013-11-15,6.49,6.62,6.38,6.48,79583,79583,-0.02,-0.308,6.4887,"Nov 15, 13",-0.04845814977973557
2013-11-18,6.52,6.58,6.4,6.47,55320,55320,-0.01,-0.154,6.5119,"Nov 18, 13",-0.04992657856093977
2013-11-19,6.49,6.61,6.4,6.53,51947,51947,0.06,0.927,6.5429,"Nov 19, 13",-0.041116005873715035
2013-11-20,6.5,6.59,6.4,6.55,64106,64106,0.02,0.306,6.5254,"Nov 20, 13",-0.03817914831130687
2013-11-21,6.58,6.65,6.49,6.6,70370,70370,0.05,0.763,6.5817,"Nov 21, 13",-0.03083700440528634
2013-11-22,6.58,6.6529,6.533,6.6,37760,37760,0,0,6.5987,"Nov 22, 13",-0.03083700440528634
2013-11-25,6.59,6.6701,6.54,6.64,35421,35421,0.04,0.606,6.6353,"Nov 25, 13",-0.024963289280469887
2013-11-26,6.63,6.79,6.585,6.74,43079,43079,0.1,1.506,6.6919,"Nov 26, 13",-0.010279001468428693
2013-11-27,6.71,6.97,6.71,6.87,55193,55193,0.13,1.929,6.8522,"Nov 27, 13",0.008810572687224743
2013-11-29,6.91,6.98,6.81,6.92,33988,33988,0.05,0.728,6.9195,"Nov 29, 13",0.016152716593245277
2013-12-02,6.92,6.96,6.56,6.59,24919,24919,-0.33,-4.769,6.6514,"Dec 2, 13",-0.03230543318649042
2013-12-03,6.65,6.72,6.59,6.61,22374,22374,0.02,0.303,6.6237,"Dec 3, 13",-0.02936857562408213
2013-12-04,6.63,6.63,6.51,6.54,43484,43484,-0.07,-1.059,6.5835,"Dec 4, 13",-0.039647577092510954
2013-12-05,6.55,6.59,6.46,6.48,23209,23209,-0.06,-0.917,6.5296,"Dec 5, 13",-0.04845814977973557
2013-12-06,6.54,6.67,6.45,6.62,45653,45653,0.14,2.16,6.6056,"Dec 6, 13",-0.02790014684287805
2013-12-09,6.6,6.67,6.5,6.5,12632,12632,-0.12,-1.813,6.5261,"Dec 9, 13",-0.045521292217327404
2013-12-10,6.51,6.51,6.28,6.41,151683,151683,-0.09,-1.385,6.3888,"Dec 10, 13",-0.058737151248164386
2013-12-11,6.4,6.43,6.25,6.28,50400,50400,-0.13,-2.028,6.314,"Dec 11, 13",-0.07782672540381783
2013-12-12,6.28,6.37,6.28,6.34,51396,51396,0.06,0.955,6.327,"Dec 12, 13",-0.06901615271659321
2013-12-13,6.33,6.42,6.27,6.36,68045,68045,0.02,0.315,6.3535,"Dec 13, 13",-0.06607929515418492
2013-12-16,6.36,6.51,6.36,6.4,42439,42439,0.04,0.629,6.4529,"Dec 16, 13",-0.06020558002936847
2013-12-17,6.41,6.42,6.28,6.34,92455,92455,-0.06,-0.938,6.3521,"Dec 17, 13",-0.06901615271659321
