date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2017-05-17,15,15.24,13.35,15,2707317,2707317,15,0,14.7685,"May 17, 17",0
2017-05-18,14.88,16.88,14.86,16.6,316116,316116,1.6,10.667,16.0821,"May 18, 17",0.10666666666666676
2017-05-19,16.61,16.79,16.12,16.52,101137,101137,-0.08,-0.482,16.4985,"May 19, 17",0.1013333333333333
2017-05-22,16.55,16.87,16.27,16.57,66498,66498,0.05,0.303,16.541,"May 22, 17",0.10466666666666669
2017-05-23,16.49,16.65,16.155,16.36,42716,42716,-0.21,-1.267,16.3925,"May 23, 17",0.09066666666666663
2017-05-24,16.34,16.91,16.3345,16.57,57821,57821,0.21,1.284,16.5656,"May 24, 17",0.10466666666666669
2017-05-25,16.69,17,16.45,16.81,50517,50517,0.24,1.448,16.7526,"May 25, 17",0.12066666666666657
2017-05-26,16.91,17.52,16.6001,17.24,98785,98785,0.43,2.558,17.0964,"May 26, 17",0.14933333333333323
2017-05-30,17.52,17.98,17.52,17.92,51815,51815,0.68,3.944,17.8334,"May 30, 17",0.1946666666666668
2017-05-31,18.2,18.63,17.26,18.3,175669,175669,0.38,2.121,18.0918,"May 31, 17",0.22000000000000006
2017-06-01,18.89,19.74,18.4172,18.93,90453,90453,0.63,3.443,18.7555,"Jun 1, 17",0.26199999999999996
2017-06-02,18.89,19.79,18.43,18.94,85387,85387,0.01,0.053,19.1168,"Jun 2, 17",0.26266666666666677
2017-06-05,19.27,20.6,18.9855,19.14,66554,66554,0.2,1.056,19.7057,"Jun 5, 17",0.276
2017-06-06,19.1,19.9792,17.5001,18.09,167555,167555,-1.05,-5.486,18.9106,"Jun 6, 17",0.206
2017-06-07,18,18.98,17.07,18.5,56621,56621,0.41,2.266,17.8022,"Jun 7, 17",0.23333333333333334
2017-06-08,18.52,19.18,18.1,18.67,32706,32706,0.17,0.919,18.5969,"Jun 8, 17",0.24466666666666678
2017-06-09,18.46,19.16,18.27,18.59,67959,67959,-0.08,-0.428,18.587,"Jun 9, 17",0.23933333333333331
2017-06-12,18.6,18.97,17.58,17.99,97441,97441,-0.6,-3.228,18.4213,"Jun 12, 17",0.19933333333333322
2017-06-13,18.2,18.5,17.005,17.24,101037,101037,-0.75,-4.169,17.6384,"Jun 13, 17",0.14933333333333323
2017-06-14,17.15,17.5299,16.2,16.59,55304,55304,-0.65,-3.77,16.7196,"Jun 14, 17",0.106
2017-06-15,16.4,17.4,16.4,16.55,74333,74333,-0.04,-0.241,16.5473,"Jun 15, 17",0.10333333333333337
2017-06-16,16.59,17.24,16.5501,17.12,56181,56181,0.57,3.444,17.0299,"Jun 16, 17",0.1413333333333334
2017-06-19,16.98,17.52,16.72,17.02,18382,18382,-0.1,-0.584,17.0118,"Jun 19, 17",0.13466666666666663
2017-06-20,17,17.48,16.66,16.81,15928,15928,-0.21,-1.234,17.0292,"Jun 20, 17",0.12066666666666657
