date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,15.8271,15.8966,15.6494,15.7807,19927,19927,-0.015453,-0.098,15.7687,"Aug 5, 13",0
2013-08-06,15.688,15.8657,15.5722,15.7498,28035,28035,-0.030897,-0.196,15.7143,"Aug 6, 13",-0.001958088044256531
2013-08-07,15.6417,15.7962,15.634,15.7421,20428,20428,-0.007724,-0.049,15.716,"Aug 7, 13",-0.0024460258416926285
2013-08-08,15.912,15.9738,15.6649,15.9275,37849,37849,0.185384,1.178,15.8356,"Aug 8, 13",0.009302502423846896
2013-08-09,15.8348,16.0588,15.688,15.7267,72148,72148,-0.200831,-1.261,15.857,"Aug 9, 13",-0.003421901436564935
2013-08-12,15.6031,15.8193,15.5258,15.5953,38744,38744,-0.131312,-0.835,15.6177,"Aug 12, 13",-0.011748528265539524
2013-08-13,15.5026,15.5258,15.2169,15.4872,44109,44109,-0.108142,-0.693,15.4504,"Aug 13, 13",-0.018598667993181536
2013-08-14,15.5413,15.6494,15.3559,15.4177,37361,37361,-0.06952,-0.449,15.4373,"Aug 14, 13",-0.02300278187913081
2013-08-15,15.2169,15.2169,14.9465,15.016,61635,61635,-0.40166,-2.605,15.0229,"Aug 15, 13",-0.048457926454466504
2013-08-16,14.9697,15.1396,14.8693,14.962,140375,140375,-0.05407,-0.36,15.0056,"Aug 16, 13",-0.05187982789103144
2013-08-19,15.0083,15.0083,14.5217,14.5526,64105,64105,-0.409389,-2.736,14.6706,"Aug 19, 13",-0.07782291026380322
2013-08-20,14.5217,14.7997,14.5217,14.653,57432,57432,0.100417,0.69,14.6614,"Aug 20, 13",-0.07146070833359731
2013-08-21,14.5448,14.6762,14.4035,14.5294,60513,60513,-0.123589,-0.843,14.5557,"Aug 21, 13",-0.07929306051062365
2013-08-22,14.5217,14.6993,14.429,14.653,41365,41365,0.123589,0.851,14.6219,"Aug 22, 13",-0.07146070833359731
2013-08-23,14.6375,14.7457,14.4985,14.707,38658,38658,0.054069,0.369,14.6412,"Aug 23, 13",-0.06803880689703237
2013-08-26,14.7457,14.7457,14.3904,14.6375,33557,33557,-0.069519,-0.473,14.5663,"Aug 26, 13",-0.07244292078298176
2013-08-27,14.5062,14.7843,14.4676,14.5294,80394,80394,-0.108139,-0.739,14.5824,"Aug 27, 13",-0.07929306051062365
