date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,16.4232,16.4483,16.2482,16.2562,8550,8550,-0.233901,-1.418,16.3692,"Aug 5, 13",0
2013-08-06,16.2812,16.2812,16.1058,16.1309,6425,6425,-0.125305,-0.771,16.1927,"Aug 6, 13",-0.007707828397780496
2013-08-07,16.2478,16.2478,15.9387,15.9554,3380,3380,-0.175426,-1.088,16.0559,"Aug 7, 13",-0.0185037093539696
2013-08-08,16.0974,16.3481,16.0857,16.2979,10420,10420,0.342495,2.147,16.2054,"Aug 8, 13",0.0025651751331798784
2013-08-09,16.323,16.3313,16.206,16.206,18173,18173,-0.091887,-0.564,16.2865,"Aug 9, 13",-0.003088052558408499
2013-08-12,16.0774,16.3425,15.9592,16.1027,3800,3800,-0.103324,-0.638,16.1432,"Aug 12, 13",-0.009442551149715253
2013-08-13,16.0352,16.5418,16.0014,16.128,6410,6410,0.025334,0.157,16.306,"Aug 13, 13",-0.007886221872270251
2013-08-14,16.1787,16.4911,16.1365,16.1365,6895,6895,0.008445,0.052,16.3137,"Aug 14, 13",-0.00736334444704163
2013-08-15,16.1872,16.2885,15.8325,15.9254,10870,10870,-0.211102,-1.308,16.042,"Aug 15, 13",-0.02034915909007025
2013-08-16,15.7481,16.0436,15.7481,16.0098,5571,5571,0.084439,0.53,15.9556,"Aug 16, 13",-0.015157293832507062
2013-08-19,15.9592,16.128,15.3343,15.385,20160,20160,-0.624856,-3.903,15.9576,"Aug 19, 13",-0.05359186033636397
2013-08-20,15.3681,16.0267,15.3681,16.0267,3754,3754,0.641744,4.171,15.709,"Aug 20, 13",-0.01411769048117014
2013-08-21,15.5792,15.8832,15.4694,15.7028,10675,10675,-0.323909,-2.021,15.7746,"Aug 21, 13",-0.034042396131937346
2013-08-22,15.7058,15.9169,15.4525,15.5454,6688,6688,-0.157397,-1.002,15.5569,"Aug 22, 13",-0.04372485574734557
2013-08-23,15.4525,15.6153,15.444,15.4525,10363,10363,-0.092883,-0.597,15.4777,"Aug 23, 13",-0.04943959843013738
2013-08-26,15.4525,15.9254,15.309,15.6214,16235,16235,0.168877,1.093,15.6762,"Aug 26, 13",-0.03904971641589057
2013-08-27,15.4863,15.9507,15.4863,15.8729,4905,4905,0.251465,1.61,15.7118,"Aug 27, 13",-0.023578696128246465
2013-08-28,15.5116,15.8832,15.5116,15.7481,10052,10052,-0.124804,-0.786,15.701,"Aug 28, 13",-0.03125576703042525
2013-08-29,15.5032,15.8325,15.4947,15.7058,7324,7324,-0.042218,-0.268,15.6533,"Aug 29, 13",-0.03385785115832727
2013-08-30,15.5032,16.0027,15.5032,15.6636,12120,12120,-0.042223,-0.269,15.6707,"Aug 30, 13",-0.03645378378710887
2013-09-03,15.7987,15.9169,15.6215,15.8663,7150,7150,0.202657,1.294,15.7349,"Sep 3, 13",-0.023984695070188546
2013-09-04,16.0774,16.0774,15.7481,15.9412,12578,12578,0.074898,0.472,15.9027,"Sep 4, 13",-0.01937722222905719
2013-09-05,15.6552,15.8972,15.6552,15.8972,1055,1055,-0.043994,-0.276,15.7138,"Sep 5, 13",-0.022083881842004896
2013-09-06,15.8713,15.8713,15.6383,15.6383,2655,2655,-0.258891,-1.629,15.7472,"Sep 6, 13",-0.03801011306455387
2013-09-09,15.9085,15.9254,15.1317,15.1654,15730,15730,-0.472864,-3.024,15.4428,"Sep 9, 13",-0.067100552404621
2013-09-10,15.1148,15.5501,15.1148,15.4525,22345,22345,0.287097,1.893,15.4033,"Sep 10, 13",-0.04943959843013738
2013-09-11,15.5285,15.5285,15.1317,15.1401,16366,16366,-0.312431,-2.022,15.2916,"Sep 11, 13",-0.06865688168206588
2013-09-12,15.2836,15.2921,14.7686,15.1464,13523,13523,0.006335,0.042,15.1704,"Sep 12, 13",-0.06826933723748477
2013-09-13,15.0303,15.2153,14.9037,15.1908,13056,13056,0.044331,0.293,15.0947,"Sep 13, 13",-0.06553807162805578
2013-09-16,14.9881,15.5623,14.9881,15.2245,14850,14850,0.033777,0.222,15.2649,"Sep 16, 13",-0.06346501642450258
2013-09-17,15.1148,15.5792,14.9881,15.1992,17736,17736,-0.025331,-0.166,15.1788,"Sep 17, 13",-0.06502134570194759
2013-09-18,15.2921,15.4441,15.1992,15.2245,12415,12415,0.025331,0.167,15.2981,"Sep 18, 13",-0.06346501642450258
2013-09-19,15.3596,15.5876,15.2077,15.3005,13237,13237,0.075994,0.499,15.3295,"Sep 19, 13",-0.05878987709304759
2013-09-20,15.2161,15.5815,14.8108,15.0894,16045,16045,-0.211098,-1.38,15.2069,"Sep 20, 13",-0.0717756917360761
2013-09-23,15.0641,15.4188,14.9881,15.2499,18048,18048,0.160433,1.063,15.1754,"Sep 23, 13",-0.06190253564793737
2013-09-24,15.2161,15.4402,14.8614,15.3259,9887,9887,0.075997,0.498,15.2861,"Sep 24, 13",-0.057227396316482264
2013-09-25,15.233,15.385,15.2161,15.2245,4085,4085,-0.101326,-0.661,15.2703,"Sep 25, 13",-0.06346501642450258
2013-09-26,15.2246,15.3934,15.2161,15.2245,4786,4786,0,0,15.2719,"Sep 26, 13",-0.06346501642450258
2013-09-27,15.2164,15.2499,14.7774,14.9543,12695,12695,-0.27021,-1.775,14.9308,"Sep 27, 13",-0.0800863670476495
