date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2017-08-01,9.85,9.85,9.79,9.81,1652281,1652281,9.81,0,9.7984,"Aug 1, 17",0
2017-08-02,9.81,9.81,9.81,9.81,500000,500000,0,0,9.81,"Aug 2, 17",0
2017-08-03,9.81,9.86,9.81,9.82,860010,860010,0.01,0.102,9.81,"Aug 3, 17",0.0010193679918450342
2017-08-04,9.81,9.82,9.81,9.82,211331,211331,0,0,9.811,"Aug 4, 17",0.0010193679918450342
2017-08-07,9.83,9.84,9.81,9.8111,119499,119499,-0.0089,-0.091,9.8232,"Aug 7, 17",0.00011213047910287591
2017-08-08,9.82,9.82,9.82,9.82,1300,1300,0.0089,0.091,9.82,"Aug 8, 17",0.0010193679918450342
2017-08-14,9.82,9.84,9.82,9.84,2200,2200,0.02,0.204,9.8255,"Aug 14, 17",0.0030581039755351027
2017-08-15,9.8001,9.8001,9.8,9.8,1200,1200,-0.04,-0.407,9.8,"Aug 15, 17",-0.0010193679918450342
2017-08-16,9.76,9.79,9.75,9.79,4700,4700,-0.01,-0.102,9.7611,"Aug 16, 17",-0.0020387359836902498
2017-08-17,9.75,9.78,9.75,9.78,155664,155664,-0.01,-0.102,9.7504,"Aug 17, 17",-0.003058103975535284
2017-08-18,9.75,9.8,9.75,9.8,2400,2400,0.02,0.204,9.7521,"Aug 18, 17",-0.0010193679918450342
2017-08-21,9.8,9.8,9.75,9.75,369475,369475,-0.05,-0.51,9.7526,"Aug 21, 17",-0.006116207951070387
2017-08-22,9.7601,9.8,9.76,9.76,63500,63500,0.01,0.103,9.7942,"Aug 22, 17",-0.0050968399592253525
2017-08-24,9.75,9.75,9.75,9.75,72000,72000,-0.01,-0.102,9.75,"Aug 24, 17",-0.006116207951070387
2017-08-25,9.75,9.75,9.75,9.75,3775,3775,0,0,9.75,"Aug 25, 17",-0.006116207951070387
2017-08-28,9.78,9.78,9.76,9.76,1900,1900,0.01,0.103,9.7626,"Aug 28, 17",-0.0050968399592253525
2017-08-29,9.77,9.8,9.77,9.8,41160,41160,0.04,0.41,9.7856,"Aug 29, 17",-0.0010193679918450342
2017-08-30,9.8,10.4315,9.8,9.83,64999,64999,0.03,0.306,9.8394,"Aug 30, 17",0.0020387359836900685
2017-08-31,9.52,9.95,8.97,9.78,18249,18249,-0.05,-0.509,9.7314,"Aug 31, 17",-0.003058103975535284
2017-09-01,9.78,9.83,9.78,9.83,4500,4500,0.05,0.511,9.7898,"Sep 1, 17",0.0020387359836900685
2017-09-05,9.8,9.85,9.8,9.85,37200,37200,0.02,0.203,9.8246,"Sep 5, 17",0.004077471967380137
2017-09-06,9.83,9.83,9.83,9.83,22575,22575,-0.02,-0.203,9.83,"Sep 6, 17",0.0020387359836900685
2017-09-07,9.8,9.8186,9.8,9.8,74500,74500,-0.03,-0.305,9.8001,"Sep 7, 17",-0.0010193679918450342
2017-09-08,9.81,9.81,9.8,9.8,2000,2000,0,0,9.805,"Sep 8, 17",-0.0010193679918450342
2017-09-11,9.79,9.8,9.79,9.8,93210,93210,0,0,9.7969,"Sep 11, 17",-0.0010193679918450342
2017-09-12,9.85,9.85,9.8,9.8,200,200,0,0,9.825,"Sep 12, 17",-0.0010193679918450342
2017-09-13,9.8,9.85,9.75,9.85,91000,91000,0.05,0.51,9.8003,"Sep 13, 17",0.004077471967380137
2017-09-14,9.8,9.8,9.8,9.8,14724,14724,-0.05,-0.508,9.8,"Sep 14, 17",-0.0010193679918450342
2017-09-18,9.82,9.83,9.82,9.83,4800,4800,0.03,0.306,9.829,"Sep 18, 17",0.0020387359836900685
2017-09-19,9.8,9.83,9.8,9.82,47400,47400,-0.01,-0.102,9.8191,"Sep 19, 17",0.0010193679918450342
2017-09-20,9.75,9.8299,9.75,9.82,15505,15505,0,0,9.8103,"Sep 20, 17",0.0010193679918450342
2017-09-21,9.775,9.775,9.775,9.775,400,400,-0.045,-0.458,9.775,"Sep 21, 17",-0.0035677879714577105
2017-09-26,9.8,9.81,9.8,9.81,3200,3200,0.035,0.358,9.8006,"Sep 26, 17",0
2017-09-28,9.85,9.86,9.83,9.83,17700,17700,0.02,0.204,9.8531,"Sep 28, 17",0.0020387359836900685
2017-09-29,9.86,9.86,9.86,9.86,8000,8000,0.03,0.305,9.86,"Sep 29, 17",0.005096839959225171
2017-10-02,9.83,9.83,9.81,9.81,49900,49900,-0.05,-0.507,9.8104,"Oct 2, 17",0
2017-10-03,9.83,9.83,9.81,9.81,2100,2100,0,0,9.8274,"Oct 3, 17",0
2017-10-05,9.83,9.83,9.83,9.83,500,500,0.02,0.204,9.83,"Oct 5, 17",0.0020387359836900685
2017-10-09,9.93,9.93,9.8,9.8,31220,31220,-0.03,-0.305,9.8176,"Oct 9, 17",-0.0010193679918450342
2017-10-10,9.8093,9.83,9.8093,9.83,2750,2750,0.03,0.306,9.8196,"Oct 10, 17",0.0020387359836900685
2017-10-11,9.81,9.81,9.81,9.81,1882,1882,-0.02,-0.203,9.81,"Oct 11, 17",0
2017-10-13,9.82,9.82,9.8101,9.8101,7000,7000,0.0001,0.001,9.8154,"Oct 13, 17",0.000010193679918426803
2017-10-17,9.81,9.81,9.81,9.81,100,100,-0.0001,-0.001,9.81,"Oct 17, 17",0
2017-10-18,9.82,9.85,9.82,9.85,102700,102700,0.04,0.408,9.8206,"Oct 18, 17",0.004077471967380137
2017-10-20,9.82,9.85,9.82,9.85,14800,14800,0,0,9.8202,"Oct 20, 17",0.004077471967380137
2017-10-23,9.84,9.84,9.83,9.83,869,869,-0.02,-0.203,9.8313,"Oct 23, 17",0.0020387359836900685
2017-10-24,,,,9.83,1,1,0,0,,"Oct 24, 17",0.0020387359836900685
2017-10-25,9.8301,9.85,9.83,9.85,1501,1501,0.02,0.203,9.838,"Oct 25, 17",0.004077471967380137
2017-10-26,9.81,9.82,9.7689,9.82,17800,17800,-0.03,-0.305,9.8025,"Oct 26, 17",0.0010193679918450342
2017-10-27,9.84,9.84,9.8,9.8,4000,4000,-0.02,-0.204,9.833,"Oct 27, 17",-0.0010193679918450342
2017-10-30,9.81,9.81,9.795,9.795,1600,1600,-0.005,-0.051,9.8003,"Oct 30, 17",-0.001529051987767642
2017-10-31,9.78,9.8,9.78,9.8,101799,101799,0.005,0.051,9.7881,"Oct 31, 17",-0.0010193679918450342
2017-11-01,9.8,9.8,9.8,9.8,35700,35700,0,0,9.8,"Nov 1, 17",-0.0010193679918450342
2017-11-03,9.81,9.81,9.81,9.81,100,100,0.01,0.102,9.81,"Nov 3, 17",0
2017-11-06,9.81,9.81,9.79,9.795,6204,6204,-0.015,-0.153,9.7938,"Nov 6, 17",-0.001529051987767642
2017-11-07,9.79,9.79,9.79,9.79,708,708,-0.005,-0.051,9.79,"Nov 7, 17",-0.0020387359836902498
2017-11-09,,,,9.79,8,8,0,0,,"Nov 9, 17",-0.0020387359836902498
2017-11-10,9.8,9.8,9.8,9.8,1200,1200,0.01,0.102,9.8,"Nov 10, 17",-0.0010193679918450342
2017-11-13,9.81,9.81,9.8,9.8,1303,1303,0,0,9.8077,"Nov 13, 17",-0.0010193679918450342
2017-11-14,9.8,9.81,9.75,9.8,438800,438800,0,0,9.7995,"Nov 14, 17",-0.0010193679918450342
2017-11-16,9.8,9.8,9.78,9.79,5720,5720,-0.01,-0.102,9.787,"Nov 16, 17",-0.0020387359836902498
2017-11-17,9.8,9.82,9.7705,9.79,225100,225100,0,0,9.7996,"Nov 17, 17",-0.0020387359836902498
2017-11-20,9.8,9.8,9.78,9.78,288742,288742,-0.01,-0.102,9.7976,"Nov 20, 17",-0.003058103975535284
