date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,30.2151,30.3439,29.8459,30.1378,131777,131777,-0.214656,-0.707,30.0764,"Aug 5, 13",0
2013-08-06,30.1206,30.1206,28.9701,29.7085,167685,167685,-0.429315,-1.425,29.521,"Aug 6, 13",-0.014244569942066037
2013-08-07,29.6999,30.902,29.4509,30.7474,175429,175429,1.0389,3.497,30.35,"Aug 7, 13",0.020227090232200106
2013-08-08,30.9964,31.3485,30.4984,30.5757,140645,140645,-0.171725,-0.559,30.9339,"Aug 8, 13",0.014529925873819677
2013-08-09,30.4641,30.5242,29.7943,30.2408,78489,78489,-0.334866,-1.095,30.1962,"Aug 9, 13",0.003417634996582416
2013-08-12,29.9661,30.6615,29.8579,30.3782,81551,81551,0.137381,0.454,30.2529,"Aug 12, 13",0.007976693720178682
2013-08-13,30.3095,30.5199,29.863,30.2752,47222,47222,-0.103036,-0.339,30.2615,"Aug 13, 13",0.004559058723596384
2013-08-14,30.2017,30.6165,29.6314,29.6659,88417,88417,-0.609223,-2.012,29.9594,"Aug 14, 13",-0.01565807723191467
2013-08-15,29.1993,29.3972,28.4924,28.7154,105457,105457,-0.950554,-3.204,28.7819,"Aug 15, 13",-0.04719654387513354
2013-08-16,28.6376,28.9055,28.197,28.7586,74886,74886,0.043205,0.15,28.6034,"Aug 16, 13",-0.045763128031906686
2013-08-19,28.75,28.7586,27.3587,27.3673,128898,128898,-1.3913,-4.838,27.8964,"Aug 19, 13",-0.09192774522360618
2013-08-20,27.4797,28.7327,27.1849,28.724,205197,205197,1.3567,4.957,28.2156,"Aug 20, 13",-0.04691118794338002
2013-08-21,28.6722,28.8796,27.7303,28.0414,79959,79959,-0.682671,-2.377,28.3479,"Aug 21, 13",-0.06956048550325503
2013-08-22,28.0586,28.4259,27.6093,28.0327,64487,64487,-0.008645,-0.031,27.9972,"Aug 22, 13",-0.06984915952723823
2013-08-23,28.0932,28.2315,27.5834,27.7476,93015,93015,-0.285163,-1.017,27.7426,"Aug 23, 13",-0.07930904047408903
2013-08-26,27.8858,27.9895,27.471,27.5315,113732,113732,-0.216038,-0.779,27.6107,"Aug 26, 13",-0.08647943778245251
2013-08-27,27.2204,27.2896,26.581,26.6155,114399,114399,-0.915988,-3.327,26.7937,"Aug 27, 13",-0.11687316260642774
2013-08-28,26.5118,26.6069,26.2612,26.3476,106236,106236,-0.267884,-1.006,26.4227,"Aug 28, 13",-0.1257623316897716
2013-08-29,26.3563,26.7884,26.3563,26.7624,82570,82570,0.414788,1.574,26.6448,"Aug 29, 13",-0.11199888512101079
2013-08-30,27.376,30.3486,27.3155,30.1326,418516,418516,3.3701,12.593,29.2726,"Aug 30, 13",-0.0001725407959439156
2013-09-03,30.8757,31.7658,30.2795,31.0486,224969,224969,0.915988,3.04,30.9689,"Sep 3, 13",0.030221184028031305
2013-09-04,31.0486,31.3337,30.2017,30.3659,113920,113920,-0.682671,-2.199,30.6849,"Sep 4, 13",0.007568568375926621
2013-09-05,30.3659,30.6683,30.2449,30.2795,77196,77196,-0.086416,-0.285,30.3744,"Sep 5, 13",0.004701736689473026
2013-09-06,30.34,30.461,29.8474,29.9684,71164,71164,-0.311091,-1.027,30.1186,"Sep 6, 13",-0.005620848237097584
2013-09-09,30.1239,30.3227,29.5795,30.0462,89325,89325,0.077773,0.26,29.8905,"Sep 9, 13",-0.00303937248239751
2013-09-10,30.2708,30.4005,29.9572,30.2363,121981,121981,0.19011,0.633,30.1955,"Sep 10, 13",0.003268320846246288
2013-09-11,30.2881,30.8757,30.0634,30.8412,94452,94452,0.604901,2.001,30.618,"Sep 11, 13",0.023339460743650897
2013-09-12,30.8844,31.4115,30.6856,31.2041,115655,115655,0.362939,1.177,31.0791,"Sep 12, 13",0.035380817445201766
2013-09-13,31.256,31.7831,31.014,31.6707,109106,109106,0.466635,1.495,31.588,"Sep 13, 13",0.05086303578894284
