date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2016-03-17,13.5,14.2,13.02,13.4,2254385,2254385,13.4,0,13.5251,"Mar 17, 16",0
2016-03-18,13.42,13.5,13.3,13.5,299543,299543,0.1,0.746,13.3896,"Mar 18, 16",0.007462686567164152
2016-03-21,13.5,13.75,13.35,13.5,137757,137757,0,0,13.4666,"Mar 21, 16",0.007462686567164152
2016-03-22,13.21,13.5,13.21,13.38,150075,150075,-0.12,-0.889,13.4329,"Mar 22, 16",-0.001492537313432804
2016-03-23,13.35,13.5,13.35,13.38,93375,93375,0,0,13.4143,"Mar 23, 16",-0.001492537313432804
2016-03-24,13.5,13.54,13.35,13.49,67712,67712,0.11,0.822,13.4558,"Mar 24, 16",0.006716417910447751
2016-03-28,13.5,13.5,13.2,13.36,26973,26973,-0.13,-0.964,13.3589,"Mar 28, 16",-0.0029850746268657406
2016-03-29,13.35,13.42,13.3,13.33,47953,47953,-0.03,-0.225,13.359,"Mar 29, 16",-0.005223880597014946
2016-03-30,13.3418,13.35,13.235,13.25,60182,60182,-0.08,-0.6,13.2597,"Mar 30, 16",-0.011194029850746294
2016-03-31,13.2,13.35,13.2,13.2,49642,49642,-0.05,-0.377,13.2316,"Mar 31, 16",-0.014925373134328438
2016-04-01,13.5,13.54,13.2125,13.5,43712,43712,0.3,2.273,13.434,"Apr 1, 16",0.007462686567164152
2016-04-04,13.4,13.5599,13.3018,13.41,54543,54543,-0.09,-0.667,13.4198,"Apr 4, 16",0.000746268656716402
2016-04-05,13.41,13.41,13.24,13.25,63693,63693,-0.16,-1.193,13.2716,"Apr 5, 16",-0.011194029850746294
2016-04-06,13.5,13.5,13.21,13.34,177091,177091,0.09,0.679,13.3009,"Apr 6, 16",-0.004477611940298544
2016-04-07,13.02,13.495,13.02,13.3,40361,40361,-0.04,-0.3,13.384,"Apr 7, 16",-0.007462686567164152
2016-04-08,13.4999,13.5,13.3,13.3,11354,11354,0,0,13.4109,"Apr 8, 16",-0.007462686567164152
2016-04-11,13.36,13.492,13.3,13.31,261286,261286,0.01,0.075,13.3937,"Apr 11, 16",-0.006716417910447751
2016-04-12,13.35,14.7,13.35,13.37,110641,110641,0.06,0.451,13.7257,"Apr 12, 16",-0.0022388059701493384
2016-04-13,13.64,13.68,13.41,13.41,35327,35327,0.04,0.299,13.5536,"Apr 13, 16",0.000746268656716402
2016-04-14,13.61,13.61,13.3747,13.46,11233,11233,0.05,0.373,13.4894,"Apr 14, 16",0.004477611940298544
