date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,19.4343,19.6238,19.3273,19.4508,87242,87242,-0.074113,-0.38,19.4572,"Aug 5, 13",0
2013-08-06,19.3191,19.4343,18.512,18.8085,169228,169228,-0.642322,-3.302,18.9127,"Aug 6, 13",-0.033021778024554374
2013-08-07,18.6767,18.8085,18.2913,18.3309,43603,43603,-0.477623,-2.539,18.3951,"Aug 7, 13",-0.05757603800357832
2013-08-08,18.5203,18.7838,18.4297,18.5862,54750,54750,0.255281,1.393,18.6082,"Aug 8, 13",-0.04445061385649944
2013-08-09,18.5532,18.7179,18.1744,18.3062,63628,63628,-0.279985,-1.506,18.3432,"Aug 9, 13",-0.058845908651572194
2013-08-12,18.1332,18.5862,18.1332,18.5779,45084,45084,0.27175,1.484,18.4964,"Aug 12, 13",-0.044877331523639194
2013-08-13,18.545,18.7591,18.1744,18.7344,83469,83469,0.156463,0.842,18.5699,"Aug 13, 13",-0.03683138996853601
2013-08-14,18.7838,18.9403,18.5615,18.792,66749,66749,0.057646,0.308,18.7515,"Aug 14, 13",-0.033870072182121014
2013-08-15,18.4544,18.5697,18.125,18.2485,92287,92287,-0.543503,-2.892,18.2848,"Aug 15, 13",-0.0618123676146997
2013-08-16,18.1415,18.6356,18.0344,18.4462,147375,147375,0.197635,1.083,18.3934,"Aug 16, 13",-0.05164826125403582
2013-08-19,18.372,18.7261,18.265,18.2732,63266,63266,-0.172931,-0.937,18.4352,"Aug 19, 13",-0.06054249696670583
2013-08-20,18.2732,18.7179,18.1579,18.6438,42066,42066,0.37057,2.028,18.5723,"Aug 20, 13",-0.04148929607008463
2013-08-21,18.4956,19.0308,18.3968,18.7097,106361,106361,0.065878,0.353,18.726,"Aug 21, 13",-0.03810126061652988
2013-08-22,18.8414,19.5002,18.6191,19.4673,35323,35323,0.75761,4.049,19.3273,"Aug 22, 13",0.000848294157566816
2013-08-23,19.4838,19.4838,19.0802,19.2449,33350,33350,-0.222342,-1.142,19.2197,"Aug 23, 13",-0.010585682851090945
2013-08-26,19.2449,19.6979,19.2449,19.6073,64214,64214,0.362337,1.883,19.6003,"Aug 26, 13",0.00804594155510301
2013-08-27,19.2696,19.599,19.2202,19.352,110124,110124,-0.255283,-1.302,19.3765,"Aug 27, 13",-0.005079482591975685
2013-08-28,19.3273,19.7143,19.1873,19.5332,63015,63015,0.18117,0.936,19.4746,"Aug 28, 13",0.004236329611121383
2013-08-29,19.4261,19.9696,19.4261,19.9037,61250,61250,0.370567,1.897,19.8443,"Aug 29, 13",0.023284389331030067
2013-08-30,19.9449,19.9655,19.7473,19.8296,104558,104558,-0.074114,-0.372,19.829,"Aug 30, 13",0.019474777387048257
2013-09-03,20.1508,20.299,19.6238,19.8626,93055,93055,0.032942,0.166,19.9423,"Sep 3, 13",0.02117136570218189
2013-09-04,19.8873,20.0108,19.665,19.9202,45189,45189,0.057642,0.29,19.8788,"Sep 4, 13",0.024132683488596884
2013-09-05,20.1673,20.3072,19.9696,20.2002,32402,32402,0.279987,1.406,20.1373,"Sep 5, 13",0.03852797828366945
2013-09-06,20.2249,20.4061,19.7843,20.1343,62754,62754,-0.06588,-0.326,20.1742,"Sep 6, 13",0.03513994283011489
2013-09-09,20.2331,20.5708,20.2331,20.5625,29224,29224,0.428215,2.127,20.473,"Sep 9, 13",0.057154461513151074
2013-09-10,20.5872,21.0484,20.5708,20.7437,81146,81146,0.181167,0.881,20.7195,"Sep 10, 13",0.06647027371624814
2013-09-11,20.7602,20.9249,20.4472,20.8096,76278,76278,0.065882,0.318,20.7491,"Sep 11, 13",0.06985830916980271
2013-09-12,20.7602,20.8438,20.649,20.6943,57733,57733,-0.115289,-0.554,20.7312,"Sep 12, 13",0.06393053242026021
2013-09-13,20.7355,20.9249,20.6203,20.7437,44483,44483,0.049407,0.239,20.7449,"Sep 13, 13",0.06647027371624814
2013-09-16,21.1307,21.1801,20.5543,20.859,82949,82949,0.11529,0.556,20.8066,"Sep 16, 13",0.07239805046579065
2013-09-17,20.9166,21.4848,20.7766,21.4354,59386,59386,0.576443,2.764,21.1932,"Sep 17, 13",0.10203179303679027
2013-09-18,21.4766,22.0366,21.2378,21.7236,63690,63690,0.288219,1.345,21.6114,"Sep 18, 13",0.11684866432229009
2013-09-19,21.7401,21.7401,21.0978,21.246,58291,58291,-0.477624,-2.199,21.306,"Sep 19, 13",0.09229440434326597
2013-09-20,21.246,21.3613,20.6778,20.966,139000,139000,-0.279985,-1.318,21.1016,"Sep 20, 13",0.07789910954819339
2013-09-23,20.9249,22.0613,20.6531,21.8966,108630,108630,0.930545,4.438,21.6008,"Sep 23, 13",0.12574290003495991
2013-09-24,21.9872,22.1766,21.2872,21.8801,140797,140797,-0.01647,-0.075,21.8513,"Sep 24, 13",0.1248946058773931
2013-09-25,21.8554,22.422,21.7236,21.8389,73051,73051,-0.041175,-0.188,22.0209,"Sep 25, 13",0.1227764410718324
2013-09-26,21.6907,22.4483,21.6825,21.9131,81859,81859,0.074115,0.339,21.9852,"Sep 26, 13",0.12659119419252673
