date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,1.368,1.3749,1.327,1.3338,17855,17855,0.006839,0.515,1.343,"Aug 5, 13",0
2013-08-06,1.3619,1.4843,1.327,1.3407,111737,111737,0.00684,0.513,1.375,"Aug 6, 13",0.005173189383715629
2013-08-07,1.368,1.4296,1.3407,1.368,14300,14300,0.027362,2.041,1.413,"Aug 7, 13",0.025641025641025644
2013-08-08,1.3687,1.3687,1.3407,1.3543,9575,9575,-0.013682,-1,1.3559,"Aug 8, 13",0.015369620632778499
2013-08-09,1.3817,1.4296,1.3407,1.4022,10935,10935,0.047881,3.535,1.3966,"Aug 9, 13",0.05128205128205112
2013-08-12,1.4282,1.4843,1.3612,1.368,24056,24056,-0.034199,-2.439,1.4317,"Aug 12, 13",0.025641025641025644
2013-08-13,1.4426,1.4426,1.3896,1.4252,2825,2825,0.057184,4.18,1.4246,"Aug 13, 13",0.06852601589443688
2013-08-14,1.4706,1.4706,1.3749,1.4569,16592,16592,0.031667,2.222,1.4575,"Aug 14, 13",0.09229269755585544
2013-08-15,1.4227,1.45,1.4227,1.4228,10070,10070,-0.034063,-2.338,1.4312,"Aug 15, 13",0.06672664567401407
2013-08-16,1.4706,1.4706,1.4234,1.4501,28093,28093,0.027293,1.918,1.4533,"Aug 16, 13",0.08719448193132391
2013-08-19,1.4569,1.4638,1.3543,1.4501,16008,16008,0,0,1.4083,"Aug 19, 13",0.08719448193132391
2013-08-20,1.4569,1.4569,1.3544,1.4364,1750,1750,-0.01368,-0.943,1.4361,"Aug 20, 13",0.07692307692307677
2013-08-21,1.4364,1.45,1.3954,1.3954,5400,5400,-0.040973,-2.852,1.4346,"Aug 21, 13",0.046183835657519774
2013-08-22,1.3954,1.4638,1.3954,1.4638,5901,5901,0.068334,4.897,1.447,"Aug 22, 13",0.09746588693957106
2013-08-23,1.4501,1.4706,1.4433,1.4433,7577,7577,-0.020521,-1.402,1.46,"Aug 23, 13",0.08209626630679256
2013-08-26,1.4706,1.4706,1.4234,1.4364,3712,3712,-0.00684,-0.474,1.4329,"Aug 26, 13",0.07692307692307677
2013-08-27,1.4569,1.4569,1.4022,1.45,2050,2050,0.013612,0.948,1.4384,"Aug 27, 13",0.08711950817213963
2013-08-28,1.4638,1.4706,1.4227,1.4706,20766,20766,0.020589,1.42,1.4616,"Aug 28, 13",0.10256410256410241
2013-08-29,1.4501,1.4501,1.4296,1.4296,7111,7111,-0.041041,-2.791,1.4453,"Aug 29, 13",0.07182486129854541
2013-08-30,1.4091,1.4296,1.4091,1.4296,500,500,0,0,1.4241,"Aug 30, 13",0.07182486129854541
2013-09-03,1.498,1.498,1.3749,1.4227,10215,10215,-0.006841,-0.479,1.4353,"Sep 3, 13",0.06665167191482979
2013-09-05,1.4227,1.4706,1.4227,1.4705,6015,6015,0.047812,3.361,1.4518,"Sep 5, 13",0.10248912880491813
2013-09-06,1.4364,1.4911,1.4022,1.4433,5195,5195,-0.027291,-1.856,1.4444,"Sep 6, 13",0.08209626630679256
2013-09-09,1.3817,1.4911,1.3817,1.4433,14973,14973,0,0,1.4337,"Sep 9, 13",0.08209626630679256
2013-09-10,1.4843,1.4911,1.4364,1.4706,4919,4919,0.027361,1.896,1.479,"Sep 10, 13",0.10256410256410241
2013-09-11,1.4911,1.4911,1.4022,1.4775,17799,17799,0.00684,0.465,1.4764,"Sep 11, 13",0.10773729194781821
2013-09-12,1.4775,1.498,1.4775,1.498,5212,5212,0.02052,1.389,1.4906,"Sep 12, 13",0.12310691258059671
2013-09-13,1.4911,1.498,1.4433,1.4706,10463,10463,-0.02736,-1.826,1.4817,"Sep 13, 13",0.10256410256410241
2013-09-16,1.498,1.498,1.4364,1.4364,600,600,-0.034201,-2.326,1.4829,"Sep 16, 13",0.07692307692307677
2013-09-17,1.4706,1.4843,1.4433,1.4706,4539,4539,0.034201,2.381,1.459,"Sep 17, 13",0.10256410256410241
2013-09-18,1.4775,1.4842,1.4433,1.4638,3224,3224,-0.00684,-0.465,1.4684,"Sep 18, 13",0.09746588693957106
2013-09-19,1.4843,1.4843,1.4364,1.4706,27430,27430,0.00684,0.467,1.4518,"Sep 19, 13",0.10256410256410241
2013-09-20,1.498,1.498,1.4501,1.4706,9800,9800,0,0,1.4808,"Sep 20, 13",0.10256410256410241
2013-09-23,1.5124,1.5257,1.4016,1.4841,13212,13212,0.013452,0.915,1.4819,"Sep 23, 13",0.112685560053981
2013-09-24,1.4706,1.4706,1.4009,1.426,10149,10149,-0.058058,-3.912,1.418,"Sep 24, 13",0.06912580596791111
