date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,22.56,22.805,22.34,22.47,3947024,3947024,-0.15,-0.663,22.5229,"Aug 5, 13",0
2013-08-06,22.01,23.1,22.01,22.58,7263498,7263498,0.11,0.49,22.6491,"Aug 6, 13",0.0048954161103693565
2013-08-07,22.39,22.76,22.39,22.54,1721918,1721918,-0.04,-0.177,22.5636,"Aug 7, 13",0.003115264797507801
2013-08-08,22.5,22.76,22.47,22.68,1798704,1798704,0.14,0.621,22.6405,"Aug 8, 13",0.009345794392523404
2013-08-09,22.65,22.8116,22.51,22.68,1785969,1785969,0,0,22.6624,"Aug 9, 13",0.009345794392523404
2013-08-12,22.55,22.695,22.38,22.6,1628171,1628171,-0.08,-0.353,22.549,"Aug 12, 13",0.005785491766800292
2013-08-13,22.59,22.82,22.48,22.72,2118395,2118395,0.12,0.531,22.673,"Aug 13, 13",0.011125945705384959
2013-08-14,22.62,22.77,22.585,22.7,2133910,2133910,-0.02,-0.088,22.7028,"Aug 14, 13",0.01023587004895418
2013-08-15,22.51,22.65,22.28,22.64,2019665,2019665,-0.06,-0.264,22.5346,"Aug 15, 13",0.007565643079661848
2013-08-16,22.6,22.66,22.46,22.63,2127820,2127820,-0.01,-0.044,22.5825,"Aug 16, 13",0.00712060525144638
2013-08-19,22.59,22.745,22.48,22.62,1722749,1722749,-0.01,-0.044,22.6468,"Aug 19, 13",0.006675567423231069
2013-08-20,22.59,23.01,22.29,23,4087383,4087383,0.38,1.68,22.7867,"Aug 20, 13",0.023587004895416163
2013-08-21,23,23,22.51,22.62,3172246,3172246,-0.38,-1.652,22.6714,"Aug 21, 13",0.006675567423231069
2013-08-22,22.67,22.84,22.49,22.75,680667,680667,0.13,0.575,22.703,"Aug 22, 13",0.012461059190031204
2013-08-23,22.82,22.83,22.59,22.73,1030268,1030268,-0.02,-0.088,22.7015,"Aug 23, 13",0.011570983533600426
2013-08-26,22.79,22.93,22.73,22.84,1016477,1016477,0.11,0.484,22.8505,"Aug 26, 13",0.016466399643969783
2013-08-27,22.66,22.66,21.99,22.02,2487546,2487546,-0.82,-3.59,22.2195,"Aug 27, 13",-0.020026702269692893
2013-08-28,21.93,22.05,21.69,21.7,2132721,2132721,-0.32,-1.453,21.7848,"Aug 28, 13",-0.03426791277258565
2013-08-29,21.56,21.72,21.39,21.57,1846205,1846205,-0.13,-0.599,21.5655,"Aug 29, 13",-0.04005340453938579
2013-08-30,21.6,21.6,21.28,21.34,1673613,1673613,-0.23,-1.066,21.3438,"Aug 30, 13",-0.05028927458833997
2013-09-03,21.53,21.7,21.15,21.2,2728153,2728153,-0.14,-0.656,21.3057,"Sep 3, 13",-0.05651980418335557
2013-09-04,21.18,21.305,21.11,21.2,2943777,2943777,0,0,21.2269,"Sep 4, 13",-0.05651980418335557
2013-09-05,21.25,21.35,21,21.22,4598898,4598898,0.02,0.094,21.1634,"Sep 5, 13",-0.05562972852692479
2013-09-06,21.24,21.5,21.05,21.39,3737980,3737980,0.17,0.801,21.3605,"Sep 6, 13",-0.04806408544726294
2013-09-09,21.39,21.69,21.34,21.67,1312467,1312467,0.28,1.309,21.5976,"Sep 9, 13",-0.03560302625723174
2013-09-10,21.77,21.799,20.33,20.535,10242947,10242947,-1.135,-5.238,20.987,"Sep 10, 13",-0.08611481975967952
2013-09-11,20.19,20.65,20.06,20.53,11177267,11177267,-0.005,-0.024,20.3771,"Sep 11, 13",-0.08633733867378718
2013-09-12,20.49,20.63,20.31,20.32,2931473,2931473,-0.21,-1.023,20.3833,"Sep 12, 13",-0.09568313306631057
2013-09-13,20.32,20.43,20,20.29,4569781,4569781,-0.03,-0.148,20.2374,"Sep 13, 13",-0.09701824655095682
2013-09-16,20.41,20.59,20.19,20.51,3783934,3783934,0.22,1.084,20.4032,"Sep 16, 13",-0.08722741433021795
2013-09-17,20.46,20.86,20.46,20.56,2146946,2146946,0.05,0.244,20.654,"Sep 17, 13",-0.08500222518914109
2013-09-18,20.6,20.6,20.155,20.2,4612057,4612057,-0.36,-1.751,20.293,"Sep 18, 13",-0.1010235870048954
2013-09-19,20.35,20.51,20.03,20.13,7926086,7926086,-0.07,-0.347,20.1921,"Sep 19, 13",-0.1041388518024032
2013-09-20,20.13,20.41,20.095,20.16,6386855,6386855,0.03,0.149,20.1758,"Sep 20, 13",-0.10280373831775695
2013-09-23,20.09,20.24,20.02,20.07,3525168,3525168,-0.09,-0.446,20.1345,"Sep 23, 13",-0.10680907877169554
2013-09-24,20.33,20.6,20.2,20.485,5412425,5412425,0.415,2.068,20.4287,"Sep 24, 13",-0.08834000890075655
2013-09-25,20.43,20.55,20.28,20.33,2826128,2826128,-0.155,-0.757,20.4007,"Sep 25, 13",-0.09523809523809527
