date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,13.0677,13.0877,12.9281,12.9414,88005,88005,-0.113053,-0.866,12.9979,"Aug 5, 13",0
2013-08-06,12.942,13.0425,12.8952,12.9755,158918,158918,0.034163,0.264,12.9471,"Aug 6, 13",0.0026349544871498033
2013-08-07,12.9085,12.995,12.9018,12.942,125604,125604,-0.033493,-0.258,12.946,"Aug 7, 13",0.00004636283555105151
2013-08-08,12.8617,12.8617,12.6875,12.8014,153459,153459,-0.140672,-1.087,12.7758,"Aug 8, 13",-0.010817994961905247
2013-08-09,12.8014,12.8315,12.7478,12.8148,89485,89485,0.013399,0.105,12.7969,"Aug 9, 13",-0.009782558301265691
2013-08-12,12.7612,12.8751,12.7612,12.8148,66038,66038,0,0,12.8299,"Aug 12, 13",-0.009782558301265691
2013-08-13,12.7746,12.8349,12.6875,12.7277,145605,145605,-0.087085,-0.68,12.7382,"Aug 13, 13",-0.01651289659542239
2013-08-14,12.721,12.7612,12.453,12.4865,142351,142351,-0.241154,-1.895,12.5529,"Aug 14, 13",-0.03515075648693343
2013-08-15,12.4128,12.4195,12.2052,12.3525,149954,149954,-0.133979,-1.073,12.3053,"Aug 15, 13",-0.04550512309332844
2013-08-16,12.2789,12.4798,12.2789,12.453,222302,222302,0.100481,0.813,12.3463,"Aug 16, 13",-0.037739348138532185
2013-08-19,12.3726,12.386,12.0712,12.0712,233841,233841,-0.381828,-3.066,12.2054,"Aug 19, 13",-0.06724156582749939
2013-08-20,12.0109,12.1717,11.9841,12.0846,170856,170856,0.013397,0.111,12.0815,"Aug 20, 13",-0.06620612916685983
2013-08-21,12.0176,12.1717,12.0176,12.0712,114409,114409,-0.013397,-0.111,12.0966,"Aug 21, 13",-0.06724156582749939
2013-08-22,12.0444,12.1918,12.0243,12.1583,114403,114403,0.087082,0.721,12.1352,"Aug 22, 13",-0.06051122753334255
2013-08-23,12.1717,12.4597,12.1583,12.4061,82723,82723,0.247852,2.039,12.3521,"Aug 23, 13",-0.04136337645077035
2013-08-26,12.4195,12.5401,12.3459,12.3525,71902,71902,-0.053587,-0.432,12.4544,"Aug 26, 13",-0.04550512309332844
