date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,23.8652,24.1075,23.7755,24.0626,186091,186091,0.116634,0.487,24.0053,"Aug 5, 13",0
2013-08-06,23.9908,24.2241,23.5871,23.7306,186405,186405,-0.331959,-1.38,23.7672,"Aug 6, 13",-0.013797345257785972
2013-08-07,23.605,23.8293,23.4435,23.605,201687,201687,-0.125608,-0.529,23.6203,"Aug 7, 13",-0.019017063825189272
2013-08-08,21.1288,22.6226,21.1288,22.6181,1439106,1439106,-0.986906,-4.181,21.9701,"Aug 8, 13",-0.06003091935202353
2013-08-09,22.4477,22.7796,22.0484,22.2593,653278,653278,-0.358876,-1.587,22.3936,"Aug 9, 13",-0.07494202621495599
2013-08-12,22.0798,22.4566,21.7748,21.9273,387677,387677,-0.331958,-1.491,22.125,"Aug 12, 13",-0.08873937147274197
2013-08-13,21.9273,22.0619,21.712,21.8465,205288,205288,-0.080749,-0.368,21.8512,"Aug 13, 13",-0.0920972795957212
2013-08-14,21.7927,21.9004,21.6223,21.8107,255644,255644,-0.035888,-0.164,21.7992,"Aug 14, 13",-0.09358506562050647
2013-08-15,21.5864,21.6223,21.4249,21.5146,505077,505077,-0.296071,-1.357,21.5142,"Aug 15, 13",-0.10589046902662215
2013-08-16,21.4249,21.6402,21.4249,21.4338,327093,327093,-0.080747,-0.375,21.4994,"Aug 16, 13",-0.10924837714960138
2013-08-19,21.4069,21.6474,21.1557,21.2365,359145,359145,-0.197382,-0.921,21.3505,"Aug 19, 13",-0.1174478235934604
2013-08-20,21.2813,21.5236,21.1109,21.4966,267411,267411,0.260183,1.225,21.3856,"Aug 20, 13",-0.10663851786589973
2013-08-21,21.4518,21.4787,20.9404,20.9404,596855,596855,-0.556256,-2.588,21.1686,"Aug 21, 13",-0.1297532269995761
2013-08-22,21.0032,21.6043,21.0032,21.5415,267199,267199,0.601118,2.871,21.4818,"Aug 22, 13",-0.1047725515945908
2013-08-23,21.5325,21.5617,21.2903,21.4338,152634,152634,-0.107663,-0.5,21.4043,"Aug 23, 13",-0.10924837714960138
2013-08-26,21.4787,21.8331,21.4002,21.6312,304704,304704,0.197381,0.921,21.6919,"Aug 26, 13",-0.10104477487885764
2013-08-27,21.3531,21.4518,20.9583,21.0211,237872,237872,-0.610089,-2.82,21.1105,"Aug 27, 13",-0.12639947470348173
2013-08-28,20.9852,21.1109,20.9314,21.0301,168022,168022,0.008972,0.043,21.0397,"Aug 28, 13",-0.12602545028384293
2013-08-29,21.066,21.4338,21.066,21.2813,186795,186795,0.251214,1.195,21.2939,"Aug 29, 13",-0.11558601314903619
2013-08-30,21.2454,21.3082,20.8955,21.1109,466317,466317,-0.170467,-0.801,21.0838,"Aug 30, 13",-0.1226675421608637
2013-09-03,21.5415,21.8286,21.0839,21.3351,1030758,1030758,0.224297,1.062,21.386,"Sep 3, 13",-0.11335017828497333
2013-09-04,21.3082,21.851,21.1485,21.7658,540243,540243,0.430652,2.019,21.6602,"Sep 4, 13",-0.09545103189181556
2013-09-05,21.7479,21.9183,21.6581,21.8465,353474,353474,0.080746,0.371,21.8114,"Sep 5, 13",-0.0920972795957212
2013-09-06,21.9452,22.4118,21.6223,22.1875,462208,462208,0.340932,1.561,22.1937,"Sep 6, 13",-0.07792590991829644
2013-09-09,22.3041,22.8245,22.3041,22.6809,594414,594414,0.493455,2.224,22.6715,"Sep 9, 13",-0.05742106006832173
2013-09-10,22.8963,23.2103,22.7751,22.9321,761735,761735,0.251213,1.108,22.9361,"Sep 10, 13",-0.04698162293351514
2013-09-11,22.8604,23.0129,22.4836,22.7617,759892,759892,-0.170467,-0.743,22.7265,"Sep 11, 13",-0.05406315194534251
