date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,14.4125,14.4615,14.3144,14.3536,315803,315803,-0.088239,-0.611,14.3727,"Aug 5, 13",0
2013-08-06,14.3242,14.3781,14.0889,14.1477,215271,215271,-0.205893,-1.434,14.1785,"Aug 6, 13",-0.014344833351911697
2013-08-07,14.1477,14.1576,13.9615,14.1379,217306,217306,-0.009807,-0.069,14.0597,"Aug 7, 13",-0.015027588897558801
2013-08-08,14.2066,14.3536,14.1674,14.285,162690,162690,0.147067,1.04,14.2806,"Aug 8, 13",-0.004779288819529595
2013-08-09,14.2262,14.3046,14.1085,14.1674,208040,208040,-0.117651,-0.824,14.1601,"Aug 9, 13",-0.01297235536729458
2013-08-12,14.1085,14.285,14.0693,14.2752,106287,106287,0.107849,0.761,14.2418,"Aug 12, 13",-0.005462044365176698
2013-08-13,14.2948,14.3732,14.0987,14.1674,370335,370335,-0.107849,-0.755,14.1176,"Aug 13, 13",-0.01297235536729458
2013-08-14,14.1772,14.3732,13.883,14.0889,519003,519003,-0.078435,-0.554,13.9927,"Aug 14, 13",-0.01844136662579419
2013-08-15,13.9909,13.9909,13.8046,13.8732,195378,195378,-0.215696,-1.531,13.8764,"Aug 15, 13",-0.03346895552335299
2013-08-16,13.883,13.9615,13.834,13.9124,245025,245025,0.039215,0.283,13.9108,"Aug 16, 13",-0.030737933340764703
2013-08-19,13.883,14.0007,13.883,13.9615,190553,190553,0.049023,0.352,13.9526,"Aug 19, 13",-0.027317188719206402
2013-08-20,13.9713,14.1379,13.9124,14.0987,95852,95852,0.137262,0.983,14.066,"Aug 20, 13",-0.017758611080147212
2013-08-21,14.0301,14.0791,13.883,13.9909,151655,151655,-0.107848,-0.765,13.9951,"Aug 21, 13",-0.025268922082265093
2013-08-22,14.0301,14.3242,14.0301,14.2654,167093,167093,0.274523,1.962,14.2117,"Aug 22, 13",-0.0061447999108238
2013-08-23,14.2654,14.3242,14.1477,14.187,228754,228754,-0.078435,-0.55,14.2148,"Aug 23, 13",-0.011606844276000498
2013-08-26,14.2458,14.3144,14.0987,14.1477,181965,181965,-0.039218,-0.276,14.1754,"Aug 26, 13",-0.014344833351911697
2013-08-27,13.9909,14.1183,13.9124,13.9615,578132,578132,-0.186284,-1.317,13.9728,"Aug 27, 13",-0.027317188719206402
2013-08-28,13.9222,14.0693,13.8144,13.8242,359577,359577,-0.137261,-0.983,13.8563,"Aug 28, 13",-0.0368827332515885
2013-08-29,13.7948,13.8928,13.7262,13.7556,530538,530538,-0.06863,-0.496,13.817,"Aug 29, 13",-0.0416620220711181
2013-08-30,13.7458,13.7948,13.5987,13.6477,399136,399136,-0.10785,-0.784,13.6658,"Aug 30, 13",-0.04917929996655889
2013-09-03,13.785,13.8928,13.6085,13.6379,313644,313644,-0.009802,-0.072,13.669,"Sep 3, 13",-0.049862055512205995
2013-09-04,13.6673,13.7997,13.6673,13.7458,412317,412317,0.107849,0.791,13.6973,"Sep 4, 13",-0.0423447776167652
2013-09-05,13.7948,13.883,13.6771,13.8732,415646,415646,0.127456,0.927,13.8042,"Sep 5, 13",-0.03346895552335299
2013-09-06,13.9222,13.9222,13.6379,13.8144,391854,391854,-0.058826,-0.424,13.8408,"Sep 6, 13",-0.037565488797235605
2013-09-09,13.8242,14.0301,13.8242,13.9124,328628,328628,0.098041,0.71,13.9378,"Sep 9, 13",-0.030737933340764703
2013-09-10,14.0105,14.1477,13.9419,14.1183,314084,314084,0.205896,1.48,14.0834,"Sep 10, 13",-0.016393099988853008
2013-09-11,14.0791,14.187,14.0399,14.0693,190117,190117,-0.049027,-0.347,14.0964,"Sep 11, 13",-0.019806877717088396
2013-09-12,14.0595,14.0693,13.9026,13.9713,161133,161133,-0.098042,-0.697,13.9755,"Sep 12, 13",-0.026634433173559298
2013-09-13,14.0791,14.1281,13.9321,14.0399,278839,278839,0.068633,0.491,14.004,"Sep 13, 13",-0.021855144354029705
2013-09-16,14.1379,14.3183,13.8438,13.883,590162,590162,-0.156871,-1.117,13.893,"Sep 16, 13",-0.032786199977706015
2013-09-17,13.8144,13.8536,13.5301,13.736,799236,799236,-0.147067,-1.059,13.7037,"Sep 17, 13",-0.04302753316241218
2013-09-18,13.6967,13.7556,13.5985,13.7458,313814,313814,0.009828,0.072,13.7025,"Sep 18, 13",-0.0423447776167652
2013-09-19,13.7458,13.7752,13.6869,13.6967,237770,237770,-0.049094,-0.357,13.732,"Sep 19, 13",-0.0457655222383235
2013-09-20,13.7458,13.7752,13.6574,13.6967,769443,769443,0,0,13.7146,"Sep 20, 13",-0.0457655222383235
2013-09-23,13.6869,13.8047,13.628,13.7556,296043,296043,0.05891,0.43,13.7528,"Sep 23, 13",-0.0416620220711181
2013-09-24,13.7654,13.8538,13.7065,13.7262,256618,256618,-0.029454,-0.214,13.7771,"Sep 24, 13",-0.043710288708059285
2013-09-25,13.7458,13.8243,13.6181,13.7065,477504,477504,-0.019638,-0.143,13.7258,"Sep 25, 13",-0.0450827666926764
2013-09-26,13.8342,14.0502,13.7556,13.844,433010,433010,0.137457,1.003,13.8632,"Sep 26, 13",-0.035503288373648474
2013-09-27,13.8243,13.9814,13.7556,13.844,336829,336829,0,0,13.8933,"Sep 27, 13",-0.035503288373648474
2013-09-30,13.8047,13.9618,13.7752,13.9323,500093,500093,0.088369,0.638,13.9138,"Sep 30, 13",-0.02935152156950176
2013-10-01,13.9618,14.1189,13.9618,14.0698,238703,238703,0.137456,0.987,14.4693,"Oct 1, 13",-0.019772043250473707
2013-10-02,14.0207,14.0207,13.8047,13.8734,251778,251778,-0.196369,-1.396,13.8789,"Oct 2, 13",-0.03345502173670716
2013-10-03,13.8538,13.8832,13.6869,13.7556,187832,187832,-0.117821,-0.849,13.7556,"Oct 3, 13",-0.0416620220711181
2013-10-04,13.7262,13.9127,13.7065,13.8832,181386,181386,0.127639,0.928,13.817,"Oct 4, 13",-0.032772266191060065
2013-10-07,13.7752,13.8145,13.6476,13.736,194846,194846,-0.147277,-1.061,13.7527,"Oct 7, 13",-0.04302753316241218
2013-10-08,13.7458,13.7458,13.5691,13.5887,687350,687350,-0.147275,-1.072,13.6586,"Oct 8, 13",-0.053289767027087334
2013-10-09,13.5985,13.6574,13.4905,13.5396,419249,419249,-0.049094,-0.361,13.52,"Oct 9, 13",-0.05671051164864564
2013-10-10,13.6672,14.0796,13.5592,13.6378,364975,364975,0.098186,0.725,13.6668,"Oct 10, 13",-0.04986902240552891
2013-10-11,13.6378,13.8734,13.5887,13.8587,309728,309728,0.220914,1.62,13.7683,"Oct 11, 13",-0.034479155055177756
2013-10-14,13.8636,13.9716,13.7065,13.9127,283689,283689,0.054,0.39,13.936,"Oct 14, 13",-0.030717032660795965
2013-10-15,13.8636,13.9814,13.7851,13.8734,223499,223499,-0.039272,-0.282,13.8742,"Oct 15, 13",-0.03345502173670716
2013-10-16,13.9127,14.0894,13.9029,13.952,285371,285371,0.078548,0.566,13.9766,"Oct 16, 13",-0.02797904358488464
2013-10-17,13.9127,14.168,13.8145,14.1483,459430,459430,0.196367,1.407,14.0808,"Oct 17, 13",-0.014303031991974096
2013-10-18,14.2563,14.4233,14.0305,14.276,623782,623782,0.12764,0.902,14.1708,"Oct 18, 13",-0.005406309218593268
2013-10-21,14.3054,14.3153,14.1287,14.2563,432598,432598,-0.019637,-0.138,14.2545,"Oct 21, 13",-0.0067787872032103865
2013-10-22,14.3153,14.3781,14.1385,14.1876,336982,336982,-0.068727,-0.482,14.2356,"Oct 22, 13",-0.011565042916062895
2013-10-23,14.168,14.4036,14.1385,14.1778,430789,430789,-0.009818,-0.069,14.2081,"Oct 23, 13",-0.012247798461709997
2013-10-24,14.2269,14.2367,14.0698,14.2171,448897,448897,0.03927,0.277,14.1557,"Oct 24, 13",-0.009509809385798674
2013-10-25,14.276,14.276,14.1385,14.168,233041,233041,-0.049091,-0.345,14.1857,"Oct 25, 13",-0.0129305540073571
2013-10-28,14.2073,14.2858,14.0992,14.2269,295197,295197,0.058911,0.416,14.1716,"Oct 28, 13",-0.008827053840151571
2013-10-29,14.2858,14.2956,14.1974,14.2465,165995,165995,0.019638,0.138,14.2474,"Oct 29, 13",-0.00746154274885749
2013-10-30,14.3054,14.3859,14.1385,14.1876,314898,314898,-0.05891,-0.414,14.2493,"Oct 30, 13",-0.011565042916062895
2013-10-31,14.1974,14.2073,13.9814,14.0992,275984,275984,-0.088369,-0.623,14.1189,"Oct 31, 13",-0.01772377661353252
2013-11-01,14.1091,14.2073,13.9716,14.0403,483243,483243,-0.05891,-0.418,14.0927,"Nov 1, 13",-0.021827276780737925
2013-11-04,14.1091,14.2073,14.0403,14.1385,352445,352445,0.098187,0.699,14.1319,"Nov 4, 13",-0.014985787537621198
2013-11-05,14.1189,14.1582,13.9716,14.1287,331971,331971,-0.00982,-0.069,14.1101,"Nov 5, 13",-0.015668543083268302
2013-11-06,14.2171,14.3496,13.9912,14.0698,298920,298920,-0.05891,-0.417,14.0692,"Nov 6, 13",-0.019772043250473707
2013-11-07,14.0992,14.1483,13.9225,13.952,201594,201594,-0.117821,-0.837,13.9891,"Nov 7, 13",-0.02797904358488464
2013-11-08,13.9814,14.0698,13.9299,14.0207,248562,248562,0.068727,0.493,13.9951,"Nov 8, 13",-0.023192787872032133
2013-11-11,14.0403,14.0894,13.9323,14.06,244978,244978,0.039274,0.28,14.0524,"Nov 11, 13",-0.020454798796120808
2013-11-12,17.1626,17.8106,15.7389,16.9662,3749456,3749456,2.9062,20.67,16.9077,"Nov 12, 13",0.18201705495485457
2013-11-13,17.251,17.3099,16.9073,17.1921,1307123,1307123,0.225828,1.331,17.1257,"Nov 13, 13",0.19775526697135212
2013-11-14,17.251,17.4571,17.0831,17.3491,618637,618637,0.157093,0.914,17.2701,"Nov 14, 13",0.20869328948835134
2013-11-15,17.3393,17.9432,17.3001,17.6044,1166424,1166424,0.255279,1.471,17.6314,"Nov 15, 13",0.22647976814179008
2013-11-18,17.6142,17.7517,17.2853,17.4326,669535,669535,-0.171823,-0.976,17.5511,"Nov 18, 13",0.21451064541299747
2013-11-19,17.3982,17.5062,17.1233,17.2019,530639,530639,-0.230732,-1.324,17.2475,"Nov 19, 13",0.1984380225169991
2013-11-20,17.5848,17.5848,17.0153,17.1037,486524,486524,-0.098186,-0.571,17.1217,"Nov 20, 13",0.19159653327388249
2013-11-21,17.1135,17.2608,17.0251,17.1037,510125,510125,0,0,17.1374,"Nov 21, 13",0.19159653327388249
2013-11-22,17.1921,17.2902,17.0448,17.2411,435957,435957,0.13746,0.804,17.1899,"Nov 22, 13",0.20116904469958752
2013-11-25,17.5848,17.7222,17.4493,17.6339,710426,710426,0.392737,2.278,17.6534,"Nov 25, 13",0.22853500167205443
2013-11-26,17.6732,17.7517,17.6437,17.7026,586382,586382,0.068728,0.39,17.6828,"Nov 26, 13",0.23332125738490694
2013-11-27,17.6928,18.1395,17.6928,18.0953,472284,472284,0.392737,2.219,18.0092,"Nov 27, 13",0.26068024746405094
2013-11-29,18.1739,18.3015,17.9923,17.9972,188771,188771,-0.098185,-0.543,18.1096,"Nov 29, 13",0.253845725114257
2013-12-02,18.0168,18.1346,17.8499,17.8499,459117,459117,-0.147275,-0.818,17.9282,"Dec 2, 13",0.2435834912495821
2013-12-03,17.7812,17.8499,17.6732,17.7615,422972,422972,-0.088366,-0.495,17.7413,"Dec 3, 13",0.23742475755211245
2013-12-04,17.6732,18.0757,17.6732,17.9579,855491,855491,0.196369,1.106,17.9326,"Dec 4, 13",0.2511077360383457
2013-12-05,17.9383,18.0723,17.899,17.9873,400061,400061,0.029457,0.164,17.9696,"Dec 5, 13",0.2531560026752871
2013-12-06,18.1446,18.1741,17.9185,18.0758,492983,492983,0.088463,0.492,18.0058,"Dec 6, 13",0.2593217032660797
2013-12-09,18.1348,18.1623,17.8203,17.9185,403109,403109,-0.157263,-0.87,17.9147,"Dec 9, 13",0.2483627800691117
2013-12-10,17.8792,17.9185,17.6433,17.8104,420221,420221,-0.108124,-0.603,17.7683,"Dec 10, 13",0.24083156838702494
2013-12-11,17.8203,17.8753,17.4173,17.4861,427217,427217,-0.32436,-1.821,17.5963,"Dec 11, 13",0.21823793334076472
