date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,12.857,13.0153,12.7515,12.901,19081,19081,-0.131912,-1.012,12.8703,"Aug 5, 13",0
2013-08-06,12.9349,12.9349,12.6955,12.8019,30273,30273,-0.099096,-0.768,12.8209,"Aug 6, 13",-0.007681575071699866
2013-08-07,12.5005,12.5625,11.6494,12.1015,66063,66063,-0.700381,-5.471,12.1498,"Aug 7, 13",-0.06197194015967755
2013-08-08,12.0572,12.1724,11.3843,11.6405,57547,57547,-0.461011,-3.81,11.7012,"Aug 8, 13",-0.09770560421672742
2013-08-09,11.6494,12.0661,11.5253,11.9685,450334,450334,0.328028,2.818,11.5488,"Aug 9, 13",-0.07228121851019295
2013-08-12,11.9508,12.137,11.871,12.1192,36227,36227,0.150713,1.259,12.0096,"Aug 12, 13",-0.06059995349197741
2013-08-13,12.1281,12.332,12.1192,12.1636,30243,30243,0.044328,0.366,12.2133,"Aug 13, 13",-0.057158359817068384
2013-08-14,12.2788,12.3232,11.9685,12.004,52221,52221,-0.159579,-1.312,12.1283,"Aug 14, 13",-0.06952949383768701
2013-08-15,11.7646,11.9774,11.5253,11.7469,95330,95330,-0.257101,-2.142,11.7225,"Aug 15, 13",-0.08945818153631499
2013-08-16,11.7469,11.8621,11.5519,11.6937,66735,66735,-0.053195,-0.453,11.7167,"Aug 16, 13",-0.0935818928765212
2013-08-19,11.6582,11.7912,11.4366,11.5075,75821,75821,-0.186178,-1.592,11.5811,"Aug 19, 13",-0.10801488256724281
2013-08-20,11.5075,11.6316,11.4455,11.5164,29947,29947,0.008867,0.077,11.5202,"Aug 20, 13",-0.10732501356483985
2013-08-21,11.5164,11.5873,11.41,11.41,24168,24168,-0.106386,-0.924,11.4888,"Aug 21, 13",-0.11557243624525228
2013-08-22,11.41,11.6494,11.41,11.5696,27537,27537,0.159577,1.399,11.4885,"Aug 22, 13",-0.10320130222463378
2013-08-23,11.5607,11.6494,11.3125,11.4987,46775,46775,-0.070923,-0.613,11.5142,"Aug 23, 13",-0.10869700023254014
2013-08-26,11.5164,11.5164,11.3302,11.3657,17157,17157,-0.132983,-1.157,11.4002,"Aug 26, 13",-0.11900627858305554
2013-08-27,11.3036,11.4605,11.0288,11.0465,37503,37503,-0.31916,-2.808,11.1886,"Aug 27, 13",-0.14374854662429268
2013-08-28,11.0199,11.1618,10.8603,11.0377,17594,17594,-0.008866,-0.08,11.0566,"Aug 28, 13",-0.14443066428959
2013-08-29,11.1251,11.1972,11.0377,11.1884,19456,19456,0.150714,1.365,11.1252,"Aug 29, 13",-0.13274939927137433
2013-08-30,11.1618,11.2061,11.0465,11.0997,79093,79093,-0.088655,-0.792,11.089,"Aug 30, 13",-0.13962483528408645
2013-09-03,11.2504,11.2504,10.8958,10.9845,27946,27946,-0.115253,-1.038,11.016,"Sep 3, 13",-0.1485543756297961
2013-09-04,10.9667,11.0279,10.9224,10.9845,23884,23884,0,0,10.9921,"Sep 4, 13",-0.1485543756297961
2013-09-05,10.9242,11.1307,10.8869,11.0908,9327,9327,0.106386,0.969,11.0488,"Sep 5, 13",-0.14031470428648943
2013-09-06,11.1706,11.1706,10.8603,11.0642,13990,13990,-0.026596,-0.24,11.0388,"Sep 6, 13",-0.14237655995659254
2013-09-09,11.1086,11.5075,11.082,11.4898,14350,14350,0.425549,3.846,11.3868,"Sep 9, 13",-0.10938686923494297
2013-09-10,11.5607,11.8799,11.4277,11.7735,37571,37571,0.283698,2.469,11.7129,"Sep 10, 13",-0.08739632586621189
2013-09-11,11.7735,11.8444,11.6671,11.7912,32303,32303,0.01773,0.151,11.7723,"Sep 11, 13",-0.08602433919851174
2013-09-12,11.809,11.809,11.6316,11.6316,8887,8887,-0.159579,-1.353,11.6647,"Sep 12, 13",-0.09839547321913024
2013-09-13,11.6937,11.9065,11.6228,11.8533,37917,37917,0.22164,1.905,11.8254,"Sep 13, 13",-0.08121075885590257
2013-09-16,11.9419,12.1228,11.6848,11.809,51043,51043,-0.044329,-0.374,11.8329,"Sep 16, 13",-0.08464460119370595
2013-09-17,11.809,11.9951,11.7478,11.8533,40670,40670,0.044329,0.375,11.8519,"Sep 17, 13",-0.08121075885590257
2013-09-18,11.8001,12.1015,11.7469,11.9419,43347,43347,0.088654,0.748,11.9082,"Sep 18, 13",-0.07434307418029605
2013-09-19,11.9331,11.9331,11.6405,11.7824,38646,38646,-0.159579,-1.336,11.7747,"Sep 19, 13",-0.08670645686380893
2013-09-20,11.7912,12.0217,11.7558,11.7558,90597,90597,-0.026598,-0.226,11.8129,"Sep 20, 13",-0.08876831253391203
2013-09-23,11.6848,11.9242,11.6848,11.871,49135,49135,0.115253,0.98,11.8297,"Sep 23, 13",-0.07983877218820241
2013-09-24,11.7912,11.9242,11.7824,11.809,37736,37736,-0.062059,-0.523,11.8586,"Sep 24, 13",-0.08464460119370595
2013-09-25,11.7824,11.9242,11.7558,11.7558,41590,41590,-0.053194,-0.45,11.8482,"Sep 25, 13",-0.08876831253391203
2013-09-26,11.7912,11.9951,11.7912,11.8887,52981,52981,0.132986,1.131,11.9212,"Sep 26, 13",-0.07846678552050226
2013-09-27,11.8001,12.004,11.8001,11.8444,29017,29017,-0.044329,-0.373,11.9079,"Sep 27, 13",-0.08190062785830553
2013-09-30,11.7558,11.9685,11.7558,11.9242,53930,53930,0.07979,0.674,11.9185,"Sep 30, 13",-0.0757150608479962
2013-10-01,11.9242,11.9685,11.7824,11.9508,38476,38476,0.026596,0.223,11.9321,"Oct 1, 13",-0.07365320517789323
2013-10-02,11.8799,11.9526,11.7558,11.7558,43795,43795,-0.195043,-1.632,11.8359,"Oct 2, 13",-0.08876831253391203
2013-10-03,11.7558,11.7824,11.6671,11.7469,27534,27534,-0.008864,-0.075,11.7509,"Oct 3, 13",-0.08945818153631499
2013-10-04,11.7114,11.7289,11.5341,11.5341,15823,15823,-0.212777,-1.811,11.5934,"Oct 4, 13",-0.1059530268971397
2013-10-07,11.4721,11.8178,11.3036,11.676,36392,36392,0.141851,1.23,11.5667,"Oct 7, 13",-0.09495387954422135
2013-10-08,11.6733,11.8001,11.6671,11.738,66252,66252,0.06206,0.532,11.7272,"Oct 8, 13",-0.09014805053871795
2013-10-09,11.738,12.27,11.738,11.9774,95044,95044,0.239371,2.039,11.9821,"Oct 9, 13",-0.07159134950779013
