date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2015-06-23,16.25,16.25,16.25,16.25,100,100,16.25,0,16.25,"Jun 23, 15",0
2015-06-24,,,,16.25,0,0,0,0,,"Jun 24, 15",0
2015-06-25,,,,16.25,0,0,0,0,,"Jun 25, 15",0
2015-06-26,,,,16.25,0,0,0,0,,"Jun 26, 15",0
2015-06-29,,,,16.25,0,0,0,0,,"Jun 29, 15",0
2015-06-30,15.88,15.88,15.05,15.05,20177,20177,-1.2,-7.385,15.1698,"Jun 30, 15",-0.0738461538461538
2015-07-01,15.5,15.75,13.32,13.75,720359,720359,-1.3,-8.638,14.9065,"Jul 1, 15",-0.15384615384615385
2015-07-02,13.85,14.06,12.17,12.21,825277,825277,-1.54,-11.2,13.2394,"Jul 2, 15",-0.24861538461538457
2015-07-06,12.21,13.05,11.38,12.9,733492,733492,0.69,5.651,12.0661,"Jul 6, 15",-0.20615384615384613
2015-07-07,12.9,13.68,12.82,13.36,686888,686888,0.46,3.566,13.3222,"Jul 7, 15",-0.17784615384615388
2015-07-08,13.6,13.79,12.48,12.79,683598,683598,-0.57,-4.266,12.9889,"Jul 8, 15",-0.21292307692307696
2015-07-09,12.72,13.13,11.97,12.59,722054,722054,-0.2,-1.564,12.7417,"Jul 9, 15",-0.22523076923076923
2015-07-10,12.82,13.08,12.66,12.73,363468,363468,0.14,1.112,12.7745,"Jul 10, 15",-0.2166153846153846
2015-07-13,12.65,13.09,12.65,13.09,386157,386157,0.36,2.828,12.9094,"Jul 13, 15",-0.19446153846153846
2015-07-14,13.14,14.06,13.03,13.94,200155,200155,0.85,6.494,13.5419,"Jul 14, 15",-0.1421538461538462
2015-07-15,13.99,14.2,13.85,13.95,235751,235751,0.01,0.072,14.0584,"Jul 15, 15",-0.14153846153846159
2015-07-16,14.13,14.2,13.97,14.11,525360,525360,0.16,1.147,14.0678,"Jul 16, 15",-0.13169230769230772
2015-07-17,14.1,14.1,13.885,13.94,152858,152858,-0.17,-1.205,14.0128,"Jul 17, 15",-0.1421538461538462
2015-07-20,13.87,14.14,13.13,13.24,101315,101315,-0.7,-5.022,13.4841,"Jul 20, 15",-0.18523076923076923
2015-07-21,13.38,13.4,12.84,12.93,279554,279554,-0.31,-2.341,13.11,"Jul 21, 15",-0.20430769230769233
2015-07-22,12.94,13.12,12.82,12.95,80097,80097,0.02,0.155,12.9955,"Jul 22, 15",-0.20307692307692313
2015-07-23,13,13,12.72,12.9,226803,226803,-0.05,-0.386,12.7941,"Jul 23, 15",-0.20615384615384613
2015-07-24,12.79,13.01,12.71,12.86,48640,48640,-0.04,-0.31,12.8687,"Jul 24, 15",-0.20861538461538465
2015-07-27,12.75,12.9,12.57,12.74,38402,38402,-0.12,-0.933,12.7583,"Jul 27, 15",-0.216
2015-07-28,12.86,12.89,12.55,12.77,45563,45563,0.03,0.235,12.7469,"Jul 28, 15",-0.21415384615384617
2015-07-29,12.79,13.13,12.1,12.35,489576,489576,-0.42,-3.289,12.4555,"Jul 29, 15",-0.24000000000000002
2015-07-30,12.34,12.53,12.16,12.41,68557,68557,0.06,0.486,12.4217,"Jul 30, 15",-0.2363076923076923
2015-07-31,12.43,12.71,12.35,12.52,39124,39124,0.11,0.886,12.5472,"Jul 31, 15",-0.22953846153846155
2015-08-03,12.6,12.63,12.18,12.46,45654,45654,-0.06,-0.479,12.4688,"Aug 3, 15",-0.23323076923076919
2015-08-04,12.57,13.02,12.32,12.55,74835,74835,0.09,0.722,12.719,"Aug 4, 15",-0.22769230769230764
2015-08-05,12.52,12.52,10.82,10.83,449025,449025,-1.72,-13.705,11.3735,"Aug 5, 15",-0.33353846153846156
2015-08-06,10.83,10.87,9.98,10,131313,131313,-0.83,-7.664,10.3872,"Aug 6, 15",-0.38461538461538464
2015-08-07,9.91,10.2,9.7,10.07,999751,999751,0.07,0.7,9.9752,"Aug 7, 15",-0.3803076923076923
2015-08-10,10.93,11.6084,10.839,11.08,155726,155726,1.01,10.03,11.1693,"Aug 10, 15",-0.3181538461538462
2015-08-11,10.2,11.31,10.2,11.27,266528,266528,0.19,1.715,10.8548,"Aug 11, 15",-0.3064615384615385
2015-08-12,11.13,11.15,10.75,10.75,120059,120059,-0.52,-4.614,10.9039,"Aug 12, 15",-0.3384615384615385
2015-08-13,10.82,11.24,10.75,10.81,287886,287886,0.06,0.558,10.8483,"Aug 13, 15",-0.33476923076923076
2015-08-14,10.81,11.24,10.81,11.02,161386,161386,0.21,1.943,11.0232,"Aug 14, 15",-0.3218461538461539
2015-08-17,11.1,11.67,11.09,11.47,337526,337526,0.45,4.083,11.5048,"Aug 17, 15",-0.2941538461538461
2015-08-18,11.54,11.96,11.36,11.42,102343,102343,-0.05,-0.436,11.6114,"Aug 18, 15",-0.29723076923076924
2015-08-19,11.31,11.45,11.1646,11.32,80172,80172,-0.1,-0.876,11.3057,"Aug 19, 15",-0.30338461538461536
2015-08-20,11.17,11.48,10.9601,11,72746,72746,-0.32,-2.827,11.2114,"Aug 20, 15",-0.3230769230769231
2015-08-21,10.95,11.26,10.95,11,148625,148625,0,0,11.0041,"Aug 21, 15",-0.3230769230769231
