date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,112.9328,112.9678,112.8301,112.9328,104581,104581,-0.130801,-0.116,112.8988,"Aug 5, 13",0
2013-08-06,112.8861,112.9609,112.8487,112.9141,144643,144643,-0.018692,-0.017,112.8872,"Aug 6, 13",-0.00016558519756877983
2013-08-07,112.9889,113.101,112.9422,113.0263,211337,211337,0.112119,0.099,112.9964,"Aug 7, 13",0.0008279259878441507
2013-08-08,113.0823,113.1477,112.9702,113.073,92081,92081,0.04672,0.041,113.1036,"Aug 8, 13",0.0012414462405961155
2013-08-09,113.0636,113.1477,113.045,113.1384,171776,171776,0.0654,0.058,113.0677,"Aug 9, 13",0.0018205516909171118
2013-08-12,113.1758,113.1944,113.0169,113.0543,237004,237004,-0.084091,-0.074,113.1,"Aug 12, 13",0.0010758610430273356
2013-08-13,112.7366,112.7366,112.5125,112.5871,92636,92636,-0.467166,-0.413,112.5901,"Aug 13, 13",-0.0030611124491732576
2013-08-14,112.5591,112.6526,112.5591,112.6058,59119,59119,0.018691,0.017,112.6028,"Aug 14, 13",-0.002895527251604478
2013-08-15,112.2881,112.4701,112.1658,112.3722,143309,143309,-0.233589,-0.207,112.3382,"Aug 15, 13",-0.0049640139977047745
2013-08-16,112.3629,112.3629,112.0078,112.1667,1712925,1712925,-0.205547,-0.183,112.0941,"Aug 16, 13",-0.006783680206281917
2013-08-19,112.0732,112.0732,111.8967,111.9985,112836,112836,-0.168181,-0.15,111.9714,"Aug 19, 13",-0.008273061502061344
2013-08-20,112.204,112.288,112.176,112.2695,101964,101964,0.270954,0.242,112.2412,"Aug 20, 13",-0.005873404360823487
2013-08-21,112.148,112.2227,111.8397,111.8677,169778,169778,-0.401764,-0.358,112.1217,"Aug 21, 13",-0.00943127240270321
2013-08-22,111.7743,111.8583,111.5696,111.6715,82252,82252,-0.19621,-0.175,111.7046,"Aug 22, 13",-0.011168588753665947
2013-08-23,111.5594,112.0078,111.494,111.9051,63897,63897,0.233586,0.209,111.817,"Aug 23, 13",-0.009100102007565523
2013-08-26,112.12,112.12,111.9985,112.1013,185259,185259,0.19621,0.175,112.0786,"Aug 26, 13",-0.007362785656602913
2013-08-27,112.2695,112.4376,112.1947,112.3722,199206,199206,0.270952,0.242,112.3,"Aug 27, 13",-0.0049640139977047745
2013-08-28,112.2134,112.2508,112.0639,112.148,171713,171713,-0.224234,-0.2,112.1154,"Aug 28, 13",-0.006949265403850822
2013-08-29,111.9424,112.2508,111.9424,112.204,82599,82599,0.056057,0.05,112.15,"Aug 29, 13",-0.006453395293484327
2013-08-30,112.204,112.2508,112.0452,112.0826,314825,314825,-0.12146,-0.108,112.1883,"Aug 30, 13",-0.007528370854171693
2013-09-03,111.7928,111.905,111.5501,111.8489,25511615,25511615,-0.233727,-0.209,111.848,"Sep 3, 13",-0.00959774308261196
2013-09-04,111.8208,111.8863,111.5123,111.5497,1268037,1268037,-0.299191,-0.267,111.6534,"Sep 4, 13",-0.012247106243713066
2013-09-05,111.2598,111.3253,111.0448,111.0541,1770656,1770656,-0.495524,-0.444,111.1207,"Sep 5, 13",-0.01663555672045672
2013-09-06,111.531,111.7554,111.3814,111.4842,702659,702659,0.430082,0.387,111.5203,"Sep 6, 13",-0.012827097176373906
2013-09-09,111.7554,111.7741,111.6619,111.6899,461043,461043,0.205688,0.184,111.7131,"Sep 9, 13",-0.01100566000311695
2013-09-10,111.4562,111.5646,111.402,111.4281,250305,250305,-0.261791,-0.234,111.478,"Sep 10, 13",-0.013323852769080371
2013-09-11,111.6245,111.7647,111.4656,111.746,439676,439676,0.31789,0.285,111.6415,"Sep 11, 13",-0.010508904410410485
2013-09-12,111.8582,111.9517,111.7086,111.7273,368718,368718,-0.0187,-0.017,111.8339,"Sep 12, 13",-0.010674489607979265
2013-09-13,111.718,111.8395,111.6927,111.8115,214795,214795,0.08415,0.075,111.7963,"Sep 13, 13",-0.009928913477749645
2013-09-16,112.4472,112.4659,112.0642,112.1013,218971,218971,0.289833,0.259,112.2839,"Sep 16, 13",-0.007362785656602913
2013-09-17,112.2415,112.2602,112.1107,112.2228,227830,227830,0.121544,0.108,112.2165,"Sep 17, 13",-0.006286924613575452
2013-09-18,112.1106,113.1569,111.9891,113.0176,307214,307214,0.794712,0.708,112.6514,"Sep 18, 13",0.0007508890242693116
2013-09-19,112.9802,113.0176,112.8025,112.8306,306049,306049,-0.186989,-0.165,112.8817,"Sep 19, 13",-0.0009049629514188641
2013-09-20,112.8119,112.9325,112.7277,112.8212,234925,234925,-0.009354,-0.008,112.8436,"Sep 20, 13",-0.0009881982913732387
2013-09-23,112.8867,113.0176,112.8586,112.9989,224413,224413,0.177646,0.157,112.9507,"Sep 23, 13",0.0005853038267005318
2013-09-24,113.0176,113.1858,113,113.1438,258410,258410,0.144911,0.128,113.1384,"Sep 24, 13",0.0018683677372738348
2013-09-25,113.1298,113.3354,113.0924,113.3167,226223,226223,0.172973,0.153,113.2646,"Sep 25, 13",0.0033993667030304485
2013-09-26,113.1765,113.2232,113.1111,113.2139,216333,216333,-0.102846,-0.091,113.2031,"Sep 26, 13",0.0024890908575718926
2013-09-27,113.2606,113.4476,113.2606,113.3635,173647,173647,0.149594,0.132,113.5562,"Sep 27, 13",0.0038137724381225088
2013-09-30,113.3915,113.457,113.2533,113.4383,233753,233753,0.074799,0.066,113.3124,"Sep 30, 13",0.004476113228397753
2013-10-01,113.3772,113.396,113.2182,113.2556,30824750,30824750,-0.182686,-0.161,113.2479,"Oct 1, 13",0.0028583369933270126
2013-10-02,113.3679,113.5176,113.3585,113.4334,567259,567259,0.177782,0.157,113.4243,"Oct 2, 13",0.004432724593740753
2013-10-03,113.3866,113.658,113.3422,113.527,370505,370505,0.093567,0.082,113.5324,"Oct 3, 13",0.005261536063924747
2013-10-04,113.4053,113.4427,113.3024,113.3305,247255,247255,-0.196497,-0.173,113.3544,"Oct 4, 13",0.0035215632659422276
2013-10-07,113.4989,113.527,113.3211,113.3679,91708,91708,0.03743,0.033,113.4454,"Oct 7, 13",0.003852733661079913
2013-10-08,113.265,113.3492,113.1995,113.2275,426949,426949,-0.140355,-0.124,113.2873,"Oct 8, 13",0.0026095164558038583
2013-10-09,113.3024,113.3305,113.1527,113.2088,114208,114208,-0.018709,-0.017,113.2596,"Oct 9, 13",0.0024439312582349524
2013-10-10,113.1152,113.2088,113.0404,113.1995,121647,121647,-0.00936,-0.008,113.1186,"Oct 10, 13",0.0023615814006205473
2013-10-11,113.3492,113.4334,113.2743,113.293,55471,55471,0.09357,0.083,113.3347,"Oct 11, 13",0.003189507388464698
2013-10-14,113.3024,113.3024,113.0404,113.0731,230801,230801,-0.219888,-0.194,113.0149,"Oct 14, 13",0.001242331722936085
2013-10-15,113.2556,113.2837,113.1346,113.1714,183584,183584,0.098246,0.087,113.2134,"Oct 15, 13",0.002112760863097393
2013-10-16,113.1152,113.4521,113.032,113.4521,94311,94311,0.280702,0.248,113.2175,"Oct 16, 13",0.004598309791309533
2013-10-17,113.658,113.8169,113.6449,113.715,219366,219366,0.262931,0.232,113.7469,"Oct 17, 13",0.006926242863012367
2013-10-18,113.7889,113.7983,113.7047,113.7328,87472,87472,0.017782,0.016,113.9131,"Oct 18, 13",0.0070838587195216724
2013-10-21,113.7047,113.7047,113.5925,113.6767,148519,148519,-0.056145,-0.049,113.6351,"Oct 21, 13",0.006587103126815207
2013-10-22,113.9106,114.0322,113.9106,113.9948,115906,115906,0.318133,0.28,113.9887,"Oct 22, 13",0.009403822450165033
2013-10-23,114.0135,114.1539,114.0042,114.0416,1680311,1680311,0.046787,0.041,114.0723,"Oct 23, 13",0.009818228185257093
2013-10-24,114.079,114.079,113.9106,113.9761,69411,69411,-0.065497,-0.057,113.9692,"Oct 24, 13",0.009238237252596253
2013-10-25,113.9667,114.0977,113.9667,114.0696,106845,106845,0.093568,0.082,114.0336,"Oct 25, 13",0.010066163240440278
