date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,47.5302,47.8643,47.5302,47.782,22216,11108,0.092,0.193,47.6546,"Aug 5, 13",0
2013-08-06,47.9756,48.1112,47.7868,47.9611,33492,16746,0.17916,0.375,47.8699,"Aug 6, 13",0.00374827340839658
2013-08-07,48.0822,48.2512,48.0391,48.2468,19586,9793,0.285682,0.596,48.1363,"Aug 7, 13",0.00972751245238801
2013-08-08,48.2565,48.4792,48.2565,48.455,119314,59657,0.208213,0.432,48.4315,"Aug 8, 13",0.014084801808212337
2013-08-09,48.3727,48.6623,48.3049,48.5373,68152,34076,0.082315,0.17,48.5067,"Aug 9, 13",0.0158072077351305
2013-08-12,48.6681,48.6681,48.179,48.3485,24234,12117,-0.188843,-0.389,48.421,"Aug 12, 13",0.011855929010924719
2013-08-13,47.9514,47.9708,47.7669,47.7959,32354,16177,-0.552532,-1.143,47.8852,"Aug 13, 13",0.00029090452471656033
2013-08-14,47.6851,47.9025,47.6415,47.69,34848,17424,-0.105995,-0.222,49.8058,"Aug 14, 13",-0.001925411242727361
2013-08-15,47.6851,48.3001,47.598,48.2081,544198,272099,0.518106,1.086,47.907,"Aug 15, 13",0.00891758402745815
2013-08-16,48.3146,48.3146,47.8231,48.1451,340262,170131,-0.062946,-0.131,48.1481,"Aug 16, 13",0.007599095893851301
2013-08-19,47.9079,48.2855,47.782,48.058,186484,93242,-0.087158,-0.181,47.9924,"Aug 19, 13",0.005776233728182231
2013-08-20,48.3969,48.4163,48.1996,48.363,131382,65691,0.305051,0.635,48.3191,"Aug 20, 13",0.012159390565484976
2013-08-21,48.1257,48.1257,47.9495,48.0047,384052,192026,-0.358315,-0.741,48.0934,"Aug 21, 13",0.004660750910384732
2013-08-22,47.7771,47.8982,47.7038,47.7965,50284,25142,-0.208164,-0.434,47.8233,"Aug 22, 13",0.00030346155456040534
2013-08-23,47.6706,48.0659,47.5786,47.9127,82472,41236,0.116162,0.243,47.8399,"Aug 23, 13",0.0027353396676573706
2013-08-26,47.8546,47.9321,47.7916,47.8401,59990,29995,-0.072629,-0.152,47.8641,"Aug 26, 13",0.0012159390565485572
2013-08-27,47.8982,48.1548,47.8982,48.1209,172508,86254,0.280841,0.587,48.0407,"Aug 27, 13",0.007092629023481697
2013-08-28,48.0144,48.0144,47.7553,47.9514,54614,27307,-0.169473,-0.352,47.8782,"Aug 28, 13",0.003545268092587232
2013-08-29,47.6374,47.6996,47.5012,47.6851,20248,10124,-0.266317,-0.555,47.6141,"Aug 29, 13",-0.002027960319785651
2013-08-30,47.5399,47.5712,47.4014,47.4721,18662,9331,-0.213003,-0.447,47.5091,"Aug 30, 13",-0.006485705914361035
2013-09-03,47.3751,47.38,47.0552,47.2782,122962,61481,-0.19395,-0.409,47.2258,"Sep 3, 13",-0.01054371939223972
2013-09-04,47.346,47.4769,47.2579,47.3557,21980,10990,0.077559,0.164,47.312,"Sep 4, 13",-0.008921769704072616
2013-09-05,47.1618,47.1618,46.7551,46.8225,25606,12803,-0.53323,-1.126,46.9568,"Sep 5, 13",-0.020080783558662225
2013-09-06,47.094,47.3024,47.094,47.2975,87146,43573,0.475061,1.015,47.2422,"Sep 6, 13",-0.010139801598928406
2013-09-09,47.4818,47.5448,47.2879,47.5448,47606,23803,0.247226,0.523,47.4264,"Sep 9, 13",-0.0049642124649448395
2013-09-10,47.283,47.3315,47.1812,47.2103,528218,264109,-0.334483,-0.704,47.2164,"Sep 10, 13",-0.011964756602904858
2013-09-11,47.2539,47.4381,47.2156,47.3946,236104,118052,0.184305,0.39,47.3271,"Sep 11, 13",-0.008107655602528139
2013-09-12,47.4381,47.5654,47.4001,47.4818,28756,14378,0.087158,0.184,47.4984,"Sep 12, 13",-0.006282700598551687
2013-09-13,47.4381,47.6369,47.3562,47.5254,49548,24774,0.043628,0.092,47.4803,"Sep 13, 13",-0.005370223096563535
